Serial Number
	1020226
Project ID
	05080002
Location
	L'ÉTAPE
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		793       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-06-28,13:00:00,0,426.5290,3.725
2,2017-06-28,13:15:00,0,426.6380,3.723
3,2017-06-28,13:30:00,0,426.7120,3.721
4,2017-06-28,13:45:00,0,426.9240,3.721
5,2017-06-28,14:00:00,0,427.0300,3.720
6,2017-06-28,14:15:00,0,427.1340,3.720
7,2017-06-28,14:30:00,0,427.1260,3.719
8,2017-06-28,14:45:00,0,427.3980,3.719
9,2017-06-28,15:00:00,0,427.5540,3.718
10,2017-06-28,15:15:00,0,427.9020,3.717
11,2017-06-28,15:30:00,0,428.1170,3.717
12,2017-06-28,15:45:00,0,428.3170,3.717
13,2017-06-28,16:00:00,0,428.3490,3.717
14,2017-06-28,16:15:00,0,428.2410,3.716
15,2017-06-28,16:30:00,0,428.0740,3.716
16,2017-06-28,16:45:00,0,427.9390,3.716
17,2017-06-28,17:00:00,0,427.7410,3.716
18,2017-06-28,17:15:00,0,427.5820,3.716
19,2017-06-28,17:30:00,0,427.4910,3.716
20,2017-06-28,17:45:00,0,427.6520,3.714
21,2017-06-28,18:00:00,0,427.7530,3.715
22,2017-06-28,18:15:00,0,427.8090,3.715
23,2017-06-28,18:30:00,0,427.8870,3.714
24,2017-06-28,18:45:00,0,427.8580,3.714
25,2017-06-28,19:00:00,0,427.9450,3.714
26,2017-06-28,19:15:00,0,428.0150,3.715
27,2017-06-28,19:30:00,0,428.0970,3.714
28,2017-06-28,19:45:00,0,428.0340,3.715
29,2017-06-28,20:00:00,0,427.9620,3.714
30,2017-06-28,20:15:00,0,427.9010,3.715
31,2017-06-28,20:30:00,0,427.9510,3.713
32,2017-06-28,20:45:00,0,428.0310,3.714
33,2017-06-28,21:00:00,0,428.2340,3.714
34,2017-06-28,21:15:00,0,428.4450,3.713
35,2017-06-28,21:30:00,0,428.6430,3.713
36,2017-06-28,21:45:00,0,428.8260,3.713
37,2017-06-28,22:00:00,0,428.8530,3.713
38,2017-06-28,22:15:00,0,428.7820,3.713
39,2017-06-28,22:30:00,0,428.7080,3.714
40,2017-06-28,22:45:00,0,428.6100,3.712
41,2017-06-28,23:00:00,0,428.6090,3.713
42,2017-06-28,23:15:00,0,428.6610,3.713
43,2017-06-28,23:30:00,0,428.5920,3.712
44,2017-06-28,23:45:00,0,428.5210,3.713
45,2017-06-29,00:00:00,0,428.5480,3.713
46,2017-06-29,00:15:00,0,428.6150,3.712
47,2017-06-29,00:30:00,0,428.6020,3.711
48,2017-06-29,00:45:00,0,428.5580,3.711
49,2017-06-29,01:00:00,0,428.5500,3.711
50,2017-06-29,01:15:00,0,428.4970,3.711
51,2017-06-29,01:30:00,0,428.5470,3.712
52,2017-06-29,01:45:00,0,428.5690,3.712
53,2017-06-29,02:00:00,0,428.5720,3.712
54,2017-06-29,02:15:00,0,428.5420,3.711
55,2017-06-29,02:30:00,0,428.4790,3.713
56,2017-06-29,02:45:00,0,428.4740,3.712
57,2017-06-29,03:00:00,0,428.4460,3.710
58,2017-06-29,03:15:00,0,428.4170,3.711
59,2017-06-29,03:30:00,0,428.3300,3.711
