Serial Number
	1029714
Project ID
	05080003
Location
	Pont-Rouge
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		115       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-06-22,19:00:00,0,1467.4500,6.632
2,2017-06-22,19:15:00,0,1467.5399,6.625
3,2017-06-22,19:30:00,0,1467.4500,6.625
4,2017-06-22,19:45:00,0,1467.4000,6.624
5,2017-06-22,20:00:00,0,1467.3300,6.625
6,2017-06-22,20:15:00,0,1467.4000,6.625
7,2017-06-22,20:30:00,0,1467.3300,6.624
8,2017-06-22,20:45:00,0,1467.2999,6.626
9,2017-06-22,21:00:00,0,1467.4199,6.626
10,2017-06-22,21:15:00,0,1467.4299,6.625
11,2017-06-22,21:30:00,0,1467.1400,6.625
12,2017-06-22,21:45:00,0,1467.1300,6.624
13,2017-06-22,22:00:00,0,1467.1599,6.625
14,2017-06-22,22:15:00,0,1467.2100,6.625
15,2017-06-22,22:30:00,0,1467.3099,6.625
16,2017-06-22,22:45:00,0,1467.1699,6.625
17,2017-06-22,23:00:00,0,1467.1300,6.625
18,2017-06-22,23:15:00,0,1467.1000,6.626
19,2017-06-22,23:30:00,0,1467.0299,6.625
20,2017-06-22,23:45:00,0,1467.0499,6.625
21,2017-06-23,00:00:00,0,1467.0299,6.625
22,2017-06-23,00:15:00,0,1466.9900,6.625
23,2017-06-23,00:30:00,0,1466.9399,6.625
24,2017-06-23,00:45:00,0,1466.7999,6.623
25,2017-06-23,01:00:00,0,1466.5699,6.626
26,2017-06-23,01:15:00,0,1466.4000,6.624
27,2017-06-23,01:30:00,0,1466.1200,6.626
28,2017-06-23,01:45:00,0,1466.0299,6.626
29,2017-06-23,02:00:00,0,1465.7700,6.625
30,2017-06-23,02:15:00,0,1465.7600,6.626
31,2017-06-23,02:30:00,0,1465.7400,6.625
32,2017-06-23,02:45:00,0,1465.4800,6.624
33,2017-06-23,03:00:00,0,1465.4299,6.625
34,2017-06-23,03:15:00,0,1465.2400,6.625
35,2017-06-23,03:30:00,0,1464.9399,6.623
36,2017-06-23,03:45:00,0,1464.7000,6.625
37,2017-06-23,04:00:00,0,1464.7000,6.624
38,2017-06-23,04:15:00,0,1464.8099,6.625
39,2017-06-23,04:30:00,0,1464.7600,6.624
40,2017-06-23,04:45:00,0,1464.9399,6.624
41,2017-06-23,05:00:00,0,1465.0599,6.624
42,2017-06-23,05:15:00,0,1464.7600,6.625
43,2017-06-23,05:30:00,0,1464.7799,6.625
44,2017-06-23,05:45:00,0,1464.6899,6.624
45,2017-06-23,06:00:00,0,1464.8500,6.624
46,2017-06-23,06:15:00,0,1464.8500,6.625
47,2017-06-23,06:30:00,0,1465.0800,6.625
48,2017-06-23,06:45:00,0,1464.7200,6.625
49,2017-06-23,07:00:00,0,1464.4700,6.624
50,2017-06-23,07:15:00,0,1464.0800,6.624
51,2017-06-23,07:30:00,0,1464.0000,6.625
52,2017-06-23,07:45:00,0,1464.0499,6.624
53,2017-06-23,08:00:00,0,1464.0200,6.625
54,2017-06-23,08:15:00,0,1463.9600,6.625
55,2017-06-23,08:30:00,0,1463.8600,6.625
56,2017-06-23,08:45:00,0,1463.6799,6.624
57,2017-06-23,09:00:00,0,1463.6500,6.625
58,2017-06-23,09:15:00,0,1463.5299,6.624
59,2017-06-23,09:30:00,0,1463.3700,6.624
60,2017-06-23,09:45:00,0,1463.0699,6.625
61,2017-06-23,10:00:00,0,1463.0299,6.625
62,2017-06-23,10:15:00,0,1462.8500,6.625
63,2017-06-23,10:30:00,0,1462.6500,6.625
64,2017-06-23,10:45:00,0,1462.3400,6.624
65,2017-06-23,11:00:00,0,1462.2200,6.624
66,2017-06-23,11:15:00,0,1462.0900,6.625
67,2017-06-23,11:30:00,0,1461.8300,6.625
68,2017-06-23,11:45:00,0,1461.6500,6.624
69,2017-06-23,12:00:00,0,1461.4099,6.625
70,2017-06-23,12:15:00,0,1461.1899,6.625
71,2017-06-23,12:30:00,0,1461.1400,6.624
72,2017-06-23,12:45:00,0,1460.9700,6.625
73,2017-06-23,13:00:00,0,1461.0100,6.624
74,2017-06-23,13:15:00,0,1460.8099,6.625
75,2017-06-23,13:30:00,0,1460.5699,6.625
76,2017-06-23,13:45:00,0,1460.4399,6.625
77,2017-06-23,14:00:00,0,1460.2700,6.624
78,2017-06-23,14:15:00,0,1460.1699,6.625
79,2017-06-23,14:30:00,0,1460.0599,6.624
80,2017-06-23,14:45:00,0,1459.9600,6.625
81,2017-06-23,15:00:00,0,1459.9099,6.625
82,2017-06-23,15:15:00,0,1459.7100,6.624
83,2017-06-23,15:30:00,0,1459.5699,6.625
84,2017-06-23,15:45:00,0,1459.3500,6.624
85,2017-06-23,16:00:00,0,1459.2600,6.624
86,2017-06-23,16:15:00,0,1459.0000,6.624
87,2017-06-23,16:30:00,0,1458.7899,6.625
88,2017-06-23,16:45:00,0,1458.6500,6.624
89,2017-06-23,17:00:00,0,1458.3800,6.624
90,2017-06-23,17:15:00,0,1458.1300,6.625
91,2017-06-23,17:30:00,0,1457.9299,6.624
92,2017-06-23,17:45:00,0,1457.8700,6.625
93,2017-06-23,18:00:00,0,1457.7799,6.624
94,2017-06-23,18:15:00,0,1457.5499,6.625
95,2017-06-23,18:30:00,0,1457.1799,6.625
96,2017-06-23,18:45:00,0,1456.9299,6.624
97,2017-06-23,19:00:00,0,1456.9399,6.625
98,2017-06-23,19:15:00,0,1456.6799,6.624
99,2017-06-23,19:30:00,0,1456.4500,6.624
100,2017-06-23,19:45:00,0,1456.3300,6.625
101,2017-06-23,20:00:00,0,1456.2999,6.624
102,2017-06-23,20:15:00,0,1456.1599,6.624
103,2017-06-23,20:30:00,0,1456.0699,6.625
104,2017-06-23,20:45:00,0,1455.8500,6.625
105,2017-06-23,21:00:00,0,1455.5599,6.624
106,2017-06-23,21:15:00,0,1455.3700,6.624
107,2017-06-23,21:30:00,0,1455.3900,6.624
108,2017-06-23,21:45:00,0,1455.3500,6.624
109,2017-06-23,22:00:00,0,1455.2300,6.624
110,2017-06-23,22:15:00,0,1455.1400,6.624
111,2017-06-23,22:30:00,0,1454.9900,6.624
112,2017-06-23,22:45:00,0,1454.8500,6.625
113,2017-06-23,23:00:00,0,1454.7100,6.624
114,2017-06-23,23:15:00,0,1454.7000,6.625
115,2017-06-23,23:30:00,0,1454.6000,6.624
116,2017-06-23,23:45:00,0,1454.4099,6.624
117,2017-06-24,00:00:00,0,1454.2400,6.624
