Serial Number
	1031947
Project ID
	05107041
Location
	Fôret-Montmorency
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		757       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-06-28,13:00:00,0,479.3100,2.083
2,2017-06-28,13:15:00,0,479.4580,2.080
3,2017-06-28,13:30:00,0,479.2790,2.079
4,2017-06-28,13:45:00,0,479.2710,2.077
5,2017-06-28,14:00:00,0,479.2760,2.078
6,2017-06-28,14:15:00,0,479.5430,2.076
7,2017-06-28,14:30:00,0,479.6810,2.077
8,2017-06-28,14:45:00,0,479.7280,2.076
9,2017-06-28,15:00:00,0,479.8380,2.074
10,2017-06-28,15:15:00,0,479.8550,2.074
11,2017-06-28,15:30:00,0,480.3570,2.074
12,2017-06-28,15:45:00,0,480.2460,2.074
13,2017-06-28,16:00:00,0,480.1640,2.075
14,2017-06-28,16:15:00,0,480.1280,2.074
15,2017-06-28,16:30:00,0,480.3250,2.074
16,2017-06-28,16:45:00,0,480.2990,2.075
17,2017-06-28,17:00:00,0,480.1650,2.075
18,2017-06-28,17:15:00,0,480.3240,2.074
19,2017-06-28,17:30:00,0,480.3740,2.073
20,2017-06-28,17:45:00,0,480.5850,2.075
21,2017-06-28,18:00:00,0,480.6620,2.073
22,2017-06-28,18:15:00,0,480.7000,2.075
23,2017-06-28,18:30:00,0,481.0180,2.074
24,2017-06-28,18:45:00,0,481.0690,2.073
25,2017-06-28,19:00:00,0,481.3230,2.075
26,2017-06-28,19:15:00,0,481.5030,2.074
27,2017-06-28,19:30:00,0,481.6910,2.074
28,2017-06-28,19:45:00,0,481.8460,2.075
29,2017-06-28,20:00:00,0,481.7200,2.073
30,2017-06-28,20:15:00,0,481.6090,2.075
31,2017-06-28,20:30:00,0,481.9300,2.073
32,2017-06-28,20:45:00,0,482.1860,2.072
33,2017-06-28,21:00:00,0,482.5440,2.075
34,2017-06-28,21:15:00,0,482.5900,2.074
35,2017-06-28,21:30:00,0,482.5500,2.073
36,2017-06-28,21:45:00,0,482.7560,2.075
37,2017-06-28,22:00:00,0,482.8400,2.073
38,2017-06-28,22:15:00,0,483.0060,2.074
39,2017-06-28,22:30:00,0,483.0630,2.074
40,2017-06-28,22:45:00,0,483.2930,2.075
41,2017-06-28,23:00:00,0,483.4560,2.074
42,2017-06-28,23:15:00,0,483.4440,2.075
43,2017-06-28,23:30:00,0,483.4210,2.074
44,2017-06-28,23:45:00,0,483.3260,2.074
45,2017-06-29,00:00:00,0,483.6040,2.074
46,2017-06-29,00:15:00,0,483.7980,2.075
47,2017-06-29,00:30:00,0,483.8310,2.075
48,2017-06-29,00:45:00,0,483.7630,2.074
49,2017-06-29,01:00:00,0,483.7950,2.074
50,2017-06-29,01:15:00,0,483.9610,2.075
51,2017-06-29,01:30:00,0,483.9090,2.073
52,2017-06-29,01:45:00,0,483.9060,2.073
53,2017-06-29,02:00:00,0,483.9740,2.076
54,2017-06-29,02:15:00,0,484.0430,2.075
55,2017-06-29,02:30:00,0,484.0450,2.076
56,2017-06-29,02:45:00,0,484.0220,2.076
57,2017-06-29,03:00:00,0,483.9180,2.075
58,2017-06-29,03:15:00,0,483.8250,2.075
59,2017-06-29,03:30:00,0,484.3180,2.075
60,2017-06-29,03:45:00,0,484.3090,2.076
61,2017-06-29,04:00:00,0,484.3510,2.075
62,2017-06-29,04:15:00,0,484.3640,2.075
63,2017-06-29,04:30:00,0,484.4170,2.077
64,2017-06-29,04:45:00,0,484.4530,2.077
65,2017-06-29,05:00:00,0,484.5170,2.076
66,2017-06-29,05:15:00,0,484.6440,2.076
67,2017-06-29,05:30:00,0,484.4620,2.075
68,2017-06-29,05:45:00,0,484.5330,2.075
69,2017-06-29,06:00:00,0,484.6440,2.076
70,2017-06-29,06:15:00,0,484.7500,2.075
71,2017-06-29,06:30:00,0,484.8320,2.076
72,2017-06-29,06:45:00,0,484.7770,2.076
73,2017-06-29,07:00:00,0,484.8710,2.073
74,2017-06-29,07:15:00,0,484.8520,2.077
75,2017-06-29,07:30:00,0,484.9730,2.077
76,2017-06-29,07:45:00,0,484.9260,2.077
77,2017-06-29,08:00:00,0,484.9810,2.078
78,2017-06-29,08:15:00,0,485.0140,2.075
79,2017-06-29,08:30:00,0,485.1110,2.077
80,2017-06-29,08:45:00,0,485.0840,2.075
81,2017-06-29,09:00:00,0,485.1360,2.076
82,2017-06-29,09:15:00,0,485.0350,2.076
83,2017-06-29,09:30:00,0,484.9760,2.076
84,2017-06-29,09:45:00,0,485.0070,2.077
85,2017-06-29,10:00:00,0,485.0290,2.076
86,2017-06-29,10:15:00,0,485.0570,2.078
87,2017-06-29,10:30:00,0,485.1220,2.078
88,2017-06-29,10:45:00,0,485.0050,2.077
89,2017-06-29,11:00:00,0,484.9410,2.077
90,2017-06-29,11:15:00,0,484.9560,2.077
91,2017-06-29,11:30:00,0,484.9300,2.075
92,2017-06-29,11:45:00,0,484.9190,2.077
93,2017-06-29,12:00:00,0,484.8780,2.078
94,2017-06-29,12:15:00,0,484.7330,2.078
95,2017-06-29,12:30:00,0,484.6510,2.078
96,2017-06-29,12:45:00,0,484.5710,2.077
97,2017-06-29,13:00:00,0,484.5490,2.077
98,2017-06-29,13:15:00,0,484.3700,2.076
99,2017-06-29,13:30:00,0,484.3850,2.078
100,2017-06-29,13:45:00,0,484.2870,2.078
101,2017-06-29,14:00:00,0,484.2000,2.078
102,2017-06-29,14:15:00,0,484.0800,2.079
103,2017-06-29,14:30:00,0,483.9960,2.078
104,2017-06-29,14:45:00,0,484.0020,2.077
105,2017-06-29,15:00:00,0,483.9890,2.077
106,2017-06-29,15:15:00,0,484.0150,2.077
107,2017-06-29,15:30:00,0,483.7810,2.077
108,2017-06-29,15:45:00,0,483.8210,2.078
109,2017-06-29,16:00:00,0,483.8390,2.076
110,2017-06-29,16:15:00,0,483.6960,2.078
111,2017-06-29,16:30:00,0,483.5790,2.078
112,2017-06-29,16:45:00,0,483.5600,2.079
113,2017-06-29,17:00:00,0,483.4030,2.076
