Serial Number
	1041142
Project ID
	05170001
Location
	Saint-Siméon
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		168       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-10-24,13:00:00,0,479.3820,5.019
2,2016-10-24,13:15:00,0,479.5540,5.020
3,2016-10-24,13:30:00,0,479.6790,5.020
4,2016-10-24,13:45:00,0,479.9220,5.019
5,2016-10-24,14:00:00,0,480.0050,5.019
6,2016-10-24,14:15:00,0,480.3140,5.018
7,2016-10-24,14:30:00,0,480.5340,5.018
8,2016-10-24,14:45:00,0,480.6240,5.018
9,2016-10-24,15:00:00,0,480.8360,5.018
10,2016-10-24,15:15:00,0,481.0980,5.019
11,2016-10-24,15:30:00,0,481.2330,5.019
12,2016-10-24,15:45:00,0,481.3820,5.018
13,2016-10-24,16:00:00,0,481.6000,5.018
14,2016-10-24,16:15:00,0,481.8430,5.018
15,2016-10-24,16:30:00,0,482.1250,5.017
16,2016-10-24,16:45:00,0,482.3840,5.016
17,2016-10-24,17:00:00,0,482.5880,5.018
18,2016-10-24,17:15:00,0,482.7280,5.018
19,2016-10-24,17:30:00,0,482.9940,5.018
20,2016-10-24,17:45:00,0,483.2200,5.018
21,2016-10-24,18:00:00,0,483.2950,5.019
22,2016-10-24,18:15:00,0,483.4400,5.018
23,2016-10-24,18:30:00,0,483.6240,5.017
24,2016-10-24,18:45:00,0,483.7820,5.018
25,2016-10-24,19:00:00,0,483.8340,5.018
26,2016-10-24,19:15:00,0,484.0330,5.018
27,2016-10-24,19:30:00,0,484.1530,5.018
28,2016-10-24,19:45:00,0,484.1440,5.018
29,2016-10-24,20:00:00,0,484.2430,5.018
30,2016-10-24,20:15:00,0,484.3950,5.018
31,2016-10-24,20:30:00,0,484.5430,5.018
32,2016-10-24,20:45:00,0,484.5770,5.018
33,2016-10-24,21:00:00,0,484.5560,5.019
34,2016-10-24,21:15:00,0,484.6740,5.018
35,2016-10-24,21:30:00,0,484.7080,5.017
36,2016-10-24,21:45:00,0,484.7970,5.018
37,2016-10-24,22:00:00,0,485.0030,5.017
38,2016-10-24,22:15:00,0,485.2010,5.018
39,2016-10-24,22:30:00,0,485.1350,5.017
40,2016-10-24,22:45:00,0,485.1750,5.018
41,2016-10-24,23:00:00,0,485.2140,5.018
42,2016-10-24,23:15:00,0,485.3310,5.020
43,2016-10-24,23:30:00,0,485.4800,5.017
44,2016-10-24,23:45:00,0,485.5620,5.019
45,2016-10-25,00:00:00,0,485.6240,5.019
46,2016-10-25,00:15:00,0,485.7150,5.018
47,2016-10-25,00:30:00,0,485.7390,5.019
48,2016-10-25,00:45:00,0,485.9330,5.018
49,2016-10-25,01:00:00,0,486.0550,5.018
50,2016-10-25,01:15:00,0,486.0670,5.018
51,2016-10-25,01:30:00,0,486.0920,5.018
52,2016-10-25,01:45:00,0,486.2300,5.019
53,2016-10-25,02:00:00,0,486.3540,5.018
54,2016-10-25,02:15:00,0,486.6020,5.018
55,2016-10-25,02:30:00,0,486.7480,5.018
56,2016-10-25,02:45:00,0,486.7960,5.019
57,2016-10-25,03:00:00,0,486.8550,5.018
58,2016-10-25,03:15:00,0,487.0310,5.017
59,2016-10-25,03:30:00,0,487.1460,5.019
60,2016-10-25,03:45:00,0,487.3370,5.019
61,2016-10-25,04:00:00,0,487.4950,5.020
62,2016-10-25,04:15:00,0,487.7320,5.017
63,2016-10-25,04:30:00,0,487.7890,5.018
64,2016-10-25,04:45:00,0,487.9410,5.018
65,2016-10-25,05:00:00,0,488.1720,5.018
66,2016-10-25,05:15:00,0,488.3630,5.018
67,2016-10-25,05:30:00,0,488.5640,5.020
68,2016-10-25,05:45:00,0,488.8620,5.020
69,2016-10-25,06:00:00,0,489.0940,5.019
70,2016-10-25,06:15:00,0,489.3010,5.018
71,2016-10-25,06:30:00,0,489.5330,5.017
72,2016-10-25,06:45:00,0,489.8380,5.019
73,2016-10-25,07:00:00,0,490.0310,5.018
74,2016-10-25,07:15:00,0,490.3180,5.018
75,2016-10-25,07:30:00,0,490.5580,5.019
76,2016-10-25,07:45:00,0,490.8760,5.019
77,2016-10-25,08:00:00,0,491.1780,5.019
78,2016-10-25,08:15:00,0,491.4100,5.019
79,2016-10-25,08:30:00,0,491.6680,5.018
80,2016-10-25,08:45:00,0,491.9500,5.019
81,2016-10-25,09:00:00,0,492.1030,5.018
82,2016-10-25,09:15:00,0,492.3420,5.018
83,2016-10-25,09:30:00,0,492.4680,5.018
84,2016-10-25,09:45:00,0,492.5950,5.018
85,2016-10-25,10:00:00,0,492.7310,5.019
86,2016-10-25,10:15:00,0,492.9420,5.019
87,2016-10-25,10:30:00,0,493.1630,5.019
88,2016-10-25,10:45:00,0,493.3010,5.018
89,2016-10-25,11:00:00,0,493.3460,5.018
90,2016-10-25,11:15:00,0,493.5930,5.019
91,2016-10-25,11:30:00,0,493.8370,5.018
92,2016-10-25,11:45:00,0,494.0130,5.020
93,2016-10-25,12:00:00,0,494.1700,5.019
94,2016-10-25,12:15:00,0,494.3080,5.018
95,2016-10-25,12:30:00,0,494.4760,5.020
96,2016-10-25,12:45:00,0,494.6010,5.019
97,2016-10-25,13:00:00,0,494.8220,5.019
98,2016-10-25,13:15:00,0,494.9960,5.019
99,2016-10-25,13:30:00,0,495.2580,5.019
100,2016-10-25,13:45:00,0,495.4580,5.019
101,2016-10-25,14:00:00,0,495.6450,5.018
102,2016-10-25,14:15:00,0,495.8410,5.019
103,2016-10-25,14:30:00,0,496.0620,5.020
104,2016-10-25,14:45:00,0,496.3560,5.018
105,2016-10-25,15:00:00,0,496.6770,5.020
106,2016-10-25,15:15:00,0,496.8430,5.018
107,2016-10-25,15:30:00,0,497.0170,5.019
108,2016-10-25,15:45:00,0,497.2220,5.019
109,2016-10-25,16:00:00,0,497.5310,5.018
110,2016-10-25,16:15:00,0,497.7260,5.019
111,2016-10-25,16:30:00,0,498.0430,5.019
112,2016-10-25,16:45:00,0,498.2700,5.018
113,2016-10-25,17:00:00,0,498.4500,5.020
114,2016-10-25,17:15:00,0,498.6560,5.019
115,2016-10-25,17:30:00,0,498.9160,5.019
116,2016-10-25,17:45:00,0,499.2020,5.019
117,2016-10-25,18:00:00,0,499.4950,5.019
118,2016-10-25,18:15:00,0,499.8270,5.018
119,2016-10-25,18:30:00,0,500.0420,5.019
120,2016-10-25,18:45:00,0,500.2080,5.019
121,2016-10-25,19:00:00,0,500.3900,5.019
122,2016-10-25,19:15:00,0,500.6660,5.020
123,2016-10-25,19:30:00,0,500.7870,5.019
124,2016-10-25,19:45:00,0,500.9740,5.021
125,2016-10-25,20:00:00,0,501.2140,5.019
126,2016-10-25,20:15:00,0,501.3450,5.019
127,2016-10-25,20:30:00,0,501.6330,5.020
128,2016-10-25,20:45:00,0,501.8320,5.019
129,2016-10-25,21:00:00,0,502.0810,5.019
130,2016-10-25,21:15:00,0,502.3270,5.019
131,2016-10-25,21:30:00,0,502.5380,5.019
132,2016-10-25,21:45:00,0,502.6210,5.018
133,2016-10-25,22:00:00,0,502.6960,5.018
134,2016-10-25,22:15:00,0,502.8280,5.019
135,2016-10-25,22:30:00,0,502.9560,5.018
136,2016-10-25,22:45:00,0,503.1190,5.019
137,2016-10-25,23:00:00,0,503.1890,5.018
138,2016-10-25,23:15:00,0,503.2630,5.020
139,2016-10-25,23:30:00,0,503.4050,5.020
140,2016-10-25,23:45:00,0,503.5160,5.019
141,2016-10-26,00:00:00,0,503.6240,5.019
142,2016-10-26,00:15:00,0,503.7390,5.021
143,2016-10-26,00:30:00,0,503.8730,5.020
144,2016-10-26,00:45:00,0,503.9580,5.019
145,2016-10-26,01:00:00,0,504.0300,5.021
146,2016-10-26,01:15:00,0,504.1830,5.020
147,2016-10-26,01:30:00,0,504.3460,5.020
148,2016-10-26,01:45:00,0,504.4700,5.020
149,2016-10-26,02:00:00,0,504.6600,5.020
150,2016-10-26,02:15:00,0,504.7530,5.020
151,2016-10-26,02:30:00,0,504.9000,5.020
152,2016-10-26,02:45:00,0,504.9700,5.020
153,2016-10-26,03:00:00,0,505.1320,5.020
154,2016-10-26,03:15:00,0,505.2330,5.020
155,2016-10-26,03:30:00,0,505.3120,5.020
156,2016-10-26,03:45:00,0,505.4430,5.020
157,2016-10-26,04:00:00,0,505.5860,5.019
158,2016-10-26,04:15:00,0,505.7580,5.021
159,2016-10-26,04:30:00,0,505.9140,5.020
160,2016-10-26,04:45:00,0,506.0670,5.021
161,2016-10-26,05:00:00,0,506.2910,5.019
162,2016-10-26,05:15:00,0,506.4550,5.018
163,2016-10-26,05:30:00,0,506.5580,5.019
164,2016-10-26,05:45:00,0,506.6420,5.020
165,2016-10-26,06:00:00,0,506.7830,5.019
166,2016-10-26,06:15:00,0,506.9910,5.019
167,2016-10-26,06:30:00,0,507.1930,5.021
168,2016-10-26,06:45:00,0,507.3920,5.020
169,2016-10-26,07:00:00,0,507.5290,5.019
170,2016-10-26,07:15:00,0,507.6270,5.020
171,2016-10-26,07:30:00,0,507.8350,5.020
172,2016-10-26,07:45:00,0,507.9530,5.020
173,2016-10-26,08:00:00,0,508.1280,5.021
174,2016-10-26,08:15:00,0,508.2450,5.019
175,2016-10-26,08:30:00,0,508.4720,5.020
176,2016-10-26,08:45:00,0,508.7090,5.020
177,2016-10-26,09:00:00,0,508.8520,5.018
178,2016-10-26,09:15:00,0,509.0090,5.020
179,2016-10-26,09:30:00,0,509.1870,5.021
180,2016-10-26,09:45:00,0,509.3700,5.019
181,2016-10-26,10:00:00,0,509.4590,5.018
182,2016-10-26,10:15:00,0,509.5430,5.020
183,2016-10-26,10:30:00,0,509.6310,5.020
184,2016-10-26,10:45:00,0,509.7920,5.020
185,2016-10-26,11:00:00,0,509.9390,5.020
186,2016-10-26,11:15:00,0,510.1390,5.020
187,2016-10-26,11:30:00,0,510.3790,5.020
188,2016-10-26,11:45:00,0,510.4310,5.019
189,2016-10-26,12:00:00,0,510.4670,5.020
190,2016-10-26,12:15:00,0,510.4920,5.020
191,2016-10-26,12:30:00,0,510.5220,5.021
192,2016-10-26,12:45:00,0,510.5420,5.020
193,2016-10-26,13:00:00,0,510.5140,5.020
194,2016-10-26,13:15:00,0,510.4390,5.018
195,2016-10-26,13:30:00,0,510.5450,5.019
196,2016-10-26,13:45:00,0,510.6300,5.020
197,2016-10-26,14:00:00,0,510.6750,5.021
198,2016-10-26,14:15:00,0,510.7290,5.020
