Serial Number
	1041142
Project ID
	05170001
Location
	Saint-Siméon
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		168       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-06-26,13:00:00,0,617.5880,5.198
2,2017-06-26,13:15:00,0,617.5660,5.193
3,2017-06-26,13:30:00,0,617.4561,5.191
4,2017-06-26,13:45:00,0,617.4500,5.190
5,2017-06-26,14:00:00,0,617.4050,5.190
6,2017-06-26,14:15:00,0,617.3090,5.189
7,2017-06-26,14:30:00,0,617.2440,5.188
8,2017-06-26,14:45:00,0,617.2070,5.188
9,2017-06-26,15:00:00,0,617.1900,5.189
10,2017-06-26,15:15:00,0,617.1950,5.187
11,2017-06-26,15:30:00,0,617.1420,5.188
12,2017-06-26,15:45:00,0,617.0870,5.188
13,2017-06-26,16:00:00,0,617.0850,5.187
14,2017-06-26,16:15:00,0,617.0990,5.187
15,2017-06-26,16:30:00,0,617.0620,5.188
16,2017-06-26,16:45:00,0,616.9901,5.188
17,2017-06-26,17:00:00,0,617.0410,5.187
18,2017-06-26,17:15:00,0,617.1480,5.187
19,2017-06-26,17:30:00,0,617.2720,5.188
20,2017-06-26,17:45:00,0,617.2200,5.187
21,2017-06-26,18:00:00,0,617.3490,5.188
22,2017-06-26,18:15:00,0,617.3930,5.187
23,2017-06-26,18:30:00,0,617.3911,5.187
24,2017-06-26,18:45:00,0,617.4641,5.187
25,2017-06-26,19:00:00,0,617.5291,5.187
26,2017-06-26,19:15:00,0,617.5610,5.186
27,2017-06-26,19:30:00,0,617.5630,5.187
28,2017-06-26,19:45:00,0,617.7401,5.187
29,2017-06-26,20:00:00,0,617.8980,5.187
30,2017-06-26,20:15:00,0,618.0050,5.186
31,2017-06-26,20:30:00,0,618.1220,5.187
32,2017-06-26,20:45:00,0,618.2050,5.186
33,2017-06-26,21:00:00,0,618.3860,5.186
34,2017-06-26,21:15:00,0,618.5620,5.186
35,2017-06-26,21:30:00,0,618.6190,5.186
36,2017-06-26,21:45:00,0,618.7410,5.187
37,2017-06-26,22:00:00,0,618.7460,5.186
38,2017-06-26,22:15:00,0,618.7730,5.186
39,2017-06-26,22:30:00,0,618.8130,5.187
40,2017-06-26,22:45:00,0,618.9100,5.186
41,2017-06-26,23:00:00,0,619.0310,5.185
42,2017-06-26,23:15:00,0,619.1640,5.187
43,2017-06-26,23:30:00,0,619.1591,5.185
44,2017-06-26,23:45:00,0,619.1380,5.186
45,2017-06-27,00:00:00,0,619.1310,5.185
46,2017-06-27,00:15:00,0,619.2010,5.186
47,2017-06-27,00:30:00,0,619.2240,5.186
48,2017-06-27,00:45:00,0,619.2791,5.185
49,2017-06-27,01:00:00,0,619.3160,5.186
50,2017-06-27,01:15:00,0,619.3530,5.186
51,2017-06-27,01:30:00,0,619.4380,5.187
52,2017-06-27,01:45:00,0,619.5681,5.185
53,2017-06-27,02:00:00,0,619.6680,5.185
54,2017-06-27,02:15:00,0,619.6350,5.187
55,2017-06-27,02:30:00,0,619.5731,5.185
56,2017-06-27,02:45:00,0,619.4810,5.186
57,2017-06-27,03:00:00,0,619.4580,5.185
58,2017-06-27,03:15:00,0,619.4270,5.186
59,2017-06-27,03:30:00,0,619.5200,5.184
60,2017-06-27,03:45:00,0,619.5500,5.185
61,2017-06-27,04:00:00,0,619.7020,5.185
62,2017-06-27,04:15:00,0,619.8051,5.184
63,2017-06-27,04:30:00,0,619.8550,5.186
64,2017-06-27,04:45:00,0,619.9691,5.186
65,2017-06-27,05:00:00,0,619.9880,5.185
66,2017-06-27,05:15:00,0,620.0800,5.185
67,2017-06-27,05:30:00,0,620.1710,5.185
68,2017-06-27,05:45:00,0,620.2560,5.184
69,2017-06-27,06:00:00,0,620.2780,5.185
70,2017-06-27,06:15:00,0,620.2200,5.185
71,2017-06-27,06:30:00,0,620.1690,5.185
72,2017-06-27,06:45:00,0,620.1931,5.185
73,2017-06-27,07:00:00,0,620.2020,5.186
74,2017-06-27,07:15:00,0,620.3610,5.185
75,2017-06-27,07:30:00,0,620.4010,5.186
76,2017-06-27,07:45:00,0,620.4041,5.186
77,2017-06-27,08:00:00,0,620.3640,5.186
78,2017-06-27,08:15:00,0,620.2690,5.185
79,2017-06-27,08:30:00,0,620.1931,5.184
80,2017-06-27,08:45:00,0,620.2531,5.185
81,2017-06-27,09:00:00,0,620.0850,5.185
82,2017-06-27,09:15:00,0,619.9901,5.185
83,2017-06-27,09:30:00,0,619.8480,5.183
84,2017-06-27,09:45:00,0,619.7070,5.184
