Serial Number
	1041180
Project ID
	05150001
Location
	Clermont
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		59        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-10-24,13:00:00,0,572.6080,6.489
2,2016-10-24,13:15:00,0,575.2900,6.488
3,2016-10-24,13:30:00,0,576.3781,6.489
4,2016-10-24,13:45:00,0,576.8950,6.488
5,2016-10-24,14:00:00,0,577.4100,6.489
6,2016-10-24,14:15:00,0,577.6910,6.488
7,2016-10-24,14:30:00,0,578.0280,6.488
8,2016-10-24,14:45:00,0,578.2560,6.488
9,2016-10-24,15:00:00,0,574.4780,6.488
10,2016-10-24,15:15:00,0,572.9250,6.486
11,2016-10-24,15:30:00,0,572.6620,6.486
12,2016-10-24,15:45:00,0,572.7070,6.487
13,2016-10-24,16:00:00,0,572.8740,6.487
14,2016-10-24,16:15:00,0,569.1180,6.485
15,2016-10-24,16:30:00,0,566.8060,6.485
16,2016-10-24,16:45:00,0,566.9990,6.487
17,2016-10-24,17:00:00,0,567.5000,6.487
18,2016-10-24,17:15:00,0,566.8600,6.487
19,2016-10-24,17:30:00,0,566.7850,6.486
20,2016-10-24,17:45:00,0,566.8320,6.486
21,2016-10-24,18:00:00,0,566.9780,6.487
22,2016-10-24,18:15:00,0,575.1520,6.487
23,2016-10-24,18:30:00,0,579.2870,6.487
24,2016-10-24,18:45:00,0,580.7070,6.487
25,2016-10-24,19:00:00,0,581.3540,6.485
26,2016-10-24,19:15:00,0,581.8120,6.487
27,2016-10-24,19:30:00,0,581.6900,6.487
28,2016-10-24,19:45:00,0,577.1310,6.485
29,2016-10-24,20:00:00,0,575.7720,6.486
30,2016-10-24,20:15:00,0,575.4190,6.486
31,2016-10-24,20:30:00,0,575.4561,6.487
32,2016-10-24,20:45:00,0,575.4980,6.487
33,2016-10-24,21:00:00,0,575.6151,6.486
34,2016-10-24,21:15:00,0,575.6840,6.486
35,2016-10-24,21:30:00,0,576.8720,6.486
