Serial Number
	1041388
Project ID
	BARO-05170001
Location
	BARO-St-Siméon
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		168       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-10-24,13:00:00,0,68.3720,8.383
2,2016-10-24,13:15:00,0,68.5699,8.147
3,2016-10-24,13:30:00,0,68.7013,7.991
4,2016-10-24,13:45:00,0,68.7603,7.884
5,2016-10-24,14:00:00,0,69.0156,7.811
6,2016-10-24,14:15:00,0,69.2259,7.762
7,2016-10-24,14:30:00,0,69.4539,7.732
8,2016-10-24,14:45:00,0,69.5510,7.710
9,2016-10-24,15:00:00,0,69.8036,7.707
10,2016-10-24,15:15:00,0,69.9903,7.707
11,2016-10-24,15:30:00,0,70.1668,7.696
12,2016-10-24,15:45:00,0,70.2118,7.677
13,2016-10-24,16:00:00,0,70.4768,7.659
14,2016-10-24,16:15:00,0,70.7460,7.628
15,2016-10-24,16:30:00,0,71.0062,7.607
16,2016-10-24,16:45:00,0,71.2868,7.575
17,2016-10-24,17:00:00,0,71.4386,7.520
18,2016-10-24,17:15:00,0,71.5486,7.487
19,2016-10-24,17:30:00,0,71.8811,7.465
20,2016-10-24,17:45:00,0,71.9197,7.424
21,2016-10-24,18:00:00,0,72.1102,7.402
22,2016-10-24,18:15:00,0,72.2319,7.385
23,2016-10-24,18:30:00,0,72.4497,7.349
24,2016-10-24,18:45:00,0,72.5044,7.317
25,2016-10-24,19:00:00,0,72.6418,7.276
26,2016-10-24,19:15:00,0,72.7501,7.265
27,2016-10-24,19:30:00,0,72.8863,7.250
28,2016-10-24,19:45:00,0,72.8321,7.238
29,2016-10-24,20:00:00,0,72.9850,7.245
30,2016-10-24,20:15:00,0,73.0258,7.246
31,2016-10-24,20:30:00,0,73.2232,7.238
32,2016-10-24,20:45:00,0,73.2361,7.232
33,2016-10-24,21:00:00,0,73.2473,7.223
34,2016-10-24,21:15:00,0,73.3031,7.219
35,2016-10-24,21:30:00,0,73.3508,7.199
36,2016-10-24,21:45:00,0,73.4630,7.184
37,2016-10-24,22:00:00,0,73.5906,7.178
38,2016-10-24,22:15:00,0,73.7923,7.180
39,2016-10-24,22:30:00,0,73.6813,7.185
40,2016-10-24,22:45:00,0,73.7601,7.184
41,2016-10-24,23:00:00,0,73.7961,7.183
42,2016-10-24,23:15:00,0,73.8754,7.177
43,2016-10-24,23:30:00,0,73.9511,7.172
44,2016-10-24,23:45:00,0,74.0669,7.164
45,2016-10-25,00:00:00,0,74.1393,7.162
46,2016-10-25,00:15:00,0,74.2257,7.155
47,2016-10-25,00:30:00,0,74.2134,7.150
48,2016-10-25,00:45:00,0,74.4048,7.141
49,2016-10-25,01:00:00,0,74.5315,7.139
50,2016-10-25,01:15:00,0,74.5004,7.138
51,2016-10-25,01:30:00,0,74.5840,7.141
52,2016-10-25,01:45:00,0,74.6854,7.135
53,2016-10-25,02:00:00,0,74.8329,7.127
54,2016-10-25,02:15:00,0,75.0212,7.118
55,2016-10-25,02:30:00,0,75.1403,7.115
56,2016-10-25,02:45:00,0,75.2014,7.108
57,2016-10-25,03:00:00,0,75.2513,7.099
58,2016-10-25,03:15:00,0,75.4364,7.090
59,2016-10-25,03:30:00,0,75.5613,7.090
60,2016-10-25,03:45:00,0,75.7164,7.073
61,2016-10-25,04:00:00,0,75.8542,7.067
62,2016-10-25,04:15:00,0,76.0436,7.048
63,2016-10-25,04:30:00,0,76.1256,7.041
64,2016-10-25,04:45:00,0,76.2184,7.030
65,2016-10-25,05:00:00,0,76.4894,7.021
66,2016-10-25,05:15:00,0,76.6910,7.016
67,2016-10-25,05:30:00,0,76.9200,7.013
68,2016-10-25,05:45:00,0,77.1132,7.021
69,2016-10-25,06:00:00,0,77.3637,7.019
70,2016-10-25,06:15:00,0,77.6125,7.011
71,2016-10-25,06:30:00,0,77.8115,7.013
72,2016-10-25,06:45:00,0,78.1168,6.997
73,2016-10-25,07:00:00,0,78.3319,6.985
74,2016-10-25,07:15:00,0,78.6124,6.991
75,2016-10-25,07:30:00,0,78.7878,6.998
76,2016-10-25,07:45:00,0,79.1300,6.996
77,2016-10-25,08:00:00,0,79.4545,6.978
78,2016-10-25,08:15:00,0,79.6208,6.971
79,2016-10-25,08:30:00,0,79.9352,6.979
80,2016-10-25,08:45:00,0,80.2082,6.991
81,2016-10-25,09:00:00,0,80.3042,7.003
82,2016-10-25,09:15:00,0,80.5542,7.003
83,2016-10-25,09:30:00,0,80.7071,7.030
84,2016-10-25,09:45:00,0,80.7907,7.043
85,2016-10-25,10:00:00,0,80.9446,7.055
86,2016-10-25,10:15:00,0,81.1400,7.078
87,2016-10-25,10:30:00,0,81.3384,7.114
88,2016-10-25,10:45:00,0,81.4854,7.146
89,2016-10-25,11:00:00,0,81.5089,7.167
90,2016-10-25,11:15:00,0,81.6865,7.184
91,2016-10-25,11:30:00,0,81.9955,7.196
92,2016-10-25,11:45:00,0,82.2127,7.214
93,2016-10-25,12:00:00,0,82.3484,7.229
94,2016-10-25,12:15:00,0,82.4488,7.240
95,2016-10-25,12:30:00,0,82.6182,7.253
96,2016-10-25,12:45:00,0,82.7239,7.268
97,2016-10-25,13:00:00,0,82.9272,7.285
98,2016-10-25,13:15:00,0,83.1380,7.305
99,2016-10-25,13:30:00,0,83.3890,7.322
100,2016-10-25,13:45:00,0,83.5988,7.342
101,2016-10-25,14:00:00,0,83.7442,7.359
102,2016-10-25,14:15:00,0,83.9533,7.377
103,2016-10-25,14:30:00,0,84.1856,7.391
104,2016-10-25,14:45:00,0,84.4147,7.406
105,2016-10-25,15:00:00,0,84.7816,7.418
106,2016-10-25,15:15:00,0,84.9001,7.434
107,2016-10-25,15:30:00,0,85.1227,7.443
108,2016-10-25,15:45:00,0,85.3083,7.453
109,2016-10-25,16:00:00,0,85.5824,7.460
110,2016-10-25,16:15:00,0,85.8135,7.397
111,2016-10-25,16:30:00,0,86.0721,7.317
112,2016-10-25,16:45:00,0,86.3162,7.301
113,2016-10-25,17:00:00,0,86.4883,7.240
114,2016-10-25,17:15:00,0,86.7136,7.215
115,2016-10-25,17:30:00,0,86.9738,7.157
116,2016-10-25,17:45:00,0,87.2624,7.103
117,2016-10-25,18:00:00,0,87.5258,7.108
118,2016-10-25,18:15:00,0,87.8685,7.090
119,2016-10-25,18:30:00,0,88.0343,7.052
120,2016-10-25,18:45:00,0,88.2681,6.993
121,2016-10-25,19:00:00,0,88.4424,6.973
122,2016-10-25,19:15:00,0,88.6597,6.957
123,2016-10-25,19:30:00,0,88.8201,6.950
124,2016-10-25,19:45:00,0,88.9885,6.956
125,2016-10-25,20:00:00,0,89.2084,6.958
126,2016-10-25,20:15:00,0,89.3500,6.944
127,2016-10-25,20:30:00,0,89.6182,6.934
128,2016-10-25,20:45:00,0,89.8135,6.927
129,2016-10-25,21:00:00,0,90.0624,6.926
130,2016-10-25,21:15:00,0,90.2738,6.927
131,2016-10-25,21:30:00,0,90.4953,6.923
132,2016-10-25,21:45:00,0,90.5816,6.914
133,2016-10-25,22:00:00,0,90.6911,6.890
134,2016-10-25,22:15:00,0,90.7785,6.877
