Serial Number
	1041388
Project ID
	BARO-05170001
Location
	BARO-St-Siméon
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		168       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-06-26,13:00:00,0,80.7429,15.740
2,2017-06-26,13:15:00,0,80.6722,15.162
3,2017-06-26,13:30:00,0,80.6046,14.777
4,2017-06-26,13:45:00,0,80.5633,14.519
5,2017-06-26,14:00:00,0,80.4914,14.350
6,2017-06-26,14:15:00,0,80.4200,14.240
7,2017-06-26,14:30:00,0,80.3536,14.168
8,2017-06-26,14:45:00,0,80.3552,14.126
9,2017-06-26,15:00:00,0,80.3787,14.102
10,2017-06-26,15:15:00,0,80.4013,14.092
11,2017-06-26,15:30:00,0,80.3294,14.088
12,2017-06-26,15:45:00,0,80.3144,14.089
13,2017-06-26,16:00:00,0,80.3160,14.094
14,2017-06-26,16:15:00,0,80.3170,14.102
15,2017-06-26,16:30:00,0,80.3299,14.113
16,2017-06-26,16:45:00,0,80.2881,14.121
17,2017-06-26,17:00:00,0,80.3707,14.130
18,2017-06-26,17:15:00,0,80.5493,14.137
19,2017-06-26,17:30:00,0,80.6475,14.146
20,2017-06-26,17:45:00,0,80.6620,14.152
21,2017-06-26,18:00:00,0,80.7854,14.160
22,2017-06-26,18:15:00,0,80.8486,14.165
23,2017-06-26,18:30:00,0,80.8910,14.169
24,2017-06-26,18:45:00,0,81.0069,14.172
25,2017-06-26,19:00:00,0,81.0868,14.174
26,2017-06-26,19:15:00,0,81.1351,14.174
27,2017-06-26,19:30:00,0,81.2016,14.175
28,2017-06-26,19:45:00,0,81.3840,14.173
29,2017-06-26,20:00:00,0,81.5600,14.172
30,2017-06-26,20:15:00,0,81.7026,14.169
31,2017-06-26,20:30:00,0,81.8340,14.164
32,2017-06-26,20:45:00,0,81.9874,14.159
33,2017-06-26,21:00:00,0,82.1816,14.155
34,2017-06-26,21:15:00,0,82.4090,14.152
