Serial Number
	1047997
Project ID
	06100001
Location
	Lac Pikauba
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		840       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-07-04,19:00:00,0,568.0551,2.259
2,2017-07-04,19:15:00,0,568.2581,2.259
3,2017-07-04,19:30:00,0,568.5551,2.259
4,2017-07-04,19:45:00,0,569.0291,2.258
5,2017-07-04,20:00:00,0,569.4620,2.258
6,2017-07-04,20:15:00,0,569.5440,2.258
7,2017-07-04,20:30:00,0,569.0790,2.257
8,2017-07-04,20:45:00,0,568.8710,2.257
9,2017-07-04,21:00:00,0,568.9641,2.257
10,2017-07-04,21:15:00,0,569.1600,2.257
11,2017-07-04,21:30:00,0,569.2630,2.257
12,2017-07-04,21:45:00,0,569.2770,2.256
13,2017-07-04,22:00:00,0,569.3680,2.257
14,2017-07-04,22:15:00,0,569.5670,2.257
15,2017-07-04,22:30:00,0,569.5020,2.256
16,2017-07-04,22:45:00,0,569.4220,2.256
17,2017-07-04,23:00:00,0,569.5710,2.257
18,2017-07-04,23:15:00,0,569.5800,2.256
19,2017-07-04,23:30:00,0,569.5530,2.256
20,2017-07-04,23:45:00,0,569.5280,2.256
21,2017-07-05,00:00:00,0,569.5730,2.256
22,2017-07-05,00:15:00,0,569.6740,2.256
23,2017-07-05,00:30:00,0,569.5850,2.256
24,2017-07-05,00:45:00,0,569.5211,2.255
25,2017-07-05,01:00:00,0,569.4670,2.255
26,2017-07-05,01:15:00,0,569.5440,2.255
27,2017-07-05,01:30:00,0,569.5820,2.256
28,2017-07-05,01:45:00,0,569.6120,2.255
29,2017-07-05,02:00:00,0,569.5460,2.255
30,2017-07-05,02:15:00,0,569.6450,2.256
31,2017-07-05,02:30:00,0,569.5780,2.255
32,2017-07-05,02:45:00,0,569.6510,2.255
33,2017-07-05,03:00:00,0,569.7240,2.256
34,2017-07-05,03:15:00,0,569.6880,2.254
35,2017-07-05,03:30:00,0,569.6210,2.255
36,2017-07-05,03:45:00,0,569.7250,2.255
37,2017-07-05,04:00:00,0,569.8750,2.256
38,2017-07-05,04:15:00,0,570.0200,2.255
39,2017-07-05,04:30:00,0,570.1750,2.255
40,2017-07-05,04:45:00,0,570.2791,2.254
41,2017-07-05,05:00:00,0,570.3670,2.255
42,2017-07-05,05:15:00,0,570.4760,2.255
43,2017-07-05,05:30:00,0,570.5240,2.254
44,2017-07-05,05:45:00,0,570.6700,2.255
45,2017-07-05,06:00:00,0,570.6750,2.256
46,2017-07-05,06:15:00,0,570.6960,2.254
47,2017-07-05,06:30:00,0,570.8100,2.255
48,2017-07-05,06:45:00,0,570.9130,2.255
49,2017-07-05,07:00:00,0,570.9550,2.254
50,2017-07-05,07:15:00,0,571.0031,2.255
51,2017-07-05,07:30:00,0,571.1900,2.254
52,2017-07-05,07:45:00,0,571.2010,2.254
53,2017-07-05,08:00:00,0,571.2750,2.255
54,2017-07-05,08:15:00,0,571.2960,2.255
55,2017-07-05,08:30:00,0,571.4600,2.254
56,2017-07-05,08:45:00,0,571.5170,2.255
57,2017-07-05,09:00:00,0,571.4190,2.253
58,2017-07-05,09:15:00,0,571.4030,2.254
59,2017-07-05,09:30:00,0,571.3280,2.254
60,2017-07-05,09:45:00,0,571.2150,2.254
61,2017-07-05,10:00:00,0,571.3670,2.254
62,2017-07-05,10:15:00,0,571.1671,2.254
63,2017-07-05,10:30:00,0,571.2440,2.254
64,2017-07-05,10:45:00,0,571.0520,2.254
65,2017-07-05,11:00:00,0,571.0860,2.253
66,2017-07-05,11:15:00,0,570.9301,2.253
67,2017-07-05,11:30:00,0,570.7890,2.254
68,2017-07-05,11:45:00,0,570.5730,2.254
69,2017-07-05,12:00:00,0,570.5620,2.254
70,2017-07-05,12:15:00,0,570.4850,2.255
71,2017-07-05,12:30:00,0,570.3100,2.254
72,2017-07-05,12:45:00,0,570.1560,2.254
73,2017-07-05,13:00:00,0,570.0291,2.255
74,2017-07-05,13:15:00,0,569.8330,2.253
75,2017-07-05,13:30:00,0,569.8150,2.253
76,2017-07-05,13:45:00,0,569.5480,2.254
77,2017-07-05,14:00:00,0,569.4870,2.254
78,2017-07-05,14:15:00,0,569.4450,2.253
79,2017-07-05,14:30:00,0,569.2661,2.253
80,2017-07-05,14:45:00,0,569.0910,2.253
81,2017-07-05,15:00:00,0,569.0220,2.253
82,2017-07-05,15:15:00,0,568.8550,2.254
83,2017-07-05,15:30:00,0,568.8980,2.253
84,2017-07-05,15:45:00,0,568.7240,2.253
85,2017-07-05,16:00:00,0,568.6671,2.254
86,2017-07-05,16:15:00,0,568.6660,2.253
87,2017-07-05,16:30:00,0,568.4750,2.253
88,2017-07-05,16:45:00,0,568.2980,2.253
89,2017-07-05,17:00:00,0,568.1250,2.253
90,2017-07-05,17:15:00,0,568.0040,2.253
91,2017-07-05,17:30:00,0,567.9520,2.253
92,2017-07-05,17:45:00,0,568.0710,2.254
93,2017-07-05,18:00:00,0,567.9700,2.253
94,2017-07-05,18:15:00,0,567.8521,2.253
95,2017-07-05,18:30:00,0,567.6660,2.253
96,2017-07-05,18:45:00,0,567.6490,2.253
97,2017-07-05,19:00:00,0,567.5811,2.253
98,2017-07-05,19:15:00,0,567.6680,2.253
99,2017-07-05,19:30:00,0,567.7010,2.253
100,2017-07-05,19:45:00,0,567.5920,2.253
101,2017-07-05,20:00:00,0,567.4670,2.253
102,2017-07-05,20:15:00,0,567.3740,2.252
103,2017-07-05,20:30:00,0,567.2690,2.253
104,2017-07-05,20:45:00,0,567.3820,2.252
105,2017-07-05,21:00:00,0,568.0610,2.253
106,2017-07-05,21:15:00,0,568.5410,2.253
107,2017-07-05,21:30:00,0,569.0920,2.252
108,2017-07-05,21:45:00,0,569.5350,2.253
109,2017-07-05,22:00:00,0,569.8410,2.254
110,2017-07-05,22:15:00,0,570.1710,2.252
111,2017-07-05,22:30:00,0,570.4290,2.253
112,2017-07-05,22:45:00,0,570.6380,2.253
113,2017-07-05,23:00:00,0,570.9350,2.253
114,2017-07-05,23:15:00,0,571.2120,2.253
115,2017-07-05,23:30:00,0,571.4400,2.253
116,2017-07-05,23:45:00,0,571.6960,2.252
117,2017-07-06,00:00:00,0,571.9190,2.252
118,2017-07-06,00:15:00,0,572.0850,2.252
119,2017-07-06,00:30:00,0,572.2570,2.253
120,2017-07-06,00:45:00,0,572.5370,2.253
121,2017-07-06,01:00:00,0,572.7610,2.253
122,2017-07-06,01:15:00,0,573.0150,2.252
123,2017-07-06,01:30:00,0,573.1760,2.253
124,2017-07-06,01:45:00,0,573.4490,2.253
125,2017-07-06,02:00:00,0,573.5720,2.252
126,2017-07-06,02:15:00,0,573.9180,2.253
127,2017-07-06,02:30:00,0,574.1660,2.253
128,2017-07-06,02:45:00,0,574.4410,2.252
129,2017-07-06,03:00:00,0,574.5400,2.252
130,2017-07-06,03:15:00,0,574.5360,2.252
131,2017-07-06,03:30:00,0,574.5360,2.252
132,2017-07-06,03:45:00,0,574.5510,2.252
133,2017-07-06,04:00:00,0,574.5610,2.252
134,2017-07-06,04:15:00,0,574.5000,2.252
135,2017-07-06,04:30:00,0,574.6320,2.252
136,2017-07-06,04:45:00,0,574.8630,2.252
137,2017-07-06,05:00:00,0,574.9840,2.252
138,2017-07-06,05:15:00,0,575.1810,2.252
139,2017-07-06,05:30:00,0,575.3060,2.252
140,2017-07-06,05:45:00,0,575.3490,2.252
141,2017-07-06,06:00:00,0,575.5610,2.252
142,2017-07-06,06:15:00,0,575.8880,2.252
143,2017-07-06,06:30:00,0,576.0740,2.252
144,2017-07-06,06:45:00,0,576.1880,2.252
145,2017-07-06,07:00:00,0,576.2950,2.251
146,2017-07-06,07:15:00,0,576.4150,2.252
147,2017-07-06,07:30:00,0,576.5750,2.251
148,2017-07-06,07:45:00,0,576.6500,2.251
149,2017-07-06,08:00:00,0,576.9091,2.251
150,2017-07-06,08:15:00,0,576.9860,2.251
151,2017-07-06,08:30:00,0,577.0970,2.252
152,2017-07-06,08:45:00,0,577.2820,2.252
153,2017-07-06,09:00:00,0,577.3450,2.251
154,2017-07-06,09:15:00,0,577.4880,2.252
155,2017-07-06,09:30:00,0,577.5710,2.251
156,2017-07-06,09:45:00,0,577.8280,2.252
157,2017-07-06,10:00:00,0,577.9060,2.252
158,2017-07-06,10:15:00,0,578.0360,2.251
159,2017-07-06,10:30:00,0,577.9530,2.251
160,2017-07-06,10:45:00,0,578.0230,2.251
161,2017-07-06,11:00:00,0,578.1920,2.252
162,2017-07-06,11:15:00,0,578.2800,2.250
163,2017-07-06,11:30:00,0,578.5970,2.251
164,2017-07-06,11:45:00,0,578.6900,2.252
165,2017-07-06,12:00:00,0,578.7730,2.252
166,2017-07-06,12:15:00,0,578.7910,2.250
167,2017-07-06,12:30:00,0,578.7300,2.251
168,2017-07-06,12:45:00,0,578.9000,2.250
169,2017-07-06,13:00:00,0,579.1610,2.252
170,2017-07-06,13:15:00,0,579.2010,2.251
171,2017-07-06,13:30:00,0,579.1470,2.251
172,2017-07-06,13:45:00,0,579.2830,2.251
173,2017-07-06,14:00:00,0,579.3420,2.252
174,2017-07-06,14:15:00,0,579.3860,2.251
175,2017-07-06,14:30:00,0,579.4160,2.252
176,2017-07-06,14:45:00,0,579.4360,2.250
177,2017-07-06,15:00:00,0,579.4280,2.251
178,2017-07-06,15:15:00,0,579.4450,2.251
179,2017-07-06,15:30:00,0,579.5130,2.251
180,2017-07-06,15:45:00,0,579.5570,2.250
181,2017-07-06,16:00:00,0,579.6680,2.251
182,2017-07-06,16:15:00,0,579.5610,2.251
183,2017-07-06,16:30:00,0,579.7401,2.250
184,2017-07-06,16:45:00,0,579.7841,2.250
185,2017-07-06,17:00:00,0,579.6550,2.250
186,2017-07-06,17:15:00,0,579.7770,2.250
187,2017-07-06,17:30:00,0,579.8360,2.251
188,2017-07-06,17:45:00,0,580.1281,2.250
189,2017-07-06,18:00:00,0,580.2740,2.251
190,2017-07-06,18:15:00,0,580.1130,2.250
191,2017-07-06,18:30:00,0,580.0610,2.250
192,2017-07-06,18:45:00,0,580.4230,2.250
193,2017-07-06,19:00:00,0,580.8800,2.251
194,2017-07-06,19:15:00,0,580.7820,2.251
195,2017-07-06,19:30:00,0,580.8500,2.250
196,2017-07-06,19:45:00,0,580.8950,2.250
197,2017-07-06,20:00:00,0,580.9100,2.250
198,2017-07-06,20:15:00,0,581.4050,2.251
199,2017-07-06,20:30:00,0,581.7890,2.251
200,2017-07-06,20:45:00,0,582.0690,2.251
201,2017-07-06,21:00:00,0,582.3840,2.251
202,2017-07-06,21:15:00,0,582.2791,2.249
203,2017-07-06,21:30:00,0,582.3220,2.250
204,2017-07-06,21:45:00,0,582.4310,2.250
205,2017-07-06,22:00:00,0,583.8590,2.250
206,2017-07-06,22:15:00,0,583.7711,2.250
207,2017-07-06,22:30:00,0,583.5910,2.250
208,2017-07-06,22:45:00,0,583.4800,2.250
209,2017-07-06,23:00:00,0,583.4380,2.250
210,2017-07-06,23:15:00,0,583.3790,2.251
211,2017-07-06,23:30:00,0,583.3770,2.250
