Serial Number
	1048013
Project ID
	06150001
Location
	Camp Montagnais
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		500       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-10-26,13:00:00,0,732.0911,5.575
2,2016-10-26,13:15:00,0,732.1820,5.574
3,2016-10-26,13:30:00,0,732.1500,5.573
4,2016-10-26,13:45:00,0,732.1851,5.578
5,2016-10-26,14:00:00,0,732.2971,5.575
6,2016-10-26,14:15:00,0,732.3850,5.574
7,2016-10-26,14:30:00,0,732.4871,5.574
8,2016-10-26,14:45:00,0,732.6100,5.574
9,2016-10-26,15:00:00,0,732.7590,5.573
10,2016-10-26,15:15:00,0,732.8740,5.572
11,2016-10-26,15:30:00,0,732.9240,5.572
12,2016-10-26,15:45:00,0,733.0450,5.571
13,2016-10-26,16:00:00,0,733.0590,5.573
14,2016-10-26,16:15:00,0,733.1560,5.573
15,2016-10-26,16:30:00,0,733.2581,5.572
16,2016-10-26,16:45:00,0,733.3300,5.571
17,2016-10-26,17:00:00,0,733.4800,5.570
18,2016-10-26,17:15:00,0,733.6300,5.570
19,2016-10-26,17:30:00,0,733.9030,5.571
20,2016-10-26,17:45:00,0,734.0410,5.570
21,2016-10-26,18:00:00,0,734.1680,5.571
22,2016-10-26,18:15:00,0,734.3651,5.572
23,2016-10-26,18:30:00,0,734.5081,5.570
24,2016-10-26,18:45:00,0,734.7200,5.570
25,2016-10-26,19:00:00,0,734.8430,5.570
26,2016-10-26,19:15:00,0,734.7750,5.569
27,2016-10-26,19:30:00,0,734.7000,5.568
28,2016-10-26,19:45:00,0,734.7241,5.568
29,2016-10-26,20:00:00,0,734.8430,5.570
30,2016-10-26,20:15:00,0,734.8701,5.568
31,2016-10-26,20:30:00,0,734.8810,5.568
32,2016-10-26,20:45:00,0,735.1010,5.568
33,2016-10-26,21:00:00,0,735.2330,5.568
34,2016-10-26,21:15:00,0,735.3101,5.566
35,2016-10-26,21:30:00,0,735.3460,5.567
36,2016-10-26,21:45:00,0,735.6041,5.568
37,2016-10-26,22:00:00,0,735.7960,5.567
38,2016-10-26,22:15:00,0,735.8820,5.567
