Serial Number
	1056673
Project ID
	05120001
Location
	Saint-Ferréol
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		386       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-17,19:00:00,0,611.9301,7.004
2,2016-11-17,19:15:00,0,612.4380,7.004
3,2016-11-17,19:30:00,0,612.6450,7.005
4,2016-11-17,19:45:00,0,612.6281,7.002
5,2016-11-17,20:00:00,0,612.6190,7.004
6,2016-11-17,20:15:00,0,612.9310,7.004
7,2016-11-17,20:30:00,0,613.2111,7.004
8,2016-11-17,20:45:00,0,613.4360,7.003
9,2016-11-17,21:00:00,0,613.7380,7.003
10,2016-11-17,21:15:00,0,613.7990,7.003
11,2016-11-17,21:30:00,0,613.8210,7.003
12,2016-11-17,21:45:00,0,613.9800,7.003
13,2016-11-17,22:00:00,0,613.8300,7.004
14,2016-11-17,22:15:00,0,613.6840,7.002
15,2016-11-17,22:30:00,0,613.8490,7.004
16,2016-11-17,22:45:00,0,614.0010,7.004
17,2016-11-17,23:00:00,0,614.3361,7.003
18,2016-11-17,23:15:00,0,614.5320,7.004
19,2016-11-17,23:30:00,0,614.5450,7.003
20,2016-11-17,23:45:00,0,614.8020,7.002
21,2016-11-18,00:00:00,0,614.7290,7.004
22,2016-11-18,00:15:00,0,615.0840,7.002
23,2016-11-18,00:30:00,0,615.4980,7.003
24,2016-11-18,00:45:00,0,615.6080,7.004
25,2016-11-18,01:00:00,0,615.5630,7.002
26,2016-11-18,01:15:00,0,615.7160,7.003
27,2016-11-18,01:30:00,0,615.9720,7.003
28,2016-11-18,01:45:00,0,615.9060,7.003
29,2016-11-18,02:00:00,0,615.9150,7.002
30,2016-11-18,02:15:00,0,616.0070,7.003
31,2016-11-18,02:30:00,0,616.0900,7.003
32,2016-11-18,02:45:00,0,616.3990,7.002
33,2016-11-18,03:00:00,0,616.4880,7.004
34,2016-11-18,03:15:00,0,616.7640,7.003
35,2016-11-18,03:30:00,0,616.8400,7.004
36,2016-11-18,03:45:00,0,616.5930,7.003
37,2016-11-18,04:00:00,0,616.7830,7.004
38,2016-11-18,04:15:00,0,617.0560,7.003
39,2016-11-18,04:30:00,0,617.2420,7.003
40,2016-11-18,04:45:00,0,617.3370,7.004
41,2016-11-18,05:00:00,0,617.5120,7.003
42,2016-11-18,05:15:00,0,617.6520,7.002
43,2016-11-18,05:30:00,0,617.7740,7.003
44,2016-11-18,05:45:00,0,617.8220,7.003
45,2016-11-18,06:00:00,0,618.1530,7.003
46,2016-11-18,06:15:00,0,618.1931,7.003
47,2016-11-18,06:30:00,0,618.1040,7.003
48,2016-11-18,06:45:00,0,617.9370,7.003
49,2016-11-18,07:00:00,0,617.8540,7.005
50,2016-11-18,07:15:00,0,617.8781,7.005
51,2016-11-18,07:30:00,0,618.0460,7.005
52,2016-11-18,07:45:00,0,618.1050,7.003
53,2016-11-18,08:00:00,0,618.4010,7.004
54,2016-11-18,08:15:00,0,618.4951,7.002
55,2016-11-18,08:30:00,0,618.6810,7.004
56,2016-11-18,08:45:00,0,618.5620,7.003
57,2016-11-18,09:00:00,0,618.5720,7.004
58,2016-11-18,09:15:00,0,618.5200,7.005
59,2016-11-18,09:30:00,0,618.2830,7.004
60,2016-11-18,09:45:00,0,618.3510,7.005
61,2016-11-18,10:00:00,0,618.2910,7.004
62,2016-11-18,10:15:00,0,618.2640,7.004
63,2016-11-18,10:30:00,0,618.2711,7.004
64,2016-11-18,10:45:00,0,618.3470,7.004
65,2016-11-18,11:00:00,0,618.2410,7.003
66,2016-11-18,11:15:00,0,618.1851,7.005
67,2016-11-18,11:30:00,0,617.1950,7.004
68,2016-11-18,11:45:00,0,616.9120,7.004
69,2016-11-18,12:00:00,0,617.0250,7.005
70,2016-11-18,12:15:00,0,617.2410,7.006
71,2016-11-18,12:30:00,0,617.3391,7.004
72,2016-11-18,12:45:00,0,617.4110,7.003
73,2016-11-18,13:00:00,0,617.5950,7.003
74,2016-11-18,13:15:00,0,617.6090,7.004
75,2016-11-18,13:30:00,0,617.5690,7.003
76,2016-11-18,13:45:00,0,617.7770,7.004
77,2016-11-18,14:00:00,0,617.9641,7.004
78,2016-11-18,14:15:00,0,617.7610,7.005
79,2016-11-18,14:30:00,0,617.6770,7.006
80,2016-11-18,14:45:00,0,617.8160,7.004
81,2016-11-18,15:00:00,0,617.7061,7.005
82,2016-11-18,15:15:00,0,617.8000,7.006
83,2016-11-18,15:30:00,0,617.8361,7.006
84,2016-11-18,15:45:00,0,617.9431,7.004
85,2016-11-18,16:00:00,0,617.9030,7.006
