Serial Number
	1056673
Project ID
	05120001
Location
	Saint-Ferréol
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		386       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-06-22,19:00:00,0,617.0710,6.606
2,2017-06-22,19:15:00,0,617.3670,6.606
3,2017-06-22,19:30:00,0,617.3391,6.603
4,2017-06-22,19:45:00,0,617.5140,6.603
5,2017-06-22,20:00:00,0,617.5800,6.602
6,2017-06-22,20:15:00,0,617.6080,6.609
7,2017-06-22,20:30:00,0,617.6870,6.608
8,2017-06-22,20:45:00,0,617.7730,6.612
9,2017-06-22,21:00:00,0,617.8330,6.607
10,2017-06-22,21:15:00,0,617.7420,6.604
11,2017-06-22,21:30:00,0,617.6290,6.605
12,2017-06-22,21:45:00,0,617.7030,6.603
13,2017-06-22,22:00:00,0,617.7280,6.604
14,2017-06-22,22:15:00,0,617.5990,6.605
15,2017-06-22,22:30:00,0,617.4520,6.609
16,2017-06-22,22:45:00,0,617.4481,6.612
17,2017-06-22,23:00:00,0,617.5460,6.613
18,2017-06-22,23:15:00,0,617.4890,6.606
19,2017-06-22,23:30:00,0,617.6570,6.604
20,2017-06-22,23:45:00,0,617.5750,6.601
21,2017-06-23,00:00:00,0,617.4771,6.601
22,2017-06-23,00:15:00,0,617.5740,6.606
23,2017-06-23,00:30:00,0,617.4870,6.604
24,2017-06-23,00:45:00,0,617.4041,6.606
25,2017-06-23,01:00:00,0,617.3450,6.605
26,2017-06-23,01:15:00,0,617.2720,6.607
27,2017-06-23,01:30:00,0,617.0260,6.601
28,2017-06-23,01:45:00,0,617.1920,6.595
29,2017-06-23,02:00:00,0,616.9550,6.594
30,2017-06-23,02:15:00,0,616.8690,6.600
31,2017-06-23,02:30:00,0,616.7401,6.605
32,2017-06-23,02:45:00,0,616.6990,6.608
33,2017-06-23,03:00:00,0,616.6000,6.605
34,2017-06-23,03:15:00,0,616.3911,6.605
35,2017-06-23,03:30:00,0,616.2070,6.608
36,2017-06-23,03:45:00,0,616.2490,6.606
37,2017-06-23,04:00:00,0,616.0880,6.606
38,2017-06-23,04:15:00,0,615.9360,6.599
39,2017-06-23,04:30:00,0,616.0050,6.602
40,2017-06-23,04:45:00,0,616.2050,6.609
41,2017-06-23,05:00:00,0,616.0520,6.609
42,2017-06-23,05:15:00,0,616.0560,6.606
43,2017-06-23,05:30:00,0,615.8580,6.601
44,2017-06-23,05:45:00,0,616.0920,6.604
45,2017-06-23,06:00:00,0,616.0430,6.607
46,2017-06-23,06:15:00,0,616.1320,6.605
47,2017-06-23,06:30:00,0,616.1820,6.605
48,2017-06-23,06:45:00,0,616.2061,6.601
49,2017-06-23,07:00:00,0,616.0460,6.605
50,2017-06-23,07:15:00,0,615.7330,6.602
51,2017-06-23,07:30:00,0,615.5570,6.602
52,2017-06-23,07:45:00,0,615.5370,6.600
53,2017-06-23,08:00:00,0,615.4070,6.601
54,2017-06-23,08:15:00,0,615.2791,6.605
55,2017-06-23,08:30:00,0,615.1580,6.610
56,2017-06-23,08:45:00,0,614.9760,6.610
57,2017-06-23,09:00:00,0,614.7950,6.609
58,2017-06-23,09:15:00,0,614.6730,6.607
59,2017-06-23,09:30:00,0,614.3320,6.603
60,2017-06-23,09:45:00,0,613.9630,6.599
61,2017-06-23,10:00:00,0,613.9210,6.592
62,2017-06-23,10:15:00,0,613.6801,6.605
63,2017-06-23,10:30:00,0,613.4200,6.606
64,2017-06-23,10:45:00,0,613.3890,6.605
65,2017-06-23,11:00:00,0,613.3750,6.607
66,2017-06-23,11:15:00,0,613.2030,6.609
67,2017-06-23,11:30:00,0,613.2670,6.601
68,2017-06-23,11:45:00,0,613.0300,6.598
69,2017-06-23,12:00:00,0,612.8560,6.603
70,2017-06-23,12:15:00,0,612.4880,6.606
71,2017-06-23,12:30:00,0,612.1300,6.607
72,2017-06-23,12:45:00,0,611.9680,6.612
73,2017-06-23,13:00:00,0,611.7170,6.609
74,2017-06-23,13:15:00,0,611.7800,6.605
75,2017-06-23,13:30:00,0,611.8000,6.604
76,2017-06-23,13:45:00,0,611.6201,6.608
77,2017-06-23,14:00:00,0,611.5500,6.603
78,2017-06-23,14:15:00,0,611.3350,6.602
79,2017-06-23,14:30:00,0,611.4290,6.608
80,2017-06-23,14:45:00,0,611.4120,6.610
81,2017-06-23,15:00:00,0,611.3160,6.609
82,2017-06-23,15:15:00,0,611.0930,6.605
83,2017-06-23,15:30:00,0,610.7380,6.606
84,2017-06-23,15:45:00,0,610.1981,6.605
85,2017-06-23,16:00:00,0,609.9580,6.603
86,2017-06-23,16:15:00,0,609.6510,6.607
87,2017-06-23,16:30:00,0,609.2480,6.603
88,2017-06-23,16:45:00,0,608.9990,6.608
89,2017-06-23,17:00:00,0,608.8940,6.605
90,2017-06-23,17:15:00,0,608.9890,6.600
91,2017-06-23,17:30:00,0,608.9041,6.599
92,2017-06-23,17:45:00,0,609.0060,6.606
93,2017-06-23,18:00:00,0,609.0520,6.605
94,2017-06-23,18:15:00,0,609.0970,6.604
95,2017-06-23,18:30:00,0,608.9010,6.606
96,2017-06-23,18:45:00,0,608.4660,6.598
97,2017-06-23,19:00:00,0,608.2440,6.600
98,2017-06-23,19:15:00,0,608.2150,6.595
99,2017-06-23,19:30:00,0,608.1541,6.604
