Serial Number
	1062377
Project ID
	05000001
Location
	La Malbaie
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		145       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-10-24,13:00:00,0,494.0840,4.309
2,2016-10-24,13:15:00,0,494.2550,4.308
3,2016-10-24,13:30:00,0,494.3510,4.310
4,2016-10-24,13:45:00,0,494.4380,4.308
5,2016-10-24,14:00:00,0,494.6220,4.307
6,2016-10-24,14:15:00,0,494.8530,4.309
7,2016-10-24,14:30:00,0,494.9160,4.309
8,2016-10-24,14:45:00,0,495.1210,4.309
9,2016-10-24,15:00:00,0,495.2360,4.307
10,2016-10-24,15:15:00,0,495.5700,4.309
11,2016-10-24,15:30:00,0,495.6570,4.308
12,2016-10-24,15:45:00,0,495.8550,4.309
13,2016-10-24,16:00:00,0,496.0600,4.308
14,2016-10-24,16:15:00,0,496.2660,4.308
15,2016-10-24,16:30:00,0,496.4930,4.308
16,2016-10-24,16:45:00,0,496.6640,4.309
17,2016-10-24,17:00:00,0,496.8120,4.309
18,2016-10-24,17:15:00,0,497.0240,4.307
19,2016-10-24,17:30:00,0,497.2100,4.309
20,2016-10-24,17:45:00,0,497.4550,4.309
21,2016-10-24,18:00:00,0,497.6880,4.308
22,2016-10-24,18:15:00,0,497.8530,4.311
23,2016-10-24,18:30:00,0,498.0830,4.308
24,2016-10-24,18:45:00,0,498.1820,4.307
25,2016-10-24,19:00:00,0,498.3070,4.308
26,2016-10-24,19:15:00,0,498.4410,4.307
27,2016-10-24,19:30:00,0,498.6330,4.308
28,2016-10-24,19:45:00,0,498.7770,4.308
29,2016-10-24,20:00:00,0,498.9200,4.308
30,2016-10-24,20:15:00,0,499.0130,4.309
31,2016-10-24,20:30:00,0,499.2590,4.309
32,2016-10-24,20:45:00,0,499.3740,4.307
33,2016-10-24,21:00:00,0,499.4640,4.309
34,2016-10-24,21:15:00,0,499.5980,4.307
35,2016-10-24,21:30:00,0,499.7050,4.308
36,2016-10-24,21:45:00,0,499.8840,4.308
37,2016-10-24,22:00:00,0,500.0300,4.307
38,2016-10-24,22:15:00,0,500.1370,4.308
39,2016-10-24,22:30:00,0,500.1850,4.309
40,2016-10-24,22:45:00,0,500.2450,4.307
41,2016-10-24,23:00:00,0,500.2440,4.308
42,2016-10-24,23:15:00,0,500.3560,4.308
43,2016-10-24,23:30:00,0,500.4300,4.309
44,2016-10-24,23:45:00,0,500.4670,4.309
45,2016-10-25,00:00:00,0,500.5600,4.308
46,2016-10-25,00:15:00,0,500.5930,4.307
47,2016-10-25,00:30:00,0,500.6090,4.307
48,2016-10-25,00:45:00,0,500.6550,4.307
49,2016-10-25,01:00:00,0,500.7260,4.307
50,2016-10-25,01:15:00,0,500.7080,4.308
51,2016-10-25,01:30:00,0,500.7600,4.309
52,2016-10-25,01:45:00,0,500.8090,4.307
53,2016-10-25,02:00:00,0,500.9390,4.309
54,2016-10-25,02:15:00,0,501.1410,4.307
55,2016-10-25,02:30:00,0,501.2050,4.307
56,2016-10-25,02:45:00,0,501.2830,4.308
57,2016-10-25,03:00:00,0,501.3410,4.307
58,2016-10-25,03:15:00,0,501.3760,4.308
59,2016-10-25,03:30:00,0,501.4470,4.308
60,2016-10-25,03:45:00,0,501.5490,4.309
61,2016-10-25,04:00:00,0,501.6650,4.309
62,2016-10-25,04:15:00,0,501.8440,4.308
63,2016-10-25,04:30:00,0,501.9750,4.308
64,2016-10-25,04:45:00,0,502.1290,4.307
65,2016-10-25,05:00:00,0,502.3720,4.308
66,2016-10-25,05:15:00,0,502.4590,4.307
67,2016-10-25,05:30:00,0,502.6540,4.307
68,2016-10-25,05:45:00,0,502.9760,4.308
69,2016-10-25,06:00:00,0,503.1410,4.307
70,2016-10-25,06:15:00,0,503.2360,4.307
71,2016-10-25,06:30:00,0,503.3860,4.308
72,2016-10-25,06:45:00,0,503.6100,4.308
73,2016-10-25,07:00:00,0,503.7790,4.307
74,2016-10-25,07:15:00,0,503.9440,4.307
75,2016-10-25,07:30:00,0,504.2090,4.307
76,2016-10-25,07:45:00,0,504.4710,4.308
77,2016-10-25,08:00:00,0,504.7450,4.307
78,2016-10-25,08:15:00,0,504.9510,4.307
79,2016-10-25,08:30:00,0,505.2070,4.306
80,2016-10-25,08:45:00,0,505.4040,4.308
81,2016-10-25,09:00:00,0,505.6110,4.306
82,2016-10-25,09:15:00,0,505.8210,4.308
83,2016-10-25,09:30:00,0,505.9180,4.308
84,2016-10-25,09:45:00,0,506.0510,4.309
85,2016-10-25,10:00:00,0,506.1240,4.308
86,2016-10-25,10:15:00,0,506.3650,4.306
87,2016-10-25,10:30:00,0,506.5220,4.308
88,2016-10-25,10:45:00,0,506.7070,4.308
89,2016-10-25,11:00:00,0,506.8260,4.308
90,2016-10-25,11:15:00,0,506.9850,4.307
91,2016-10-25,11:30:00,0,507.0880,4.307
92,2016-10-25,11:45:00,0,507.2680,4.307
93,2016-10-25,12:00:00,0,507.4270,4.307
94,2016-10-25,12:15:00,0,507.5640,4.307
95,2016-10-25,12:30:00,0,507.7420,4.307
96,2016-10-25,12:45:00,0,507.7830,4.308
97,2016-10-25,13:00:00,0,508.0350,4.308
98,2016-10-25,13:15:00,0,508.1720,4.307
99,2016-10-25,13:30:00,0,508.3820,4.306
100,2016-10-25,13:45:00,0,508.5770,4.307
101,2016-10-25,14:00:00,0,508.7440,4.306
102,2016-10-25,14:15:00,0,508.8870,4.307
103,2016-10-25,14:30:00,0,509.1040,4.307
104,2016-10-25,14:45:00,0,509.2620,4.306
105,2016-10-25,15:00:00,0,509.4660,4.308
106,2016-10-25,15:15:00,0,509.5720,4.308
107,2016-10-25,15:30:00,0,509.7710,4.306
108,2016-10-25,15:45:00,0,510.0670,4.308
109,2016-10-25,16:00:00,0,510.3580,4.307
110,2016-10-25,16:15:00,0,510.5310,4.307
111,2016-10-25,16:30:00,0,510.7080,4.307
112,2016-10-25,16:45:00,0,510.9210,4.308
113,2016-10-25,17:00:00,0,511.0810,4.308
114,2016-10-25,17:15:00,0,511.3190,4.307
115,2016-10-25,17:30:00,0,511.7580,4.307
116,2016-10-25,17:45:00,0,512.0900,4.307
117,2016-10-25,18:00:00,0,512.3200,4.307
118,2016-10-25,18:15:00,0,512.6050,4.306
119,2016-10-25,18:30:00,0,512.7910,4.306
120,2016-10-25,18:45:00,0,512.9480,4.307
121,2016-10-25,19:00:00,0,513.1370,4.308
122,2016-10-25,19:15:00,0,513.3340,4.307
123,2016-10-25,19:30:00,0,513.5800,4.307
124,2016-10-25,19:45:00,0,513.7640,4.308
125,2016-10-25,20:00:00,0,513.9171,4.307
