Serial Number
	1062377
Project ID
	05000001
Location
	La Malbaie
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		145       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-06-26,13:00:00,0,578.8900,4.439
2,2017-06-26,13:15:00,0,578.8620,4.439
3,2017-06-26,13:30:00,0,578.7740,4.439
4,2017-06-26,13:45:00,0,578.6810,4.439
5,2017-06-26,14:00:00,0,578.7200,4.439
6,2017-06-26,14:15:00,0,578.6660,4.439
7,2017-06-26,14:30:00,0,578.5860,4.439
8,2017-06-26,14:45:00,0,578.6750,4.440
9,2017-06-26,15:00:00,0,578.6430,4.438
10,2017-06-26,15:15:00,0,578.6450,4.438
11,2017-06-26,15:30:00,0,578.5800,4.438
12,2017-06-26,15:45:00,0,578.4880,4.438
13,2017-06-26,16:00:00,0,578.5460,4.438
14,2017-06-26,16:15:00,0,578.4790,4.437
15,2017-06-26,16:30:00,0,578.4951,4.437
16,2017-06-26,16:45:00,0,578.4470,4.438
17,2017-06-26,17:00:00,0,578.5400,4.438
18,2017-06-26,17:15:00,0,578.6331,4.438
19,2017-06-26,17:30:00,0,578.6400,4.438
20,2017-06-26,17:45:00,0,578.6461,4.438
21,2017-06-26,18:00:00,0,578.6320,4.437
22,2017-06-26,18:15:00,0,578.7600,4.438
23,2017-06-26,18:30:00,0,578.8441,4.438
24,2017-06-26,18:45:00,0,578.8980,4.438
25,2017-06-26,19:00:00,0,578.9890,4.439
26,2017-06-26,19:15:00,0,579.1420,4.437
27,2017-06-26,19:30:00,0,579.3130,4.438
28,2017-06-26,19:45:00,0,579.4460,4.437
29,2017-06-26,20:00:00,0,579.5830,4.438
30,2017-06-26,20:15:00,0,579.7250,4.438
31,2017-06-26,20:30:00,0,579.9301,4.438
32,2017-06-26,20:45:00,0,580.1060,4.438
33,2017-06-26,21:00:00,0,580.2890,4.438
34,2017-06-26,21:15:00,0,580.5200,4.437
35,2017-06-26,21:30:00,0,580.7050,4.437
36,2017-06-26,21:45:00,0,580.8210,4.438
37,2017-06-26,22:00:00,0,580.9510,4.437
38,2017-06-26,22:15:00,0,581.0341,4.438
39,2017-06-26,22:30:00,0,581.2180,4.437
40,2017-06-26,22:45:00,0,581.3900,4.438
41,2017-06-26,23:00:00,0,581.5540,4.437
42,2017-06-26,23:15:00,0,581.5760,4.438
43,2017-06-26,23:30:00,0,581.6680,4.437
44,2017-06-26,23:45:00,0,581.6580,4.437
45,2017-06-27,00:00:00,0,581.7330,4.438
46,2017-06-27,00:15:00,0,581.7880,4.438
47,2017-06-27,00:30:00,0,581.8480,4.437
48,2017-06-27,00:45:00,0,581.9200,4.439
49,2017-06-27,01:00:00,0,581.9650,4.437
50,2017-06-27,01:15:00,0,581.9700,4.437
51,2017-06-27,01:30:00,0,582.1331,4.438
52,2017-06-27,01:45:00,0,582.1990,4.437
53,2017-06-27,02:00:00,0,582.1970,4.437
54,2017-06-27,02:15:00,0,582.1710,4.437
55,2017-06-27,02:30:00,0,582.1790,4.437
56,2017-06-27,02:45:00,0,582.2210,4.438
57,2017-06-27,03:00:00,0,582.2040,4.437
58,2017-06-27,03:15:00,0,582.1940,4.438
59,2017-06-27,03:30:00,0,582.2930,4.437
60,2017-06-27,03:45:00,0,582.4290,4.437
61,2017-06-27,04:00:00,0,582.5310,4.437
62,2017-06-27,04:15:00,0,582.6910,4.438
63,2017-06-27,04:30:00,0,582.7690,4.437
64,2017-06-27,04:45:00,0,582.8500,4.438
65,2017-06-27,05:00:00,0,582.9680,4.438
66,2017-06-27,05:15:00,0,583.1500,4.437
67,2017-06-27,05:30:00,0,583.1740,4.437
68,2017-06-27,05:45:00,0,583.2050,4.437
69,2017-06-27,06:00:00,0,583.1450,4.437
70,2017-06-27,06:15:00,0,583.1360,4.437
71,2017-06-27,06:30:00,0,583.2321,4.437
72,2017-06-27,06:45:00,0,583.3510,4.437
73,2017-06-27,07:00:00,0,583.4230,4.438
74,2017-06-27,07:15:00,0,583.4760,4.438
75,2017-06-27,07:30:00,0,583.4490,4.437
76,2017-06-27,07:45:00,0,583.4390,4.437
77,2017-06-27,08:00:00,0,583.3770,4.437
78,2017-06-27,08:15:00,0,583.4730,4.437
79,2017-06-27,08:30:00,0,583.4460,4.436
80,2017-06-27,08:45:00,0,583.4530,4.437
81,2017-06-27,09:00:00,0,583.4240,4.437
82,2017-06-27,09:15:00,0,583.3571,4.437
83,2017-06-27,09:30:00,0,583.1970,4.437
84,2017-06-27,09:45:00,0,583.0270,4.437
85,2017-06-27,10:00:00,0,582.9870,4.437
86,2017-06-27,10:15:00,0,582.8701,4.437
87,2017-06-27,10:30:00,0,582.8300,4.437
88,2017-06-27,10:45:00,0,582.8500,4.437
89,2017-06-27,11:00:00,0,582.7540,4.437
90,2017-06-27,11:15:00,0,582.6910,4.437
91,2017-06-27,11:30:00,0,582.5500,4.438
92,2017-06-27,11:45:00,0,582.4360,4.438
93,2017-06-27,12:00:00,0,582.1560,4.438
94,2017-06-27,12:15:00,0,581.9860,4.437
95,2017-06-27,12:30:00,0,581.6730,4.437
96,2017-06-27,12:45:00,0,581.3441,4.437
97,2017-06-27,13:00:00,0,581.1030,4.437
98,2017-06-27,13:15:00,0,580.9940,4.437
