Serial Number
	1062398
Project ID
	05040003
Location
	Sainte-Christine
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		148       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-06-29,13:00:00,0,349.3140,6.134
2,2017-06-29,13:15:00,0,349.2040,6.132
3,2017-06-29,13:30:00,0,349.0210,6.131
4,2017-06-29,13:45:00,0,348.9600,6.132
5,2017-06-29,14:00:00,0,348.9380,6.131
6,2017-06-29,14:15:00,0,349.0290,6.131
7,2017-06-29,14:30:00,0,348.7270,6.130
8,2017-06-29,14:45:00,0,348.6800,6.129
9,2017-06-29,15:00:00,0,348.6330,6.130
10,2017-06-29,15:15:00,0,348.6270,6.128
11,2017-06-29,15:30:00,0,348.5140,6.129
12,2017-06-29,15:45:00,0,348.3320,6.130
13,2017-06-29,16:00:00,0,348.2370,6.130
14,2017-06-29,16:15:00,0,348.1740,6.129
15,2017-06-29,16:30:00,0,348.0010,6.129
16,2017-06-29,16:45:00,0,348.0010,6.130
17,2017-06-29,17:00:00,0,347.9350,6.130
18,2017-06-29,17:15:00,0,347.8290,6.131
19,2017-06-29,17:30:00,0,347.8700,6.131
20,2017-06-29,17:45:00,0,347.8220,6.131
21,2017-06-29,18:00:00,0,347.8670,6.130
22,2017-06-29,18:15:00,0,348.0870,6.130
23,2017-06-29,18:30:00,0,348.1940,6.130
24,2017-06-29,18:45:00,0,348.2480,6.132
25,2017-06-29,19:00:00,0,348.2740,6.131
26,2017-06-29,19:15:00,0,348.3100,6.132
27,2017-06-29,19:30:00,0,348.3540,6.132
28,2017-06-29,19:45:00,0,348.3560,6.133
29,2017-06-29,20:00:00,0,348.2750,6.133
30,2017-06-29,20:15:00,0,348.2620,6.134
31,2017-06-29,20:30:00,0,348.2540,6.134
32,2017-06-29,20:45:00,0,348.2660,6.134
33,2017-06-29,21:00:00,0,348.4130,6.134
34,2017-06-29,21:15:00,0,348.4570,6.134
35,2017-06-29,21:30:00,0,348.5290,6.134
36,2017-06-29,21:45:00,0,348.6720,6.135
37,2017-06-29,22:00:00,0,348.6400,6.135
38,2017-06-29,22:15:00,0,348.5990,6.134
39,2017-06-29,22:30:00,0,348.5280,6.135
40,2017-06-29,22:45:00,0,348.4590,6.137
41,2017-06-29,23:00:00,0,348.2620,6.137
42,2017-06-29,23:15:00,0,348.1240,6.137
43,2017-06-29,23:30:00,0,347.8690,6.136
44,2017-06-29,23:45:00,0,347.6260,6.137
45,2017-06-30,00:00:00,0,347.5420,6.138
46,2017-06-30,00:15:00,0,347.4820,6.138
47,2017-06-30,00:30:00,0,347.5300,6.138
48,2017-06-30,00:45:00,0,347.5330,6.139
49,2017-06-30,01:00:00,0,347.5570,6.139
50,2017-06-30,01:15:00,0,347.6340,6.140
51,2017-06-30,01:30:00,0,347.5570,6.140
52,2017-06-30,01:45:00,0,347.5480,6.141
53,2017-06-30,02:00:00,0,347.5360,6.141
54,2017-06-30,02:15:00,0,347.3620,6.141
55,2017-06-30,02:30:00,0,347.2320,6.141
56,2017-06-30,02:45:00,0,346.9350,6.142
57,2017-06-30,03:00:00,0,346.8860,6.142
58,2017-06-30,03:15:00,0,346.7760,6.143
59,2017-06-30,03:30:00,0,346.5090,6.143
60,2017-06-30,03:45:00,0,346.5640,6.144
61,2017-06-30,04:00:00,0,346.4550,6.144
62,2017-06-30,04:15:00,0,346.8790,6.145
63,2017-06-30,04:30:00,0,347.2350,6.146
64,2017-06-30,04:45:00,0,347.2000,6.145
65,2017-06-30,05:00:00,0,347.2470,6.146
66,2017-06-30,05:15:00,0,347.2060,6.146
67,2017-06-30,05:30:00,0,347.1770,6.146
68,2017-06-30,05:45:00,0,347.0960,6.147
69,2017-06-30,06:00:00,0,347.1050,6.147
70,2017-06-30,06:15:00,0,347.1570,6.148
71,2017-06-30,06:30:00,0,347.2550,6.148
72,2017-06-30,06:45:00,0,347.0470,6.148
73,2017-06-30,07:00:00,0,346.7710,6.149
74,2017-06-30,07:15:00,0,346.5060,6.150
75,2017-06-30,07:30:00,0,346.4540,6.150
76,2017-06-30,07:45:00,0,346.4560,6.150
77,2017-06-30,08:00:00,0,346.3930,6.151
78,2017-06-30,08:15:00,0,346.7110,6.151
79,2017-06-30,08:30:00,0,346.6920,6.152
80,2017-06-30,08:45:00,0,346.6120,6.152
81,2017-06-30,09:00:00,0,346.3830,6.152
82,2017-06-30,09:15:00,0,346.2690,6.153
83,2017-06-30,09:30:00,0,346.2630,6.153
84,2017-06-30,09:45:00,0,346.1350,6.154
85,2017-06-30,10:00:00,0,346.2050,6.155
86,2017-06-30,10:15:00,0,346.1340,6.155
87,2017-06-30,10:30:00,0,345.8890,6.156
88,2017-06-30,10:45:00,0,345.6680,6.156
89,2017-06-30,11:00:00,0,345.7350,6.156
90,2017-06-30,11:15:00,0,345.6510,6.157
91,2017-06-30,11:30:00,0,345.5750,6.157
92,2017-06-30,11:45:00,0,345.4850,6.158
93,2017-06-30,12:00:00,0,345.4080,6.158
94,2017-06-30,12:15:00,0,345.3970,6.159
95,2017-06-30,12:30:00,0,345.3390,6.158
96,2017-06-30,12:45:00,0,345.3620,6.158
97,2017-06-30,13:00:00,0,345.3190,6.160
98,2017-06-30,13:15:00,0,345.2710,6.160
99,2017-06-30,13:30:00,0,345.0610,6.159
100,2017-06-30,13:45:00,0,344.8270,6.160
101,2017-06-30,14:00:00,0,345.1060,6.162
102,2017-06-30,14:15:00,0,345.1050,6.162
103,2017-06-30,14:30:00,0,344.7070,6.162
104,2017-06-30,14:45:00,0,344.4700,6.163
105,2017-06-30,15:00:00,0,344.6420,6.163
106,2017-06-30,15:15:00,0,344.8360,6.164
107,2017-06-30,15:30:00,0,344.5330,6.163
108,2017-06-30,15:45:00,0,344.4760,6.164
109,2017-06-30,16:00:00,0,344.3510,6.165
110,2017-06-30,16:15:00,0,344.3830,6.165
111,2017-06-30,16:30:00,0,344.2060,6.165
112,2017-06-30,16:45:00,0,344.1020,6.166
113,2017-06-30,17:00:00,0,344.1280,6.166
114,2017-06-30,17:15:00,0,344.1750,6.166
115,2017-06-30,17:30:00,0,344.3050,6.166
116,2017-06-30,17:45:00,0,344.2460,6.167
117,2017-06-30,18:00:00,0,344.1450,6.168
118,2017-06-30,18:15:00,0,344.1880,6.168
119,2017-06-30,18:30:00,0,344.2060,6.168
120,2017-06-30,18:45:00,0,344.1730,6.169
121,2017-06-30,19:00:00,0,344.1680,6.169
122,2017-06-30,19:15:00,0,344.1460,6.169
123,2017-06-30,19:30:00,0,344.2220,6.170
124,2017-06-30,19:45:00,0,344.2310,6.171
125,2017-06-30,20:00:00,0,344.1180,6.171
126,2017-06-30,20:15:00,0,344.4300,6.170
127,2017-06-30,20:30:00,0,344.4590,6.172
128,2017-06-30,20:45:00,0,344.6980,6.172
129,2017-06-30,21:00:00,0,344.8790,6.174
130,2017-06-30,21:15:00,0,344.9960,6.173
131,2017-06-30,21:30:00,0,344.9850,6.173
132,2017-06-30,21:45:00,0,345.1180,6.174
133,2017-06-30,22:00:00,0,345.2390,6.174
134,2017-06-30,22:15:00,0,345.5000,6.175
135,2017-06-30,22:30:00,0,345.5990,6.174
136,2017-06-30,22:45:00,0,345.6430,6.175
137,2017-06-30,23:00:00,0,345.6020,6.175
138,2017-06-30,23:15:00,0,345.4720,6.176
139,2017-06-30,23:30:00,0,345.3660,6.178
140,2017-06-30,23:45:00,0,345.1370,6.178
141,2017-07-01,00:00:00,0,344.8550,6.178
142,2017-07-01,00:15:00,0,344.9460,6.178
143,2017-07-01,00:30:00,0,344.9820,6.177
144,2017-07-01,00:45:00,0,344.9180,6.178
145,2017-07-01,01:00:00,0,344.6900,6.178
146,2017-07-01,01:15:00,0,344.6750,6.180
147,2017-07-01,01:30:00,0,344.4760,6.180
148,2017-07-01,01:45:00,0,344.3610,6.180
149,2017-07-01,02:00:00,0,344.3140,6.181
150,2017-07-01,02:15:00,0,344.1480,6.181
151,2017-07-01,02:30:00,0,344.0090,6.182
152,2017-07-01,02:45:00,0,343.9940,6.182
153,2017-07-01,03:00:00,0,344.0080,6.183
154,2017-07-01,03:15:00,0,343.9990,6.182
155,2017-07-01,03:30:00,0,344.0370,6.183
156,2017-07-01,03:45:00,0,344.1420,6.184
157,2017-07-01,04:00:00,0,344.0410,6.185
158,2017-07-01,04:15:00,0,344.1200,6.185
159,2017-07-01,04:30:00,0,344.2280,6.185
160,2017-07-01,04:45:00,0,344.2380,6.186
161,2017-07-01,05:00:00,0,344.4210,6.186
162,2017-07-01,05:15:00,0,344.4930,6.186
163,2017-07-01,05:30:00,0,344.5960,6.187
164,2017-07-01,05:45:00,0,344.5970,6.188
165,2017-07-01,06:00:00,0,344.7260,6.187
166,2017-07-01,06:15:00,0,344.9630,6.188
167,2017-07-01,06:30:00,0,344.9850,6.189
168,2017-07-01,06:45:00,0,344.9910,6.189
169,2017-07-01,07:00:00,0,344.9370,6.189
170,2017-07-01,07:15:00,0,345.1070,6.190
171,2017-07-01,07:30:00,0,345.1360,6.189
172,2017-07-01,07:45:00,0,345.3000,6.191
173,2017-07-01,08:00:00,0,345.3560,6.191
174,2017-07-01,08:15:00,0,345.2830,6.192
175,2017-07-01,08:30:00,0,345.4340,6.192
176,2017-07-01,08:45:00,0,345.3280,6.192
177,2017-07-01,09:00:00,0,345.1430,6.193
178,2017-07-01,09:15:00,0,345.1520,6.193
179,2017-07-01,09:30:00,0,345.0670,6.194
180,2017-07-01,09:45:00,0,345.4310,6.194
181,2017-07-01,10:00:00,0,345.5270,6.195
182,2017-07-01,10:15:00,0,345.4990,6.196
183,2017-07-01,10:30:00,0,345.4460,6.195
184,2017-07-01,10:45:00,0,345.3950,6.196
185,2017-07-01,11:00:00,0,345.4910,6.196
186,2017-07-01,11:15:00,0,345.2570,6.197
187,2017-07-01,11:30:00,0,345.1760,6.197
188,2017-07-01,11:45:00,0,344.9970,6.198
189,2017-07-01,12:00:00,0,344.9030,6.200
190,2017-07-01,12:15:00,0,344.5690,6.198
191,2017-07-01,12:30:00,0,344.3720,6.198
192,2017-07-01,12:45:00,0,344.1210,6.199
193,2017-07-01,13:00:00,0,344.2070,6.200
194,2017-07-01,13:15:00,0,344.3250,6.200
195,2017-07-01,13:30:00,0,344.2770,6.201
196,2017-07-01,13:45:00,0,343.9750,6.201
197,2017-07-01,14:00:00,0,343.6160,6.201
198,2017-07-01,14:15:00,0,343.6130,6.202
199,2017-07-01,14:30:00,0,343.6470,6.202
200,2017-07-01,14:45:00,0,343.2760,6.202
201,2017-07-01,15:00:00,0,343.6010,6.203
202,2017-07-01,15:15:00,0,343.0770,6.203
203,2017-07-01,15:30:00,0,343.0130,6.203
204,2017-07-01,15:45:00,0,342.5590,6.205
205,2017-07-01,16:00:00,0,342.0700,6.205
206,2017-07-01,16:15:00,0,341.6260,6.205
207,2017-07-01,16:30:00,0,341.5810,6.205
208,2017-07-01,16:45:00,0,341.3450,6.206
209,2017-07-01,17:00:00,0,341.2190,6.206
210,2017-07-01,17:15:00,0,340.9380,6.207
211,2017-07-01,17:30:00,0,340.8540,6.208
212,2017-07-01,17:45:00,0,340.5850,6.207
213,2017-07-01,18:00:00,0,340.5600,6.208
214,2017-07-01,18:15:00,0,340.2520,6.209
215,2017-07-01,18:30:00,0,340.0090,6.208
216,2017-07-01,18:45:00,0,339.7830,6.210
217,2017-07-01,19:00:00,0,339.5690,6.209
218,2017-07-01,19:15:00,0,339.4710,6.210
219,2017-07-01,19:30:00,0,339.2000,6.210
220,2017-07-01,19:45:00,0,339.0950,6.212
221,2017-07-01,20:00:00,0,338.8610,6.212
222,2017-07-01,20:15:00,0,338.5970,6.212
223,2017-07-01,20:30:00,0,338.4360,6.212
224,2017-07-01,20:45:00,0,338.3940,6.213
225,2017-07-01,21:00:00,0,338.4410,6.213
226,2017-07-01,21:15:00,0,338.3330,6.214
227,2017-07-01,21:30:00,0,338.2800,6.214
228,2017-07-01,21:45:00,0,338.2440,6.214
229,2017-07-01,22:00:00,0,338.2140,6.214
230,2017-07-01,22:15:00,0,338.0670,6.215
231,2017-07-01,22:30:00,0,338.2520,6.216
232,2017-07-01,22:45:00,0,338.1360,6.216
233,2017-07-01,23:00:00,0,338.0690,6.216
234,2017-07-01,23:15:00,0,337.9230,6.216
235,2017-07-01,23:30:00,0,337.9020,6.217
236,2017-07-01,23:45:00,0,337.6710,6.219
237,2017-07-02,00:00:00,0,337.5120,6.219
238,2017-07-02,00:15:00,0,337.2710,6.219
239,2017-07-02,00:30:00,0,337.3430,6.219
240,2017-07-02,00:45:00,0,337.2030,6.220
241,2017-07-02,01:00:00,0,337.3120,6.220
242,2017-07-02,01:15:00,0,337.3180,6.221
243,2017-07-02,01:30:00,0,337.3980,6.221
244,2017-07-02,01:45:00,0,337.5770,6.222
245,2017-07-02,02:00:00,0,337.6200,6.222
246,2017-07-02,02:15:00,0,337.5460,6.223
247,2017-07-02,02:30:00,0,337.5760,6.222
248,2017-07-02,02:45:00,0,337.5800,6.223
249,2017-07-02,03:00:00,0,337.6780,6.224
250,2017-07-02,03:15:00,0,337.7880,6.224
251,2017-07-02,03:30:00,0,337.8550,6.225
252,2017-07-02,03:45:00,0,337.9210,6.225
253,2017-07-02,04:00:00,0,337.8550,6.225
254,2017-07-02,04:15:00,0,337.9160,6.226
255,2017-07-02,04:30:00,0,337.9830,6.226
256,2017-07-02,04:45:00,0,338.0010,6.226
257,2017-07-02,05:00:00,0,338.2370,6.226
258,2017-07-02,05:15:00,0,338.4030,6.227
259,2017-07-02,05:30:00,0,338.5610,6.228
260,2017-07-02,05:45:00,0,338.5600,6.229
261,2017-07-02,06:00:00,0,338.7310,6.229
262,2017-07-02,06:15:00,0,338.7380,6.229
263,2017-07-02,06:30:00,0,338.8010,6.229
264,2017-07-02,06:45:00,0,339.0060,6.230
265,2017-07-02,07:00:00,0,339.1180,6.231
266,2017-07-02,07:15:00,0,339.1960,6.231
267,2017-07-02,07:30:00,0,339.2990,6.231
268,2017-07-02,07:45:00,0,339.4820,6.233
269,2017-07-02,08:00:00,0,339.5170,6.232
270,2017-07-02,08:15:00,0,339.4600,6.232
271,2017-07-02,08:30:00,0,339.4440,6.232
272,2017-07-02,08:45:00,0,339.4550,6.234
273,2017-07-02,09:00:00,0,339.5210,6.234
274,2017-07-02,09:15:00,0,339.4800,6.234
275,2017-07-02,09:30:00,0,339.4520,6.236
276,2017-07-02,09:45:00,0,339.4300,6.236
277,2017-07-02,10:00:00,0,339.3950,6.236
278,2017-07-02,10:15:00,0,339.3050,6.236
279,2017-07-02,10:30:00,0,339.3950,6.237
280,2017-07-02,10:45:00,0,339.1670,6.238
281,2017-07-02,11:00:00,0,339.2870,6.238
282,2017-07-02,11:15:00,0,339.1750,6.239
283,2017-07-02,11:30:00,0,339.1240,6.239
284,2017-07-02,11:45:00,0,339.0790,6.238
285,2017-07-02,12:00:00,0,339.2980,6.240
286,2017-07-02,12:15:00,0,339.5330,6.239
287,2017-07-02,12:30:00,0,339.3970,6.240
288,2017-07-02,12:45:00,0,339.2400,6.240
289,2017-07-02,13:00:00,0,339.3230,6.241
290,2017-07-02,13:15:00,0,339.2940,6.241
291,2017-07-02,13:30:00,0,339.3500,6.241
292,2017-07-02,13:45:00,0,339.2170,6.242
293,2017-07-02,14:00:00,0,339.1080,6.243
294,2017-07-02,14:15:00,0,339.0280,6.243
