Serial Number
	1062721
Project ID
	05107041
Location
	BARO_Forêt Montmorency
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		756       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-06-28,13:00:00,0,81.0908,16.556
2,2017-06-28,13:15:00,0,81.2142,16.786
3,2017-06-28,13:30:00,0,81.0962,16.855
4,2017-06-28,13:45:00,0,81.0825,17.602
5,2017-06-28,14:00:00,0,81.1944,18.870
6,2017-06-28,14:15:00,0,81.5735,20.244
7,2017-06-28,14:30:00,0,81.9561,19.873
8,2017-06-28,14:45:00,0,82.1767,18.243
9,2017-06-28,15:00:00,0,82.3213,16.247
10,2017-06-28,15:15:00,0,82.1872,14.441
11,2017-06-28,15:30:00,0,82.9707,12.960
12,2017-06-28,15:45:00,0,83.0224,11.621
13,2017-06-28,16:00:00,0,82.7539,10.435
14,2017-06-28,16:15:00,0,82.4107,9.636
15,2017-06-28,16:30:00,0,82.3820,9.194
16,2017-06-28,16:45:00,0,82.1411,9.029
17,2017-06-28,17:00:00,0,81.7750,9.340
18,2017-06-28,17:15:00,0,81.9311,11.913
19,2017-06-28,17:30:00,0,82.2087,16.630
20,2017-06-28,17:45:00,0,82.6287,21.300
21,2017-06-28,18:00:00,0,82.8451,24.675
22,2017-06-28,18:15:00,0,82.7317,24.739
23,2017-06-28,18:30:00,0,82.8618,22.860
24,2017-06-28,18:45:00,0,82.7582,20.568
25,2017-06-28,19:00:00,0,82.8564,18.354
26,2017-06-28,19:15:00,0,82.9535,16.490
27,2017-06-28,19:30:00,0,83.0334,14.953
28,2017-06-28,19:45:00,0,83.2134,13.665
29,2017-06-28,20:00:00,0,82.9060,12.502
30,2017-06-28,20:15:00,0,82.4280,11.617
31,2017-06-28,20:30:00,0,82.5791,10.859
32,2017-06-28,20:45:00,0,82.7354,10.130
33,2017-06-28,21:00:00,0,83.0240,9.417
34,2017-06-28,21:15:00,0,83.1434,8.781
35,2017-06-28,21:30:00,0,82.9436,8.313
