Serial Number
	1062723
Project ID
	BARO-12000001
Location
	BARO-Sainte-Famille
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		99        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-17,19:00:00,0,86.0860,7.228
2,2016-11-17,19:15:00,0,86.3665,7.167
3,2016-11-17,19:30:00,0,86.4753,7.103
4,2016-11-17,19:45:00,0,86.4191,7.051
5,2016-11-17,20:00:00,0,86.7753,6.983
6,2016-11-17,20:15:00,0,87.1121,6.923
7,2016-11-17,20:30:00,0,87.3057,6.886
8,2016-11-17,20:45:00,0,87.4012,6.844
9,2016-11-17,21:00:00,0,87.4737,6.789
10,2016-11-17,21:15:00,0,87.4570,6.745
11,2016-11-17,21:30:00,0,87.7247,6.682
12,2016-11-17,21:45:00,0,87.5691,6.625
13,2016-11-17,22:00:00,0,87.4452,6.542
14,2016-11-17,22:15:00,0,87.4114,6.458
15,2016-11-17,22:30:00,0,87.5283,6.407
16,2016-11-17,22:45:00,0,87.7569,6.405
17,2016-11-17,23:00:00,0,87.8673,6.404
18,2016-11-17,23:15:00,0,87.7966,6.394
19,2016-11-17,23:30:00,0,87.7655,6.371
20,2016-11-17,23:45:00,0,87.8395,6.347
21,2016-11-18,00:00:00,0,87.8695,6.311
22,2016-11-18,00:15:00,0,88.2375,6.289
23,2016-11-18,00:30:00,0,88.3077,6.272
24,2016-11-18,00:45:00,0,88.3184,6.256
25,2016-11-18,01:00:00,0,88.2885,6.224
26,2016-11-18,01:15:00,0,88.4504,6.218
27,2016-11-18,01:30:00,0,88.4070,6.219
28,2016-11-18,01:45:00,0,88.4027,6.203
29,2016-11-18,02:00:00,0,88.3909,6.148
30,2016-11-18,02:15:00,0,88.3603,6.120
31,2016-11-18,02:30:00,0,88.5513,6.067
32,2016-11-18,02:45:00,0,88.7390,6.010
33,2016-11-18,03:00:00,0,88.7899,5.997
34,2016-11-18,03:15:00,0,88.8307,5.938
35,2016-11-18,03:30:00,0,88.9477,5.867
36,2016-11-18,03:45:00,0,88.8109,5.799
37,2016-11-18,04:00:00,0,89.0490,5.806
38,2016-11-18,04:15:00,0,89.1928,5.786
39,2016-11-18,04:30:00,0,89.1692,5.716
40,2016-11-18,04:45:00,0,89.2421,5.761
41,2016-11-18,05:00:00,0,89.2786,5.718
42,2016-11-18,05:15:00,0,89.2985,5.698
43,2016-11-18,05:30:00,0,89.5109,5.687
44,2016-11-18,05:45:00,0,89.6278,5.685
45,2016-11-18,06:00:00,0,89.8263,5.664
46,2016-11-18,06:15:00,0,89.9298,5.631
47,2016-11-18,06:30:00,0,89.6772,5.635
48,2016-11-18,06:45:00,0,89.7501,5.619
49,2016-11-18,07:00:00,0,89.8960,5.613
50,2016-11-18,07:15:00,0,89.9673,5.582
51,2016-11-18,07:30:00,0,89.8757,5.617
52,2016-11-18,07:45:00,0,90.0141,5.660
53,2016-11-18,08:00:00,0,90.0999,5.754
54,2016-11-18,08:15:00,0,90.2463,5.791
55,2016-11-18,08:30:00,0,90.2286,5.850
56,2016-11-18,08:45:00,0,90.0446,5.934
57,2016-11-18,09:00:00,0,90.1594,6.036
58,2016-11-18,09:15:00,0,90.2661,6.166
59,2016-11-18,09:30:00,0,90.3681,6.300
60,2016-11-18,09:45:00,0,90.3744,6.423
61,2016-11-18,10:00:00,0,90.3482,6.499
62,2016-11-18,10:15:00,0,90.2195,6.532
63,2016-11-18,10:30:00,0,90.1739,6.537
64,2016-11-18,10:45:00,0,90.1230,6.558
65,2016-11-18,11:00:00,0,89.2513,6.601
66,2016-11-18,11:15:00,0,89.3945,6.673
67,2016-11-18,11:30:00,0,89.0930,6.737
68,2016-11-18,11:45:00,0,88.9986,6.784
69,2016-11-18,12:00:00,0,88.9932,6.787
70,2016-11-18,12:15:00,0,88.9358,6.797
71,2016-11-18,12:30:00,0,88.8195,6.849
72,2016-11-18,12:45:00,0,88.7937,6.945
73,2016-11-18,13:00:00,0,88.7069,7.096
74,2016-11-18,13:15:00,0,88.4831,7.215
75,2016-11-18,13:30:00,0,88.6167,7.342
76,2016-11-18,13:45:00,0,88.4456,7.441
77,2016-11-18,14:00:00,0,88.5256,7.665
78,2016-11-18,14:15:00,0,88.2900,7.803
79,2016-11-18,14:30:00,0,88.0267,7.956
80,2016-11-18,14:45:00,0,88.0647,8.090
81,2016-11-18,15:00:00,0,88.4928,8.201
82,2016-11-18,15:15:00,0,88.5256,8.096
83,2016-11-18,15:30:00,0,88.6456,7.880
84,2016-11-18,15:45:00,0,88.5056,7.554
85,2016-11-18,16:00:00,0,88.5217,7.120
86,2016-11-18,16:15:00,0,88.5405,6.630
87,2016-11-18,16:30:00,0,88.6505,6.208
88,2016-11-18,16:45:00,0,88.7578,5.836
89,2016-11-18,17:00:00,0,88.6928,5.449
90,2016-11-18,17:15:00,0,88.6119,5.228
91,2016-11-18,17:30:00,0,88.6419,4.947
92,2016-11-18,17:45:00,0,88.7175,4.774
93,2016-11-18,18:00:00,0,88.7991,4.586
94,2016-11-18,18:15:00,0,88.7009,4.408
95,2016-11-18,18:30:00,0,88.6580,4.310
96,2016-11-18,18:45:00,0,88.7417,4.182
97,2016-11-18,19:00:00,0,88.6811,4.188
98,2016-11-18,19:15:00,0,88.6644,4.315
99,2016-11-18,19:30:00,0,88.7578,4.462
100,2016-11-18,19:45:00,0,88.8050,4.620
101,2016-11-18,20:00:00,0,88.6258,4.696
102,2016-11-18,20:15:00,0,88.6542,4.845
103,2016-11-18,20:30:00,0,88.6167,4.944
104,2016-11-18,20:45:00,0,88.5084,5.028
105,2016-11-18,21:00:00,0,88.5175,5.068
106,2016-11-18,21:15:00,0,88.4279,5.102
107,2016-11-18,21:30:00,0,88.4091,5.122
108,2016-11-18,21:45:00,0,88.5513,5.140
109,2016-11-18,22:00:00,0,88.4392,5.137
110,2016-11-18,22:15:00,0,88.3512,5.169
111,2016-11-18,22:30:00,0,88.3544,5.193
112,2016-11-18,22:45:00,0,88.3013,5.212
113,2016-11-18,23:00:00,0,88.1999,5.152
114,2016-11-18,23:15:00,0,88.1527,5.127
115,2016-11-18,23:30:00,0,87.9870,5.120
116,2016-11-18,23:45:00,0,88.0841,5.125
117,2016-11-19,00:00:00,0,87.9285,5.071
118,2016-11-19,00:15:00,0,87.8009,5.058
119,2016-11-19,00:30:00,0,87.7220,5.050
120,2016-11-19,00:45:00,0,87.4141,5.005
121,2016-11-19,01:00:00,0,87.2644,4.992
122,2016-11-19,01:15:00,0,87.2783,4.935
123,2016-11-19,01:30:00,0,87.2886,4.942
124,2016-11-19,01:45:00,0,87.3138,4.912
125,2016-11-19,02:00:00,0,87.4039,4.891
126,2016-11-19,02:15:00,0,87.3331,4.925
127,2016-11-19,02:30:00,0,87.2682,4.927
128,2016-11-19,02:45:00,0,87.2655,4.905
