Serial_number:
2009783
Project ID:
05097002
Location:
05097002Loretteville
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/06/22,19:00:00,0,1165.36,7.038
2017/06/22,19:15:00,0,1165.34,7.040
2017/06/22,19:30:00,0,1165.28,7.042
2017/06/22,19:45:00,0,1165.28,7.042
2017/06/22,20:00:00,0,1165.17,7.039
2017/06/22,20:15:00,0,1165.18,7.041
2017/06/22,20:30:00,0,1165.17,7.040
2017/06/22,20:45:00,0,1165.12,7.043
2017/06/22,21:00:00,0,1165.15,7.047
2017/06/22,21:15:00,0,1165.20,7.050
2017/06/22,21:30:00,0,1165.13,7.051
2017/06/22,21:45:00,0,1165.04,7.053
2017/06/22,22:00:00,0,1164.99,7.059
2017/06/22,22:15:00,0,1165.03,7.059
2017/06/22,22:30:00,0,1165.04,7.061
2017/06/22,22:45:00,0,1165.00,7.064
2017/06/22,23:00:00,0,1164.99,7.067
2017/06/22,23:15:00,0,1164.95,7.068
2017/06/22,23:30:00,0,1164.99,7.069
2017/06/22,23:45:00,0,1164.94,7.070
2017/06/23,00:00:00,0,1164.93,7.076
2017/06/23,00:15:00,0,1164.94,7.078
2017/06/23,00:30:00,0,1164.88,7.081
2017/06/23,00:45:00,0,1164.87,7.083
2017/06/23,01:00:00,0,1164.72,7.085
2017/06/23,01:15:00,0,1164.61,7.084
2017/06/23,01:30:00,0,1164.61,7.085
2017/06/23,01:45:00,0,1164.45,7.086
2017/06/23,02:00:00,0,1164.40,7.084
2017/06/23,02:15:00,0,1164.28,7.086
2017/06/23,02:30:00,0,1164.21,7.088
2017/06/23,02:45:00,0,1164.14,7.089
2017/06/23,03:00:00,0,1164.11,7.091
2017/06/23,03:15:00,0,1163.79,7.092
2017/06/23,03:30:00,0,1163.80,7.094
2017/06/23,03:45:00,0,1163.64,7.093
2017/06/23,04:00:00,0,1163.66,7.098
2017/06/23,04:15:00,0,1163.52,7.101
2017/06/23,04:30:00,0,1163.46,7.103
2017/06/23,04:45:00,0,1163.33,7.101
2017/06/23,05:00:00,0,1163.30,7.103
2017/06/23,05:15:00,0,1163.21,7.105
2017/06/23,05:30:00,0,1163.25,7.106
2017/06/23,05:45:00,0,1163.16,7.108
2017/06/23,06:00:00,0,1163.12,7.110
2017/06/23,06:15:00,0,1163.09,7.112
2017/06/23,06:30:00,0,1162.99,7.113
2017/06/23,06:45:00,0,1163.05,7.110
2017/06/23,07:00:00,0,1162.97,7.112
2017/06/23,07:15:00,0,1162.84,7.112
2017/06/23,07:30:00,0,1162.63,7.111
2017/06/23,07:45:00,0,1162.64,7.111
2017/06/23,08:00:00,0,1162.53,7.111
2017/06/23,08:15:00,0,1162.58,7.112
2017/06/23,08:30:00,0,1162.54,7.114
2017/06/23,08:45:00,0,1162.46,7.115
2017/06/23,09:00:00,0,1162.36,7.115
2017/06/23,09:15:00,0,1162.26,7.116
2017/06/23,09:30:00,0,1162.18,7.114
2017/06/23,09:45:00,0,1162.05,7.116
2017/06/23,10:00:00,0,1161.92,7.117
2017/06/23,10:15:00,0,1161.85,7.118
