Serial_number:
2010128
Project ID:
05080001
Location:
05080001_PontRouge
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/18,13:00:00,0,1195.21,6.239
2016/11/18,13:15:00,0,1195.18,6.238
2016/11/18,13:30:00,0,1195.23,6.238
2016/11/18,13:45:00,0,1195.12,6.237
2016/11/18,14:00:00,0,1194.75,6.237
2016/11/18,14:15:00,0,1194.69,6.238
2016/11/18,14:30:00,0,1194.86,6.237
2016/11/18,14:45:00,0,1195.01,6.236
2016/11/18,15:00:00,0,1195.09,6.236
2016/11/18,15:15:00,0,1195.09,6.236
2016/11/18,15:30:00,0,1195.08,6.236
2016/11/18,15:45:00,0,1194.96,6.236
2016/11/18,16:00:00,0,1195.00,6.236
2016/11/18,16:15:00,0,1194.87,6.236
2016/11/18,16:30:00,0,1194.71,6.235
2016/11/18,16:45:00,0,1194.62,6.236
2016/11/18,17:00:00,0,1194.66,6.235
2016/11/18,17:15:00,0,1194.59,6.235
2016/11/18,17:30:00,0,1194.58,6.235
2016/11/18,17:45:00,0,1194.56,6.235
2016/11/18,18:00:00,0,1194.54,6.235
2016/11/18,18:15:00,0,1194.44,6.235
2016/11/18,18:30:00,0,1194.43,6.235
2016/11/18,18:45:00,0,1194.43,6.235
2016/11/18,19:00:00,0,1194.53,6.235
2016/11/18,19:15:00,0,1194.52,6.236
2016/11/18,19:30:00,0,1194.44,6.235
2016/11/18,19:45:00,0,1194.42,6.235
2016/11/18,20:00:00,0,1194.41,6.234
2016/11/18,20:15:00,0,1194.38,6.235
2016/11/18,20:30:00,0,1194.33,6.235
2016/11/18,20:45:00,0,1194.32,6.234
2016/11/18,21:00:00,0,1194.24,6.235
2016/11/18,21:15:00,0,1194.19,6.234
2016/11/18,21:30:00,0,1194.19,6.234
2016/11/18,21:45:00,0,1194.22,6.235
2016/11/18,22:00:00,0,1194.27,6.235
2016/11/18,22:15:00,0,1194.23,6.235
2016/11/18,22:30:00,0,1194.22,6.235
2016/11/18,22:45:00,0,1194.23,6.234
2016/11/18,23:00:00,0,1194.16,6.235
2016/11/18,23:15:00,0,1193.99,6.234
2016/11/18,23:30:00,0,1193.95,6.235
2016/11/18,23:45:00,0,1193.78,6.235
2016/11/19,00:00:00,0,1193.66,6.234
2016/11/19,00:15:00,0,1193.60,6.234
2016/11/19,00:30:00,0,1193.44,6.235
2016/11/19,00:45:00,0,1193.21,6.234
2016/11/19,01:00:00,0,1193.02,6.234
2016/11/19,01:15:00,0,1193.01,6.234
2016/11/19,01:30:00,0,1193.05,6.235
2016/11/19,01:45:00,0,1193.21,6.234
2016/11/19,02:00:00,0,1193.39,6.234
2016/11/19,02:15:00,0,1193.31,6.235
2016/11/19,02:30:00,0,1193.26,6.235
2016/11/19,02:45:00,0,1192.90,6.235
2016/11/19,03:00:00,0,1192.70,6.234
2016/11/19,03:15:00,0,1192.57,6.234
2016/11/19,03:30:00,0,1192.34,6.235
2016/11/19,03:45:00,0,1192.17,6.234
2016/11/19,04:00:00,0,1192.05,6.234
2016/11/19,04:15:00,0,1191.90,6.234
2016/11/19,04:30:00,0,1191.72,6.234
2016/11/19,04:45:00,0,1191.64,6.235
2016/11/19,05:00:00,0,1191.59,6.234
2016/11/19,05:15:00,0,1191.65,6.235
2016/11/19,05:30:00,0,1191.62,6.234
2016/11/19,05:45:00,0,1191.60,6.234
2016/11/19,06:00:00,0,1191.46,6.234
2016/11/19,06:15:00,0,1191.34,6.234
2016/11/19,06:30:00,0,1191.21,6.235
2016/11/19,06:45:00,0,1191.13,6.235
2016/11/19,07:00:00,0,1191.17,6.234
2016/11/19,07:15:00,0,1191.05,6.234
2016/11/19,07:30:00,0,1190.95,6.234
2016/11/19,07:45:00,0,1190.93,6.234
2016/11/19,08:00:00,0,1190.89,6.235
2016/11/19,08:15:00,0,1190.74,6.234
2016/11/19,08:30:00,0,1190.73,6.235
2016/11/19,08:45:00,0,1190.59,6.235
2016/11/19,09:00:00,0,1190.35,6.235
2016/11/19,09:15:00,0,1190.23,6.234
2016/11/19,09:30:00,0,1190.12,6.234
2016/11/19,09:45:00,0,1190.00,6.234
2016/11/19,10:00:00,0,1189.73,6.235
2016/11/19,10:15:00,0,1189.59,6.234
2016/11/19,10:30:00,0,1189.23,6.234
2016/11/19,10:45:00,0,1188.82,6.234
2016/11/19,11:00:00,0,1188.43,6.234
2016/11/19,11:15:00,0,1188.02,6.234
2016/11/19,11:30:00,0,1187.65,6.234
2016/11/19,11:45:00,0,1187.27,6.234
2016/11/19,12:00:00,0,1186.84,6.234
2016/11/19,12:15:00,0,1186.45,6.234
2016/11/19,12:30:00,0,1186.32,6.235
2016/11/19,12:45:00,0,1186.11,6.235
2016/11/19,13:00:00,0,1185.89,6.234
2016/11/19,13:15:00,0,1185.60,6.234
2016/11/19,13:30:00,0,1185.30,6.234
2016/11/19,13:45:00,0,1185.02,6.234
2016/11/19,14:00:00,0,1184.86,6.234
2016/11/19,14:15:00,0,1184.63,6.234
2016/11/19,14:30:00,0,1184.40,6.234
2016/11/19,14:45:00,0,1184.11,6.234
2016/11/19,15:00:00,0,1184.00,6.235
2016/11/19,15:15:00,0,1183.85,6.235
2016/11/19,15:30:00,0,1183.70,6.235
2016/11/19,15:45:00,0,1183.57,6.235
2016/11/19,16:00:00,0,1183.47,6.234
2016/11/19,16:15:00,0,1183.41,6.234
2016/11/19,16:30:00,0,1183.27,6.234
2016/11/19,16:45:00,0,1183.10,6.234
2016/11/19,17:00:00,0,1183.02,6.234
2016/11/19,17:15:00,0,1182.89,6.234
