Serial Number
	40601
Project ID
	05070001_BARO
Location
	BARO ST-RAYMOND
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		150.00    cm
	Altitude
		51        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-18,13:00:00,0,80.1,6.87
2,2016-11-18,13:15:00,0,79.4,6.90
3,2016-11-18,13:30:00,0,78.9,6.88
4,2016-11-18,13:45:00,0,78.3,6.88
5,2016-11-18,14:00:00,0,78.1,6.86
6,2016-11-18,14:15:00,0,78.4,6.89
7,2016-11-18,14:30:00,0,78.5,6.88
8,2016-11-18,14:45:00,0,78.3,6.87
9,2016-11-18,15:00:00,0,78.1,6.88
10,2016-11-18,15:15:00,0,78.2,6.87
11,2016-11-18,15:30:00,0,78.2,6.87
12,2016-11-18,15:45:00,0,78.0,6.88
13,2016-11-18,16:00:00,0,78.1,6.90
14,2016-11-18,16:15:00,0,77.8,6.89
15,2016-11-18,16:30:00,0,77.8,6.89
16,2016-11-18,16:45:00,0,77.4,6.89
17,2016-11-18,17:00:00,0,77.5,6.88
18,2016-11-18,17:15:00,0,77.3,6.88
19,2016-11-18,17:30:00,0,77.5,6.87
20,2016-11-18,17:45:00,0,77.4,6.88
21,2016-11-18,18:00:00,0,77.5,6.88
22,2016-11-18,18:15:00,0,77.7,6.87
23,2016-11-18,18:30:00,0,77.3,6.87
24,2016-11-18,18:45:00,0,77.2,6.88
25,2016-11-18,19:00:00,0,77.1,6.89
26,2016-11-18,19:15:00,0,77.2,6.89
27,2016-11-18,19:30:00,0,77.3,6.89
28,2016-11-18,19:45:00,0,77.3,6.89
29,2016-11-18,20:00:00,0,77.5,6.90
30,2016-11-18,20:15:00,0,77.1,6.89
31,2016-11-18,20:30:00,0,77.1,6.89
32,2016-11-18,20:45:00,0,77.0,6.87
33,2016-11-18,21:00:00,0,76.9,6.86
34,2016-11-18,21:15:00,0,76.8,6.86
35,2016-11-18,21:30:00,0,76.7,6.86
36,2016-11-18,21:45:00,0,76.9,6.84
37,2016-11-18,22:00:00,0,76.8,6.88
38,2016-11-18,22:15:00,0,77.1,6.86
39,2016-11-18,22:30:00,0,77.1,6.87
40,2016-11-18,22:45:00,0,76.7,6.87
41,2016-11-18,23:00:00,0,76.6,6.89
42,2016-11-18,23:15:00,0,76.9,6.88
43,2016-11-18,23:30:00,0,76.9,6.89
44,2016-11-18,23:45:00,0,76.3,6.89
45,2016-11-19,00:00:00,0,76.4,6.89
46,2016-11-19,00:15:00,0,76.2,6.90
47,2016-11-19,00:30:00,0,76.1,6.89
48,2016-11-19,00:45:00,0,75.8,6.89
49,2016-11-19,01:00:00,0,75.8,6.89
50,2016-11-19,01:15:00,0,75.8,6.90
51,2016-11-19,01:30:00,0,75.8,6.89
52,2016-11-19,01:45:00,0,76.0,6.91
53,2016-11-19,02:00:00,0,76.0,6.90
54,2016-11-19,02:15:00,0,76.0,6.91
55,2016-11-19,02:30:00,0,75.8,6.92
56,2016-11-19,02:45:00,0,75.2,6.92
57,2016-11-19,03:00:00,0,75.2,6.90
58,2016-11-19,03:15:00,0,75.2,6.92
59,2016-11-19,03:30:00,0,74.6,6.90
