Serial Number
	1016031
Project ID
	03027091
Location
	Cookshire
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		240       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-15,13:00:00,0,564.4460,6.122
2,2016-11-15,13:15:00,0,564.2840,6.122
3,2016-11-15,13:30:00,0,564.1640,6.122
4,2016-11-15,13:45:00,0,563.9970,6.122
5,2016-11-15,14:00:00,0,563.8550,6.121
6,2016-11-15,14:15:00,0,563.9150,6.121
7,2016-11-15,14:30:00,0,563.8430,6.121
8,2016-11-15,14:45:00,0,563.7040,6.121
9,2016-11-15,15:00:00,0,563.6690,6.121
10,2016-11-15,15:15:00,0,563.6080,6.121
11,2016-11-15,15:30:00,0,563.5000,6.121
12,2016-11-15,15:45:00,0,563.5010,6.121
13,2016-11-15,16:00:00,0,563.3391,6.121
14,2016-11-15,16:15:00,0,563.4270,6.120
15,2016-11-15,16:30:00,0,563.1810,6.121
16,2016-11-15,16:45:00,0,563.1671,6.120
17,2016-11-15,17:00:00,0,563.1580,6.120
18,2016-11-15,17:15:00,0,563.1990,6.120
19,2016-11-15,17:30:00,0,563.1810,6.120
20,2016-11-15,17:45:00,0,563.1900,6.120
21,2016-11-15,18:00:00,0,563.1310,6.120
22,2016-11-15,18:15:00,0,563.1740,6.121
23,2016-11-15,18:30:00,0,563.1760,6.120
24,2016-11-15,18:45:00,0,563.3070,6.120
25,2016-11-15,19:00:00,0,563.2191,6.120
26,2016-11-15,19:15:00,0,563.1380,6.120
27,2016-11-15,19:30:00,0,563.1010,6.121
28,2016-11-15,19:45:00,0,563.0570,6.120
29,2016-11-15,20:00:00,0,562.9890,6.120
30,2016-11-15,20:15:00,0,562.9130,6.120
31,2016-11-15,20:30:00,0,562.9250,6.121
32,2016-11-15,20:45:00,0,562.9720,6.120
33,2016-11-15,21:00:00,0,562.7730,6.120
34,2016-11-15,21:15:00,0,562.6320,6.120
35,2016-11-15,21:30:00,0,562.5090,6.120
36,2016-11-15,21:45:00,0,562.2810,6.120
37,2016-11-15,22:00:00,0,562.1370,6.120
38,2016-11-15,22:15:00,0,561.8750,6.120
39,2016-11-15,22:30:00,0,561.7230,6.120
40,2016-11-15,22:45:00,0,561.5690,6.121
41,2016-11-15,23:00:00,0,561.1300,6.120
42,2016-11-15,23:15:00,0,560.9870,6.120
43,2016-11-15,23:30:00,0,560.6130,6.120
44,2016-11-15,23:45:00,0,560.1760,6.119
45,2016-11-16,00:00:00,0,559.9330,6.120
46,2016-11-16,00:15:00,0,559.5980,6.120
47,2016-11-16,00:30:00,0,559.4720,6.120
48,2016-11-16,00:45:00,0,559.3400,6.119
49,2016-11-16,01:00:00,0,559.1520,6.120
50,2016-11-16,01:15:00,0,559.0360,6.120
51,2016-11-16,01:30:00,0,558.7360,6.120
52,2016-11-16,01:45:00,0,558.6990,6.120
53,2016-11-16,02:00:00,0,558.5140,6.120
54,2016-11-16,02:15:00,0,558.4080,6.120
55,2016-11-16,02:30:00,0,558.3030,6.120
56,2016-11-16,02:45:00,0,558.3500,6.120
57,2016-11-16,03:00:00,0,558.1160,6.120
58,2016-11-16,03:15:00,0,557.9360,6.120
59,2016-11-16,03:30:00,0,557.7380,6.119
60,2016-11-16,03:45:00,0,557.7680,6.120
61,2016-11-16,04:00:00,0,557.5850,6.120
62,2016-11-16,04:15:00,0,557.3560,6.119
63,2016-11-16,04:30:00,0,557.2960,6.120
64,2016-11-16,04:45:00,0,557.1960,6.120
65,2016-11-16,05:00:00,0,556.9420,6.120
66,2016-11-16,05:15:00,0,556.8020,6.120
67,2016-11-16,05:30:00,0,556.7090,6.120
68,2016-11-16,05:45:00,0,556.5850,6.119
69,2016-11-16,06:00:00,0,556.4590,6.120
70,2016-11-16,06:15:00,0,556.4010,6.120
71,2016-11-16,06:30:00,0,556.3000,6.120
72,2016-11-16,06:45:00,0,556.1790,6.120
73,2016-11-16,07:00:00,0,556.1520,6.120
74,2016-11-16,07:15:00,0,556.0500,6.120
75,2016-11-16,07:30:00,0,556.0250,6.120
76,2016-11-16,07:45:00,0,555.8690,6.119
77,2016-11-16,08:00:00,0,555.7430,6.120
78,2016-11-16,08:15:00,0,555.6110,6.120
79,2016-11-16,08:30:00,0,555.5090,6.119
80,2016-11-16,08:45:00,0,555.5250,6.120
81,2016-11-16,09:00:00,0,555.3430,6.120
82,2016-11-16,09:15:00,0,555.1671,6.120
83,2016-11-16,09:30:00,0,555.0910,6.120
84,2016-11-16,09:45:00,0,554.9870,6.120
85,2016-11-16,10:00:00,0,554.9120,6.120
86,2016-11-16,10:15:00,0,554.8160,6.120
87,2016-11-16,10:30:00,0,554.6520,6.120
88,2016-11-16,10:45:00,0,554.4920,6.120
89,2016-11-16,11:00:00,0,554.2120,6.119
90,2016-11-16,11:15:00,0,554.0950,6.120
91,2016-11-16,11:30:00,0,553.9250,6.120
92,2016-11-16,11:45:00,0,553.8070,6.119
93,2016-11-16,12:00:00,0,553.7280,6.120
94,2016-11-16,12:15:00,0,553.5900,6.120
95,2016-11-16,12:30:00,0,553.5770,6.120
96,2016-11-16,12:45:00,0,553.4561,6.120
97,2016-11-16,13:00:00,0,553.3670,6.120
98,2016-11-16,13:15:00,0,553.3260,6.120
99,2016-11-16,13:30:00,0,553.3630,6.120
100,2016-11-16,13:45:00,0,553.5190,6.120
101,2016-11-16,14:00:00,0,553.6740,6.120
102,2016-11-16,14:15:00,0,553.7401,6.120
103,2016-11-16,14:30:00,0,553.8660,6.120
104,2016-11-16,14:45:00,0,553.9720,6.120
105,2016-11-16,15:00:00,0,554.2590,6.119
106,2016-11-16,15:15:00,0,554.5350,6.119
107,2016-11-16,15:30:00,0,554.7430,6.120
108,2016-11-16,15:45:00,0,554.9490,6.120
109,2016-11-16,16:00:00,0,555.2030,6.119
110,2016-11-16,16:15:00,0,555.3670,6.120
111,2016-11-16,16:30:00,0,555.7050,6.120
112,2016-11-16,16:45:00,0,555.9490,6.120
113,2016-11-16,17:00:00,0,556.1640,6.120
114,2016-11-16,17:15:00,0,556.3400,6.120
115,2016-11-16,17:30:00,0,556.5280,6.120
116,2016-11-16,17:45:00,0,556.7170,6.120
117,2016-11-16,18:00:00,0,556.9370,6.119
118,2016-11-16,18:15:00,0,557.1320,6.120
119,2016-11-16,18:30:00,0,557.2850,6.120
120,2016-11-16,18:45:00,0,557.4260,6.120
121,2016-11-16,19:00:00,0,557.5291,6.120
122,2016-11-16,19:15:00,0,557.7460,6.120
123,2016-11-16,19:30:00,0,557.7280,6.120
124,2016-11-16,19:45:00,0,557.9800,6.120
125,2016-11-16,20:00:00,0,558.1290,6.120
126,2016-11-16,20:15:00,0,558.2661,6.120
127,2016-11-16,20:30:00,0,558.5240,6.120
128,2016-11-16,20:45:00,0,558.6400,6.120
129,2016-11-16,21:00:00,0,558.8220,6.120
130,2016-11-16,21:15:00,0,558.9180,6.120
131,2016-11-16,21:30:00,0,559.1040,6.120
132,2016-11-16,21:45:00,0,559.1331,6.120
133,2016-11-16,22:00:00,0,559.2930,6.120
134,2016-11-16,22:15:00,0,559.3800,6.120
135,2016-11-16,22:30:00,0,559.5380,6.119
136,2016-11-16,22:45:00,0,559.5690,6.120
137,2016-11-16,23:00:00,0,559.7370,6.120
138,2016-11-16,23:15:00,0,559.7960,6.120
139,2016-11-16,23:30:00,0,559.8521,6.120
140,2016-11-16,23:45:00,0,560.0360,6.120
141,2016-11-17,00:00:00,0,559.9540,6.120
142,2016-11-17,00:15:00,0,560.0681,6.119
143,2016-11-17,00:30:00,0,560.2430,6.120
144,2016-11-17,00:45:00,0,560.2740,6.120
145,2016-11-17,01:00:00,0,560.4691,6.120
146,2016-11-17,01:15:00,0,560.5750,6.121
147,2016-11-17,01:30:00,0,560.8280,6.120
148,2016-11-17,01:45:00,0,560.9910,6.120
149,2016-11-17,02:00:00,0,561.2130,6.119
150,2016-11-17,02:15:00,0,561.2960,6.119
151,2016-11-17,02:30:00,0,561.4830,6.119
152,2016-11-17,02:45:00,0,561.5670,6.120
153,2016-11-17,03:00:00,0,561.6370,6.120
154,2016-11-17,03:15:00,0,561.8430,6.119
155,2016-11-17,03:30:00,0,561.9680,6.119
156,2016-11-17,03:45:00,0,562.1440,6.120
157,2016-11-17,04:00:00,0,562.3340,6.120
158,2016-11-17,04:15:00,0,562.4990,6.120
159,2016-11-17,04:30:00,0,562.6870,6.120
160,2016-11-17,04:45:00,0,562.8530,6.119
161,2016-11-17,05:00:00,0,562.9250,6.120
162,2016-11-17,05:15:00,0,563.1461,6.119
163,2016-11-17,05:30:00,0,563.3270,6.120
164,2016-11-17,05:45:00,0,563.6210,6.120
165,2016-11-17,06:00:00,0,563.7531,6.120
166,2016-11-17,06:15:00,0,563.9691,6.120
167,2016-11-17,06:30:00,0,564.2310,6.120
168,2016-11-17,06:45:00,0,564.3690,6.120
169,2016-11-17,07:00:00,0,564.6350,6.119
170,2016-11-17,07:15:00,0,564.8880,6.119
171,2016-11-17,07:30:00,0,565.1100,6.120
172,2016-11-17,07:45:00,0,565.2470,6.120
173,2016-11-17,08:00:00,0,565.3900,6.121
174,2016-11-17,08:15:00,0,565.4821,6.120
175,2016-11-17,08:30:00,0,565.6340,6.120
176,2016-11-17,08:45:00,0,565.8300,6.120
177,2016-11-17,09:00:00,0,565.9490,6.120
178,2016-11-17,09:15:00,0,566.1300,6.119
179,2016-11-17,09:30:00,0,566.4200,6.120
180,2016-11-17,09:45:00,0,566.5850,6.119
181,2016-11-17,10:00:00,0,566.8350,6.120
182,2016-11-17,10:15:00,0,566.9200,6.120
183,2016-11-17,10:30:00,0,567.1541,6.120
184,2016-11-17,10:45:00,0,567.2000,6.120
185,2016-11-17,11:00:00,0,567.2820,6.120
186,2016-11-17,11:15:00,0,567.3760,6.120
187,2016-11-17,11:30:00,0,567.4510,6.120
188,2016-11-17,11:45:00,0,567.4980,6.120
189,2016-11-17,12:00:00,0,567.5780,6.120
190,2016-11-17,12:15:00,0,567.7010,6.120
191,2016-11-17,12:30:00,0,567.7700,6.120
192,2016-11-17,12:45:00,0,567.8000,6.120
193,2016-11-17,13:00:00,0,567.8380,6.120
194,2016-11-17,13:15:00,0,567.8140,6.120
