Serial Number
	1016049
Project ID
	03027021
Location
	Ulverton
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		108       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-26,16:00:00,0,795.71,8.071
2,2017-04-26,16:15:00,0,795.37,8.115
3,2017-04-26,16:30:00,0,795.37,8.104
4,2017-04-26,16:45:00,0,795.45,8.123
5,2017-04-26,17:00:00,0,795.26,8.131
6,2017-04-26,17:15:00,0,795.15,8.151
7,2017-04-26,17:30:00,0,795.08,8.125
8,2017-04-26,17:45:00,0,794.99,8.145
9,2017-04-26,18:00:00,0,794.83,8.098
10,2017-04-26,18:15:00,0,794.84,8.119
11,2017-04-26,18:30:00,0,794.68,8.144
12,2017-04-26,18:45:00,0,794.71,8.144
13,2017-04-26,19:00:00,0,794.71,8.162
14,2017-04-26,19:15:00,0,794.79,8.143
15,2017-04-26,19:30:00,0,794.77,8.123
16,2017-04-26,19:45:00,0,794.58,8.145
17,2017-04-26,20:00:00,0,794.45,8.126
18,2017-04-26,20:15:00,0,794.45,8.125
19,2017-04-26,20:30:00,0,794.62,8.129
20,2017-04-26,20:45:00,0,794.76,8.125
21,2017-04-26,21:00:00,0,794.92,8.139
22,2017-04-26,21:15:00,0,795.34,8.111
23,2017-04-26,21:30:00,0,795.30,8.168
24,2017-04-26,21:45:00,0,795.32,8.158
25,2017-04-26,22:00:00,0,795.48,8.147
26,2017-04-26,22:15:00,0,795.47,8.140
27,2017-04-26,22:30:00,0,795.68,8.137
28,2017-04-26,22:45:00,0,795.57,8.136
29,2017-04-26,23:00:00,0,795.51,8.148
30,2017-04-26,23:15:00,0,795.54,8.138
31,2017-04-26,23:30:00,0,795.71,8.142
32,2017-04-26,23:45:00,0,795.72,8.116
33,2017-04-27,00:00:00,0,795.85,8.126
34,2017-04-27,00:15:00,0,796.06,8.134
35,2017-04-27,00:30:00,0,796.04,8.146
36,2017-04-27,00:45:00,0,796.07,8.163
37,2017-04-27,01:00:00,0,795.91,8.177
38,2017-04-27,01:15:00,0,795.97,8.165
39,2017-04-27,01:30:00,0,795.94,8.133
40,2017-04-27,01:45:00,0,795.88,8.147
41,2017-04-27,02:00:00,0,795.87,8.147
42,2017-04-27,02:15:00,0,795.87,8.134
43,2017-04-27,02:30:00,0,795.82,8.117
44,2017-04-27,02:45:00,0,795.87,8.177
45,2017-04-27,03:00:00,0,795.77,8.117
46,2017-04-27,03:15:00,0,795.75,8.168
47,2017-04-27,03:30:00,0,795.81,8.154
48,2017-04-27,03:45:00,0,795.38,8.132
49,2017-04-27,04:00:00,0,795.33,8.116
50,2017-04-27,04:15:00,0,795.56,8.128
51,2017-04-27,04:30:00,0,795.72,8.153
52,2017-04-27,04:45:00,0,795.95,8.163
53,2017-04-27,05:00:00,0,796.26,8.165
54,2017-04-27,05:15:00,0,796.32,8.155
55,2017-04-27,05:30:00,0,796.52,8.165
56,2017-04-27,05:45:00,0,796.63,8.145
57,2017-04-27,06:00:00,0,796.70,8.099
58,2017-04-27,06:15:00,0,796.61,8.138
59,2017-04-27,06:30:00,0,796.65,8.115
60,2017-04-27,06:45:00,0,796.61,8.138
61,2017-04-27,07:00:00,0,796.56,8.145
62,2017-04-27,07:15:00,0,796.61,8.157
63,2017-04-27,07:30:00,0,796.62,8.151
64,2017-04-27,07:45:00,0,796.66,8.118
65,2017-04-27,08:00:00,0,796.66,8.113
66,2017-04-27,08:15:00,0,796.79,8.160
67,2017-04-27,08:30:00,0,796.72,8.145
68,2017-04-27,08:45:00,0,796.78,8.160
69,2017-04-27,09:00:00,0,796.68,8.164
70,2017-04-27,09:15:00,0,796.66,8.146
71,2017-04-27,09:30:00,0,796.81,8.109
72,2017-04-27,09:45:00,0,796.72,8.150
73,2017-04-27,10:00:00,0,796.56,8.139
74,2017-04-27,10:15:00,0,796.40,8.174
75,2017-04-27,10:30:00,0,796.27,8.146
76,2017-04-27,10:45:00,0,796.02,8.158
77,2017-04-27,11:00:00,0,796.02,8.112
78,2017-04-27,11:15:00,0,795.83,8.167
79,2017-04-27,11:30:00,0,795.84,8.130
80,2017-04-27,11:45:00,0,795.82,8.149
81,2017-04-27,12:00:00,0,795.66,8.109
82,2017-04-27,12:15:00,0,795.69,8.104
83,2017-04-27,12:30:00,0,795.59,8.129
84,2017-04-27,12:45:00,0,795.53,8.134
85,2017-04-27,13:00:00,0,795.38,8.146
86,2017-04-27,13:15:00,0,795.23,8.160
87,2017-04-27,13:30:00,0,795.08,8.147
88,2017-04-27,13:45:00,0,794.98,8.152
89,2017-04-27,14:00:00,0,794.98,8.156
90,2017-04-27,14:15:00,0,794.95,8.157
91,2017-04-27,14:30:00,0,794.76,8.117
92,2017-04-27,14:45:00,0,794.62,8.170
93,2017-04-27,15:00:00,0,794.67,8.135
94,2017-04-27,15:15:00,0,794.58,8.093
95,2017-04-27,15:30:00,0,794.39,8.136
96,2017-04-27,15:45:00,0,794.30,8.140
97,2017-04-27,16:00:00,0,794.14,8.128
98,2017-04-27,16:15:00,0,793.92,8.153
99,2017-04-27,16:30:00,0,793.87,8.125
100,2017-04-27,16:45:00,0,793.56,8.140
101,2017-04-27,17:00:00,0,793.50,8.133
102,2017-04-27,17:15:00,0,793.55,8.142
103,2017-04-27,17:30:00,0,793.37,8.130
104,2017-04-27,17:45:00,0,793.39,8.117
105,2017-04-27,18:00:00,0,793.26,8.128
106,2017-04-27,18:15:00,0,793.08,8.143
107,2017-04-27,18:30:00,0,792.94,8.129
108,2017-04-27,18:45:00,0,792.78,8.130
109,2017-04-27,19:00:00,0,792.85,8.179
110,2017-04-27,19:15:00,0,792.87,8.164
111,2017-04-27,19:30:00,0,792.77,8.159
112,2017-04-27,19:45:00,0,792.68,8.147
113,2017-04-27,20:00:00,0,792.76,8.152
114,2017-04-27,20:15:00,0,792.57,8.135
115,2017-04-27,20:30:00,0,792.56,8.108
116,2017-04-27,20:45:00,0,792.67,8.154
117,2017-04-27,21:00:00,0,793.14,8.156
118,2017-04-27,21:15:00,0,792.97,8.159
119,2017-04-27,21:30:00,0,793.00,8.150
120,2017-04-27,21:45:00,0,792.86,8.150
121,2017-04-27,22:00:00,0,792.71,8.157
122,2017-04-27,22:15:00,0,792.57,8.097
123,2017-04-27,22:30:00,0,792.76,8.133
124,2017-04-27,22:45:00,0,792.55,8.107
125,2017-04-27,23:00:00,0,792.39,8.145
126,2017-04-27,23:15:00,0,792.43,8.137
127,2017-04-27,23:30:00,0,792.18,8.148
128,2017-04-27,23:45:00,0,792.36,8.115
129,2017-04-28,00:00:00,0,792.44,8.144
130,2017-04-28,00:15:00,0,792.57,8.104
131,2017-04-28,00:30:00,0,792.58,8.139
132,2017-04-28,00:45:00,0,792.91,8.124
133,2017-04-28,01:00:00,0,792.86,8.124
134,2017-04-28,01:15:00,0,793.03,8.172
135,2017-04-28,01:30:00,0,792.79,8.147
136,2017-04-28,01:45:00,0,792.65,8.113
137,2017-04-28,02:00:00,0,792.47,8.115
138,2017-04-28,02:15:00,0,792.23,8.153
139,2017-04-28,02:30:00,0,792.16,8.109
140,2017-04-28,02:45:00,0,792.15,8.144
141,2017-04-28,03:00:00,0,792.08,8.149
142,2017-04-28,03:15:00,0,792.16,8.178
143,2017-04-28,03:30:00,0,792.22,8.172
144,2017-04-28,03:45:00,0,792.22,8.154
145,2017-04-28,04:00:00,0,792.43,8.134
146,2017-04-28,04:15:00,0,792.69,8.116
147,2017-04-28,04:30:00,0,792.89,8.133
148,2017-04-28,04:45:00,0,792.88,8.176
149,2017-04-28,05:00:00,0,793.10,8.111
150,2017-04-28,05:15:00,0,792.99,8.122
151,2017-04-28,05:30:00,0,792.97,8.156
152,2017-04-28,05:45:00,0,792.90,8.127
153,2017-04-28,06:00:00,0,793.13,8.112
154,2017-04-28,06:15:00,0,793.25,8.125
155,2017-04-28,06:30:00,0,793.28,8.142
156,2017-04-28,06:45:00,0,793.37,8.160
157,2017-04-28,07:00:00,0,793.18,8.154
158,2017-04-28,07:15:00,0,793.56,8.146
159,2017-04-28,07:30:00,0,793.97,8.116
160,2017-04-28,07:45:00,0,794.09,8.138
161,2017-04-28,08:00:00,0,794.10,8.120
162,2017-04-28,08:15:00,0,794.07,8.113
163,2017-04-28,08:30:00,0,794.26,8.118
164,2017-04-28,08:45:00,0,794.48,8.147
165,2017-04-28,09:00:00,0,794.58,8.172
166,2017-04-28,09:15:00,0,794.64,8.136
167,2017-04-28,09:30:00,0,794.55,8.161
168,2017-04-28,09:45:00,0,794.73,8.157
169,2017-04-28,10:00:00,0,794.97,8.147
170,2017-04-28,10:15:00,0,795.14,8.130
171,2017-04-28,10:30:00,0,795.36,8.183
172,2017-04-28,10:45:00,0,795.53,8.124
173,2017-04-28,11:00:00,0,795.37,8.138
174,2017-04-28,11:15:00,0,795.37,8.108
175,2017-04-28,11:30:00,0,795.52,8.101
176,2017-04-28,11:45:00,0,795.51,8.160
177,2017-04-28,12:00:00,0,795.80,8.114
178,2017-04-28,12:15:00,0,795.56,8.134
179,2017-04-28,12:30:00,0,795.62,8.129
180,2017-04-28,12:45:00,0,795.55,8.180
181,2017-04-28,13:00:00,0,795.59,8.169
182,2017-04-28,13:15:00,0,795.51,8.117
183,2017-04-28,13:30:00,0,795.44,8.125
184,2017-04-28,13:45:00,0,795.35,8.144
185,2017-04-28,14:00:00,0,795.32,8.109
186,2017-04-28,14:15:00,0,795.25,8.136
187,2017-04-28,14:30:00,0,795.01,8.110
188,2017-04-28,14:45:00,0,795.02,8.124
189,2017-04-28,15:00:00,0,794.69,8.138
190,2017-04-28,15:15:00,0,794.63,8.110
191,2017-04-28,15:30:00,0,794.56,8.103
192,2017-04-28,15:45:00,0,794.55,8.137
193,2017-04-28,16:00:00,0,794.67,8.157
194,2017-04-28,16:15:00,0,794.76,8.126
195,2017-04-28,16:30:00,0,794.70,8.107
196,2017-04-28,16:45:00,0,794.68,8.099
197,2017-04-28,17:00:00,0,794.70,8.093
198,2017-04-28,17:15:00,0,794.72,8.129
199,2017-04-28,17:30:00,0,794.56,8.141
200,2017-04-28,17:45:00,0,794.57,8.125
201,2017-04-28,18:00:00,0,794.87,8.113
202,2017-04-28,18:15:00,0,794.90,8.164
203,2017-04-28,18:30:00,0,795.02,8.160
204,2017-04-28,18:45:00,0,794.86,8.170
205,2017-04-28,19:00:00,0,794.71,8.114
206,2017-04-28,19:15:00,0,794.67,8.145
207,2017-04-28,19:30:00,0,794.96,8.134
208,2017-04-28,19:45:00,0,795.02,8.151
209,2017-04-28,20:00:00,0,794.93,8.122
210,2017-04-28,20:15:00,0,794.94,8.154
211,2017-04-28,20:30:00,0,795.01,8.120
212,2017-04-28,20:45:00,0,795.29,8.131
213,2017-04-28,21:00:00,0,795.43,8.124
214,2017-04-28,21:15:00,0,795.37,8.145
215,2017-04-28,21:30:00,0,795.47,8.149
216,2017-04-28,21:45:00,0,795.57,8.108
217,2017-04-28,22:00:00,0,795.49,8.112
218,2017-04-28,22:15:00,0,795.58,8.135
219,2017-04-28,22:30:00,0,795.64,8.121
220,2017-04-28,22:45:00,0,795.51,8.141
221,2017-04-28,23:00:00,0,795.43,8.127
222,2017-04-28,23:15:00,0,795.49,8.157
223,2017-04-28,23:30:00,0,795.37,8.129
224,2017-04-28,23:45:00,0,795.29,8.119
225,2017-04-29,00:00:00,0,795.29,8.128
226,2017-04-29,00:15:00,0,795.06,8.124
227,2017-04-29,00:30:00,0,795.29,8.122
228,2017-04-29,00:45:00,0,795.11,8.180
229,2017-04-29,01:00:00,0,795.00,8.128
230,2017-04-29,01:15:00,0,795.04,8.148
231,2017-04-29,01:30:00,0,795.15,8.127
232,2017-04-29,01:45:00,0,795.00,8.134
233,2017-04-29,02:00:00,0,794.86,8.144
234,2017-04-29,02:15:00,0,794.61,8.103
235,2017-04-29,02:30:00,0,794.57,8.151
236,2017-04-29,02:45:00,0,794.13,8.136
237,2017-04-29,03:00:00,0,793.66,8.164
238,2017-04-29,03:15:00,0,793.66,8.135
239,2017-04-29,03:30:00,0,793.86,8.165
240,2017-04-29,03:45:00,0,793.77,8.138
241,2017-04-29,04:00:00,0,793.72,8.152
242,2017-04-29,04:15:00,0,793.63,8.143
243,2017-04-29,04:30:00,0,793.54,8.154
244,2017-04-29,04:45:00,0,793.38,8.136
245,2017-04-29,05:00:00,0,793.15,8.149
246,2017-04-29,05:15:00,0,793.21,8.113
247,2017-04-29,05:30:00,0,793.04,8.130
248,2017-04-29,05:45:00,0,792.74,8.130
249,2017-04-29,06:00:00,0,792.67,8.146
250,2017-04-29,06:15:00,0,792.58,8.151
251,2017-04-29,06:30:00,0,792.54,8.116
252,2017-04-29,06:45:00,0,792.60,8.140
253,2017-04-29,07:00:00,0,792.67,8.152
254,2017-04-29,07:15:00,0,792.75,8.142
255,2017-04-29,07:30:00,0,792.62,8.135
256,2017-04-29,07:45:00,0,792.96,8.112
257,2017-04-29,08:00:00,0,792.79,8.159
258,2017-04-29,08:15:00,0,792.79,8.111
259,2017-04-29,08:30:00,0,792.40,8.122
260,2017-04-29,08:45:00,0,792.59,8.147
261,2017-04-29,09:00:00,0,792.42,8.129
262,2017-04-29,09:15:00,0,792.91,8.126
263,2017-04-29,09:30:00,0,792.82,8.140
264,2017-04-29,09:45:00,0,792.78,8.164
265,2017-04-29,10:00:00,0,792.46,8.123
266,2017-04-29,10:15:00,0,792.34,8.111
267,2017-04-29,10:30:00,0,791.96,8.141
268,2017-04-29,10:45:00,0,791.68,8.122
269,2017-04-29,11:00:00,0,791.38,8.152
270,2017-04-29,11:15:00,0,791.07,8.127
271,2017-04-29,11:30:00,0,790.94,8.137
272,2017-04-29,11:45:00,0,791.04,8.102
273,2017-04-29,12:00:00,0,790.85,8.156
274,2017-04-29,12:15:00,0,790.65,8.144
275,2017-04-29,12:30:00,0,790.54,8.134
276,2017-04-29,12:45:00,0,790.58,8.161
277,2017-04-29,13:00:00,0,790.38,8.164
