Serial Number
	1016060
Project ID
	03027062
Location
	ST-ISIDORE-DE-CLIFTON (6 POUCES)
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		338       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-15,13:00:00,0,488.4780,8.724
2,2016-11-15,13:15:00,0,488.2580,8.724
3,2016-11-15,13:30:00,0,488.1180,8.723
4,2016-11-15,13:45:00,0,487.9750,8.723
5,2016-11-15,14:00:00,0,487.9610,8.723
6,2016-11-15,14:15:00,0,488.0580,8.724
7,2016-11-15,14:30:00,0,487.9560,8.721
8,2016-11-15,14:45:00,0,488.0030,8.722
9,2016-11-15,15:00:00,0,487.8200,8.722
10,2016-11-15,15:15:00,0,487.7900,8.722
11,2016-11-15,15:30:00,0,487.7130,8.720
12,2016-11-15,15:45:00,0,487.6480,8.719
13,2016-11-15,16:00:00,0,487.6930,8.720
14,2016-11-15,16:15:00,0,487.5850,8.720
15,2016-11-15,16:30:00,0,487.3970,8.720
16,2016-11-15,16:45:00,0,487.4160,8.720
17,2016-11-15,17:00:00,0,487.3690,8.719
18,2016-11-15,17:15:00,0,487.5260,8.720
19,2016-11-15,17:30:00,0,487.5400,8.720
20,2016-11-15,17:45:00,0,487.5870,8.719
21,2016-11-15,18:00:00,0,487.6300,8.720
22,2016-11-15,18:15:00,0,487.7120,8.720
23,2016-11-15,18:30:00,0,487.8040,8.719
24,2016-11-15,18:45:00,0,487.7360,8.719
25,2016-11-15,19:00:00,0,487.5670,8.718
26,2016-11-15,19:15:00,0,487.4110,8.718
27,2016-11-15,19:30:00,0,487.1820,8.717
28,2016-11-15,19:45:00,0,487.0490,8.718
29,2016-11-15,20:00:00,0,486.9780,8.718
30,2016-11-15,20:15:00,0,487.0220,8.718
31,2016-11-15,20:30:00,0,486.9410,8.718
32,2016-11-15,20:45:00,0,486.7690,8.717
33,2016-11-15,21:00:00,0,486.4470,8.717
34,2016-11-15,21:15:00,0,486.2460,8.716
35,2016-11-15,21:30:00,0,485.9740,8.717
36,2016-11-15,21:45:00,0,485.7270,8.716
37,2016-11-15,22:00:00,0,485.3790,8.715
38,2016-11-15,22:15:00,0,485.0190,8.715
39,2016-11-15,22:30:00,0,484.6900,8.715
40,2016-11-15,22:45:00,0,484.3300,8.714
41,2016-11-15,23:00:00,0,484.1030,8.715
42,2016-11-15,23:15:00,0,483.8050,8.714
43,2016-11-15,23:30:00,0,483.3190,8.714
44,2016-11-15,23:45:00,0,482.8220,8.713
45,2016-11-16,00:00:00,0,482.4490,8.714
46,2016-11-16,00:15:00,0,482.2730,8.713
47,2016-11-16,00:30:00,0,482.2750,8.715
48,2016-11-16,00:45:00,0,482.0550,8.713
49,2016-11-16,01:00:00,0,481.9390,8.715
50,2016-11-16,01:15:00,0,481.7560,8.713
51,2016-11-16,01:30:00,0,481.4630,8.712
52,2016-11-16,01:45:00,0,481.4470,8.713
53,2016-11-16,02:00:00,0,481.3440,8.713
54,2016-11-16,02:15:00,0,481.3600,8.713
55,2016-11-16,02:30:00,0,481.2390,8.712
56,2016-11-16,02:45:00,0,481.2840,8.712
57,2016-11-16,03:00:00,0,481.0730,8.712
58,2016-11-16,03:15:00,0,480.9310,8.712
59,2016-11-16,03:30:00,0,480.7140,8.712
60,2016-11-16,03:45:00,0,480.7210,8.713
61,2016-11-16,04:00:00,0,480.4990,8.710
62,2016-11-16,04:15:00,0,480.2020,8.717
63,2016-11-16,04:30:00,0,480.0740,8.711
64,2016-11-16,04:45:00,0,479.8980,8.710
65,2016-11-16,05:00:00,0,479.5670,8.709
66,2016-11-16,05:15:00,0,479.5550,8.711
67,2016-11-16,05:30:00,0,479.4030,8.710
68,2016-11-16,05:45:00,0,479.2790,8.710
69,2016-11-16,06:00:00,0,479.0760,8.709
70,2016-11-16,06:15:00,0,478.8580,8.710
71,2016-11-16,06:30:00,0,478.8520,8.709
72,2016-11-16,06:45:00,0,478.8470,8.710
73,2016-11-16,07:00:00,0,478.7910,8.708
74,2016-11-16,07:15:00,0,478.8220,8.709
75,2016-11-16,07:30:00,0,478.7810,8.710
76,2016-11-16,07:45:00,0,478.6130,8.709
77,2016-11-16,08:00:00,0,478.3200,8.708
78,2016-11-16,08:15:00,0,478.2340,8.709
79,2016-11-16,08:30:00,0,478.1250,8.707
80,2016-11-16,08:45:00,0,478.0280,8.709
81,2016-11-16,09:00:00,0,477.8750,8.708
82,2016-11-16,09:15:00,0,477.6900,8.707
83,2016-11-16,09:30:00,0,477.5980,8.708
84,2016-11-16,09:45:00,0,477.5240,8.708
85,2016-11-16,10:00:00,0,477.3380,8.707
86,2016-11-16,10:15:00,0,477.2620,8.707
87,2016-11-16,10:30:00,0,477.0620,8.707
88,2016-11-16,10:45:00,0,476.7500,8.706
89,2016-11-16,11:00:00,0,476.5050,8.706
90,2016-11-16,11:15:00,0,476.3820,8.705
91,2016-11-16,11:30:00,0,476.2420,8.706
92,2016-11-16,11:45:00,0,476.1270,8.706
93,2016-11-16,12:00:00,0,475.8970,8.705
94,2016-11-16,12:15:00,0,475.8150,8.705
95,2016-11-16,12:30:00,0,475.7660,8.706
96,2016-11-16,12:45:00,0,475.6190,8.705
97,2016-11-16,13:00:00,0,475.5310,8.706
98,2016-11-16,13:15:00,0,475.6330,8.707
99,2016-11-16,13:30:00,0,475.8870,8.707
100,2016-11-16,13:45:00,0,476.1480,8.706
101,2016-11-16,14:00:00,0,476.3970,8.707
102,2016-11-16,14:15:00,0,476.4760,8.706
103,2016-11-16,14:30:00,0,476.6560,8.706
104,2016-11-16,14:45:00,0,476.7600,8.707
105,2016-11-16,15:00:00,0,477.0840,8.707
106,2016-11-16,15:15:00,0,477.4900,8.706
107,2016-11-16,15:30:00,0,477.7890,8.705
108,2016-11-16,15:45:00,0,478.0210,8.706
109,2016-11-16,16:00:00,0,478.2790,8.706
110,2016-11-16,16:15:00,0,478.4600,8.705
111,2016-11-16,16:30:00,0,478.6800,8.705
112,2016-11-16,16:45:00,0,478.8920,8.705
113,2016-11-16,17:00:00,0,479.0770,8.705
114,2016-11-16,17:15:00,0,479.3070,8.705
115,2016-11-16,17:30:00,0,479.5070,8.705
116,2016-11-16,17:45:00,0,479.6250,8.705
117,2016-11-16,18:00:00,0,479.7690,8.704
118,2016-11-16,18:15:00,0,479.8830,8.704
119,2016-11-16,18:30:00,0,479.9910,8.704
120,2016-11-16,18:45:00,0,480.0380,8.705
121,2016-11-16,19:00:00,0,480.1320,8.704
122,2016-11-16,19:15:00,0,480.3040,8.705
123,2016-11-16,19:30:00,0,480.4030,8.703
124,2016-11-16,19:45:00,0,480.4880,8.704
125,2016-11-16,20:00:00,0,480.5360,8.704
126,2016-11-16,20:15:00,0,480.6710,8.704
127,2016-11-16,20:30:00,0,480.9410,8.703
128,2016-11-16,20:45:00,0,481.0890,8.702
129,2016-11-16,21:00:00,0,481.1980,8.703
130,2016-11-16,21:15:00,0,481.2370,8.702
131,2016-11-16,21:30:00,0,481.3140,8.704
132,2016-11-16,21:45:00,0,481.4500,8.704
133,2016-11-16,22:00:00,0,481.5010,8.703
134,2016-11-16,22:15:00,0,481.5440,8.701
135,2016-11-16,22:30:00,0,481.6110,8.702
136,2016-11-16,22:45:00,0,481.7750,8.702
