Serial Number
	1016060
Project ID
	03027062
Location
	ST-ISIDORE-DE-CLIFTON (6 POUCES)
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		338       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-27,11:00:00,0,516.4350,5.158
2,2017-04-27,11:15:00,0,516.3181,5.157
3,2017-04-27,11:30:00,0,516.1801,5.146
4,2017-04-27,11:45:00,0,516.2350,5.071
5,2017-04-27,12:00:00,0,516.1060,5.085
6,2017-04-27,12:15:00,0,516.1021,4.988
7,2017-04-27,12:30:00,0,515.9530,4.988
8,2017-04-27,12:45:00,0,515.9520,5.070
9,2017-04-27,13:00:00,0,515.8250,4.941
10,2017-04-27,13:15:00,0,515.7410,5.017
11,2017-04-27,13:30:00,0,515.5170,4.984
12,2017-04-27,13:45:00,0,515.4800,4.836
13,2017-04-27,14:00:00,0,515.4950,5.089
14,2017-04-27,14:15:00,0,515.5551,5.148
15,2017-04-27,14:30:00,0,515.5900,5.100
16,2017-04-27,14:45:00,0,515.6260,5.022
17,2017-04-27,15:00:00,0,515.6510,5.155
18,2017-04-27,15:15:00,0,515.4901,5.163
19,2017-04-27,15:30:00,0,515.3880,5.093
20,2017-04-27,15:45:00,0,515.3700,5.170
21,2017-04-27,16:00:00,0,515.1350,4.857
22,2017-04-27,16:15:00,0,514.9490,5.043
23,2017-04-27,16:30:00,0,514.9260,4.993
24,2017-04-27,16:45:00,0,514.6910,4.936
25,2017-04-27,17:00:00,0,514.6770,5.045
26,2017-04-27,17:15:00,0,514.4220,5.023
27,2017-04-27,17:30:00,0,514.3070,4.875
28,2017-04-27,17:45:00,0,514.5490,5.150
29,2017-04-27,18:00:00,0,514.4610,5.126
30,2017-04-27,18:15:00,0,514.3990,5.322
31,2017-04-27,18:30:00,0,514.1931,5.060
32,2017-04-27,18:45:00,0,514.1411,5.034
33,2017-04-27,19:00:00,0,514.0980,4.986
34,2017-04-27,19:15:00,0,513.9440,4.950
35,2017-04-27,19:30:00,0,514.0790,4.909
36,2017-04-27,19:45:00,0,514.0760,5.139
37,2017-04-27,20:00:00,0,514.3380,4.814
38,2017-04-27,20:15:00,0,514.3500,4.948
39,2017-04-27,20:30:00,0,514.4310,4.850
40,2017-04-27,20:45:00,0,514.4570,4.981
41,2017-04-27,21:00:00,0,514.5900,5.066
42,2017-04-27,21:15:00,0,514.6710,5.176
43,2017-04-27,21:30:00,0,514.6270,5.018
44,2017-04-27,21:45:00,0,514.6140,5.168
45,2017-04-27,22:00:00,0,514.4810,5.063
46,2017-04-27,22:15:00,0,514.4240,5.035
47,2017-04-27,22:30:00,0,514.2100,5.056
48,2017-04-27,22:45:00,0,514.0681,5.050
49,2017-04-27,23:00:00,0,513.9790,5.132
50,2017-04-27,23:15:00,0,514.0390,4.913
51,2017-04-27,23:30:00,0,514.1700,5.052
52,2017-04-27,23:45:00,0,514.0760,5.101
53,2017-04-28,00:00:00,0,514.0230,4.955
54,2017-04-28,00:15:00,0,513.9580,5.097
55,2017-04-28,00:30:00,0,513.8410,5.002
56,2017-04-28,00:45:00,0,513.9070,4.826
57,2017-04-28,01:00:00,0,514.0980,4.876
58,2017-04-28,01:15:00,0,514.3911,5.158
59,2017-04-28,01:30:00,0,514.4380,5.064
60,2017-04-28,01:45:00,0,514.3440,4.951
61,2017-04-28,02:00:00,0,514.6220,5.166
62,2017-04-28,02:15:00,0,514.6370,5.143
63,2017-04-28,02:30:00,0,514.1270,5.063
64,2017-04-28,02:45:00,0,513.5760,4.977
65,2017-04-28,03:00:00,0,513.3530,5.240
66,2017-04-28,03:15:00,0,513.5820,5.061
67,2017-04-28,03:30:00,0,513.5090,5.043
68,2017-04-28,03:45:00,0,513.4810,5.073
69,2017-04-28,04:00:00,0,513.4771,5.076
70,2017-04-28,04:15:00,0,513.6730,5.257
71,2017-04-28,04:30:00,0,513.7600,5.141
72,2017-04-28,04:45:00,0,513.8220,5.164
73,2017-04-28,05:00:00,0,513.9800,5.140
74,2017-04-28,05:15:00,0,513.9930,5.211
75,2017-04-28,05:30:00,0,514.1220,5.149
76,2017-04-28,05:45:00,0,514.2170,4.967
77,2017-04-28,06:00:00,0,514.4060,5.146
78,2017-04-28,06:15:00,0,514.2570,5.088
79,2017-04-28,06:30:00,0,514.3720,5.040
80,2017-04-28,06:45:00,0,514.5840,4.935
81,2017-04-28,07:00:00,0,514.5780,5.071
82,2017-04-28,07:15:00,0,514.7200,5.045
83,2017-04-28,07:30:00,0,514.6340,5.069
84,2017-04-28,07:45:00,0,514.6350,5.050
85,2017-04-28,08:00:00,0,514.7610,5.024
86,2017-04-28,08:15:00,0,515.0060,5.017
87,2017-04-28,08:30:00,0,515.2460,5.189
88,2017-04-28,08:45:00,0,515.4200,5.104
89,2017-04-28,09:00:00,0,515.5200,5.124
90,2017-04-28,09:15:00,0,515.6510,4.914
91,2017-04-28,09:30:00,0,515.6650,4.995
92,2017-04-28,09:45:00,0,515.7360,4.769
