Serial Number
	1029705
Project ID
	03027061
Location
	St-Isidore-de-Clifton (4 pouces)
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		338       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-04-27,11:00:00,0,1758.4099,7.606
2,2017-04-27,11:15:00,0,1768.8800,7.606
3,2017-04-27,11:30:00,0,1778.8099,7.611
4,2017-04-27,11:45:00,0,1788.1499,7.611
5,2017-04-27,12:00:00,0,1796.7500,7.610
6,2017-04-27,12:15:00,0,1805.1599,7.610
7,2017-04-27,12:30:00,0,1813.0399,7.609
8,2017-04-27,12:45:00,0,1778.6400,7.607
9,2017-04-27,13:00:00,0,1686.0599,7.586
10,2017-04-27,13:15:00,0,1621.6799,7.580
11,2017-04-27,13:30:00,0,1566.1599,7.570
12,2017-04-27,13:45:00,0,1517.3700,7.562
13,2017-04-27,14:00:00,0,1472.6100,7.562
14,2017-04-27,14:15:00,0,1431.3700,7.553
15,2017-04-27,14:30:00,0,1392.3600,7.551
16,2017-04-27,14:45:00,0,1357.2999,7.554
17,2017-04-27,15:00:00,0,1323.9099,7.556
18,2017-04-27,15:15:00,0,1292.1699,7.552
19,2017-04-27,15:30:00,0,1261.1100,7.552
20,2017-04-27,15:45:00,0,1233.0200,7.544
21,2017-04-27,16:00:00,0,1206.0599,7.547
22,2017-04-27,16:15:00,0,1274.2400,7.560
23,2017-04-27,16:30:00,0,1330.2700,7.576
24,2017-04-27,16:45:00,0,1371.6400,7.583
25,2017-04-27,17:00:00,0,1405.7200,7.589
26,2017-04-27,17:15:00,0,1434.9000,7.594
27,2017-04-27,17:30:00,0,1460.7500,7.596
28,2017-04-27,17:45:00,0,1484.1400,7.601
29,2017-04-27,18:00:00,0,1505.0100,7.602
30,2017-04-27,18:15:00,0,1524.2200,7.604
31,2017-04-27,18:30:00,0,1541.9299,7.606
32,2017-04-27,18:45:00,0,1558.4500,7.607
33,2017-04-27,19:00:00,0,1573.7600,7.607
34,2017-04-27,19:15:00,0,1588.2600,7.609
35,2017-04-27,19:30:00,0,1602.0399,7.610
36,2017-04-27,19:45:00,0,1614.9600,7.610
37,2017-04-27,20:00:00,0,1627.3800,7.611
38,2017-04-27,20:15:00,0,1639.1599,7.611
39,2017-04-27,20:30:00,0,1650.3099,7.611
40,2017-04-27,20:45:00,0,1572.2999,7.602
41,2017-04-27,21:00:00,0,1499.8199,7.587
42,2017-04-27,21:15:00,0,1442.6899,7.581
43,2017-04-27,21:30:00,0,1392.6400,7.569
44,2017-04-27,21:45:00,0,1348.7600,7.569
45,2017-04-27,22:00:00,0,1307.7700,7.564
46,2017-04-27,22:15:00,0,1271.0399,7.560
47,2017-04-27,22:30:00,0,1341.5599,7.573
48,2017-04-27,22:45:00,0,1387.3700,7.583
49,2017-04-27,23:00:00,0,1421.5499,7.588
50,2017-04-27,23:15:00,0,1450.0200,7.595
51,2017-04-27,23:30:00,0,1474.5100,7.597
52,2017-04-27,23:45:00,0,1495.9800,7.601
53,2017-04-28,00:00:00,0,1515.5100,7.603
54,2017-04-28,00:15:00,0,1533.1699,7.605
55,2017-04-28,00:30:00,0,1549.5200,7.607
56,2017-04-28,00:45:00,0,1564.8700,7.607
57,2017-04-28,01:00:00,0,1579.3600,7.608
58,2017-04-28,01:15:00,0,1592.9299,7.610
59,2017-04-28,01:30:00,0,1605.5399,7.610
60,2017-04-28,01:45:00,0,1617.6100,7.611
61,2017-04-28,02:00:00,0,1629.3400,7.610
62,2017-04-28,02:15:00,0,1640.1000,7.611
63,2017-04-28,02:30:00,0,1649.9800,7.612
64,2017-04-28,02:45:00,0,1659.4800,7.611
65,2017-04-28,03:00:00,0,1668.9099,7.611
66,2017-04-28,03:15:00,0,1678.3099,7.612
67,2017-04-28,03:30:00,0,1686.9099,7.612
68,2017-04-28,03:45:00,0,1695.4399,7.611
69,2017-04-28,04:00:00,0,1703.5599,7.612
70,2017-04-28,04:15:00,0,1711.6400,7.612
71,2017-04-28,04:30:00,0,1719.3600,7.611
72,2017-04-28,04:45:00,0,1726.8600,7.612
73,2017-04-28,05:00:00,0,1734.2799,7.613
74,2017-04-28,05:15:00,0,1741.2100,7.612
75,2017-04-28,05:30:00,0,1748.1799,7.613
76,2017-04-28,05:45:00,0,1754.9900,7.612
77,2017-04-28,06:00:00,0,1761.5299,7.612
78,2017-04-28,06:15:00,0,1767.8400,7.613
79,2017-04-28,06:30:00,0,1774.0499,7.612
80,2017-04-28,06:45:00,0,1780.4500,7.611
81,2017-04-28,07:00:00,0,1786.1599,7.613
82,2017-04-28,07:15:00,0,1792.0200,7.612
83,2017-04-28,07:30:00,0,1797.4299,7.612
84,2017-04-28,07:45:00,0,1803.0399,7.612
85,2017-04-28,08:00:00,0,1808.5200,7.611
86,2017-04-28,08:15:00,0,1813.9600,7.611
87,2017-04-28,08:30:00,0,1730.6300,7.603
88,2017-04-28,08:45:00,0,1653.1400,7.586
89,2017-04-28,09:00:00,0,1590.6799,7.577
90,2017-04-28,09:15:00,0,1536.3700,7.568
91,2017-04-28,09:30:00,0,1487.2000,7.565
92,2017-04-28,09:45:00,0,1442.5699,7.558
93,2017-04-28,10:00:00,0,1401.7800,7.556
94,2017-04-28,10:15:00,0,1414.6100,7.560
95,2017-04-28,10:30:00,0,1473.3900,7.575
96,2017-04-28,10:45:00,0,1509.0599,7.583
97,2017-04-28,11:00:00,0,1537.2500,7.589
98,2017-04-28,11:15:00,0,1560.7700,7.593
99,2017-04-28,11:30:00,0,1581.4700,7.597
100,2017-04-28,11:45:00,0,1599.6899,7.599
101,2017-04-28,12:00:00,0,1616.0200,7.602
102,2017-04-28,12:15:00,0,1630.8900,7.603
103,2017-04-28,12:30:00,0,1644.6899,7.605
104,2017-04-28,12:45:00,0,1657.5299,7.606
105,2017-04-28,13:00:00,0,1669.3800,7.607
106,2017-04-28,13:15:00,0,1680.8700,7.608
107,2017-04-28,13:30:00,0,1691.3199,7.608
108,2017-04-28,13:45:00,0,1701.0599,7.609
109,2017-04-28,14:00:00,0,1710.8300,7.610
110,2017-04-28,14:15:00,0,1719.9199,7.610
111,2017-04-28,14:30:00,0,1728.5299,7.610
112,2017-04-28,14:45:00,0,1736.7300,7.611
113,2017-04-28,15:00:00,0,1744.5900,7.611
114,2017-04-28,15:15:00,0,1752.0800,7.611
115,2017-04-28,15:30:00,0,1759.1100,7.610
116,2017-04-28,15:45:00,0,1766.2000,7.611
117,2017-04-28,16:00:00,0,1773.1599,7.611
118,2017-04-28,16:15:00,0,1780.1599,7.611
119,2017-04-28,16:30:00,0,1786.8900,7.611
120,2017-04-28,16:45:00,0,1793.4299,7.611
121,2017-04-28,17:00:00,0,1799.5399,7.611
122,2017-04-28,17:15:00,0,1690.1599,7.597
123,2017-04-28,17:30:00,0,1617.1200,7.583
124,2017-04-28,17:45:00,0,1558.9399,7.575
125,2017-04-28,18:00:00,0,1507.4600,7.569
