Serial Number
	1032334
Project ID
	03010003
Location
	Saint-Albert
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		116       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-15,19:00:00,0,753.6960,9.008
2,2016-11-15,19:15:00,0,753.3240,9.007
3,2016-11-15,19:30:00,0,752.8530,9.009
4,2016-11-15,19:45:00,0,752.6360,9.009
5,2016-11-15,20:00:00,0,752.2921,9.010
6,2016-11-15,20:15:00,0,751.8181,9.010
7,2016-11-15,20:30:00,0,751.4561,9.011
8,2016-11-15,20:45:00,0,751.1270,9.011
9,2016-11-15,21:00:00,0,750.5731,9.012
10,2016-11-15,21:15:00,0,749.9050,9.013
11,2016-11-15,21:30:00,0,749.4840,9.013
12,2016-11-15,21:45:00,0,749.1580,9.013
13,2016-11-15,22:00:00,0,748.7581,9.013
14,2016-11-15,22:15:00,0,748.3630,9.014
15,2016-11-15,22:30:00,0,747.9130,9.014
16,2016-11-15,22:45:00,0,747.6171,9.014
17,2016-11-15,23:00:00,0,747.1340,9.013
18,2016-11-15,23:15:00,0,746.8260,9.013
19,2016-11-15,23:30:00,0,746.6660,9.013
20,2016-11-15,23:45:00,0,746.2810,9.013
21,2016-11-16,00:00:00,0,745.8860,9.013
22,2016-11-16,00:15:00,0,745.6180,9.012
23,2016-11-16,00:30:00,0,745.5530,9.011
24,2016-11-16,00:45:00,0,745.5590,9.011
25,2016-11-16,01:00:00,0,745.5840,9.010
26,2016-11-16,01:15:00,0,745.6650,9.010
27,2016-11-16,01:30:00,0,746.1830,9.009
28,2016-11-16,01:45:00,0,746.7390,9.008
29,2016-11-16,02:00:00,0,746.9570,9.006
30,2016-11-16,02:15:00,0,747.2740,9.006
31,2016-11-16,02:30:00,0,747.8120,9.005
32,2016-11-16,02:45:00,0,748.0830,9.004
33,2016-11-16,03:00:00,0,748.4210,9.003
34,2016-11-16,03:15:00,0,748.7980,9.003
35,2016-11-16,03:30:00,0,749.1331,9.002
36,2016-11-16,03:45:00,0,749.5450,9.001
37,2016-11-16,04:00:00,0,749.9230,9.001
38,2016-11-16,04:15:00,0,750.2070,9.000
39,2016-11-16,04:30:00,0,750.8181,9.000
40,2016-11-16,04:45:00,0,751.0330,9.000
41,2016-11-16,05:00:00,0,751.2150,8.999
42,2016-11-16,05:15:00,0,751.6630,8.999
43,2016-11-16,05:30:00,0,751.9481,8.998
44,2016-11-16,05:45:00,0,751.7690,8.999
45,2016-11-16,06:00:00,0,752.6130,8.999
46,2016-11-16,06:15:00,0,752.6931,8.998
47,2016-11-16,06:30:00,0,753.0320,8.998
