Serial Number
	1040971
Project ID
	02360001-BARO
Location
	Saint-Édouard_BARO
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		66        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-14,13:00:00,0,81.4395,12.905
2,2016-11-14,13:15:00,0,81.4262,13.373
3,2016-11-14,13:30:00,0,81.3639,13.715
4,2016-11-14,13:45:00,0,81.4916,14.023
5,2016-11-14,14:00:00,0,81.5431,14.328
6,2016-11-14,14:15:00,0,81.9459,14.604
7,2016-11-14,14:30:00,0,82.1529,14.799
8,2016-11-14,14:45:00,0,82.4705,14.900
9,2016-11-14,15:00:00,0,82.6491,14.672
10,2016-11-14,15:15:00,0,82.8878,14.116
11,2016-11-14,15:30:00,0,83.2960,13.430
12,2016-11-14,15:45:00,0,83.2944,12.729
13,2016-11-14,16:00:00,0,83.3555,12.053
14,2016-11-14,16:15:00,0,83.4993,11.415
15,2016-11-14,16:30:00,0,83.6801,10.830
16,2016-11-14,16:45:00,0,83.9435,10.288
17,2016-11-14,17:00:00,0,84.2165,9.781
18,2016-11-14,17:15:00,0,84.3656,9.327
19,2016-11-14,17:30:00,0,84.4853,8.935
20,2016-11-14,17:45:00,0,84.6167,8.611
21,2016-11-14,18:00:00,0,84.8403,8.346
22,2016-11-14,18:15:00,0,84.8393,8.119
23,2016-11-14,18:30:00,0,84.9068,7.939
24,2016-11-14,18:45:00,0,84.9041,7.816
25,2016-11-14,19:00:00,0,85.0071,7.725
26,2016-11-14,19:15:00,0,85.0511,7.647
27,2016-11-14,19:30:00,0,85.0897,7.586
28,2016-11-14,19:45:00,0,85.2415,7.554
29,2016-11-14,20:00:00,0,85.2780,7.534
30,2016-11-14,20:15:00,0,85.3643,7.512
31,2016-11-14,20:30:00,0,85.3772,7.463
32,2016-11-14,20:45:00,0,85.5119,7.396
33,2016-11-14,21:00:00,0,85.5033,7.321
34,2016-11-14,21:15:00,0,85.5231,7.243
35,2016-11-14,21:30:00,0,85.5478,7.168
36,2016-11-14,21:45:00,0,85.4384,7.100
37,2016-11-14,22:00:00,0,85.4212,7.032
38,2016-11-14,22:15:00,0,85.3778,6.964
39,2016-11-14,22:30:00,0,85.4540,6.885
40,2016-11-14,22:45:00,0,85.4882,6.796
41,2016-11-14,23:00:00,0,85.6240,6.719
42,2016-11-14,23:15:00,0,85.8031,6.660
43,2016-11-14,23:30:00,0,85.8589,6.613
44,2016-11-14,23:45:00,0,85.8771,6.572
45,2016-11-15,00:00:00,0,85.7683,6.545
46,2016-11-15,00:15:00,0,85.8412,6.525
47,2016-11-15,00:30:00,0,85.7892,6.500
48,2016-11-15,00:45:00,0,85.7946,6.433
49,2016-11-15,01:00:00,0,85.9265,6.298
50,2016-11-15,01:15:00,0,85.9742,6.088
51,2016-11-15,01:30:00,0,86.0741,5.865
52,2016-11-15,01:45:00,0,86.0976,5.641
53,2016-11-15,02:00:00,0,86.3020,5.408
54,2016-11-15,02:15:00,0,86.3519,5.154
55,2016-11-15,02:30:00,0,86.4469,4.866
56,2016-11-15,02:45:00,0,86.3889,4.580
57,2016-11-15,03:00:00,0,86.3846,4.325
58,2016-11-15,03:15:00,0,86.4286,4.094
59,2016-11-15,03:30:00,0,86.5648,3.875
60,2016-11-15,03:45:00,0,86.4694,3.704
61,2016-11-15,04:00:00,0,86.5638,3.566
62,2016-11-15,04:15:00,0,86.5450,3.445
63,2016-11-15,04:30:00,0,86.4512,3.331
64,2016-11-15,04:45:00,0,86.3186,3.206
65,2016-11-15,05:00:00,0,86.2210,3.126
66,2016-11-15,05:15:00,0,86.1481,3.121
67,2016-11-15,05:30:00,0,86.1657,3.149
68,2016-11-15,05:45:00,0,86.2382,3.174
69,2016-11-15,06:00:00,0,86.4061,3.202
70,2016-11-15,06:15:00,0,86.4441,3.243
71,2016-11-15,06:30:00,0,86.4055,3.303
72,2016-11-15,06:45:00,0,86.4404,3.375
73,2016-11-15,07:00:00,0,86.6458,3.473
74,2016-11-15,07:15:00,0,86.8448,3.602
75,2016-11-15,07:30:00,0,86.8571,3.765
76,2016-11-15,07:45:00,0,86.9875,3.978
77,2016-11-15,08:00:00,0,86.9848,4.224
78,2016-11-15,08:15:00,0,87.0921,4.525
79,2016-11-15,08:30:00,0,86.9274,4.968
80,2016-11-15,08:45:00,0,86.7488,5.591
81,2016-11-15,09:00:00,0,86.5955,6.227
82,2016-11-15,09:15:00,0,86.7043,6.757
83,2016-11-15,09:30:00,0,86.8325,7.202
84,2016-11-15,09:45:00,0,87.0406,7.598
85,2016-11-15,10:00:00,0,87.1399,8.008
86,2016-11-15,10:15:00,0,87.0186,8.402
87,2016-11-15,10:30:00,0,86.7273,8.766
88,2016-11-15,10:45:00,0,86.4774,9.140
89,2016-11-15,11:00:00,0,86.2891,9.470
90,2016-11-15,11:15:00,0,86.0472,9.856
91,2016-11-15,11:30:00,0,85.8814,10.487
92,2016-11-15,11:45:00,0,85.9517,11.187
93,2016-11-15,12:00:00,0,85.8154,11.631
94,2016-11-15,12:15:00,0,85.5456,12.001
95,2016-11-15,12:30:00,0,85.5499,12.314
96,2016-11-15,12:45:00,0,85.3038,12.479
97,2016-11-15,13:00:00,0,85.2088,12.604
98,2016-11-15,13:15:00,0,85.0308,12.778
99,2016-11-15,13:30:00,0,84.8129,13.058
100,2016-11-15,13:45:00,0,84.8113,13.409
101,2016-11-15,14:00:00,0,84.7406,13.734
102,2016-11-15,14:15:00,0,84.7277,13.920
103,2016-11-15,14:30:00,0,84.5528,13.916
104,2016-11-15,14:45:00,0,84.6392,13.848
105,2016-11-15,15:00:00,0,84.5609,13.730
106,2016-11-15,15:15:00,0,84.6923,13.548
107,2016-11-15,15:30:00,0,84.8650,13.270
108,2016-11-15,15:45:00,0,84.6708,12.842
109,2016-11-15,16:00:00,0,84.6435,12.206
110,2016-11-15,16:15:00,0,84.5507,11.362
111,2016-11-15,16:30:00,0,84.5882,10.470
112,2016-11-15,16:45:00,0,84.5914,9.657
113,2016-11-15,17:00:00,0,84.8333,8.968
114,2016-11-15,17:15:00,0,84.7443,8.381
115,2016-11-15,17:30:00,0,84.7829,7.861
116,2016-11-15,17:45:00,0,84.7336,7.396
117,2016-11-15,18:00:00,0,84.6939,6.990
118,2016-11-15,18:15:00,0,84.3881,6.654
119,2016-11-15,18:30:00,0,84.4401,6.363
120,2016-11-15,18:45:00,0,84.4434,6.108
121,2016-11-15,19:00:00,0,84.2754,5.882
122,2016-11-15,19:15:00,0,84.4123,5.682
123,2016-11-15,19:30:00,0,84.0551,5.507
124,2016-11-15,19:45:00,0,83.9703,5.361
125,2016-11-15,20:00:00,0,84.1264,5.249
126,2016-11-15,20:15:00,0,83.9676,5.162
127,2016-11-15,20:30:00,0,83.7353,5.088
128,2016-11-15,20:45:00,0,83.8421,5.034
129,2016-11-15,21:00:00,0,83.7381,5.004
130,2016-11-15,21:15:00,0,83.6870,4.989
131,2016-11-15,21:30:00,0,83.5540,4.987
132,2016-11-15,21:45:00,0,83.3845,4.998
133,2016-11-15,22:00:00,0,83.2118,5.018
134,2016-11-15,22:15:00,0,83.1501,5.042
135,2016-11-15,22:30:00,0,83.0246,5.069
136,2016-11-15,22:45:00,0,82.8926,5.100
137,2016-11-15,23:00:00,0,82.9827,5.144
138,2016-11-15,23:15:00,0,82.7784,5.188
139,2016-11-15,23:30:00,0,82.5633,5.220
140,2016-11-15,23:45:00,0,82.4211,5.229
141,2016-11-16,00:00:00,0,82.0929,5.211
142,2016-11-16,00:15:00,0,81.7415,5.182
143,2016-11-16,00:30:00,0,81.4830,5.148
144,2016-11-16,00:45:00,0,81.3559,5.115
145,2016-11-16,01:00:00,0,80.9890,5.090
146,2016-11-16,01:15:00,0,80.9171,5.072
147,2016-11-16,01:30:00,0,80.1768,5.061
148,2016-11-16,01:45:00,0,80.0546,5.058
149,2016-11-16,02:00:00,0,80.0181,5.061
150,2016-11-16,02:15:00,0,79.8233,5.067
151,2016-11-16,02:30:00,0,79.6077,5.076
152,2016-11-16,02:45:00,0,79.7525,5.083
153,2016-11-16,03:00:00,0,79.5310,5.089
154,2016-11-16,03:15:00,0,79.2183,5.093
155,2016-11-16,03:30:00,0,78.8616,5.095
156,2016-11-16,03:45:00,0,78.4883,5.106
157,2016-11-16,04:00:00,0,78.5886,5.124
158,2016-11-16,04:15:00,0,78.4781,5.146
159,2016-11-16,04:30:00,0,78.3311,5.176
160,2016-11-16,04:45:00,0,78.2989,5.214
161,2016-11-16,05:00:00,0,78.1402,5.251
162,2016-11-16,05:15:00,0,77.9422,5.288
163,2016-11-16,05:30:00,0,77.5201,5.325
164,2016-11-16,05:45:00,0,77.1880,5.359
165,2016-11-16,06:00:00,0,76.5958,5.386
166,2016-11-16,06:15:00,0,76.9831,5.396
167,2016-11-16,06:30:00,0,76.6377,5.396
168,2016-11-16,06:45:00,0,76.5256,5.386
169,2016-11-16,07:00:00,0,76.8571,5.375
170,2016-11-16,07:15:00,0,76.7139,5.369
171,2016-11-16,07:30:00,0,76.6172,5.369
172,2016-11-16,07:45:00,0,76.6736,5.382
173,2016-11-16,08:00:00,0,76.6559,5.402
174,2016-11-16,08:15:00,0,76.5116,5.421
175,2016-11-16,08:30:00,0,76.2542,5.442
176,2016-11-16,08:45:00,0,75.9999,5.482
177,2016-11-16,09:00:00,0,75.8191,5.552
178,2016-11-16,09:15:00,0,75.5461,5.646
179,2016-11-16,09:30:00,0,75.3041,5.750
180,2016-11-16,09:45:00,0,75.2607,5.868
181,2016-11-16,10:00:00,0,75.0805,5.975
182,2016-11-16,10:15:00,0,75.2720,6.070
183,2016-11-16,10:30:00,0,75.1905,6.136
184,2016-11-16,10:45:00,0,74.7007,6.156
185,2016-11-16,11:00:00,0,74.1858,6.183
186,2016-11-16,11:15:00,0,73.7578,6.230
187,2016-11-16,11:30:00,0,73.6043,6.301
188,2016-11-16,11:45:00,0,73.3989,6.356
189,2016-11-16,12:00:00,0,73.1650,6.367
190,2016-11-16,12:15:00,0,72.9928,6.381
191,2016-11-16,12:30:00,0,72.9268,6.457
192,2016-11-16,12:45:00,0,72.8201,6.591
193,2016-11-16,13:00:00,0,72.6742,6.766
194,2016-11-16,13:15:00,0,72.7804,6.901
195,2016-11-16,13:30:00,0,72.7118,6.981
196,2016-11-16,13:45:00,0,72.6667,7.028
197,2016-11-16,14:00:00,0,72.6452,7.080
198,2016-11-16,14:15:00,0,72.6549,7.123
199,2016-11-16,14:30:00,0,72.8152,7.119
200,2016-11-16,14:45:00,0,72.8614,7.112
201,2016-11-16,15:00:00,0,73.0985,7.104
202,2016-11-16,15:15:00,0,73.1994,7.084
203,2016-11-16,15:30:00,0,73.3125,7.055
204,2016-11-16,15:45:00,0,73.5426,7.013
205,2016-11-16,16:00:00,0,73.6982,6.961
206,2016-11-16,16:15:00,0,73.7277,6.901
207,2016-11-16,16:30:00,0,74.0249,6.835
208,2016-11-16,16:45:00,0,74.4212,6.773
209,2016-11-16,17:00:00,0,74.4283,6.720
210,2016-11-16,17:15:00,0,74.6411,6.677
211,2016-11-16,17:30:00,0,74.8777,6.641
212,2016-11-16,17:45:00,0,75.0086,6.612
213,2016-11-16,18:00:00,0,75.0870,6.589
214,2016-11-16,18:15:00,0,75.1572,6.566
215,2016-11-16,18:30:00,0,75.1540,6.544
216,2016-11-16,18:45:00,0,75.1739,6.521
217,2016-11-16,19:00:00,0,75.2227,6.496
218,2016-11-16,19:15:00,0,75.2956,6.472
219,2016-11-16,19:30:00,0,75.4232,6.451
220,2016-11-16,19:45:00,0,75.5530,6.433
221,2016-11-16,20:00:00,0,75.5767,6.424
222,2016-11-16,20:15:00,0,75.7032,6.425
223,2016-11-16,20:30:00,0,75.9285,6.440
224,2016-11-16,20:45:00,0,76.0198,6.463
225,2016-11-16,21:00:00,0,76.1710,6.488
226,2016-11-16,21:15:00,0,76.3775,6.515
227,2016-11-16,21:30:00,0,76.4220,6.545
228,2016-11-16,21:45:00,0,76.3727,6.579
229,2016-11-16,22:00:00,0,76.3909,6.612
230,2016-11-16,22:15:00,0,76.5765,6.642
231,2016-11-16,22:30:00,0,76.6843,6.664
232,2016-11-16,22:45:00,0,76.7074,6.682
233,2016-11-16,23:00:00,0,76.7901,6.689
234,2016-11-16,23:15:00,0,77.0196,6.674
235,2016-11-16,23:30:00,0,77.1156,6.638
236,2016-11-16,23:45:00,0,77.1832,6.603
237,2016-11-17,00:00:00,0,77.2003,6.573
238,2016-11-17,00:15:00,0,77.1880,6.539
239,2016-11-17,00:30:00,0,77.3254,6.490
240,2016-11-17,00:45:00,0,77.5249,6.435
241,2016-11-17,01:00:00,0,77.6032,6.387
242,2016-11-17,01:15:00,0,77.7475,6.348
243,2016-11-17,01:30:00,0,77.8827,6.324
