Serial Number
	1041162
Project ID
	02360001
Location
	Saint-Édouard
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		66        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-14,13:00:00,0,502.0200,9.468
2,2016-11-14,13:15:00,0,502.0350,9.467
3,2016-11-14,13:30:00,0,502.0000,9.467
4,2016-11-14,13:45:00,0,502.1040,9.467
5,2016-11-14,14:00:00,0,502.0970,9.467
6,2016-11-14,14:15:00,0,502.3480,9.468
7,2016-11-14,14:30:00,0,502.4770,9.467
8,2016-11-14,14:45:00,0,502.5840,9.469
9,2016-11-14,15:00:00,0,502.6350,9.467
10,2016-11-14,15:15:00,0,502.5730,9.468
11,2016-11-14,15:30:00,0,502.9670,9.469
12,2016-11-14,15:45:00,0,502.8750,9.468
13,2016-11-14,16:00:00,0,502.9120,9.467
14,2016-11-14,16:15:00,0,503.0200,9.470
15,2016-11-14,16:30:00,0,503.1820,9.469
16,2016-11-14,16:45:00,0,503.2780,9.468
17,2016-11-14,17:00:00,0,503.4380,9.469
18,2016-11-14,17:15:00,0,503.3620,9.469
19,2016-11-14,17:30:00,0,503.5230,9.471
20,2016-11-14,17:45:00,0,503.5860,9.470
21,2016-11-14,18:00:00,0,503.7560,9.471
22,2016-11-14,18:15:00,0,503.7170,9.470
23,2016-11-14,18:30:00,0,503.7450,9.472
24,2016-11-14,18:45:00,0,503.7400,9.472
25,2016-11-14,19:00:00,0,503.8360,9.473
26,2016-11-14,19:15:00,0,503.8390,9.472
27,2016-11-14,19:30:00,0,503.8570,9.472
28,2016-11-14,19:45:00,0,504.0060,9.473
29,2016-11-14,20:00:00,0,503.9650,9.474
30,2016-11-14,20:15:00,0,503.9230,9.473
31,2016-11-14,20:30:00,0,504.0380,9.473
32,2016-11-14,20:45:00,0,504.1420,9.475
33,2016-11-14,21:00:00,0,504.0680,9.473
34,2016-11-14,21:15:00,0,504.1100,9.474
35,2016-11-14,21:30:00,0,504.1260,9.474
36,2016-11-14,21:45:00,0,504.0380,9.476
37,2016-11-14,22:00:00,0,504.1160,9.475
38,2016-11-14,22:15:00,0,504.0370,9.476
39,2016-11-14,22:30:00,0,504.1120,9.476
40,2016-11-14,22:45:00,0,504.1690,9.476
41,2016-11-14,23:00:00,0,504.2600,9.475
42,2016-11-14,23:15:00,0,504.3360,9.478
43,2016-11-14,23:30:00,0,504.3310,9.477
44,2016-11-14,23:45:00,0,504.3730,9.478
45,2016-11-15,00:00:00,0,504.2700,9.476
46,2016-11-15,00:15:00,0,504.3230,9.478
47,2016-11-15,00:30:00,0,504.2850,9.478
48,2016-11-15,00:45:00,0,504.3210,9.477
49,2016-11-15,01:00:00,0,504.3850,9.478
50,2016-11-15,01:15:00,0,504.4330,9.478
51,2016-11-15,01:30:00,0,504.4700,9.477
52,2016-11-15,01:45:00,0,504.4710,9.476
53,2016-11-15,02:00:00,0,504.5820,9.478
54,2016-11-15,02:15:00,0,504.6470,9.479
55,2016-11-15,02:30:00,0,504.6250,9.480
56,2016-11-15,02:45:00,0,504.6030,9.478
57,2016-11-15,03:00:00,0,504.6640,9.477
58,2016-11-15,03:15:00,0,504.6920,9.479
59,2016-11-15,03:30:00,0,504.7430,9.479
60,2016-11-15,03:45:00,0,504.6100,9.480
61,2016-11-15,04:00:00,0,504.7430,9.479
62,2016-11-15,04:15:00,0,504.7310,9.479
