Serial Number
	1041162
Project ID
	02360001
Location
	Saint-Édouard
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		66        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-26,10:00:00,0,544.7730,6.159
2,2017-04-26,10:15:00,0,544.5600,6.011
3,2017-04-26,10:30:00,0,544.4710,6.034
4,2017-04-26,10:45:00,0,544.4840,6.030
5,2017-04-26,11:00:00,0,544.3930,6.023
6,2017-04-26,11:15:00,0,544.4260,6.023
7,2017-04-26,11:30:00,0,544.2791,6.027
8,2017-04-26,11:45:00,0,544.1890,6.013
9,2017-04-26,12:00:00,0,544.1910,6.007
10,2017-04-26,12:15:00,0,544.2220,6.020
11,2017-04-26,12:30:00,0,544.1530,5.995
12,2017-04-26,12:45:00,0,544.0500,6.023
13,2017-04-26,13:00:00,0,543.9210,6.045
14,2017-04-26,13:15:00,0,543.8790,6.021
15,2017-04-26,13:30:00,0,543.7740,6.050
16,2017-04-26,13:45:00,0,543.6340,6.065
17,2017-04-26,14:00:00,0,543.6650,6.081
18,2017-04-26,14:15:00,0,543.8400,6.078
19,2017-04-26,14:30:00,0,543.8240,6.073
20,2017-04-26,14:45:00,0,543.7780,6.086
21,2017-04-26,15:00:00,0,543.7220,6.045
22,2017-04-26,15:15:00,0,543.5930,6.069
23,2017-04-26,15:30:00,0,543.6680,6.093
24,2017-04-26,15:45:00,0,543.9570,6.116
25,2017-04-26,16:00:00,0,543.7640,6.049
26,2017-04-26,16:15:00,0,543.6590,6.085
27,2017-04-26,16:30:00,0,543.5891,6.074
28,2017-04-26,16:45:00,0,543.3800,6.061
29,2017-04-26,17:00:00,0,543.3441,6.020
30,2017-04-26,17:15:00,0,543.1360,6.024
31,2017-04-26,17:30:00,0,542.9920,6.052
32,2017-04-26,17:45:00,0,542.9330,6.063
33,2017-04-26,18:00:00,0,542.9680,6.082
34,2017-04-26,18:15:00,0,543.1640,6.076
35,2017-04-26,18:30:00,0,542.9691,6.039
36,2017-04-26,18:45:00,0,542.8560,6.087
37,2017-04-26,19:00:00,0,542.7420,6.057
38,2017-04-26,19:15:00,0,542.5350,6.017
39,2017-04-26,19:30:00,0,542.4660,6.031
40,2017-04-26,19:45:00,0,542.3781,6.057
41,2017-04-26,20:00:00,0,542.3750,6.056
42,2017-04-26,20:15:00,0,542.3810,6.062
43,2017-04-26,20:30:00,0,542.4120,6.045
44,2017-04-26,20:45:00,0,542.5970,6.067
45,2017-04-26,21:00:00,0,542.3160,6.073
46,2017-04-26,21:15:00,0,542.2960,6.075
47,2017-04-26,21:30:00,0,542.4420,6.051
48,2017-04-26,21:45:00,0,542.3200,6.067
49,2017-04-26,22:00:00,0,542.2800,6.139
50,2017-04-26,22:15:00,0,542.1190,6.084
51,2017-04-26,22:30:00,0,542.1690,6.125
52,2017-04-26,22:45:00,0,542.1270,6.113
53,2017-04-26,23:00:00,0,542.0650,6.101
54,2017-04-26,23:15:00,0,542.1980,6.066
55,2017-04-26,23:30:00,0,542.2531,6.147
56,2017-04-26,23:45:00,0,542.1600,6.074
57,2017-04-27,00:00:00,0,542.1281,6.038
58,2017-04-27,00:15:00,0,542.1520,6.060
59,2017-04-27,00:30:00,0,542.0330,6.078
60,2017-04-27,00:45:00,0,541.9710,6.074
61,2017-04-27,01:00:00,0,541.8420,6.109
62,2017-04-27,01:15:00,0,541.8750,6.018
63,2017-04-27,01:30:00,0,541.8370,6.021
64,2017-04-27,01:45:00,0,541.7061,6.070
65,2017-04-27,02:00:00,0,541.7310,6.091
66,2017-04-27,02:15:00,0,541.5031,6.117
67,2017-04-27,02:30:00,0,541.2720,6.094
68,2017-04-27,02:45:00,0,541.1080,6.094
69,2017-04-27,03:00:00,0,541.3460,6.108
70,2017-04-27,03:15:00,0,541.0910,6.093
71,2017-04-27,03:30:00,0,540.7000,6.083
72,2017-04-27,03:45:00,0,540.8020,6.105
73,2017-04-27,04:00:00,0,540.9080,6.107
74,2017-04-27,04:15:00,0,540.9550,6.098
75,2017-04-27,04:30:00,0,541.0620,6.141
76,2017-04-27,04:45:00,0,541.0780,6.140
77,2017-04-27,05:00:00,0,541.0150,6.127
78,2017-04-27,05:15:00,0,541.0660,6.137
79,2017-04-27,05:30:00,0,541.1790,6.146
80,2017-04-27,05:45:00,0,541.3820,6.177
81,2017-04-27,06:00:00,0,541.1940,6.186
82,2017-04-27,06:15:00,0,541.0650,6.217
83,2017-04-27,06:30:00,0,541.2550,6.218
84,2017-04-27,06:45:00,0,541.0880,6.206
85,2017-04-27,07:00:00,0,541.1950,6.213
86,2017-04-27,07:15:00,0,541.1040,6.188
87,2017-04-27,07:30:00,0,540.9200,6.164
88,2017-04-27,07:45:00,0,541.0170,6.147
89,2017-04-27,08:00:00,0,541.0230,6.134
90,2017-04-27,08:15:00,0,541.0360,6.111
91,2017-04-27,08:30:00,0,541.0070,6.107
92,2017-04-27,08:45:00,0,540.9590,6.102
93,2017-04-27,09:00:00,0,540.9080,6.070
94,2017-04-27,09:15:00,0,540.8900,6.061
95,2017-04-27,09:30:00,0,540.7661,6.070
96,2017-04-27,09:45:00,0,540.7650,6.070
97,2017-04-27,10:00:00,0,540.7340,6.099
98,2017-04-27,10:15:00,0,540.4780,6.056
99,2017-04-27,10:30:00,0,540.2680,6.039
100,2017-04-27,10:45:00,0,540.2791,6.107
101,2017-04-27,11:00:00,0,540.2370,6.073
102,2017-04-27,11:15:00,0,540.1300,6.034
103,2017-04-27,11:30:00,0,540.1720,6.035
104,2017-04-27,11:45:00,0,540.0060,6.040
