Serial Number
	1041177
Project ID
	03027032
Location
	Bishopton
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		230       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-15,13:00:00,0,471.8480,8.167
2,2016-11-15,13:15:00,0,473.5540,8.169
3,2016-11-15,13:30:00,0,474.9560,8.171
4,2016-11-15,13:45:00,0,476.2710,8.171
5,2016-11-15,14:00:00,0,406.6050,8.156
6,2016-11-15,14:15:00,0,423.9720,8.116
7,2016-11-15,14:30:00,0,445.7870,8.107
8,2016-11-15,14:45:00,0,453.3760,8.124
9,2016-11-15,15:00:00,0,458.3440,8.142
10,2016-11-15,15:15:00,0,461.9370,8.153
11,2016-11-15,15:30:00,0,464.8530,8.159
12,2016-11-15,15:45:00,0,467.3390,8.163
13,2016-11-15,16:00:00,0,469.6210,8.166
14,2016-11-15,16:15:00,0,471.3330,8.170
15,2016-11-15,16:30:00,0,472.9710,8.171
16,2016-11-15,16:45:00,0,474.3520,8.174
17,2016-11-15,17:00:00,0,426.1390,8.170
18,2016-11-15,17:15:00,0,393.3510,8.132
19,2016-11-15,17:30:00,0,432.3600,8.111
20,2016-11-15,17:45:00,0,446.1770,8.114
21,2016-11-15,18:00:00,0,452.8520,8.128
22,2016-11-15,18:15:00,0,457.5790,8.144
23,2016-11-15,18:30:00,0,461.0270,8.154
24,2016-11-15,18:45:00,0,464.0450,8.160
25,2016-11-15,19:00:00,0,466.4850,8.165
26,2016-11-15,19:15:00,0,468.4880,8.168
27,2016-11-15,19:30:00,0,443.5980,8.171
28,2016-11-15,19:45:00,0,395.8760,8.143
29,2016-11-15,20:00:00,0,420.4120,8.095
30,2016-11-15,20:15:00,0,439.8520,8.109
31,2016-11-15,20:30:00,0,447.7240,8.125
32,2016-11-15,20:45:00,0,453.0150,8.143
33,2016-11-15,21:00:00,0,456.9140,8.154
34,2016-11-15,21:15:00,0,459.9950,8.161
35,2016-11-15,21:30:00,0,462.6440,8.164
36,2016-11-15,21:45:00,0,464.8250,8.168
37,2016-11-15,22:00:00,0,466.7590,8.172
38,2016-11-15,22:15:00,0,404.6090,8.162
39,2016-11-15,22:30:00,0,394.3420,8.110
40,2016-11-15,22:45:00,0,435.4960,8.109
41,2016-11-15,23:00:00,0,444.1690,8.126
42,2016-11-15,23:15:00,0,448.9720,8.142
43,2016-11-15,23:30:00,0,452.4740,8.153
44,2016-11-15,23:45:00,0,455.2120,8.161
45,2016-11-16,00:00:00,0,457.7300,8.164
46,2016-11-16,00:15:00,0,460.0620,8.167
47,2016-11-16,00:30:00,0,461.8100,8.170
48,2016-11-16,00:45:00,0,463.6480,8.172
49,2016-11-16,01:00:00,0,465.4840,8.177
50,2016-11-16,01:15:00,0,466.9520,8.176
51,2016-11-16,01:30:00,0,468.4400,8.179
52,2016-11-16,01:45:00,0,469.4470,8.180
53,2016-11-16,02:00:00,0,470.2790,8.179
54,2016-11-16,02:15:00,0,471.3460,8.182
55,2016-11-16,02:30:00,0,472.2690,8.183
56,2016-11-16,02:45:00,0,473.0690,8.182
57,2016-11-16,03:00:00,0,474.1080,8.183
58,2016-11-16,03:15:00,0,474.8730,8.185
59,2016-11-16,03:30:00,0,475.5060,8.186
60,2016-11-16,03:45:00,0,476.0770,8.186
61,2016-11-16,04:00:00,0,476.7550,8.186
62,2016-11-16,04:15:00,0,477.2370,8.186
63,2016-11-16,04:30:00,0,407.5100,8.175
64,2016-11-16,04:45:00,0,432.2580,8.141
65,2016-11-16,05:00:00,0,448.6010,8.128
