Serial Number
	1041177
Project ID
	03027032
Location
	Bishopton
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		230       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-27,11:00:00,0,659.8210,6.344
2,2017-04-27,11:15:00,0,666.9080,6.436
3,2017-04-27,11:30:00,0,669.9800,6.468
4,2017-04-27,11:45:00,0,672.0350,6.486
5,2017-04-27,12:00:00,0,673.4920,6.492
6,2017-04-27,12:15:00,0,674.6461,6.490
7,2017-04-27,12:30:00,0,675.7241,6.498
8,2017-04-27,12:45:00,0,676.5150,6.491
9,2017-04-27,13:00:00,0,677.5320,6.487
10,2017-04-27,13:15:00,0,659.1940,6.458
11,2017-04-27,13:30:00,0,647.2590,6.330
12,2017-04-27,13:45:00,0,659.7791,6.331
13,2017-04-27,14:00:00,0,666.3730,6.426
14,2017-04-27,14:15:00,0,669.3940,6.469
15,2017-04-27,14:30:00,0,671.6660,6.491
16,2017-04-27,14:45:00,0,673.3210,6.516
17,2017-04-27,15:00:00,0,674.7371,6.494
18,2017-04-27,15:15:00,0,675.7770,6.498
19,2017-04-27,15:30:00,0,676.7740,6.492
20,2017-04-27,15:45:00,0,677.7560,6.482
21,2017-04-27,16:00:00,0,678.5391,6.480
22,2017-04-27,16:15:00,0,652.4590,6.345
23,2017-04-27,16:30:00,0,657.1810,6.315
24,2017-04-27,16:45:00,0,666.8720,6.439
25,2017-04-27,17:00:00,0,670.0400,6.452
26,2017-04-27,17:15:00,0,672.1060,6.475
27,2017-04-27,17:30:00,0,673.6520,6.501
28,2017-04-27,17:45:00,0,675.1230,6.485
29,2017-04-27,18:00:00,0,676.2010,6.495
30,2017-04-27,18:15:00,0,677.1151,6.478
31,2017-04-27,18:30:00,0,660.9691,6.466
32,2017-04-27,18:45:00,0,647.9390,6.326
33,2017-04-27,19:00:00,0,658.0560,6.316
34,2017-04-27,19:15:00,0,665.7950,6.437
35,2017-04-27,19:30:00,0,669.2090,6.472
36,2017-04-27,19:45:00,0,671.5250,6.468
37,2017-04-27,20:00:00,0,673.4940,6.486
38,2017-04-27,20:15:00,0,674.9100,6.483
39,2017-04-27,20:30:00,0,676.1650,6.485
40,2017-04-27,20:45:00,0,677.3521,6.490
41,2017-04-27,21:00:00,0,655.7850,6.372
42,2017-04-27,21:15:00,0,645.9010,6.318
43,2017-04-27,21:30:00,0,664.4130,6.342
44,2017-04-27,21:45:00,0,669.0110,6.434
45,2017-04-27,22:00:00,0,671.6100,6.484
46,2017-04-27,22:15:00,0,673.5190,6.482
47,2017-04-27,22:30:00,0,674.9330,6.480
48,2017-04-27,22:45:00,0,676.1750,6.481
49,2017-04-27,23:00:00,0,677.3800,6.485
50,2017-04-27,23:15:00,0,678.2650,6.478
51,2017-04-27,23:30:00,0,679.2590,6.473
52,2017-04-27,23:45:00,0,680.1130,6.460
53,2017-04-28,00:00:00,0,680.9290,6.458
54,2017-04-28,00:15:00,0,681.6160,6.449
55,2017-04-28,00:30:00,0,682.1030,6.449
56,2017-04-28,00:45:00,0,657.4790,6.329
57,2017-04-28,01:00:00,0,660.1260,6.303
