Serial Number
	1041608
Project ID
	03010001
Location
	Asbestos
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		175       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-26,17:00:00,0,626.7380,5.773
2,2017-04-26,17:15:00,0,626.7440,5.772
3,2017-04-26,17:30:00,0,626.8200,5.760
4,2017-04-26,17:45:00,0,626.9760,5.756
5,2017-04-26,18:00:00,0,626.7160,5.752
6,2017-04-26,18:15:00,0,627.1740,5.754
7,2017-04-26,18:30:00,0,627.1780,5.752
8,2017-04-26,18:45:00,0,627.0400,5.752
9,2017-04-26,19:00:00,0,626.9570,5.751
10,2017-04-26,19:15:00,0,627.4670,5.751
11,2017-04-26,19:30:00,0,627.6220,5.752
12,2017-04-26,19:45:00,0,627.8090,5.752
13,2017-04-26,20:00:00,0,627.7740,5.751
14,2017-04-26,20:15:00,0,627.8070,5.751
15,2017-04-26,20:30:00,0,628.0500,5.752
16,2017-04-26,20:45:00,0,628.1230,5.751
17,2017-04-26,21:00:00,0,628.2810,5.752
18,2017-04-26,21:15:00,0,628.5790,5.752
19,2017-04-26,21:30:00,0,628.6640,5.751
20,2017-04-26,21:45:00,0,628.5370,5.752
21,2017-04-26,22:00:00,0,628.6981,5.751
22,2017-04-26,22:15:00,0,628.7370,5.752
23,2017-04-26,22:30:00,0,628.7020,5.752
24,2017-04-26,22:45:00,0,628.7010,5.751
25,2017-04-26,23:00:00,0,628.7570,5.751
26,2017-04-26,23:15:00,0,628.6910,5.752
27,2017-04-26,23:30:00,0,628.5200,5.751
28,2017-04-26,23:45:00,0,628.4400,5.751
29,2017-04-27,00:00:00,0,628.4830,5.752
30,2017-04-27,00:15:00,0,628.5050,5.751
31,2017-04-27,00:30:00,0,628.5720,5.751
32,2017-04-27,00:45:00,0,628.6461,5.750
33,2017-04-27,01:00:00,0,628.5660,5.751
34,2017-04-27,01:15:00,0,628.4370,5.751
35,2017-04-27,01:30:00,0,628.2890,5.751
36,2017-04-27,01:45:00,0,628.3790,5.752
37,2017-04-27,02:00:00,0,628.3470,5.752
38,2017-04-27,02:15:00,0,628.5170,5.752
39,2017-04-27,02:30:00,0,628.2830,5.751
40,2017-04-27,02:45:00,0,628.3260,5.752
41,2017-04-27,03:00:00,0,628.4970,5.751
42,2017-04-27,03:15:00,0,628.5870,5.752
43,2017-04-27,03:30:00,0,628.6981,5.752
44,2017-04-27,03:45:00,0,628.7300,5.753
45,2017-04-27,04:00:00,0,628.7520,5.752
46,2017-04-27,04:15:00,0,628.3880,5.752
47,2017-04-27,04:30:00,0,628.6370,5.752
48,2017-04-27,04:45:00,0,628.8850,5.752
49,2017-04-27,05:00:00,0,629.2430,5.752
50,2017-04-27,05:15:00,0,629.7061,5.752
51,2017-04-27,05:30:00,0,629.8740,5.753
52,2017-04-27,05:45:00,0,630.0220,5.753
53,2017-04-27,06:00:00,0,630.2390,5.753
54,2017-04-27,06:15:00,0,630.4190,5.752
55,2017-04-27,06:30:00,0,630.4901,5.753
56,2017-04-27,06:45:00,0,630.5120,5.753
57,2017-04-27,07:00:00,0,630.5440,5.753
58,2017-04-27,07:15:00,0,630.5031,5.753
59,2017-04-27,07:30:00,0,630.5630,5.752
60,2017-04-27,07:45:00,0,630.5820,5.753
61,2017-04-27,08:00:00,0,630.6100,5.753
62,2017-04-27,08:15:00,0,630.5291,5.753
63,2017-04-27,08:30:00,0,630.5480,5.753
64,2017-04-27,08:45:00,0,630.3950,5.753
65,2017-04-27,09:00:00,0,630.3290,5.753
66,2017-04-27,09:15:00,0,630.2880,5.753
67,2017-04-27,09:30:00,0,630.0090,5.753
68,2017-04-27,09:45:00,0,629.9210,5.753
69,2017-04-27,10:00:00,0,629.7600,5.753
70,2017-04-27,10:15:00,0,629.4840,5.753
71,2017-04-27,10:30:00,0,629.2640,5.753
72,2017-04-27,10:45:00,0,628.8210,5.753
73,2017-04-27,11:00:00,0,628.5510,5.753
74,2017-04-27,11:15:00,0,628.4500,5.753
75,2017-04-27,11:30:00,0,628.0941,5.753
76,2017-04-27,11:45:00,0,627.9680,5.752
77,2017-04-27,12:00:00,0,627.7820,5.753
78,2017-04-27,12:15:00,0,627.7200,5.753
79,2017-04-27,12:30:00,0,627.6021,5.753
80,2017-04-27,12:45:00,0,627.3150,5.753
81,2017-04-27,13:00:00,0,627.0330,5.753
82,2017-04-27,13:15:00,0,626.8740,5.753
83,2017-04-27,13:30:00,0,626.5800,5.753
84,2017-04-27,13:45:00,0,626.4080,5.753
85,2017-04-27,14:00:00,0,626.3651,5.753
86,2017-04-27,14:15:00,0,626.4020,5.754
87,2017-04-27,14:30:00,0,626.3420,5.753
88,2017-04-27,14:45:00,0,626.1810,5.753
89,2017-04-27,15:00:00,0,626.2360,5.753
90,2017-04-27,15:15:00,0,626.2640,5.752
91,2017-04-27,15:30:00,0,626.1090,5.754
92,2017-04-27,15:45:00,0,626.0760,5.753
93,2017-04-27,16:00:00,0,626.0970,5.753
94,2017-04-27,16:15:00,0,626.0880,5.753
95,2017-04-27,16:30:00,0,626.0690,5.753
96,2017-04-27,16:45:00,0,625.9920,5.753
