Serial Number
	1041612
Project ID
	02370001
Location
	Leclercville
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		70        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-26,11:00:00,0,749.2620,6.340
2,2017-04-26,11:15:00,0,749.1721,6.388
3,2017-04-26,11:30:00,0,749.0391,6.423
4,2017-04-26,11:45:00,0,748.8890,6.395
5,2017-04-26,12:00:00,0,748.9580,6.373
6,2017-04-26,12:15:00,0,748.8190,6.315
7,2017-04-26,12:30:00,0,748.8610,6.409
8,2017-04-26,12:45:00,0,748.8530,6.415
9,2017-04-26,13:00:00,0,748.7360,6.329
10,2017-04-26,13:15:00,0,748.6201,6.373
11,2017-04-26,13:30:00,0,748.3870,6.431
12,2017-04-26,13:45:00,0,748.2241,6.369
13,2017-04-26,14:00:00,0,748.3130,6.405
14,2017-04-26,14:15:00,0,748.4840,6.399
15,2017-04-26,14:30:00,0,748.3580,6.428
16,2017-04-26,14:45:00,0,748.2791,6.392
17,2017-04-26,15:00:00,0,748.0001,6.380
18,2017-04-26,15:15:00,0,747.7971,6.435
19,2017-04-26,15:30:00,0,747.9401,6.410
20,2017-04-26,15:45:00,0,748.0131,6.402
21,2017-04-26,16:00:00,0,747.9970,6.424
22,2017-04-26,16:15:00,0,747.6511,6.406
23,2017-04-26,16:30:00,0,747.5960,6.424
24,2017-04-26,16:45:00,0,747.4460,6.409
25,2017-04-26,17:00:00,0,747.3281,6.367
26,2017-04-26,17:15:00,0,747.2371,6.435
27,2017-04-26,17:30:00,0,747.0391,6.438
28,2017-04-26,17:45:00,0,747.1201,6.357
29,2017-04-26,18:00:00,0,747.2430,6.416
30,2017-04-26,18:15:00,0,747.3760,6.389
31,2017-04-26,18:30:00,0,747.3181,6.411
32,2017-04-26,18:45:00,0,747.3550,6.433
33,2017-04-26,19:00:00,0,747.2440,6.370
34,2017-04-26,19:15:00,0,747.0740,6.469
35,2017-04-26,19:30:00,0,747.0001,6.415
36,2017-04-26,19:45:00,0,747.0480,6.379
37,2017-04-26,20:00:00,0,747.0660,6.366
38,2017-04-26,20:15:00,0,747.0870,6.412
39,2017-04-26,20:30:00,0,747.3231,6.398
40,2017-04-26,20:45:00,0,747.5911,6.354
41,2017-04-26,21:00:00,0,747.2730,6.376
42,2017-04-26,21:15:00,0,747.4041,6.393
43,2017-04-26,21:30:00,0,747.6281,6.385
44,2017-04-26,21:45:00,0,747.6251,6.384
45,2017-04-26,22:00:00,0,747.5800,6.422
46,2017-04-26,22:15:00,0,747.5081,6.424
47,2017-04-26,22:30:00,0,747.6301,6.402
48,2017-04-26,22:45:00,0,747.5250,6.429
49,2017-04-26,23:00:00,0,747.3790,6.393
50,2017-04-26,23:15:00,0,747.6060,6.390
51,2017-04-26,23:30:00,0,747.6680,6.397
52,2017-04-26,23:45:00,0,747.7720,6.415
53,2017-04-27,00:00:00,0,747.7130,6.391
54,2017-04-27,00:15:00,0,747.6940,6.423
55,2017-04-27,00:30:00,0,747.6771,6.411
56,2017-04-27,00:45:00,0,747.6780,6.361
57,2017-04-27,01:00:00,0,747.6851,6.348
58,2017-04-27,01:15:00,0,747.7440,6.414
59,2017-04-27,01:30:00,0,747.6520,6.406
60,2017-04-27,01:45:00,0,747.6160,6.381
61,2017-04-27,02:00:00,0,747.7031,6.391
62,2017-04-27,02:15:00,0,747.3480,6.436
63,2017-04-27,02:30:00,0,747.1650,6.422
64,2017-04-27,02:45:00,0,747.1671,6.389
65,2017-04-27,03:00:00,0,747.2390,6.390
66,2017-04-27,03:15:00,0,747.0310,6.405
67,2017-04-27,03:30:00,0,746.7451,6.421
68,2017-04-27,03:45:00,0,746.8010,6.338
69,2017-04-27,04:00:00,0,747.1281,6.420
70,2017-04-27,04:15:00,0,747.5681,6.387
71,2017-04-27,04:30:00,0,747.8600,6.421
72,2017-04-27,04:45:00,0,747.9880,6.375
73,2017-04-27,05:00:00,0,748.0081,6.343
74,2017-04-27,05:15:00,0,748.2570,6.396
75,2017-04-27,05:30:00,0,748.6130,6.396
76,2017-04-27,05:45:00,0,748.7570,6.398
77,2017-04-27,06:00:00,0,748.8160,6.404
78,2017-04-27,06:15:00,0,748.9540,6.385
79,2017-04-27,06:30:00,0,748.9510,6.428
80,2017-04-27,06:45:00,0,748.9960,6.461
81,2017-04-27,07:00:00,0,748.9490,6.395
82,2017-04-27,07:15:00,0,748.8370,6.426
83,2017-04-27,07:30:00,0,748.8370,6.406
84,2017-04-27,07:45:00,0,748.8801,6.415
85,2017-04-27,08:00:00,0,749.0031,6.395
86,2017-04-27,08:15:00,0,749.1710,6.416
87,2017-04-27,08:30:00,0,749.2451,6.393
88,2017-04-27,08:45:00,0,749.2971,6.448
89,2017-04-27,09:00:00,0,749.1400,6.440
90,2017-04-27,09:15:00,0,749.0040,6.435
91,2017-04-27,09:30:00,0,748.8860,6.396
92,2017-04-27,09:45:00,0,748.7980,6.395
93,2017-04-27,10:00:00,0,748.7061,6.361
94,2017-04-27,10:15:00,0,748.5110,6.388
95,2017-04-27,10:30:00,0,748.1940,6.352
96,2017-04-27,10:45:00,0,748.1760,6.399
97,2017-04-27,11:00:00,0,748.0450,6.383
98,2017-04-27,11:15:00,0,748.0360,6.351
99,2017-04-27,11:30:00,0,748.1050,6.431
100,2017-04-27,11:45:00,0,747.9020,6.424
101,2017-04-27,12:00:00,0,747.8571,6.439
102,2017-04-27,12:15:00,0,747.6970,6.356
103,2017-04-27,12:30:00,0,747.7820,6.403
104,2017-04-27,12:45:00,0,747.7130,6.439
105,2017-04-27,13:00:00,0,747.3500,6.373
106,2017-04-27,13:15:00,0,747.3510,6.440
107,2017-04-27,13:30:00,0,747.1950,6.414
108,2017-04-27,13:45:00,0,747.0480,6.388
109,2017-04-27,14:00:00,0,746.9661,6.372
110,2017-04-27,14:15:00,0,747.0180,6.370
111,2017-04-27,14:30:00,0,747.0920,6.398
112,2017-04-27,14:45:00,0,747.0731,6.407
113,2017-04-27,15:00:00,0,746.8840,6.397
114,2017-04-27,15:15:00,0,747.0580,6.378
115,2017-04-27,15:30:00,0,746.9810,6.438
116,2017-04-27,15:45:00,0,746.9351,6.409
117,2017-04-27,16:00:00,0,747.0540,6.390
118,2017-04-27,16:15:00,0,746.9871,6.423
119,2017-04-27,16:30:00,0,746.9600,6.322
120,2017-04-27,16:45:00,0,746.9100,6.397
121,2017-04-27,17:00:00,0,746.8391,6.402
122,2017-04-27,17:15:00,0,746.8380,6.406
123,2017-04-27,17:30:00,0,746.7390,6.405
124,2017-04-27,17:45:00,0,746.7010,6.456
125,2017-04-27,18:00:00,0,746.7531,6.417
126,2017-04-27,18:15:00,0,746.5731,6.397
127,2017-04-27,18:30:00,0,746.5020,6.364
128,2017-04-27,18:45:00,0,746.7100,6.413
129,2017-04-27,19:00:00,0,746.5731,6.377
130,2017-04-27,19:15:00,0,746.3760,6.424
131,2017-04-27,19:30:00,0,746.2930,6.374
132,2017-04-27,19:45:00,0,746.5941,6.460
133,2017-04-27,20:00:00,0,746.4890,6.426
134,2017-04-27,20:15:00,0,746.2410,6.430
135,2017-04-27,20:30:00,0,746.3000,6.420
136,2017-04-27,20:45:00,0,746.2670,6.419
137,2017-04-27,21:00:00,0,746.3521,6.377
138,2017-04-27,21:15:00,0,746.4780,6.373
139,2017-04-27,21:30:00,0,746.5790,6.394
140,2017-04-27,21:45:00,0,746.4180,6.412
141,2017-04-27,22:00:00,0,746.1260,6.452
142,2017-04-27,22:15:00,0,746.0590,6.369
143,2017-04-27,22:30:00,0,745.8980,6.401
144,2017-04-27,22:45:00,0,745.9380,6.415
145,2017-04-27,23:00:00,0,746.0620,6.416
146,2017-04-27,23:15:00,0,745.9760,6.342
147,2017-04-27,23:30:00,0,745.6650,6.417
148,2017-04-27,23:45:00,0,746.1340,6.354
149,2017-04-28,00:00:00,0,745.9901,6.349
150,2017-04-28,00:15:00,0,745.9590,6.426
151,2017-04-28,00:30:00,0,745.8220,6.330
152,2017-04-28,00:45:00,0,745.7031,6.352
153,2017-04-28,01:00:00,0,745.8441,6.383
154,2017-04-28,01:15:00,0,745.6550,6.367
155,2017-04-28,01:30:00,0,745.7830,6.398
156,2017-04-28,01:45:00,0,745.6760,6.356
157,2017-04-28,02:00:00,0,745.5731,6.453
158,2017-04-28,02:15:00,0,745.5930,6.436
159,2017-04-28,02:30:00,0,745.6100,6.357
160,2017-04-28,02:45:00,0,745.2700,6.424
161,2017-04-28,03:00:00,0,745.4190,6.423
162,2017-04-28,03:15:00,0,745.1981,6.357
163,2017-04-28,03:30:00,0,745.4230,6.404
164,2017-04-28,03:45:00,0,745.4420,6.416
165,2017-04-28,04:00:00,0,745.5010,6.453
166,2017-04-28,04:15:00,0,745.4730,6.395
167,2017-04-28,04:30:00,0,745.8120,6.424
168,2017-04-28,04:45:00,0,745.8701,6.401
169,2017-04-28,05:00:00,0,746.0530,6.411
170,2017-04-28,05:15:00,0,745.7061,6.403
171,2017-04-28,05:30:00,0,746.1721,6.389
172,2017-04-28,05:45:00,0,746.5510,6.441
173,2017-04-28,06:00:00,0,746.0261,6.432
174,2017-04-28,06:15:00,0,745.7430,6.363
175,2017-04-28,06:30:00,0,746.2150,6.407
176,2017-04-28,06:45:00,0,746.3391,6.403
