Serial Number
	1047272
Project ID
	02400003_Baro
Location
	Manseau_Baro
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		111       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-15,19:00:00,0,79.6734,4.846
2,2016-11-15,19:15:00,0,79.3960,4.662
3,2016-11-15,19:30:00,0,79.4283,4.567
4,2016-11-15,19:45:00,0,79.4657,4.481
5,2016-11-15,20:00:00,0,79.2791,4.460
6,2016-11-15,20:15:00,0,79.1557,4.485
7,2016-11-15,20:30:00,0,79.2807,4.532
8,2016-11-15,20:45:00,0,79.3880,4.574
9,2016-11-15,21:00:00,0,79.2721,4.600
10,2016-11-15,21:15:00,0,79.2485,4.608
11,2016-11-15,21:30:00,0,79.0163,4.612
12,2016-11-15,21:45:00,0,78.6703,4.634
13,2016-11-15,22:00:00,0,78.6510,4.654
14,2016-11-15,22:15:00,0,78.6075,4.712
15,2016-11-15,22:30:00,0,78.6596,4.760
16,2016-11-15,22:45:00,0,78.5319,4.814
17,2016-11-15,23:00:00,0,78.4240,4.823
18,2016-11-15,23:15:00,0,78.1886,4.807
19,2016-11-15,23:30:00,0,77.9257,4.754
20,2016-11-15,23:45:00,0,77.5975,4.711
21,2016-11-16,00:00:00,0,77.2386,4.657
22,2016-11-16,00:15:00,0,77.0262,4.604
23,2016-11-16,00:30:00,0,76.5268,4.571
24,2016-11-16,00:45:00,0,76.2071,4.564
25,2016-11-16,01:00:00,0,75.9373,4.542
26,2016-11-16,01:15:00,0,75.3275,4.539
27,2016-11-16,01:30:00,0,76.0194,4.545
28,2016-11-16,01:45:00,0,75.5313,4.552
29,2016-11-16,02:00:00,0,75.5678,4.569
30,2016-11-16,02:15:00,0,75.4219,4.574
31,2016-11-16,02:30:00,0,75.2411,4.591
32,2016-11-16,02:45:00,0,75.0577,4.605
33,2016-11-16,03:00:00,0,74.7101,4.619
34,2016-11-16,03:15:00,0,74.6816,4.616
