Serial Number
	1048017
Project ID
	02000006
Location
	Bécancour
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		8         m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-14,13:00:00,0,572.1680,10.080
2,2016-11-14,13:15:00,0,572.1411,10.077
3,2016-11-14,13:30:00,0,572.1570,10.075
4,2016-11-14,13:45:00,0,572.2070,10.074
5,2016-11-14,14:00:00,0,572.2830,10.071
6,2016-11-14,14:15:00,0,572.4570,10.071
7,2016-11-14,14:30:00,0,572.5850,10.072
8,2016-11-14,14:45:00,0,572.6950,10.072
9,2016-11-14,15:00:00,0,573.0110,10.071
10,2016-11-14,15:15:00,0,573.0780,10.073
11,2016-11-14,15:30:00,0,573.1910,10.073
12,2016-11-14,15:45:00,0,573.3190,10.071
13,2016-11-14,16:00:00,0,573.2990,10.072
14,2016-11-14,16:15:00,0,573.6310,10.073
15,2016-11-14,16:30:00,0,573.8480,10.072
16,2016-11-14,16:45:00,0,573.9370,10.070
17,2016-11-14,17:00:00,0,574.0681,10.068
18,2016-11-14,17:15:00,0,574.2030,10.069
19,2016-11-14,17:30:00,0,574.2791,10.071
20,2016-11-14,17:45:00,0,574.2640,10.070
21,2016-11-14,18:00:00,0,574.4680,10.071
22,2016-11-14,18:15:00,0,574.4530,10.071
23,2016-11-14,18:30:00,0,574.4330,10.073
24,2016-11-14,18:45:00,0,574.5150,10.071
25,2016-11-14,19:00:00,0,574.4890,10.071
26,2016-11-14,19:15:00,0,574.6260,10.071
27,2016-11-14,19:30:00,0,574.7300,10.070
28,2016-11-14,19:45:00,0,574.7650,10.070
29,2016-11-14,20:00:00,0,574.8340,10.069
30,2016-11-14,20:15:00,0,574.7590,10.069
31,2016-11-14,20:30:00,0,574.7360,10.070
32,2016-11-14,20:45:00,0,574.7070,10.068
33,2016-11-14,21:00:00,0,574.6350,10.068
34,2016-11-14,21:15:00,0,574.6260,10.068
35,2016-11-14,21:30:00,0,574.6230,10.069
36,2016-11-14,21:45:00,0,574.5760,10.068
37,2016-11-14,22:00:00,0,574.5370,10.067
38,2016-11-14,22:15:00,0,574.6120,10.064
39,2016-11-14,22:30:00,0,574.5941,10.065
40,2016-11-14,22:45:00,0,574.7240,10.064
41,2016-11-14,23:00:00,0,574.6700,10.065
42,2016-11-14,23:15:00,0,574.6110,10.062
43,2016-11-14,23:30:00,0,574.6210,10.063
44,2016-11-14,23:45:00,0,574.6750,10.065
45,2016-11-15,00:00:00,0,574.7030,10.066
46,2016-11-15,00:15:00,0,574.6030,10.063
47,2016-11-15,00:30:00,0,574.6910,10.063
48,2016-11-15,00:45:00,0,574.7420,10.062
49,2016-11-15,01:00:00,0,574.8720,10.060
50,2016-11-15,01:15:00,0,574.9240,10.064
51,2016-11-15,01:30:00,0,574.9500,10.060
52,2016-11-15,01:45:00,0,575.1270,10.059
53,2016-11-15,02:00:00,0,575.1520,10.061
54,2016-11-15,02:15:00,0,575.3640,10.061
55,2016-11-15,02:30:00,0,575.3490,10.062
56,2016-11-15,02:45:00,0,575.3550,10.060
57,2016-11-15,03:00:00,0,575.2260,10.060
58,2016-11-15,03:15:00,0,575.2000,10.060
59,2016-11-15,03:30:00,0,575.1990,10.059
60,2016-11-15,03:45:00,0,575.1010,10.059
61,2016-11-15,04:00:00,0,575.1500,10.059
62,2016-11-15,04:15:00,0,575.0970,10.055
63,2016-11-15,04:30:00,0,575.0620,10.056
64,2016-11-15,04:45:00,0,574.9990,10.058
65,2016-11-15,05:00:00,0,574.9140,10.055
66,2016-11-15,05:15:00,0,574.9641,10.057
67,2016-11-15,05:30:00,0,574.9000,10.055
