Serial Number
	1048017
Project ID
	02000006
Location
	Bécancour
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		8         m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-26,12:00:00,0,597.1130,6.499
2,2017-04-26,12:15:00,0,596.8040,6.499
3,2017-04-26,12:30:00,0,597.0510,6.520
4,2017-04-26,12:45:00,0,596.8170,6.546
5,2017-04-26,13:00:00,0,596.6970,6.556
6,2017-04-26,13:15:00,0,596.5920,6.476
7,2017-04-26,13:30:00,0,596.2500,6.608
8,2017-04-26,13:45:00,0,596.3660,6.541
9,2017-04-26,14:00:00,0,596.5380,6.549
10,2017-04-26,14:15:00,0,596.3370,6.513
11,2017-04-26,14:30:00,0,596.2630,6.558
12,2017-04-26,14:45:00,0,595.9510,6.513
13,2017-04-26,15:00:00,0,595.9790,6.553
14,2017-04-26,15:15:00,0,595.8210,6.500
15,2017-04-26,15:30:00,0,595.8740,6.566
16,2017-04-26,15:45:00,0,595.8051,6.546
17,2017-04-26,16:00:00,0,595.5070,6.515
18,2017-04-26,16:15:00,0,595.2210,6.495
19,2017-04-26,16:30:00,0,595.1671,6.551
20,2017-04-26,16:45:00,0,594.6180,6.554
21,2017-04-26,17:00:00,0,594.7160,6.501
22,2017-04-26,17:15:00,0,594.8250,6.540
23,2017-04-26,17:30:00,0,594.5681,6.508
24,2017-04-26,17:45:00,0,594.5660,6.557
25,2017-04-26,18:00:00,0,594.6220,6.569
26,2017-04-26,18:15:00,0,594.7600,6.511
27,2017-04-26,18:30:00,0,594.7800,6.519
28,2017-04-26,18:45:00,0,594.6350,6.558
29,2017-04-26,19:00:00,0,594.5380,6.466
30,2017-04-26,19:15:00,0,594.4980,6.530
31,2017-04-26,19:30:00,0,594.6770,6.582
32,2017-04-26,19:45:00,0,594.5421,6.520
33,2017-04-26,20:00:00,0,594.5200,6.500
34,2017-04-26,20:15:00,0,594.6021,6.515
35,2017-04-26,20:30:00,0,594.8430,6.482
36,2017-04-26,20:45:00,0,594.8030,6.556
37,2017-04-26,21:00:00,0,594.8810,6.529
38,2017-04-26,21:15:00,0,595.0630,6.562
39,2017-04-26,21:30:00,0,595.2220,6.494
40,2017-04-26,21:45:00,0,595.1610,6.527
41,2017-04-26,22:00:00,0,595.0891,6.590
42,2017-04-26,22:15:00,0,594.9510,6.561
43,2017-04-26,22:30:00,0,594.9041,6.479
44,2017-04-26,22:45:00,0,595.0910,6.487
45,2017-04-26,23:00:00,0,595.3101,6.519
46,2017-04-26,23:15:00,0,595.3911,6.564
47,2017-04-26,23:30:00,0,595.4221,6.541
48,2017-04-26,23:45:00,0,595.4470,6.516
49,2017-04-27,00:00:00,0,595.3140,6.574
50,2017-04-27,00:15:00,0,595.3740,6.521
51,2017-04-27,00:30:00,0,595.3580,6.565
52,2017-04-27,00:45:00,0,595.4360,6.494
53,2017-04-27,01:00:00,0,595.4850,6.507
54,2017-04-27,01:15:00,0,595.4740,6.475
55,2017-04-27,01:30:00,0,595.5560,6.493
56,2017-04-27,01:45:00,0,595.2290,6.504
57,2017-04-27,02:00:00,0,594.9810,6.556
58,2017-04-27,02:15:00,0,594.6340,6.531
59,2017-04-27,02:30:00,0,594.6140,6.568
60,2017-04-27,02:45:00,0,594.5100,6.567
61,2017-04-27,03:00:00,0,594.3120,6.515
62,2017-04-27,03:15:00,0,594.0800,6.565
63,2017-04-27,03:30:00,0,594.3350,6.599
64,2017-04-27,03:45:00,0,594.6570,6.526
65,2017-04-27,04:00:00,0,594.8720,6.493
66,2017-04-27,04:15:00,0,594.9750,6.498
67,2017-04-27,04:30:00,0,594.9221,6.479
68,2017-04-27,04:45:00,0,595.1520,6.514
69,2017-04-27,05:00:00,0,595.3550,6.537
70,2017-04-27,05:15:00,0,595.2510,6.513
71,2017-04-27,05:30:00,0,595.5211,6.510
72,2017-04-27,05:45:00,0,595.6050,6.534
73,2017-04-27,06:00:00,0,595.4990,6.515
74,2017-04-27,06:15:00,0,595.5660,6.500
75,2017-04-27,06:30:00,0,595.6550,6.455
76,2017-04-27,06:45:00,0,595.7440,6.552
77,2017-04-27,07:00:00,0,595.5341,6.493
78,2017-04-27,07:15:00,0,595.5390,6.506
79,2017-04-27,07:30:00,0,595.7500,6.518
80,2017-04-27,07:45:00,0,595.6151,6.538
81,2017-04-27,08:00:00,0,595.7711,6.556
82,2017-04-27,08:15:00,0,596.0280,6.533
83,2017-04-27,08:30:00,0,595.8850,6.506
84,2017-04-27,08:45:00,0,595.6931,6.558
85,2017-04-27,09:00:00,0,595.8300,6.507
86,2017-04-27,09:15:00,0,595.6931,6.509
87,2017-04-27,09:30:00,0,595.6180,6.570
88,2017-04-27,09:45:00,0,595.7791,6.525
89,2017-04-27,10:00:00,0,595.4520,6.533
90,2017-04-27,10:15:00,0,595.3051,6.522
91,2017-04-27,10:30:00,0,595.2321,6.482
92,2017-04-27,10:45:00,0,595.1990,6.485
93,2017-04-27,11:00:00,0,595.0670,6.481
94,2017-04-27,11:15:00,0,594.8220,6.551
95,2017-04-27,11:30:00,0,594.6931,6.574
96,2017-04-27,11:45:00,0,594.6840,6.470
97,2017-04-27,12:00:00,0,594.6900,6.479
98,2017-04-27,12:15:00,0,594.9400,6.514
99,2017-04-27,12:30:00,0,594.7820,6.557
100,2017-04-27,12:45:00,0,594.4930,6.545
101,2017-04-27,13:00:00,0,594.6910,6.531
102,2017-04-27,13:15:00,0,594.4450,6.493
103,2017-04-27,13:30:00,0,594.2340,6.538
104,2017-04-27,13:45:00,0,594.1960,6.540
105,2017-04-27,14:00:00,0,594.2420,6.586
106,2017-04-27,14:15:00,0,594.0250,6.505
107,2017-04-27,14:30:00,0,593.9250,6.583
108,2017-04-27,14:45:00,0,593.8790,6.523
109,2017-04-27,15:00:00,0,593.7600,6.533
110,2017-04-27,15:15:00,0,593.6960,6.570
111,2017-04-27,15:30:00,0,593.5460,6.553
112,2017-04-27,15:45:00,0,593.3580,6.543
113,2017-04-27,16:00:00,0,593.0560,6.500
114,2017-04-27,16:15:00,0,593.0090,6.547
115,2017-04-27,16:30:00,0,592.9840,6.562
116,2017-04-27,16:45:00,0,592.6010,6.481
117,2017-04-27,17:00:00,0,592.5020,6.532
118,2017-04-27,17:15:00,0,592.2960,6.578
119,2017-04-27,17:30:00,0,592.2870,6.488
120,2017-04-27,17:45:00,0,592.3040,6.552
121,2017-04-27,18:00:00,0,592.3110,6.574
122,2017-04-27,18:15:00,0,592.2890,6.469
123,2017-04-27,18:30:00,0,591.8600,6.503
124,2017-04-27,18:45:00,0,591.9740,6.486
125,2017-04-27,19:00:00,0,591.8940,6.545
126,2017-04-27,19:15:00,0,592.0510,6.518
127,2017-04-27,19:30:00,0,592.1801,6.528
128,2017-04-27,19:45:00,0,592.0040,6.489
129,2017-04-27,20:00:00,0,592.0140,6.489
130,2017-04-27,20:15:00,0,591.7921,6.503
131,2017-04-27,20:30:00,0,592.0090,6.584
132,2017-04-27,20:45:00,0,592.5090,6.508
133,2017-04-27,21:00:00,0,592.3270,6.575
134,2017-04-27,21:15:00,0,592.2430,6.507
