Serial Number
	1048029
Project ID
	02000004
Location
	Ste-Marie-de-Blandford (MT)
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		84        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-14,13:00:00,0,372.6300,9.192
2,2016-11-14,13:15:00,0,372.5790,9.190
3,2016-11-14,13:30:00,0,372.6500,9.188
4,2016-11-14,13:45:00,0,372.6880,9.188
5,2016-11-14,14:00:00,0,372.7510,9.188
6,2016-11-14,14:15:00,0,372.7450,9.188
7,2016-11-14,14:30:00,0,372.7870,9.189
8,2016-11-14,14:45:00,0,372.8390,9.187
9,2016-11-14,15:00:00,0,372.9400,9.187
10,2016-11-14,15:15:00,0,373.0290,9.186
11,2016-11-14,15:30:00,0,373.0900,9.185
12,2016-11-14,15:45:00,0,373.1380,9.186
13,2016-11-14,16:00:00,0,373.1980,9.184
14,2016-11-14,16:15:00,0,373.2950,9.186
15,2016-11-14,16:30:00,0,373.3600,9.184
16,2016-11-14,16:45:00,0,373.4060,9.185
17,2016-11-14,17:00:00,0,373.4620,9.184
18,2016-11-14,17:15:00,0,373.4800,9.184
19,2016-11-14,17:30:00,0,373.5320,9.184
20,2016-11-14,17:45:00,0,373.5710,9.184
21,2016-11-14,18:00:00,0,373.6370,9.184
22,2016-11-14,18:15:00,0,373.6260,9.183
23,2016-11-14,18:30:00,0,373.6510,9.184
24,2016-11-14,18:45:00,0,373.6450,9.183
25,2016-11-14,19:00:00,0,373.7090,9.183
26,2016-11-14,19:15:00,0,373.7310,9.183
27,2016-11-14,19:30:00,0,373.7510,9.184
28,2016-11-14,19:45:00,0,373.7840,9.184
29,2016-11-14,20:00:00,0,373.8210,9.183
30,2016-11-14,20:15:00,0,373.8360,9.183
31,2016-11-14,20:30:00,0,373.8430,9.182
32,2016-11-14,20:45:00,0,373.8320,9.184
33,2016-11-14,21:00:00,0,373.8710,9.182
34,2016-11-14,21:15:00,0,373.9000,9.183
35,2016-11-14,21:30:00,0,373.8460,9.182
36,2016-11-14,21:45:00,0,373.8570,9.182
37,2016-11-14,22:00:00,0,373.9150,9.181
38,2016-11-14,22:15:00,0,373.8860,9.182
39,2016-11-14,22:30:00,0,373.9440,9.181
40,2016-11-14,22:45:00,0,373.9500,9.181
41,2016-11-14,23:00:00,0,373.9970,9.183
42,2016-11-14,23:15:00,0,374.0070,9.181
43,2016-11-14,23:30:00,0,374.0660,9.182
44,2016-11-14,23:45:00,0,374.1100,9.183
45,2016-11-15,00:00:00,0,374.0960,9.181
46,2016-11-15,00:15:00,0,374.0920,9.182
47,2016-11-15,00:30:00,0,374.1180,9.182
48,2016-11-15,00:45:00,0,374.1660,9.181
49,2016-11-15,01:00:00,0,374.2110,9.182
50,2016-11-15,01:15:00,0,374.2700,9.181
51,2016-11-15,01:30:00,0,374.3340,9.182
52,2016-11-15,01:45:00,0,374.3900,9.183
53,2016-11-15,02:00:00,0,374.4510,9.183
54,2016-11-15,02:15:00,0,374.5160,9.183
55,2016-11-15,02:30:00,0,374.5280,9.182
56,2016-11-15,02:45:00,0,374.5400,9.181
57,2016-11-15,03:00:00,0,374.6030,9.181
58,2016-11-15,03:15:00,0,374.5720,9.180
59,2016-11-15,03:30:00,0,374.5960,9.180
60,2016-11-15,03:45:00,0,374.6380,9.181
61,2016-11-15,04:00:00,0,374.6640,9.181
62,2016-11-15,04:15:00,0,374.6680,9.179
63,2016-11-15,04:30:00,0,374.6420,9.180
64,2016-11-15,04:45:00,0,374.6600,9.180
65,2016-11-15,05:00:00,0,374.6860,9.180
66,2016-11-15,05:15:00,0,374.6950,9.180
67,2016-11-15,05:30:00,0,374.6670,9.181
68,2016-11-15,05:45:00,0,374.8100,9.181
69,2016-11-15,06:00:00,0,374.8160,9.181
70,2016-11-15,06:15:00,0,374.8500,9.180
71,2016-11-15,06:30:00,0,374.8730,9.181
72,2016-11-15,06:45:00,0,374.9070,9.181
73,2016-11-15,07:00:00,0,374.9500,9.181
74,2016-11-15,07:15:00,0,374.9860,9.181
