Serial Number
	1048037
Project ID
	02000005
Location
	Ste-Marie-de-Blandford
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		84        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-14,13:00:00,0,521.8700,7.633
2,2016-11-14,13:15:00,0,521.8040,7.631
3,2016-11-14,13:30:00,0,521.7320,7.630
4,2016-11-14,13:45:00,0,521.8730,7.631
5,2016-11-14,14:00:00,0,522.0140,7.628
6,2016-11-14,14:15:00,0,522.1880,7.629
7,2016-11-14,14:30:00,0,522.3850,7.628
8,2016-11-14,14:45:00,0,522.5260,7.629
9,2016-11-14,15:00:00,0,522.7890,7.627
10,2016-11-14,15:15:00,0,523.0800,7.629
11,2016-11-14,15:30:00,0,523.1330,7.629
12,2016-11-14,15:45:00,0,523.1740,7.627
13,2016-11-14,16:00:00,0,523.3880,7.628
14,2016-11-14,16:15:00,0,523.6310,7.629
15,2016-11-14,16:30:00,0,523.9000,7.629
16,2016-11-14,16:45:00,0,524.0770,7.629
17,2016-11-14,17:00:00,0,524.2210,7.627
18,2016-11-14,17:15:00,0,524.3391,7.630
19,2016-11-14,17:30:00,0,524.5020,7.629
20,2016-11-14,17:45:00,0,524.7000,7.628
21,2016-11-14,18:00:00,0,524.7900,7.629
22,2016-11-14,18:15:00,0,524.9100,7.629
23,2016-11-14,18:30:00,0,524.8680,7.629
24,2016-11-14,18:45:00,0,524.9100,7.629
25,2016-11-14,19:00:00,0,525.0130,7.630
26,2016-11-14,19:15:00,0,525.1190,7.629
27,2016-11-14,19:30:00,0,525.2560,7.630
28,2016-11-14,19:45:00,0,525.2720,7.630
29,2016-11-14,20:00:00,0,525.3441,7.630
30,2016-11-14,20:15:00,0,525.3960,7.632
31,2016-11-14,20:30:00,0,525.3660,7.631
32,2016-11-14,20:45:00,0,525.3651,7.631
33,2016-11-14,21:00:00,0,525.3140,7.631
34,2016-11-14,21:15:00,0,525.3311,7.630
35,2016-11-14,21:30:00,0,525.2840,7.632
36,2016-11-14,21:45:00,0,525.2250,7.630
37,2016-11-14,22:00:00,0,525.1080,7.631
38,2016-11-14,22:15:00,0,525.1080,7.630
39,2016-11-14,22:30:00,0,525.1910,7.631
40,2016-11-14,22:45:00,0,525.1420,7.631
41,2016-11-14,23:00:00,0,525.2760,7.630
42,2016-11-14,23:15:00,0,525.2740,7.631
43,2016-11-14,23:30:00,0,525.2520,7.631
44,2016-11-14,23:45:00,0,525.2921,7.630
45,2016-11-15,00:00:00,0,525.2070,7.630
46,2016-11-15,00:15:00,0,525.1440,7.630
47,2016-11-15,00:30:00,0,525.1230,7.630
48,2016-11-15,00:45:00,0,525.1560,7.631
49,2016-11-15,01:00:00,0,525.2350,7.630
50,2016-11-15,01:15:00,0,525.3220,7.632
51,2016-11-15,01:30:00,0,525.3960,7.630
52,2016-11-15,01:45:00,0,525.5430,7.629
53,2016-11-15,02:00:00,0,525.6030,7.629
54,2016-11-15,02:15:00,0,525.7590,7.629
55,2016-11-15,02:30:00,0,525.7690,7.630
56,2016-11-15,02:45:00,0,525.7340,7.629
57,2016-11-15,03:00:00,0,525.7500,7.629
58,2016-11-15,03:15:00,0,525.6620,7.630
59,2016-11-15,03:30:00,0,525.5530,7.628
60,2016-11-15,03:45:00,0,525.6130,7.630
61,2016-11-15,04:00:00,0,525.6340,7.629
62,2016-11-15,04:15:00,0,525.5380,7.630
63,2016-11-15,04:30:00,0,525.3920,7.629
64,2016-11-15,04:45:00,0,525.3220,7.630
65,2016-11-15,05:00:00,0,525.2120,7.630
66,2016-11-15,05:15:00,0,525.2240,7.629
67,2016-11-15,05:30:00,0,525.0811,7.629
68,2016-11-15,05:45:00,0,525.4120,7.630
69,2016-11-15,06:00:00,0,525.4920,7.629
70,2016-11-15,06:15:00,0,525.4350,7.628
71,2016-11-15,06:30:00,0,525.5060,7.630
72,2016-11-15,06:45:00,0,525.4730,7.628
73,2016-11-15,07:00:00,0,525.6090,7.629
74,2016-11-15,07:15:00,0,525.7450,7.630
75,2016-11-15,07:30:00,0,525.8160,7.629
76,2016-11-15,07:45:00,0,525.7860,7.629
77,2016-11-15,08:00:00,0,525.8781,7.630
78,2016-11-15,08:15:00,0,526.0130,7.630
79,2016-11-15,08:30:00,0,525.8300,7.630
80,2016-11-15,08:45:00,0,525.4990,7.630
81,2016-11-15,09:00:00,0,525.4310,7.630
82,2016-11-15,09:15:00,0,525.4431,7.631
83,2016-11-15,09:30:00,0,525.6040,7.636
84,2016-11-15,09:45:00,0,525.8580,7.634
85,2016-11-15,10:00:00,0,525.7531,7.634
86,2016-11-15,10:15:00,0,525.5941,7.634
87,2016-11-15,10:30:00,0,525.2271,7.633
88,2016-11-15,10:45:00,0,525.0400,7.633
89,2016-11-15,11:00:00,0,524.8010,7.633
90,2016-11-15,11:15:00,0,524.5780,7.635
91,2016-11-15,11:30:00,0,524.5020,7.633
92,2016-11-15,11:45:00,0,524.3391,7.634
93,2016-11-15,12:00:00,0,524.2200,7.635
94,2016-11-15,12:15:00,0,524.1320,7.634
95,2016-11-15,12:30:00,0,523.9960,7.635
96,2016-11-15,12:45:00,0,523.8370,7.633
97,2016-11-15,13:00:00,0,523.5551,7.633
98,2016-11-15,13:15:00,0,523.2700,7.635
99,2016-11-15,13:30:00,0,523.1430,7.635
100,2016-11-15,13:45:00,0,523.0811,7.635
101,2016-11-15,14:00:00,0,522.9090,7.635
102,2016-11-15,14:15:00,0,522.9730,7.634
103,2016-11-15,14:30:00,0,522.8020,7.634
104,2016-11-15,14:45:00,0,522.8170,7.635
105,2016-11-15,15:00:00,0,522.8830,7.634
106,2016-11-15,15:15:00,0,522.9901,7.634
107,2016-11-15,15:30:00,0,522.9100,7.635
108,2016-11-15,15:45:00,0,522.7590,7.634
109,2016-11-15,16:00:00,0,522.7940,7.633
110,2016-11-15,16:15:00,0,522.8130,7.635
111,2016-11-15,16:30:00,0,522.8120,7.635
112,2016-11-15,16:45:00,0,522.8250,7.634
113,2016-11-15,17:00:00,0,522.8410,7.635
114,2016-11-15,17:15:00,0,522.9940,7.636
115,2016-11-15,17:30:00,0,522.9920,7.635
116,2016-11-15,17:45:00,0,522.8380,7.635
117,2016-11-15,18:00:00,0,523.0190,7.634
118,2016-11-15,18:15:00,0,522.9180,7.635
119,2016-11-15,18:30:00,0,522.9790,7.634
120,2016-11-15,18:45:00,0,522.7480,7.633
