Serial Number
	1048050
Project ID
	02400003
Location
	Manseau
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		111       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-27,17:00:00,0,526.9350,5.984
2,2017-04-27,17:15:00,0,527.1140,5.979
3,2017-04-27,17:30:00,0,527.2610,5.947
4,2017-04-27,17:45:00,0,527.2661,6.001
5,2017-04-27,18:00:00,0,527.4980,5.975
6,2017-04-27,18:15:00,0,527.4920,5.978
7,2017-04-27,18:30:00,0,527.7010,5.970
8,2017-04-27,18:45:00,0,527.8870,5.991
9,2017-04-27,19:00:00,0,527.9680,5.952
10,2017-04-27,19:15:00,0,527.7910,5.958
11,2017-04-27,19:30:00,0,527.9050,5.979
12,2017-04-27,19:45:00,0,528.1420,5.944
13,2017-04-27,20:00:00,0,527.8400,5.965
14,2017-04-27,20:15:00,0,527.8700,5.970
15,2017-04-27,20:30:00,0,527.9100,5.965
16,2017-04-27,20:45:00,0,527.9020,5.983
17,2017-04-27,21:00:00,0,527.6700,5.933
18,2017-04-27,21:15:00,0,527.8051,5.957
19,2017-04-27,21:30:00,0,527.7200,5.942
20,2017-04-27,21:45:00,0,527.5200,6.003
21,2017-04-27,22:00:00,0,527.1960,5.930
22,2017-04-27,22:15:00,0,526.9050,5.967
23,2017-04-27,22:30:00,0,526.6430,5.979
24,2017-04-27,22:45:00,0,526.5330,5.982
25,2017-04-27,23:00:00,0,526.3500,5.964
26,2017-04-27,23:15:00,0,525.9850,5.984
27,2017-04-27,23:30:00,0,525.8260,5.955
28,2017-04-27,23:45:00,0,525.9910,5.916
29,2017-04-28,00:00:00,0,525.6470,5.967
30,2017-04-28,00:15:00,0,525.3781,5.960
31,2017-04-28,00:30:00,0,525.1140,5.969
32,2017-04-28,00:45:00,0,524.9901,5.984
33,2017-04-28,01:00:00,0,525.1940,5.924
34,2017-04-28,01:15:00,0,525.0990,5.969
35,2017-04-28,01:30:00,0,524.9660,5.962
36,2017-04-28,01:45:00,0,524.8240,5.953
37,2017-04-28,02:00:00,0,524.5980,5.957
38,2017-04-28,02:15:00,0,524.5760,5.958
39,2017-04-28,02:30:00,0,524.1380,5.998
40,2017-04-28,02:45:00,0,524.1541,5.995
41,2017-04-28,03:00:00,0,524.0700,5.995
42,2017-04-28,03:15:00,0,524.0941,5.988
43,2017-04-28,03:30:00,0,524.2580,5.972
44,2017-04-28,03:45:00,0,524.5370,6.018
45,2017-04-28,04:00:00,0,524.4670,5.976
46,2017-04-28,04:15:00,0,524.5740,5.938
47,2017-04-28,04:30:00,0,525.0080,5.904
48,2017-04-28,04:45:00,0,525.0180,5.909
49,2017-04-28,05:00:00,0,525.3280,5.965
50,2017-04-28,05:15:00,0,525.1440,5.958
51,2017-04-28,05:30:00,0,525.7180,5.971
