Serial Number
	1056501
Project ID
	03010003
Location
	Saint-Albert_Baro
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		116       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-15,19:00:00,0,80.6277,4.986
2,2016-11-15,19:15:00,0,80.4942,4.735
3,2016-11-15,19:30:00,0,80.3118,4.507
4,2016-11-15,19:45:00,0,80.3938,4.338
5,2016-11-15,20:00:00,0,80.4480,4.227
6,2016-11-15,20:15:00,0,80.3118,4.131
7,2016-11-15,20:30:00,0,80.2989,4.085
8,2016-11-15,20:45:00,0,80.3660,4.098
9,2016-11-15,21:00:00,0,80.1964,4.159
10,2016-11-15,21:15:00,0,79.8880,4.270
11,2016-11-15,21:30:00,0,79.8295,4.507
12,2016-11-15,21:45:00,0,79.8923,5.019
13,2016-11-15,22:00:00,0,79.8725,5.505
14,2016-11-15,22:15:00,0,79.7244,5.580
15,2016-11-15,22:30:00,0,79.5372,5.563
16,2016-11-15,22:45:00,0,79.4053,5.506
17,2016-11-15,23:00:00,0,79.0206,5.422
18,2016-11-15,23:15:00,0,78.8346,5.328
19,2016-11-15,23:30:00,0,78.6243,5.241
20,2016-11-15,23:45:00,0,78.2579,5.126
21,2016-11-16,00:00:00,0,77.7580,5.025
22,2016-11-16,00:15:00,0,77.3406,4.916
23,2016-11-16,00:30:00,0,77.1079,4.816
24,2016-11-16,00:45:00,0,76.9131,4.765
25,2016-11-16,01:00:00,0,76.7034,4.739
26,2016-11-16,01:15:00,0,76.4669,4.746
27,2016-11-16,01:30:00,0,76.6691,4.781
28,2016-11-16,01:45:00,0,76.7490,4.835
29,2016-11-16,02:00:00,0,76.4594,4.892
30,2016-11-16,02:15:00,0,76.2727,4.938
31,2016-11-16,02:30:00,0,76.3414,4.951
32,2016-11-16,02:45:00,0,76.1193,4.939
33,2016-11-16,03:00:00,0,75.9380,4.920
34,2016-11-16,03:15:00,0,75.7116,4.875
35,2016-11-16,03:30:00,0,75.5190,4.787
36,2016-11-16,03:45:00,0,75.3431,4.717
37,2016-11-16,04:00:00,0,75.1130,4.648
38,2016-11-16,04:15:00,0,74.8164,4.631
39,2016-11-16,04:30:00,0,74.9075,4.747
40,2016-11-16,04:45:00,0,74.5626,4.899
41,2016-11-16,05:00:00,0,74.2274,4.997
42,2016-11-16,05:15:00,0,74.1512,4.996
43,2016-11-16,05:30:00,0,73.9892,4.949
44,2016-11-16,05:45:00,0,73.3520,4.950
45,2016-11-16,06:00:00,0,73.8396,4.971
46,2016-11-16,06:15:00,0,73.5815,5.008
47,2016-11-16,06:30:00,0,73.6261,5.030
48,2016-11-16,06:45:00,0,73.5376,5.035
49,2016-11-16,07:00:00,0,73.4620,5.018
50,2016-11-16,07:15:00,0,73.4115,5.010
51,2016-11-16,07:30:00,0,73.3890,5.075
52,2016-11-16,07:45:00,0,73.2774,5.165
53,2016-11-16,08:00:00,0,73.2410,5.292
54,2016-11-16,08:15:00,0,72.9052,5.479
55,2016-11-16,08:30:00,0,72.6858,5.727
56,2016-11-16,08:45:00,0,72.7636,6.010
57,2016-11-16,09:00:00,0,72.4041,6.206
58,2016-11-16,09:15:00,0,72.3189,6.222
59,2016-11-16,09:30:00,0,72.5296,6.235
60,2016-11-16,09:45:00,0,72.3565,6.268
