Serial Number
	1062251
Project ID
	03010007
Location
	Sainte-Monique
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		46        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-14,19:00:00,0,487.2300,7.492
2,2016-11-14,19:15:00,0,487.4270,7.491
3,2016-11-14,19:30:00,0,487.5070,7.491
4,2016-11-14,19:45:00,0,487.4860,7.492
5,2016-11-14,20:00:00,0,487.4820,7.491
6,2016-11-14,20:15:00,0,487.4300,7.491
7,2016-11-14,20:30:00,0,487.3160,7.491
8,2016-11-14,20:45:00,0,487.1920,7.491
9,2016-11-14,21:00:00,0,487.1260,7.491
10,2016-11-14,21:15:00,0,487.0410,7.491
11,2016-11-14,21:30:00,0,486.9740,7.491
12,2016-11-14,21:45:00,0,486.8310,7.492
13,2016-11-14,22:00:00,0,486.7410,7.491
14,2016-11-14,22:15:00,0,486.6630,7.491
15,2016-11-14,22:30:00,0,486.6420,7.491
16,2016-11-14,22:45:00,0,486.4990,7.492
17,2016-11-14,23:00:00,0,486.4180,7.492
18,2016-11-14,23:15:00,0,486.3340,7.491
19,2016-11-14,23:30:00,0,486.3810,7.491
20,2016-11-14,23:45:00,0,486.3440,7.491
21,2016-11-15,00:00:00,0,486.2630,7.491
22,2016-11-15,00:15:00,0,486.2980,7.491
23,2016-11-15,00:30:00,0,486.2420,7.491
24,2016-11-15,00:45:00,0,486.2900,7.490
25,2016-11-15,01:00:00,0,486.3850,7.492
26,2016-11-15,01:15:00,0,486.4110,7.491
27,2016-11-15,01:30:00,0,486.5140,7.490
28,2016-11-15,01:45:00,0,486.5840,7.491
29,2016-11-15,02:00:00,0,486.9420,7.491
30,2016-11-15,02:15:00,0,486.8780,7.492
31,2016-11-15,02:30:00,0,486.9770,7.491
32,2016-11-15,02:45:00,0,487.0150,7.491
33,2016-11-15,03:00:00,0,487.0560,7.491
34,2016-11-15,03:15:00,0,487.0640,7.491
35,2016-11-15,03:30:00,0,487.1900,7.492
36,2016-11-15,03:45:00,0,487.2350,7.492
37,2016-11-15,04:00:00,0,487.3450,7.490
38,2016-11-15,04:15:00,0,487.3050,7.491
39,2016-11-15,04:30:00,0,487.4340,7.492
40,2016-11-15,04:45:00,0,487.5330,7.492
41,2016-11-15,05:00:00,0,487.4640,7.491
42,2016-11-15,05:15:00,0,487.5520,7.491
43,2016-11-15,05:30:00,0,487.7630,7.491
44,2016-11-15,05:45:00,0,488.0230,7.492
45,2016-11-15,06:00:00,0,488.1900,7.491
46,2016-11-15,06:15:00,0,488.2930,7.491
47,2016-11-15,06:30:00,0,488.2500,7.491
48,2016-11-15,06:45:00,0,488.3150,7.491
49,2016-11-15,07:00:00,0,488.6010,7.490
50,2016-11-15,07:15:00,0,488.8540,7.492
51,2016-11-15,07:30:00,0,488.9570,7.491
52,2016-11-15,07:45:00,0,488.9020,7.491
53,2016-11-15,08:00:00,0,488.9920,7.491
54,2016-11-15,08:15:00,0,489.0550,7.491
55,2016-11-15,08:30:00,0,488.6280,7.491
56,2016-11-15,08:45:00,0,488.4600,7.491
57,2016-11-15,09:00:00,0,488.4170,7.491
58,2016-11-15,09:15:00,0,488.6220,7.491
59,2016-11-15,09:30:00,0,488.7220,7.491
60,2016-11-15,09:45:00,0,488.6600,7.492
61,2016-11-15,10:00:00,0,488.4840,7.491
62,2016-11-15,10:15:00,0,488.2340,7.492
63,2016-11-15,10:30:00,0,487.9510,7.492
64,2016-11-15,10:45:00,0,487.6170,7.491
65,2016-11-15,11:00:00,0,487.4710,7.491
66,2016-11-15,11:15:00,0,487.2580,7.491
67,2016-11-15,11:30:00,0,486.9920,7.491
68,2016-11-15,11:45:00,0,486.7890,7.491
69,2016-11-15,12:00:00,0,486.7140,7.492
70,2016-11-15,12:15:00,0,486.5570,7.492
71,2016-11-15,12:30:00,0,486.4850,7.492
72,2016-11-15,12:45:00,0,486.2880,7.491
73,2016-11-15,13:00:00,0,486.1060,7.490
74,2016-11-15,13:15:00,0,485.9430,7.491
75,2016-11-15,13:30:00,0,485.7610,7.491
76,2016-11-15,13:45:00,0,485.6200,7.491
77,2016-11-15,14:00:00,0,485.6320,7.491
78,2016-11-15,14:15:00,0,485.4710,7.491
79,2016-11-15,14:30:00,0,485.4050,7.491
80,2016-11-15,14:45:00,0,485.4780,7.491
81,2016-11-15,15:00:00,0,485.7120,7.492
82,2016-11-15,15:15:00,0,485.6740,7.491
83,2016-11-15,15:30:00,0,485.7560,7.492
84,2016-11-15,15:45:00,0,485.6740,7.491
85,2016-11-15,16:00:00,0,485.6720,7.490
86,2016-11-15,16:15:00,0,485.6000,7.491
87,2016-11-15,16:30:00,0,485.7310,7.491
88,2016-11-15,16:45:00,0,485.7040,7.491
89,2016-11-15,17:00:00,0,485.8270,7.491
90,2016-11-15,17:15:00,0,485.9350,7.490
91,2016-11-15,17:30:00,0,485.8430,7.491
92,2016-11-15,17:45:00,0,485.9170,7.491
93,2016-11-15,18:00:00,0,486.0660,7.491
94,2016-11-15,18:15:00,0,486.0790,7.491
95,2016-11-15,18:30:00,0,486.0140,7.491
96,2016-11-15,18:45:00,0,486.0200,7.491
97,2016-11-15,19:00:00,0,485.7530,7.492
98,2016-11-15,19:15:00,0,485.4960,7.491
99,2016-11-15,19:30:00,0,485.4140,7.491
100,2016-11-15,19:45:00,0,485.4580,7.491
101,2016-11-15,20:00:00,0,485.2270,7.491
102,2016-11-15,20:15:00,0,485.2930,7.492
103,2016-11-15,20:30:00,0,485.1180,7.491
104,2016-11-15,20:45:00,0,485.0970,7.492
105,2016-11-15,21:00:00,0,484.8360,7.491
106,2016-11-15,21:15:00,0,484.6150,7.491
107,2016-11-15,21:30:00,0,484.3130,7.491
108,2016-11-15,21:45:00,0,484.1910,7.491
109,2016-11-15,22:00:00,0,484.0530,7.492
110,2016-11-15,22:15:00,0,483.9180,7.491
111,2016-11-15,22:30:00,0,483.7190,7.491
112,2016-11-15,22:45:00,0,483.6360,7.491
113,2016-11-15,23:00:00,0,483.2650,7.491
114,2016-11-15,23:15:00,0,483.0300,7.491
115,2016-11-15,23:30:00,0,482.6550,7.491
116,2016-11-15,23:45:00,0,482.3110,7.491
117,2016-11-16,00:00:00,0,481.9480,7.491
118,2016-11-16,00:15:00,0,481.6890,7.491
119,2016-11-16,00:30:00,0,481.1640,7.491
120,2016-11-16,00:45:00,0,481.0960,7.491
121,2016-11-16,01:00:00,0,480.9330,7.491
122,2016-11-16,01:15:00,0,480.7760,7.492
123,2016-11-16,01:30:00,0,480.5480,7.491
124,2016-11-16,01:45:00,0,480.7400,7.491
125,2016-11-16,02:00:00,0,480.7370,7.491
126,2016-11-16,02:15:00,0,480.9130,7.491
127,2016-11-16,02:30:00,0,480.8870,7.491
128,2016-11-16,02:45:00,0,480.7140,7.491
129,2016-11-16,03:00:00,0,480.5540,7.491
130,2016-11-16,03:15:00,0,480.5550,7.491
131,2016-11-16,03:30:00,0,480.4770,7.490
132,2016-11-16,03:45:00,0,480.2720,7.492
133,2016-11-16,04:00:00,0,480.1370,7.491
134,2016-11-16,04:15:00,0,480.0880,7.491
135,2016-11-16,04:30:00,0,479.9770,7.491
136,2016-11-16,04:45:00,0,479.9540,7.491
137,2016-11-16,05:00:00,0,479.7280,7.490
138,2016-11-16,05:15:00,0,479.4350,7.491
139,2016-11-16,05:30:00,0,479.4100,7.491
140,2016-11-16,05:45:00,0,479.4650,7.491
141,2016-11-16,06:00:00,0,479.4630,7.491
142,2016-11-16,06:15:00,0,479.5720,7.492
143,2016-11-16,06:30:00,0,479.6000,7.491
144,2016-11-16,06:45:00,0,479.6200,7.491
145,2016-11-16,07:00:00,0,479.5590,7.491
146,2016-11-16,07:15:00,0,479.6990,7.492
147,2016-11-16,07:30:00,0,479.7080,7.490
148,2016-11-16,07:45:00,0,479.6050,7.491
149,2016-11-16,08:00:00,0,479.6100,7.491
150,2016-11-16,08:15:00,0,479.4690,7.491
151,2016-11-16,08:30:00,0,479.4070,7.490
152,2016-11-16,08:45:00,0,479.3680,7.491
153,2016-11-16,09:00:00,0,479.1610,7.491
154,2016-11-16,09:15:00,0,478.7940,7.491
155,2016-11-16,09:30:00,0,478.8280,7.490
156,2016-11-16,09:45:00,0,478.8750,7.491
157,2016-11-16,10:00:00,0,478.8780,7.491
158,2016-11-16,10:15:00,0,478.8540,7.491
159,2016-11-16,10:30:00,0,478.5890,7.491
160,2016-11-16,10:45:00,0,478.3660,7.491
161,2016-11-16,11:00:00,0,477.9150,7.490
162,2016-11-16,11:15:00,0,477.7780,7.491
163,2016-11-16,11:30:00,0,477.6390,7.490
164,2016-11-16,11:45:00,0,477.4960,7.491
165,2016-11-16,12:00:00,0,477.4000,7.491
166,2016-11-16,12:15:00,0,477.2750,7.491
