Serial Number
	1062251
Project ID
	03010007
Location
	Sainte-Monique
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		46        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-26,13:00:00,0,515.7890,7.478
2,2017-04-26,13:15:00,0,515.5811,7.476
3,2017-04-26,13:30:00,0,515.3970,7.476
4,2017-04-26,13:45:00,0,515.3980,7.475
5,2017-04-26,14:00:00,0,515.4250,7.475
6,2017-04-26,14:15:00,0,514.9940,7.477
7,2017-04-26,14:30:00,0,515.1620,7.475
8,2017-04-26,14:45:00,0,514.9380,7.475
9,2017-04-26,15:00:00,0,514.8500,7.475
10,2017-04-26,15:15:00,0,514.8540,7.475
11,2017-04-26,15:30:00,0,514.9150,7.475
12,2017-04-26,15:45:00,0,514.7661,7.475
13,2017-04-26,16:00:00,0,514.3240,7.474
14,2017-04-26,16:15:00,0,514.2970,7.475
15,2017-04-26,16:30:00,0,514.0530,7.475
16,2017-04-26,16:45:00,0,513.8160,7.475
17,2017-04-26,17:00:00,0,513.7490,7.474
18,2017-04-26,17:15:00,0,513.8440,7.474
19,2017-04-26,17:30:00,0,513.8980,7.474
20,2017-04-26,17:45:00,0,513.9110,7.474
21,2017-04-26,18:00:00,0,514.1260,7.474
22,2017-04-26,18:15:00,0,514.1180,7.474
23,2017-04-26,18:30:00,0,514.1270,7.474
24,2017-04-26,18:45:00,0,514.2230,7.474
25,2017-04-26,19:00:00,0,514.0320,7.475
26,2017-04-26,19:15:00,0,514.1390,7.475
27,2017-04-26,19:30:00,0,514.2380,7.476
28,2017-04-26,19:45:00,0,514.2580,7.474
29,2017-04-26,20:00:00,0,514.3080,7.474
30,2017-04-26,20:15:00,0,514.3680,7.475
31,2017-04-26,20:30:00,0,514.7770,7.474
32,2017-04-26,20:45:00,0,514.5710,7.475
33,2017-04-26,21:00:00,0,514.8370,7.475
34,2017-04-26,21:15:00,0,514.9850,7.474
35,2017-04-26,21:30:00,0,515.0880,7.474
36,2017-04-26,21:45:00,0,515.0250,7.475
