Serial Number
	1062959
Project ID
	03010007
Location
	Baro_Sainte-Monique
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		46        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-14,19:00:00,0,83.6714,6.290
2,2016-11-14,19:15:00,0,83.9155,6.263
3,2016-11-14,19:30:00,0,84.0383,6.256
4,2016-11-14,19:45:00,0,84.0935,6.280
5,2016-11-14,20:00:00,0,84.1928,6.314
6,2016-11-14,20:15:00,0,84.2191,6.388
7,2016-11-14,20:30:00,0,84.1928,6.519
8,2016-11-14,20:45:00,0,84.1950,6.640
9,2016-11-14,21:00:00,0,84.2486,6.679
10,2016-11-14,21:15:00,0,84.2110,6.612
11,2016-11-14,21:30:00,0,84.2674,6.460
12,2016-11-14,21:45:00,0,84.2325,6.287
13,2016-11-14,22:00:00,0,84.2223,6.087
14,2016-11-14,22:15:00,0,84.2539,5.865
15,2016-11-14,22:30:00,0,84.2829,5.583
16,2016-11-14,22:45:00,0,84.2175,5.264
17,2016-11-14,23:00:00,0,84.2036,4.942
18,2016-11-14,23:15:00,0,84.1740,4.633
19,2016-11-14,23:30:00,0,84.2845,4.354
20,2016-11-14,23:45:00,0,84.3097,4.141
21,2016-11-15,00:00:00,0,84.2486,3.968
22,2016-11-15,00:15:00,0,84.2888,3.868
23,2016-11-15,00:30:00,0,84.2807,3.811
24,2016-11-15,00:45:00,0,84.3800,3.757
25,2016-11-15,01:00:00,0,84.4556,3.667
26,2016-11-15,01:15:00,0,84.4910,3.520
27,2016-11-15,01:30:00,0,84.5838,3.261
28,2016-11-15,01:45:00,0,84.6138,3.013
29,2016-11-15,02:00:00,0,84.9008,2.795
30,2016-11-15,02:15:00,0,84.8231,2.720
31,2016-11-15,02:30:00,0,84.8440,2.743
32,2016-11-15,02:45:00,0,84.8419,2.750
33,2016-11-15,03:00:00,0,84.8257,2.711
34,2016-11-15,03:15:00,0,84.7099,2.614
35,2016-11-15,03:30:00,0,84.7436,2.453
36,2016-11-15,03:45:00,0,84.6761,2.276
37,2016-11-15,04:00:00,0,84.6380,2.082
38,2016-11-15,04:15:00,0,84.5147,1.940
39,2016-11-15,04:30:00,0,84.5173,1.863
40,2016-11-15,04:45:00,0,84.5184,1.821
41,2016-11-15,05:00:00,0,84.3853,1.770
42,2016-11-15,05:15:00,0,84.3618,1.736
43,2016-11-15,05:30:00,0,84.4771,1.718
44,2016-11-15,05:45:00,0,84.6665,1.742
45,2016-11-15,06:00:00,0,84.7410,1.773
46,2016-11-15,06:15:00,0,84.7737,1.766
47,2016-11-15,06:30:00,0,84.6686,1.731
48,2016-11-15,06:45:00,0,84.6766,1.787
49,2016-11-15,07:00:00,0,84.9207,1.915
50,2016-11-15,07:15:00,0,85.1658,2.072
51,2016-11-15,07:30:00,0,85.2742,2.283
52,2016-11-15,07:45:00,0,85.1776,2.551
53,2016-11-15,08:00:00,0,85.3391,2.919
54,2016-11-15,08:15:00,0,85.4297,3.420
55,2016-11-15,08:30:00,0,85.0779,3.987
56,2016-11-15,08:45:00,0,84.9040,4.582
57,2016-11-15,09:00:00,0,84.9614,5.275
58,2016-11-15,09:15:00,0,85.2623,6.201
59,2016-11-15,09:30:00,0,85.4319,7.276
60,2016-11-15,09:45:00,0,85.5096,8.550
61,2016-11-15,10:00:00,0,85.4174,9.524
62,2016-11-15,10:15:00,0,85.2522,10.094
63,2016-11-15,10:30:00,0,85.0510,10.455
64,2016-11-15,10:45:00,0,84.7624,10.717
65,2016-11-15,11:00:00,0,84.6165,11.143
66,2016-11-15,11:15:00,0,84.5533,12.849
67,2016-11-15,11:30:00,0,84.4347,15.125
68,2016-11-15,11:45:00,0,84.3291,15.560
69,2016-11-15,12:00:00,0,84.2550,15.317
70,2016-11-15,12:15:00,0,84.1145,14.892
71,2016-11-15,12:30:00,0,84.0125,14.280
72,2016-11-15,12:45:00,0,83.8065,13.643
73,2016-11-15,13:00:00,0,83.5347,12.978
74,2016-11-15,13:15:00,0,83.3581,12.528
75,2016-11-15,13:30:00,0,83.0620,12.337
76,2016-11-15,13:45:00,0,82.9387,12.308
77,2016-11-15,14:00:00,0,82.9156,12.170
78,2016-11-15,14:15:00,0,82.7348,11.936
79,2016-11-15,14:30:00,0,82.5815,11.652
80,2016-11-15,14:45:00,0,82.6383,11.357
81,2016-11-15,15:00:00,0,82.7724,11.041
82,2016-11-15,15:15:00,0,82.6577,10.707
83,2016-11-15,15:30:00,0,82.6753,10.349
84,2016-11-15,15:45:00,0,82.4967,9.917
85,2016-11-15,16:00:00,0,82.4388,9.428
86,2016-11-15,16:15:00,0,82.2504,8.893
87,2016-11-15,16:30:00,0,82.3374,8.352
88,2016-11-15,16:45:00,0,82.2103,7.835
89,2016-11-15,17:00:00,0,82.2719,7.333
90,2016-11-15,17:15:00,0,82.2875,6.830
91,2016-11-15,17:30:00,0,82.1245,6.322
92,2016-11-15,17:45:00,0,82.1561,5.864
93,2016-11-15,18:00:00,0,82.2408,5.477
94,2016-11-15,18:15:00,0,82.2590,5.142
95,2016-11-15,18:30:00,0,82.0912,4.832
96,2016-11-15,18:45:00,0,82.1437,4.588
97,2016-11-15,19:00:00,0,81.8600,4.396
98,2016-11-15,19:15:00,0,81.5832,4.295
99,2016-11-15,19:30:00,0,81.5167,4.233
100,2016-11-15,19:45:00,0,81.6095,4.184
101,2016-11-15,20:00:00,0,81.4292,4.187
102,2016-11-15,20:15:00,0,81.5500,4.237
103,2016-11-15,20:30:00,0,81.3896,4.300
104,2016-11-15,20:45:00,0,81.4517,4.377
105,2016-11-15,21:00:00,0,81.3027,4.477
106,2016-11-15,21:15:00,0,81.1648,4.599
107,2016-11-15,21:30:00,0,80.9974,4.732
108,2016-11-15,21:45:00,0,80.9095,4.852
109,2016-11-15,22:00:00,0,80.8811,4.959
110,2016-11-15,22:15:00,0,80.8301,5.036
111,2016-11-15,22:30:00,0,80.7298,5.056
112,2016-11-15,22:45:00,0,80.7292,5.008
113,2016-11-15,23:00:00,0,80.4112,4.934
114,2016-11-15,23:15:00,0,80.2819,4.860
115,2016-11-15,23:30:00,0,79.9804,4.791
116,2016-11-15,23:45:00,0,79.6516,4.725
117,2016-11-16,00:00:00,0,79.3266,4.660
118,2016-11-16,00:15:00,0,79.0374,4.601
119,2016-11-16,00:30:00,0,78.5847,4.554
120,2016-11-16,00:45:00,0,78.5471,4.525
121,2016-11-16,01:00:00,0,78.2988,4.509
122,2016-11-16,01:15:00,0,78.1299,4.500
123,2016-11-16,01:30:00,0,77.9313,4.484
124,2016-11-16,01:45:00,0,78.1148,4.480
125,2016-11-16,02:00:00,0,78.0655,4.498
126,2016-11-16,02:15:00,0,78.1765,4.536
127,2016-11-16,02:30:00,0,78.1363,4.581
128,2016-11-16,02:45:00,0,77.8557,4.618
129,2016-11-16,03:00:00,0,77.5790,4.639
130,2016-11-16,03:15:00,0,77.4271,4.664
131,2016-11-16,03:30:00,0,77.2330,4.692
132,2016-11-16,03:45:00,0,76.8967,4.720
133,2016-11-16,04:00:00,0,76.6875,4.747
134,2016-11-16,04:15:00,0,76.4965,4.769
135,2016-11-16,04:30:00,0,76.2391,4.791
136,2016-11-16,04:45:00,0,76.1146,4.811
137,2016-11-16,05:00:00,0,75.7622,4.839
138,2016-11-16,05:15:00,0,75.3696,4.865
139,2016-11-16,05:30:00,0,75.1624,4.900
140,2016-11-16,05:45:00,0,75.0944,4.931
141,2016-11-16,06:00:00,0,74.9549,4.969
142,2016-11-16,06:15:00,0,75.0064,5.007
143,2016-11-16,06:30:00,0,74.9029,5.046
144,2016-11-16,06:45:00,0,74.8229,5.074
145,2016-11-16,07:00:00,0,74.7221,5.108
146,2016-11-16,07:15:00,0,74.6991,5.155
147,2016-11-16,07:30:00,0,74.6631,5.231
148,2016-11-16,07:45:00,0,74.5145,5.330
149,2016-11-16,08:00:00,0,74.4775,5.440
150,2016-11-16,08:15:00,0,74.2962,5.553
151,2016-11-16,08:30:00,0,74.1932,5.694
152,2016-11-16,08:45:00,0,74.1299,5.870
153,2016-11-16,09:00:00,0,73.8993,6.038
154,2016-11-16,09:15:00,0,73.5329,6.266
155,2016-11-16,09:30:00,0,73.5967,6.916
156,2016-11-16,09:45:00,0,73.6842,7.509
157,2016-11-16,10:00:00,0,73.7293,7.679
158,2016-11-16,10:15:00,0,73.7072,7.855
159,2016-11-16,10:30:00,0,73.4937,7.974
160,2016-11-16,10:45:00,0,73.2433,7.906
161,2016-11-16,11:00:00,0,72.9010,7.772
162,2016-11-16,11:15:00,0,72.6591,7.660
163,2016-11-16,11:30:00,0,72.5695,7.611
164,2016-11-16,11:45:00,0,72.4199,7.601
165,2016-11-16,12:00:00,0,72.3378,7.545
166,2016-11-16,12:15:00,0,72.1877,7.419
167,2016-11-16,12:30:00,0,72.0927,7.329
168,2016-11-16,12:45:00,0,72.1174,7.401
169,2016-11-16,13:00:00,0,72.1619,7.492
170,2016-11-16,13:15:00,0,72.0412,7.463
171,2016-11-16,13:30:00,0,71.9022,7.364
172,2016-11-16,13:45:00,0,72.0299,7.263
173,2016-11-16,14:00:00,0,72.0514,7.142
174,2016-11-16,14:15:00,0,72.1088,7.031
175,2016-11-16,14:30:00,0,72.4076,6.978
176,2016-11-16,14:45:00,0,72.5535,6.903
177,2016-11-16,15:00:00,0,72.8699,6.811
178,2016-11-16,15:15:00,0,73.0963,6.732
179,2016-11-16,15:30:00,0,73.1955,6.663
180,2016-11-16,15:45:00,0,73.2995,6.591
181,2016-11-16,16:00:00,0,73.4659,6.526
182,2016-11-16,16:15:00,0,73.6627,6.475
183,2016-11-16,16:30:00,0,73.8221,6.400
184,2016-11-16,16:45:00,0,74.0591,6.339
185,2016-11-16,17:00:00,0,74.2318,6.291
186,2016-11-16,17:15:00,0,74.3852,6.262
187,2016-11-16,17:30:00,0,74.5323,6.235
188,2016-11-16,17:45:00,0,74.5638,6.214
189,2016-11-16,18:00:00,0,74.7038,6.206
190,2016-11-16,18:15:00,0,74.8471,6.192
191,2016-11-16,18:30:00,0,74.9538,6.178
192,2016-11-16,18:45:00,0,75.2188,6.173
193,2016-11-16,19:00:00,0,75.2966,6.180
194,2016-11-16,19:15:00,0,75.3588,6.186
195,2016-11-16,19:30:00,0,75.4612,6.196
196,2016-11-16,19:45:00,0,75.6249,6.194
197,2016-11-16,20:00:00,0,75.6903,6.200
198,2016-11-16,20:15:00,0,75.7230,6.208
199,2016-11-16,20:30:00,0,75.8726,6.203
200,2016-11-16,20:45:00,0,76.0347,6.207
201,2016-11-16,21:00:00,0,76.2031,6.196
202,2016-11-16,21:15:00,0,76.4326,6.188
203,2016-11-16,21:30:00,0,76.5684,6.173
204,2016-11-16,21:45:00,0,76.5936,6.167
205,2016-11-16,22:00:00,0,76.6671,6.159
206,2016-11-16,22:15:00,0,76.6515,6.150
207,2016-11-16,22:30:00,0,76.8559,6.148
208,2016-11-16,22:45:00,0,76.9712,6.141
209,2016-11-16,23:00:00,0,77.1209,6.133
210,2016-11-16,23:15:00,0,77.2507,6.121
211,2016-11-16,23:30:00,0,77.2346,6.106
212,2016-11-16,23:45:00,0,77.2995,6.083
213,2016-11-17,00:00:00,0,77.3204,6.060
214,2016-11-17,00:15:00,0,77.4513,6.038
215,2016-11-17,00:30:00,0,77.5667,6.016
216,2016-11-17,00:45:00,0,77.6605,5.991
217,2016-11-17,01:00:00,0,77.8381,5.984
218,2016-11-17,01:15:00,0,77.8788,5.976
219,2016-11-17,01:30:00,0,78.2082,5.958
220,2016-11-17,01:45:00,0,78.5300,5.931
221,2016-11-17,02:00:00,0,78.7553,5.911
222,2016-11-17,02:15:00,0,78.9382,5.892
223,2016-11-17,02:30:00,0,79.1844,5.877
224,2016-11-17,02:45:00,0,79.3936,5.865
225,2016-11-17,03:00:00,0,79.3501,5.856
226,2016-11-17,03:15:00,0,79.5229,5.852
227,2016-11-17,03:30:00,0,79.6350,5.846
228,2016-11-17,03:45:00,0,79.7514,5.841
229,2016-11-17,04:00:00,0,79.9445,5.829
230,2016-11-17,04:15:00,0,80.2052,5.815
231,2016-11-17,04:30:00,0,80.5565,5.796
232,2016-11-17,04:45:00,0,80.8317,5.781
233,2016-11-17,05:00:00,0,81.1273,5.763
234,2016-11-17,05:15:00,0,81.1997,5.735
235,2016-11-17,05:30:00,0,81.3922,5.705
236,2016-11-17,05:45:00,0,81.5988,5.678
237,2016-11-17,06:00:00,0,81.8815,5.654
238,2016-11-17,06:15:00,0,82.0928,5.630
239,2016-11-17,06:30:00,0,82.1936,5.607
240,2016-11-17,06:45:00,0,82.2467,5.582
241,2016-11-17,07:00:00,0,82.3835,5.537
242,2016-11-17,07:15:00,0,82.6941,5.450
243,2016-11-17,07:30:00,0,82.9585,5.405
244,2016-11-17,07:45:00,0,83.2729,5.422
245,2016-11-17,08:00:00,0,83.4450,5.525
246,2016-11-17,08:15:00,0,83.4043,5.704
