Serial_number:
2008565
Project ID:
02370002
Location:
Villeroy_depots_meubles
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/15,19:00:00,0,1280.98,9.059
2016/11/15,19:15:00,0,1280.79,9.058
2016/11/15,19:30:00,0,1280.73,9.059
2016/11/15,19:45:00,0,1280.61,9.059
2016/11/15,20:00:00,0,1280.48,9.058
2016/11/15,20:15:00,0,1280.27,9.058
2016/11/15,20:30:00,0,1280.29,9.058
2016/11/15,20:45:00,0,1280.26,9.057
2016/11/15,21:00:00,0,1280.21,9.058
2016/11/15,21:15:00,0,1280.13,9.057
2016/11/15,21:30:00,0,1280.03,9.057
2016/11/15,21:45:00,0,1279.68,9.057
2016/11/15,22:00:00,0,1279.61,9.057
2016/11/15,22:15:00,0,1279.39,9.057
2016/11/15,22:30:00,0,1279.35,9.057
2016/11/15,22:45:00,0,1279.38,9.057
2016/11/15,23:00:00,0,1279.27,9.056
2016/11/15,23:15:00,0,1279.09,9.056
2016/11/15,23:30:00,0,1278.93,9.056
2016/11/15,23:45:00,0,1278.71,9.056
2016/11/16,00:00:00,0,1278.44,9.056
2016/11/16,00:15:00,0,1278.25,9.056
2016/11/16,00:30:00,0,1278.03,9.056
2016/11/16,00:45:00,0,1277.79,9.056
2016/11/16,01:00:00,0,1277.88,9.056
2016/11/16,01:15:00,0,1277.48,9.056
2016/11/16,01:30:00,0,1277.12,9.056
2016/11/16,01:45:00,0,1277.70,9.055
2016/11/16,02:00:00,0,1277.59,9.056
2016/11/16,02:15:00,0,1277.80,9.056
2016/11/16,02:30:00,0,1277.82,9.055
2016/11/16,02:45:00,0,1277.92,9.055
2016/11/16,03:00:00,0,1278.02,9.055
2016/11/16,03:15:00,0,1278.13,9.055
2016/11/16,03:30:00,0,1278.18,9.055
2016/11/16,03:45:00,0,1278.21,9.054
2016/11/16,04:00:00,0,1278.22,9.055
2016/11/16,04:15:00,0,1278.36,9.054
2016/11/16,04:30:00,0,1278.60,9.055
2016/11/16,04:45:00,0,1278.56,9.055
2016/11/16,05:00:00,0,1278.45,9.054
2016/11/16,05:15:00,0,1278.16,9.055
2016/11/16,05:30:00,0,1277.70,9.054
2016/11/16,05:45:00,0,1277.37,9.054
2016/11/16,06:00:00,0,1277.80,9.053
2016/11/16,06:15:00,0,1277.45,9.054
2016/11/16,06:30:00,0,1277.50,9.054
2016/11/16,06:45:00,0,1277.74,9.054
2016/11/16,07:00:00,0,1277.81,9.054
2016/11/16,07:15:00,0,1277.71,9.054
2016/11/16,07:30:00,0,1277.87,9.054
2016/11/16,07:45:00,0,1277.96,9.053
2016/11/16,08:00:00,0,1277.96,9.053
2016/11/16,08:15:00,0,1277.89,9.054
2016/11/16,08:30:00,0,1277.69,9.053
2016/11/16,08:45:00,0,1277.56,9.053
2016/11/16,09:00:00,0,1277.53,9.052
2016/11/16,09:15:00,0,1277.09,9.053
2016/11/16,09:30:00,0,1277.24,9.053
2016/11/16,09:45:00,0,1277.03,9.053
2016/11/16,10:00:00,0,1277.23,9.053
2016/11/16,10:15:00,0,1277.17,9.053
2016/11/16,10:30:00,0,1276.71,9.052
2016/11/16,10:45:00,0,1276.30,9.053
2016/11/16,11:00:00,0,1276.23,9.052
2016/11/16,11:15:00,0,1275.98,9.053
2016/11/16,11:30:00,0,1276.17,9.052
2016/11/16,11:45:00,0,1275.80,9.052
2016/11/16,12:00:00,0,1275.66,9.052
2016/11/16,12:15:00,0,1275.71,9.052
2016/11/16,12:30:00,0,1275.73,9.051
2016/11/16,12:45:00,0,1275.64,9.052
2016/11/16,13:00:00,0,1275.60,9.052
2016/11/16,13:15:00,0,1275.54,9.052
2016/11/16,13:30:00,0,1275.49,9.052
2016/11/16,13:45:00,0,1275.44,9.052
2016/11/16,14:00:00,0,1275.44,9.051
2016/11/16,14:15:00,0,1275.48,9.051
2016/11/16,14:30:00,0,1275.66,9.051
2016/11/16,14:45:00,0,1275.75,9.051
2016/11/16,15:00:00,0,1275.80,9.051
2016/11/16,15:15:00,0,1276.05,9.051
2016/11/16,15:30:00,0,1276.18,9.051
2016/11/16,15:45:00,0,1276.34,9.050
2016/11/16,16:00:00,0,1276.48,9.051
2016/11/16,16:15:00,0,1276.64,9.050
2016/11/16,16:30:00,0,1276.75,9.051
2016/11/16,16:45:00,0,1276.93,9.051
2016/11/16,17:00:00,0,1277.09,9.051
2016/11/16,17:15:00,0,1277.35,9.051
2016/11/16,17:30:00,0,1277.57,9.050
2016/11/16,17:45:00,0,1277.55,9.050
2016/11/16,18:00:00,0,1277.62,9.050
2016/11/16,18:15:00,0,1277.68,9.050
2016/11/16,18:30:00,0,1277.73,9.050
2016/11/16,18:45:00,0,1277.82,9.050
2016/11/16,19:00:00,0,1277.87,9.050
2016/11/16,19:15:00,0,1277.98,9.050
2016/11/16,19:30:00,0,1278.06,9.049
2016/11/16,19:45:00,0,1278.11,9.049
2016/11/16,20:00:00,0,1278.06,9.049
2016/11/16,20:15:00,0,1278.14,9.049
2016/11/16,20:30:00,0,1278.37,9.049
2016/11/16,20:45:00,0,1278.47,9.049
2016/11/16,21:00:00,0,1278.58,9.049
2016/11/16,21:15:00,0,1278.74,9.049
2016/11/16,21:30:00,0,1278.81,9.049
2016/11/16,21:45:00,0,1278.72,9.048
2016/11/16,22:00:00,0,1278.71,9.048
2016/11/16,22:15:00,0,1278.91,9.048
2016/11/16,22:30:00,0,1278.96,9.049
2016/11/16,22:45:00,0,1279.03,9.048
2016/11/16,23:00:00,0,1279.11,9.048
2016/11/16,23:15:00,0,1279.23,9.048
2016/11/16,23:30:00,0,1279.50,9.047
2016/11/16,23:45:00,0,1279.46,9.048
2016/11/17,00:00:00,0,1279.39,9.048
2016/11/17,00:15:00,0,1279.51,9.048
2016/11/17,00:30:00,0,1279.64,9.047
2016/11/17,00:45:00,0,1279.65,9.048
2016/11/17,01:00:00,0,1279.72,9.048
2016/11/17,01:15:00,0,1279.96,9.048
2016/11/17,01:30:00,0,1280.28,9.047
2016/11/17,01:45:00,0,1280.55,9.047
2016/11/17,02:00:00,0,1280.57,9.047
2016/11/17,02:15:00,0,1280.77,9.047
2016/11/17,02:30:00,0,1280.92,9.046
2016/11/17,02:45:00,0,1281.02,9.046
2016/11/17,03:00:00,0,1281.15,9.047
2016/11/17,03:15:00,0,1281.30,9.046
2016/11/17,03:30:00,0,1281.41,9.046
2016/11/17,03:45:00,0,1281.68,9.046
2016/11/17,04:00:00,0,1281.66,9.046
2016/11/17,04:15:00,0,1281.77,9.046
2016/11/17,04:30:00,0,1282.02,9.046
2016/11/17,04:45:00,0,1282.18,9.046
2016/11/17,05:00:00,0,1282.35,9.045
