Serial_number:
2010130
Project ID:
02370003
Location:
Villeroy_roc_moins_prof
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/27,18:00:00,0,1543.23,6.481
2017/04/27,18:15:00,0,1543.26,6.453
2017/04/27,18:30:00,0,1542.96,6.457
2017/04/27,18:45:00,0,1543.12,6.457
2017/04/27,19:00:00,0,1542.80,6.481
2017/04/27,19:15:00,0,1542.55,6.456
2017/04/27,19:30:00,0,1542.74,6.398
2017/04/27,19:45:00,0,1542.78,6.447
2017/04/27,20:00:00,0,1542.66,6.411
2017/04/27,20:15:00,0,1542.44,6.494
2017/04/27,20:30:00,0,1542.52,6.509
2017/04/27,20:45:00,0,1542.42,6.476
2017/04/27,21:00:00,0,1542.65,6.487
2017/04/27,21:15:00,0,1542.27,6.419
2017/04/27,21:30:00,0,1542.62,6.417
2017/04/27,21:45:00,0,1542.44,6.458
2017/04/27,22:00:00,0,1542.28,6.457
2017/04/27,22:15:00,0,1542.23,6.410
2017/04/27,22:30:00,0,1542.03,6.429
2017/04/27,22:45:00,0,1541.99,6.468
2017/04/27,23:00:00,0,1542.07,6.452
2017/04/27,23:15:00,0,1541.96,6.456
2017/04/27,23:30:00,0,1541.85,6.497
2017/04/27,23:45:00,0,1541.95,6.454
2017/04/28,00:00:00,0,1542.08,6.444
2017/04/28,00:15:00,0,1542.08,6.396
2017/04/28,00:30:00,0,1541.79,6.451
2017/04/28,00:45:00,0,1541.65,6.453
2017/04/28,01:00:00,0,1541.73,6.520
2017/04/28,01:15:00,0,1541.89,6.449
2017/04/28,01:30:00,0,1541.86,6.377
2017/04/28,01:45:00,0,1541.64,6.431
2017/04/28,02:00:00,0,1541.62,6.435
2017/04/28,02:15:00,0,1541.60,6.368
2017/04/28,02:30:00,0,1541.60,6.433
2017/04/28,02:45:00,0,1541.05,6.445
2017/04/28,03:00:00,0,1541.14,6.459
2017/04/28,03:15:00,0,1541.13,6.398
2017/04/28,03:30:00,0,1541.23,6.486
2017/04/28,03:45:00,0,1541.31,6.491
2017/04/28,04:00:00,0,1541.43,6.441
2017/04/28,04:15:00,0,1541.34,6.454
2017/04/28,04:30:00,0,1541.49,6.474
2017/04/28,04:45:00,0,1541.58,6.413
2017/04/28,05:00:00,0,1541.79,6.459
2017/04/28,05:15:00,0,1541.58,6.453
2017/04/28,05:30:00,0,1541.92,6.355
2017/04/28,05:45:00,0,1542.26,6.450
2017/04/28,06:00:00,0,1541.84,6.482
2017/04/28,06:15:00,0,1541.73,6.471
2017/04/28,06:30:00,0,1541.76,6.448
2017/04/28,06:45:00,0,1541.96,6.421
2017/04/28,07:00:00,0,1542.14,6.476
2017/04/28,07:15:00,0,1542.07,6.442
2017/04/28,07:30:00,0,1542.24,6.380
2017/04/28,07:45:00,0,1542.77,6.442
2017/04/28,08:00:00,0,1542.81,6.354
2017/04/28,08:15:00,0,1542.78,6.455
2017/04/28,08:30:00,0,1543.03,6.436
2017/04/28,08:45:00,0,1543.02,6.461
2017/04/28,09:00:00,0,1543.05,6.412
2017/04/28,09:15:00,0,1543.05,6.496
2017/04/28,09:30:00,0,1543.22,6.437
2017/04/28,09:45:00,0,1543.41,6.453
2017/04/28,10:00:00,0,1543.52,6.441
2017/04/28,10:15:00,0,1543.53,6.485
2017/04/28,10:30:00,0,1543.64,6.500
2017/04/28,10:45:00,0,1543.63,6.466
2017/04/28,11:00:00,0,1543.74,6.486
2017/04/28,11:15:00,0,1543.52,6.390
2017/04/28,11:30:00,0,1543.23,6.443
2017/04/28,11:45:00,0,1543.04,6.370
2017/04/28,12:00:00,0,1542.72,6.400
2017/04/28,12:15:00,0,1542.63,6.413
2017/04/28,12:30:00,0,1542.50,6.408
2017/04/28,12:45:00,0,1542.42,6.382
2017/04/28,13:00:00,0,1542.37,6.474
2017/04/28,13:15:00,0,1542.33,6.406
2017/04/28,13:30:00,0,1542.31,6.405
2017/04/28,13:45:00,0,1542.15,6.426
2017/04/28,14:00:00,0,1541.94,6.468
2017/04/28,14:15:00,0,1542.12,6.424
2017/04/28,14:30:00,0,1541.95,6.442
2017/04/28,14:45:00,0,1541.76,6.462
2017/04/28,15:00:00,0,1541.72,6.459
2017/04/28,15:15:00,0,1541.48,6.454
2017/04/28,15:30:00,0,1541.41,6.443
2017/04/28,15:45:00,0,1541.33,6.453
2017/04/28,16:00:00,0,1541.34,6.483
2017/04/28,16:15:00,0,1541.38,6.440
2017/04/28,16:30:00,0,1541.57,6.484
2017/04/28,16:45:00,0,1541.74,6.393
2017/04/28,17:00:00,0,1541.85,6.473
2017/04/28,17:15:00,0,1542.10,6.367
2017/04/28,17:30:00,0,1542.12,6.436
2017/04/28,17:45:00,0,1541.99,6.501
2017/04/28,18:00:00,0,1541.91,6.452
2017/04/28,18:15:00,0,1542.01,6.406
2017/04/28,18:30:00,0,1542.17,6.419
2017/04/28,18:45:00,0,1542.18,6.482
2017/04/28,19:00:00,0,1542.32,6.437
2017/04/28,19:15:00,0,1542.32,6.420
2017/04/28,19:30:00,0,1542.27,6.433
2017/04/28,19:45:00,0,1542.46,6.439
2017/04/28,20:00:00,0,1542.48,6.441
2017/04/28,20:15:00,0,1542.73,6.488
2017/04/28,20:30:00,0,1542.81,6.433
2017/04/28,20:45:00,0,1542.82,6.387
2017/04/28,21:00:00,0,1542.97,6.491
2017/04/28,21:15:00,0,1543.20,6.504
2017/04/28,21:30:00,0,1543.26,6.407
2017/04/28,21:45:00,0,1543.05,6.467
2017/04/28,22:00:00,0,1543.22,6.406
2017/04/28,22:15:00,0,1543.41,6.448
2017/04/28,22:30:00,0,1543.34,6.469
2017/04/28,22:45:00,0,1543.25,6.440
2017/04/28,23:00:00,0,1543.24,6.472
2017/04/28,23:15:00,0,1543.07,6.407
2017/04/28,23:30:00,0,1543.21,6.425
2017/04/28,23:45:00,0,1543.19,6.428
2017/04/29,00:00:00,0,1543.03,6.396
2017/04/29,00:15:00,0,1543.26,6.417
2017/04/29,00:30:00,0,1543.07,6.423
2017/04/29,00:45:00,0,1543.22,6.418
2017/04/29,01:00:00,0,1543.07,6.408
2017/04/29,01:15:00,0,1542.93,6.452
2017/04/29,01:30:00,0,1542.87,6.378
2017/04/29,01:45:00,0,1542.88,6.413
2017/04/29,02:00:00,0,1542.68,6.523
2017/04/29,02:15:00,0,1542.59,6.477
2017/04/29,02:30:00,0,1542.46,6.452
2017/04/29,02:45:00,0,1542.27,6.443
2017/04/29,03:00:00,0,1542.05,6.441
2017/04/29,03:15:00,0,1541.66,6.451
2017/04/29,03:30:00,0,1541.79,6.439
2017/04/29,03:45:00,0,1541.60,6.432
2017/04/29,04:00:00,0,1541.90,6.464
2017/04/29,04:15:00,0,1542.28,6.462
2017/04/29,04:30:00,0,1542.00,6.423
