Serial_number:
2010141
Project ID:
02370004
Location:
Villeroy_roc_plus_prof
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/15,19:00:00,0,1474.16,9.141
2016/11/15,19:15:00,0,1473.92,9.143
2016/11/15,19:30:00,0,1473.91,9.143
2016/11/15,19:45:00,0,1473.76,9.143
2016/11/15,20:00:00,0,1473.63,9.142
2016/11/15,20:15:00,0,1473.38,9.143
2016/11/15,20:30:00,0,1473.46,9.142
2016/11/15,20:45:00,0,1473.43,9.142
2016/11/15,21:00:00,0,1473.33,9.142
2016/11/15,21:15:00,0,1473.28,9.143
2016/11/15,21:30:00,0,1473.11,9.141
2016/11/15,21:45:00,0,1472.76,9.142
2016/11/15,22:00:00,0,1472.67,9.141
2016/11/15,22:15:00,0,1472.47,9.141
2016/11/15,22:30:00,0,1472.44,9.147
2016/11/15,22:45:00,0,1472.40,9.143
2016/11/15,23:00:00,0,1472.35,9.140
2016/11/15,23:15:00,0,1472.19,9.140
2016/11/15,23:30:00,0,1471.98,9.140
2016/11/15,23:45:00,0,1471.70,9.139
2016/11/16,00:00:00,0,1471.48,9.139
2016/11/16,00:15:00,0,1471.24,9.138
2016/11/16,00:30:00,0,1471.01,9.138
2016/11/16,00:45:00,0,1470.72,9.138
2016/11/16,01:00:00,0,1470.80,9.137
2016/11/16,01:15:00,0,1470.30,9.136
2016/11/16,01:30:00,0,1470.04,9.136
2016/11/16,01:45:00,0,1470.56,9.134
2016/11/16,02:00:00,0,1470.37,9.135
2016/11/16,02:15:00,0,1470.73,9.135
2016/11/16,02:30:00,0,1470.62,9.133
2016/11/16,02:45:00,0,1470.61,9.133
2016/11/16,03:00:00,0,1470.66,9.131
2016/11/16,03:15:00,0,1470.83,9.132
2016/11/16,03:30:00,0,1470.97,9.131
2016/11/16,03:45:00,0,1470.98,9.130
2016/11/16,04:00:00,0,1471.01,9.130
2016/11/16,04:15:00,0,1471.17,9.130
2016/11/16,04:30:00,0,1471.34,9.130
2016/11/16,04:45:00,0,1471.40,9.130
2016/11/16,05:00:00,0,1471.29,9.131
2016/11/16,05:15:00,0,1471.04,9.130
2016/11/16,05:30:00,0,1470.57,9.130
2016/11/16,05:45:00,0,1470.25,9.130
2016/11/16,06:00:00,0,1470.68,9.130
2016/11/16,06:15:00,0,1470.35,9.130
2016/11/16,06:30:00,0,1470.41,9.131
2016/11/16,06:45:00,0,1470.63,9.130
2016/11/16,07:00:00,0,1470.68,9.131
2016/11/16,07:15:00,0,1470.66,9.131
2016/11/16,07:30:00,0,1470.76,9.130
2016/11/16,07:45:00,0,1470.86,9.131
2016/11/16,08:00:00,0,1470.84,9.131
2016/11/16,08:15:00,0,1470.75,9.132
2016/11/16,08:30:00,0,1470.56,9.131
2016/11/16,08:45:00,0,1470.46,9.132
2016/11/16,09:00:00,0,1470.40,9.132
2016/11/16,09:15:00,0,1469.91,9.132
2016/11/16,09:30:00,0,1470.12,9.133
2016/11/16,09:45:00,0,1469.93,9.133
2016/11/16,10:00:00,0,1470.11,9.133
