Serial_number:
2048416
Project ID:
03010005
Location:
Saint-Camille
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/15,13:00:00,0,1797.42,9.265
2016/11/15,13:15:00,0,1797.34,9.263
2016/11/15,13:30:00,0,1797.30,9.263
2016/11/15,13:45:00,0,1797.13,9.263
2016/11/15,14:00:00,0,1797.12,9.263
2016/11/15,14:15:00,0,1796.98,9.261
2016/11/15,14:30:00,0,1797.11,9.260
2016/11/15,14:45:00,0,1797.06,9.261
2016/11/15,15:00:00,0,1796.94,9.261
2016/11/15,15:15:00,0,1796.82,9.261
2016/11/15,15:30:00,0,1796.74,9.260
2016/11/15,15:45:00,0,1796.74,9.260
2016/11/15,16:00:00,0,1796.82,9.260
2016/11/15,16:15:00,0,1796.72,9.261
2016/11/15,16:30:00,0,1796.62,9.261
2016/11/15,16:45:00,0,1796.45,9.261
2016/11/15,17:00:00,0,1796.45,9.262
2016/11/15,17:15:00,0,1796.45,9.261
2016/11/15,17:30:00,0,1796.39,9.262
2016/11/15,17:45:00,0,1796.42,9.262
2016/11/15,18:00:00,0,1796.18,9.263
2016/11/15,18:15:00,0,1796.21,9.263
2016/11/15,18:30:00,0,1796.17,9.263
2016/11/15,18:45:00,0,1795.97,9.262
2016/11/15,19:00:00,0,1796.09,9.263
2016/11/15,19:15:00,0,1795.93,9.262
2016/11/15,19:30:00,0,1795.78,9.262
2016/11/15,19:45:00,0,1795.75,9.262
2016/11/15,20:00:00,0,1795.67,9.263
2016/11/15,20:15:00,0,1795.58,9.264
2016/11/15,20:30:00,0,1795.40,9.263
2016/11/15,20:45:00,0,1795.38,9.262
2016/11/15,21:00:00,0,1795.42,9.262
2016/11/15,21:15:00,0,1795.20,9.262
2016/11/15,21:30:00,0,1794.97,9.262
2016/11/15,21:45:00,0,1794.94,9.263
2016/11/15,22:00:00,0,1794.73,9.262
2016/11/15,22:15:00,0,1794.47,9.261
2016/11/15,22:30:00,0,1794.33,9.262
2016/11/15,22:45:00,0,1794.13,9.262
2016/11/15,23:00:00,0,1794.15,9.262
2016/11/15,23:15:00,0,1794.14,9.261
2016/11/15,23:30:00,0,1793.65,9.261
2016/11/15,23:45:00,0,1793.69,9.260
2016/11/16,00:00:00,0,1793.80,9.259
2016/11/16,00:15:00,0,1793.76,9.258
2016/11/16,00:30:00,0,1793.72,9.257
2016/11/16,00:45:00,0,1793.86,9.257
2016/11/16,01:00:00,0,1794.20,9.257
2016/11/16,01:15:00,0,1794.66,9.256
2016/11/16,01:30:00,0,1794.76,9.256
2016/11/16,01:45:00,0,1794.72,9.257
2016/11/16,02:00:00,0,1794.96,9.258
2016/11/16,02:15:00,0,1795.26,9.257
2016/11/16,02:30:00,0,1795.27,9.257
2016/11/16,02:45:00,0,1795.23,9.257
2016/11/16,03:00:00,0,1795.23,9.258
2016/11/16,03:15:00,0,1795.43,9.258
2016/11/16,03:30:00,0,1795.33,9.259
2016/11/16,03:45:00,0,1795.30,9.259
2016/11/16,04:00:00,0,1795.34,9.259
2016/11/16,04:15:00,0,1795.36,9.259
2016/11/16,04:30:00,0,1795.25,9.260
2016/11/16,04:45:00,0,1794.98,9.260
2016/11/16,05:00:00,0,1795.08,9.260
2016/11/16,05:15:00,0,1794.95,9.260
2016/11/16,05:30:00,0,1794.88,9.262
2016/11/16,05:45:00,0,1794.80,9.262
2016/11/16,06:00:00,0,1794.82,9.263
2016/11/16,06:15:00,0,1794.81,9.264
2016/11/16,06:30:00,0,1794.73,9.263
2016/11/16,06:45:00,0,1794.76,9.264
2016/11/16,07:00:00,0,1794.74,9.263
2016/11/16,07:15:00,0,1794.66,9.264
2016/11/16,07:30:00,0,1794.81,9.263
2016/11/16,07:45:00,0,1794.72,9.264
2016/11/16,08:00:00,0,1794.56,9.265
2016/11/16,08:15:00,0,1794.42,9.265
2016/11/16,08:30:00,0,1794.28,9.265
2016/11/16,08:45:00,0,1794.22,9.265
2016/11/16,09:00:00,0,1794.21,9.265
2016/11/16,09:15:00,0,1794.43,9.266
2016/11/16,09:30:00,0,1794.33,9.266
2016/11/16,09:45:00,0,1794.43,9.266
2016/11/16,10:00:00,0,1794.48,9.266
2016/11/16,10:15:00,0,1794.65,9.265
2016/11/16,10:30:00,0,1794.71,9.264
2016/11/16,10:45:00,0,1794.80,9.265
2016/11/16,11:00:00,0,1794.79,9.264
