Serial_number:
2048432
Project ID:
03010004
Location:
Victoriaville
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/27,15:00:00,0,1586.21,7.516
2017/04/27,15:15:00,0,1594.28,7.508
2017/04/27,15:30:00,0,1593.05,7.514
2017/04/27,15:45:00,0,1599.77,7.483
2017/04/27,16:00:00,0,1606.86,7.504
2017/04/27,16:15:00,0,1612.49,7.527
2017/04/27,16:30:00,0,1612.14,7.605
2017/04/27,16:45:00,0,1608.45,7.548
2017/04/27,17:00:00,0,1612.02,7.500
2017/04/27,17:15:00,0,1604.06,7.490
2017/04/27,17:30:00,0,1608.09,7.502
2017/04/27,17:45:00,0,1612.88,7.538
2017/04/27,18:00:00,0,1616.81,7.485
2017/04/27,18:15:00,0,1602.18,7.496
2017/04/27,18:30:00,0,1596.96,7.496
2017/04/27,18:45:00,0,1603.05,7.475
2017/04/27,19:00:00,0,1609.08,7.459
2017/04/27,19:15:00,0,1613.87,7.485
2017/04/27,19:30:00,0,1617.10,7.532
2017/04/27,19:45:00,0,1619.63,7.494
2017/04/27,20:00:00,0,1621.16,7.492
2017/04/27,20:15:00,0,1622.41,7.504
2017/04/27,20:30:00,0,1623.28,7.529
2017/04/27,20:45:00,0,1623.93,7.543
2017/04/27,21:00:00,0,1615.15,7.485
2017/04/27,21:15:00,0,1615.14,7.489
2017/04/27,21:30:00,0,1617.31,7.491
2017/04/27,21:45:00,0,1619.38,7.482
2017/04/27,22:00:00,0,1620.82,7.519
2017/04/27,22:15:00,0,1621.73,7.487
2017/04/27,22:30:00,0,1622.65,7.571
2017/04/27,22:45:00,0,1623.32,7.424
2017/04/27,23:00:00,0,1623.79,7.455
2017/04/27,23:15:00,0,1623.85,7.516
2017/04/27,23:30:00,0,1624.27,7.510
2017/04/27,23:45:00,0,1624.54,7.399
2017/04/28,00:00:00,0,1624.63,7.480
2017/04/28,00:15:00,0,1624.51,7.511
2017/04/28,00:30:00,0,1624.54,7.512
2017/04/28,00:45:00,0,1624.94,7.512
2017/04/28,01:00:00,0,1625.40,7.515
2017/04/28,01:15:00,0,1625.61,7.393
2017/04/28,01:30:00,0,1625.59,7.455
2017/04/28,01:45:00,0,1625.56,7.470
2017/04/28,02:00:00,0,1625.72,7.493
2017/04/28,02:15:00,0,1625.82,7.500
2017/04/28,02:30:00,0,1625.66,7.492
2017/04/28,02:45:00,0,1625.83,7.518
2017/04/28,03:00:00,0,1626.01,7.569
2017/04/28,03:15:00,0,1626.08,7.450
2017/04/28,03:30:00,0,1626.38,7.490
2017/04/28,03:45:00,0,1626.66,7.449
2017/04/28,04:00:00,0,1626.87,7.465
2017/04/28,04:15:00,0,1627.23,7.510
2017/04/28,04:30:00,0,1627.41,7.477
2017/04/28,04:45:00,0,1627.68,7.432
2017/04/28,05:00:00,0,1618.13,7.396
2017/04/28,05:15:00,0,1617.68,7.528
2017/04/28,05:30:00,0,1619.96,7.416
2017/04/28,05:45:00,0,1621.58,7.510
2017/04/28,06:00:00,0,1623.20,7.465
2017/04/28,06:15:00,0,1624.25,7.524
2017/04/28,06:30:00,0,1624.91,7.474
2017/04/28,06:45:00,0,1625.85,7.452
2017/04/28,07:00:00,0,1622.87,7.433
2017/04/28,07:15:00,0,1616.18,7.491
2017/04/28,07:30:00,0,1606.41,7.438
2017/04/28,07:45:00,0,1607.91,7.438
2017/04/28,08:00:00,0,1612.35,7.409
2017/04/28,08:15:00,0,1616.04,7.467
2017/04/28,08:30:00,0,1618.70,7.470
2017/04/28,08:45:00,0,1620.56,7.513
2017/04/28,09:00:00,0,1621.93,7.490
2017/04/28,09:15:00,0,1622.91,7.506
2017/04/28,09:30:00,0,1623.71,7.458
2017/04/28,09:45:00,0,1618.56,7.473
2017/04/28,10:00:00,0,1612.82,7.438
2017/04/28,10:15:00,0,1614.57,7.442
2017/04/28,10:30:00,0,1617.30,7.479
2017/04/28,10:45:00,0,1619.23,7.414
2017/04/28,11:00:00,0,1616.74,7.520
2017/04/28,11:15:00,0,1611.56,7.431
2017/04/28,11:30:00,0,1613.57,7.484
2017/04/28,11:45:00,0,1616.27,7.459
2017/04/28,12:00:00,0,1618.17,7.470
2017/04/28,12:15:00,0,1619.65,7.506
2017/04/28,12:30:00,0,1620.97,7.472
2017/04/28,12:45:00,0,1613.71,7.519
2017/04/28,13:00:00,0,1611.33,7.497
2017/04/28,13:15:00,0,1613.75,7.449
2017/04/28,13:30:00,0,1616.32,7.387
2017/04/28,13:45:00,0,1617.04,7.437
2017/04/28,14:00:00,0,1605.81,7.406
2017/04/28,14:15:00,0,1595.75,7.432
2017/04/28,14:30:00,0,1576.36,7.410
2017/04/28,14:45:00,0,1567.41,7.299
2017/04/28,15:00:00,0,1569.32,7.305
2017/04/28,15:15:00,0,1579.89,7.407
2017/04/28,15:30:00,0,1582.92,7.408
2017/04/28,15:45:00,0,1592.71,7.466
2017/04/28,16:00:00,0,1600.95,7.396
2017/04/28,16:15:00,0,1607.02,7.423
2017/04/28,16:30:00,0,1611.46,7.415
2017/04/28,16:45:00,0,1614.60,7.488
2017/04/28,17:00:00,0,1617.04,7.444
2017/04/28,17:15:00,0,1618.91,7.476
2017/04/28,17:30:00,0,1620.19,7.458
2017/04/28,17:45:00,0,1621.26,7.456
2017/04/28,18:00:00,0,1622.32,7.473
2017/04/28,18:15:00,0,1623.27,7.451
2017/04/28,18:30:00,0,1623.82,7.439
2017/04/28,18:45:00,0,1624.50,7.423
2017/04/28,19:00:00,0,1624.85,7.465
2017/04/28,19:15:00,0,1625.03,7.429
2017/04/28,19:30:00,0,1625.45,7.489
2017/04/28,19:45:00,0,1625.84,7.472
2017/04/28,20:00:00,0,1626.13,7.454
2017/04/28,20:15:00,0,1626.25,7.446
2017/04/28,20:30:00,0,1626.30,7.474
2017/04/28,20:45:00,0,1626.45,7.451
2017/04/28,21:00:00,0,1626.68,7.445
2017/04/28,21:15:00,0,1626.78,7.441
2017/04/28,21:30:00,0,1626.77,7.503
2017/04/28,21:45:00,0,1626.64,7.392
2017/04/28,22:00:00,0,1626.66,7.424
2017/04/28,22:15:00,0,1626.63,7.478
2017/04/28,22:30:00,0,1621.33,7.435
2017/04/28,22:45:00,0,1615.20,7.470
2017/04/28,23:00:00,0,1616.58,7.399
2017/04/28,23:15:00,0,1618.77,7.414
2017/04/28,23:30:00,0,1620.45,7.444
2017/04/28,23:45:00,0,1621.68,7.502
2017/04/29,00:00:00,0,1622.67,7.473
2017/04/29,00:15:00,0,1623.18,7.405
2017/04/29,00:30:00,0,1623.65,7.436
2017/04/29,00:45:00,0,1624.03,7.456
2017/04/29,01:00:00,0,1624.07,7.501
2017/04/29,01:15:00,0,1624.42,7.460
2017/04/29,01:30:00,0,1624.52,7.474
2017/04/29,01:45:00,0,1624.70,7.476
2017/04/29,02:00:00,0,1624.92,7.508
2017/04/29,02:15:00,0,1624.88,7.493
2017/04/29,02:30:00,0,1624.76,7.477
2017/04/29,02:45:00,0,1624.86,7.465
2017/04/29,03:00:00,0,1624.84,7.381
2017/04/29,03:15:00,0,1624.70,7.427
2017/04/29,03:30:00,0,1624.79,7.469
2017/04/29,03:45:00,0,1625.14,7.453
2017/04/29,04:00:00,0,1625.45,7.470
2017/04/29,04:15:00,0,1625.58,7.469
2017/04/29,04:30:00,0,1625.60,7.499
2017/04/29,04:45:00,0,1625.39,7.496
2017/04/29,05:00:00,0,1625.43,7.516
2017/04/29,05:15:00,0,1625.55,7.479
2017/04/29,05:30:00,0,1625.64,7.483
2017/04/29,05:45:00,0,1625.48,7.532
2017/04/29,06:00:00,0,1625.32,7.472
2017/04/29,06:15:00,0,1625.59,7.442
2017/04/29,06:30:00,0,1625.72,7.467
2017/04/29,06:45:00,0,1625.59,7.422
2017/04/29,07:00:00,0,1625.63,7.449
2017/04/29,07:15:00,0,1615.14,7.444
2017/04/29,07:30:00,0,1614.70,7.497
2017/04/29,07:45:00,0,1616.73,7.453
2017/04/29,08:00:00,0,1607.76,7.417
2017/04/29,08:15:00,0,1607.71,7.408
2017/04/29,08:30:00,0,1611.28,7.399
2017/04/29,08:45:00,0,1614.09,7.435
2017/04/29,09:00:00,0,1616.15,7.469
2017/04/29,09:15:00,0,1618.05,7.477
2017/04/29,09:30:00,0,1619.17,7.487
2017/04/29,09:45:00,0,1619.72,7.459
2017/04/29,10:00:00,0,1620.20,7.481
2017/04/29,10:15:00,0,1620.55,7.459
2017/04/29,10:30:00,0,1610.54,7.405
2017/04/29,10:45:00,0,1610.62,7.420
2017/04/29,11:00:00,0,1612.57,7.427
2017/04/29,11:15:00,0,1614.12,7.437
2017/04/29,11:30:00,0,1615.52,7.446
2017/04/29,11:45:00,0,1616.53,7.468
2017/04/29,12:00:00,0,1617.08,7.454
2017/04/29,12:15:00,0,1617.45,7.496
2017/04/29,12:30:00,0,1617.47,7.449
2017/04/29,12:45:00,0,1617.89,7.497
2017/04/29,13:00:00,0,1618.05,7.452
2017/04/29,13:15:00,0,1618.23,7.470
2017/04/29,13:30:00,0,1607.58,7.382
2017/04/29,13:45:00,0,1603.86,7.439
2017/04/29,14:00:00,0,1606.35,7.427
2017/04/29,14:15:00,0,1609.56,7.385
2017/04/29,14:30:00,0,1602.43,7.369
2017/04/29,14:45:00,0,1603.79,7.380
2017/04/29,15:00:00,0,1607.31,7.445
2017/04/29,15:15:00,0,1610.38,7.498
2017/04/29,15:30:00,0,1601.55,7.412
2017/04/29,15:45:00,0,1604.38,7.467
2017/04/29,16:00:00,0,1608.05,7.408
2017/04/29,16:15:00,0,1611.80,7.444
2017/04/29,16:30:00,0,1614.26,7.485
2017/04/29,16:45:00,0,1606.68,7.437
2017/04/29,17:00:00,0,1603.28,7.446
