Serial_number:
2048437
Project ID:
03010006
Location:
Saint-Remi-de-Tingwick
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/15,13:00:00,0,1501.39,9.222
2016/11/15,13:15:00,0,1501.40,9.225
2016/11/15,13:30:00,0,1501.34,9.228
2016/11/15,13:45:00,0,1501.41,9.222
2016/11/15,14:00:00,0,1501.50,9.216
2016/11/15,14:15:00,0,1501.53,9.215
2016/11/15,14:30:00,0,1501.76,9.215
2016/11/15,14:45:00,0,1502.10,9.209
2016/11/15,15:00:00,0,1502.26,9.209
2016/11/15,15:15:00,0,1502.45,9.206
2016/11/15,15:30:00,0,1502.52,9.206
2016/11/15,15:45:00,0,1502.76,9.203
2016/11/15,16:00:00,0,1502.97,9.202
2016/11/15,16:15:00,0,1503.33,9.203
2016/11/15,16:30:00,0,1503.45,9.203
2016/11/15,16:45:00,0,1503.54,9.204
2016/11/15,17:00:00,0,1503.66,9.204
2016/11/15,17:15:00,0,1503.94,9.203
2016/11/15,17:30:00,0,1504.47,9.203
2016/11/15,17:45:00,0,1504.68,9.204
2016/11/15,18:00:00,0,1505.00,9.206
2016/11/15,18:15:00,0,1505.26,9.204
2016/11/15,18:30:00,0,1505.26,9.207
2016/11/15,18:45:00,0,1505.45,9.207
2016/11/15,19:00:00,0,1505.57,9.204
2016/11/15,19:15:00,0,1505.75,9.204
2016/11/15,19:30:00,0,1505.84,9.205
2016/11/15,19:45:00,0,1505.95,9.204
2016/11/15,20:00:00,0,1506.07,9.205
2016/11/15,20:15:00,0,1506.26,9.204
2016/11/15,20:30:00,0,1506.38,9.205
2016/11/15,20:45:00,0,1506.41,9.208
2016/11/15,21:00:00,0,1506.41,9.208
2016/11/15,21:15:00,0,1506.34,9.208
2016/11/15,21:30:00,0,1506.22,9.209
2016/11/15,21:45:00,0,1506.16,9.210
2016/11/15,22:00:00,0,1506.06,9.211
2016/11/15,22:15:00,0,1505.88,9.209
2016/11/15,22:30:00,0,1505.70,9.208
2016/11/15,22:45:00,0,1505.51,9.210
2016/11/15,23:00:00,0,1505.24,9.213
2016/11/15,23:15:00,0,1505.19,9.214
2016/11/15,23:30:00,0,1504.80,9.214
2016/11/15,23:45:00,0,1504.43,9.216
2016/11/16,00:00:00,0,1504.66,9.215
2016/11/16,00:15:00,0,1504.10,9.214
2016/11/16,00:30:00,0,1503.93,9.214
2016/11/16,00:45:00,0,1503.73,9.215
2016/11/16,01:00:00,0,1503.47,9.217
2016/11/16,01:15:00,0,1503.59,9.215
2016/11/16,01:30:00,0,1503.90,9.215
2016/11/16,01:45:00,0,1503.77,9.217
2016/11/16,02:00:00,0,1503.90,9.216
2016/11/16,02:15:00,0,1503.99,9.217
2016/11/16,02:30:00,0,1504.07,9.218
2016/11/16,02:45:00,0,1504.19,9.220
2016/11/16,03:00:00,0,1504.47,9.218
2016/11/16,03:15:00,0,1504.98,9.216
2016/11/16,03:30:00,0,1504.86,9.216
2016/11/16,03:45:00,0,1504.91,9.217
2016/11/16,04:00:00,0,1505.01,9.219
2016/11/16,04:15:00,0,1505.35,9.220
2016/11/16,04:30:00,0,1505.31,9.220
2016/11/16,04:45:00,0,1505.26,9.220
2016/11/16,05:00:00,0,1504.93,9.218
2016/11/16,05:15:00,0,1505.33,9.216
2016/11/16,05:30:00,0,1505.20,9.217
2016/11/16,05:45:00,0,1505.46,9.218
2016/11/16,06:00:00,0,1505.86,9.217
2016/11/16,06:15:00,0,1506.02,9.217
2016/11/16,06:30:00,0,1506.28,9.218
2016/11/16,06:45:00,0,1506.35,9.216
2016/11/16,07:00:00,0,1506.66,9.217
2016/11/16,07:15:00,0,1506.79,9.218
2016/11/16,07:30:00,0,1507.01,9.219
2016/11/16,07:45:00,0,1507.21,9.217
2016/11/16,08:00:00,0,1507.13,9.216
2016/11/16,08:15:00,0,1506.92,9.217
2016/11/16,08:30:00,0,1507.10,9.217
2016/11/16,08:45:00,0,1506.93,9.216
2016/11/16,09:00:00,0,1506.93,9.217
2016/11/16,09:15:00,0,1506.94,9.219
2016/11/16,09:30:00,0,1507.23,9.219
2016/11/16,09:45:00,0,1507.16,9.220
2016/11/16,10:00:00,0,1507.09,9.221
2016/11/16,10:15:00,0,1507.00,9.221
2016/11/16,10:30:00,0,1506.84,9.221
2016/11/16,10:45:00,0,1506.78,9.221
2016/11/16,11:00:00,0,1506.82,9.222
2016/11/16,11:15:00,0,1506.74,9.221
2016/11/16,11:30:00,0,1506.68,9.221
2016/11/16,11:45:00,0,1506.79,9.222
2016/11/16,12:00:00,0,1507.01,9.224
2016/11/16,12:15:00,0,1507.29,9.223
2016/11/16,12:30:00,0,1507.11,9.223
2016/11/16,12:45:00,0,1506.54,9.225
2016/11/16,13:00:00,0,1505.26,9.227
2016/11/16,13:15:00,0,1504.00,9.230
2016/11/16,13:30:00,0,1502.64,9.232
2016/11/16,13:45:00,0,1501.16,9.236
2016/11/16,14:00:00,0,1499.47,9.238
2016/11/16,14:15:00,0,1497.43,9.242
2016/11/16,14:30:00,0,1495.23,9.249
2016/11/16,14:45:00,0,1492.87,9.254
2016/11/16,15:00:00,0,1490.41,9.264
2016/11/16,15:15:00,0,1488.12,9.271
2016/11/16,15:30:00,0,1486.07,9.273
2016/11/16,15:45:00,0,1484.49,9.280
2016/11/16,16:00:00,0,1483.14,9.273
2016/11/16,16:15:00,0,1482.42,9.269
2016/11/16,16:30:00,0,1482.05,9.271
2016/11/16,16:45:00,0,1481.82,9.267
2016/11/16,17:00:00,0,1481.83,9.264
2016/11/16,17:15:00,0,1481.87,9.262
2016/11/16,17:30:00,0,1482.19,9.261
2016/11/16,17:45:00,0,1482.51,9.256
2016/11/16,18:00:00,0,1482.84,9.256
2016/11/16,18:15:00,0,1483.44,9.246
2016/11/16,18:30:00,0,1484.08,9.240
2016/11/16,18:45:00,0,1484.61,9.235
2016/11/16,19:00:00,0,1485.42,9.230
2016/11/16,19:15:00,0,1486.09,9.230
2016/11/16,19:30:00,0,1486.66,9.224
2016/11/16,19:45:00,0,1487.42,9.221
2016/11/16,20:00:00,0,1488.11,9.215
2016/11/16,20:15:00,0,1488.79,9.213
2016/11/16,20:30:00,0,1489.62,9.212
2016/11/16,20:45:00,0,1490.44,9.215
2016/11/16,21:00:00,0,1491.18,9.210
2016/11/16,21:15:00,0,1491.77,9.210
2016/11/16,21:30:00,0,1492.33,9.211
2016/11/16,21:45:00,0,1492.80,9.210
2016/11/16,22:00:00,0,1493.32,9.211
2016/11/16,22:15:00,0,1493.62,9.208
2016/11/16,22:30:00,0,1494.20,9.211
2016/11/16,22:45:00,0,1494.81,9.211
2016/11/16,23:00:00,0,1495.28,9.216
2016/11/16,23:15:00,0,1495.68,9.214
2016/11/16,23:30:00,0,1496.24,9.216
2016/11/16,23:45:00,0,1496.62,9.220
2016/11/17,00:00:00,0,1496.93,9.218
2016/11/17,00:15:00,0,1497.31,9.220
2016/11/17,00:30:00,0,1497.60,9.218
2016/11/17,00:45:00,0,1497.99,9.222
2016/11/17,01:00:00,0,1498.70,9.223
2016/11/17,01:15:00,0,1499.29,9.223
2016/11/17,01:30:00,0,1499.78,9.224
2016/11/17,01:45:00,0,1500.33,9.223
2016/11/17,02:00:00,0,1500.93,9.222
2016/11/17,02:15:00,0,1501.23,9.225
2016/11/17,02:30:00,0,1501.81,9.222
2016/11/17,02:45:00,0,1502.33,9.227
2016/11/17,03:00:00,0,1502.55,9.227
2016/11/17,03:15:00,0,1503.18,9.228
2016/11/17,03:30:00,0,1503.69,9.226
2016/11/17,03:45:00,0,1504.17,9.228
2016/11/17,04:00:00,0,1504.56,9.229
2016/11/17,04:15:00,0,1505.20,9.225
2016/11/17,04:30:00,0,1505.50,9.227
2016/11/17,04:45:00,0,1505.96,9.231
2016/11/17,05:00:00,0,1506.52,9.228
2016/11/17,05:15:00,0,1507.13,9.228
2016/11/17,05:30:00,0,1507.70,9.228
2016/11/17,05:45:00,0,1508.41,9.229
2016/11/17,06:00:00,0,1509.10,9.226
2016/11/17,06:15:00,0,1509.70,9.227
2016/11/17,06:30:00,0,1510.22,9.227
2016/11/17,06:45:00,0,1510.78,9.231
2016/11/17,07:00:00,0,1511.28,9.230
2016/11/17,07:15:00,0,1511.77,9.231
2016/11/17,07:30:00,0,1512.30,9.232
2016/11/17,07:45:00,0,1512.67,9.232
2016/11/17,08:00:00,0,1513.19,9.230
2016/11/17,08:15:00,0,1513.60,9.232
2016/11/17,08:30:00,0,1514.04,9.233
2016/11/17,08:45:00,0,1514.50,9.233
2016/11/17,09:00:00,0,1514.73,9.234
2016/11/17,09:15:00,0,1515.03,9.234
2016/11/17,09:30:00,0,1515.68,9.233
2016/11/17,09:45:00,0,1516.11,9.235
2016/11/17,10:00:00,0,1516.38,9.237
2016/11/17,10:15:00,0,1516.77,9.236
2016/11/17,10:30:00,0,1516.99,9.235
2016/11/17,10:45:00,0,1517.01,9.234
2016/11/17,11:00:00,0,1517.02,9.235
2016/11/17,11:15:00,0,1517.04,9.236
2016/11/17,11:30:00,0,1517.34,9.237
2016/11/17,11:45:00,0,1517.41,9.237
2016/11/17,12:00:00,0,1517.66,9.237
2016/11/17,12:15:00,0,1517.83,9.237
2016/11/17,12:30:00,0,1518.06,9.237
2016/11/17,12:45:00,0,1518.14,9.239
2016/11/17,13:00:00,0,1518.20,9.239
2016/11/17,13:15:00,0,1518.42,9.240
2016/11/17,13:30:00,0,1518.72,9.239
2016/11/17,13:45:00,0,1518.83,9.240
2016/11/17,14:00:00,0,1519.17,9.240
2016/11/17,14:15:00,0,1519.42,9.241
2016/11/17,14:30:00,0,1519.69,9.242
2016/11/17,14:45:00,0,1520.00,9.241
2016/11/17,15:00:00,0,1520.37,9.241
2016/11/17,15:15:00,0,1520.56,9.241
2016/11/17,15:30:00,0,1520.88,9.243
2016/11/17,15:45:00,0,1521.03,9.244
2016/11/17,16:00:00,0,1521.38,9.242
2016/11/17,16:15:00,0,1521.44,9.243
2016/11/17,16:30:00,0,1521.64,9.242
2016/11/17,16:45:00,0,1521.78,9.242
2016/11/17,17:00:00,0,1521.99,9.242
2016/11/17,17:15:00,0,1522.33,9.242
2016/11/17,17:30:00,0,1522.74,9.242
2016/11/17,17:45:00,0,1523.15,9.241
2016/11/17,18:00:00,0,1523.24,9.241
2016/11/17,18:15:00,0,1523.62,9.241
2016/11/17,18:30:00,0,1523.91,9.241
2016/11/17,18:45:00,0,1524.11,9.242
2016/11/17,19:00:00,0,1524.26,9.243
2016/11/17,19:15:00,0,1524.63,9.243
2016/11/17,19:30:00,0,1524.76,9.244
2016/11/17,19:45:00,0,1524.94,9.243
2016/11/17,20:00:00,0,1525.53,9.242
2016/11/17,20:15:00,0,1525.80,9.241
2016/11/17,20:30:00,0,1526.11,9.240
2016/11/17,20:45:00,0,1526.19,9.241
2016/11/17,21:00:00,0,1526.31,9.241
2016/11/17,21:15:00,0,1526.22,9.242
2016/11/17,21:30:00,0,1525.96,9.242
2016/11/17,21:45:00,0,1526.04,9.243
2016/11/17,22:00:00,0,1525.96,9.243
2016/11/17,22:15:00,0,1526.10,9.244
2016/11/17,22:30:00,0,1526.40,9.243
2016/11/17,22:45:00,0,1526.46,9.244
2016/11/17,23:00:00,0,1526.36,9.243
2016/11/17,23:15:00,0,1526.64,9.243
2016/11/17,23:30:00,0,1526.84,9.243
2016/11/17,23:45:00,0,1526.85,9.244
2016/11/18,00:00:00,0,1526.83,9.247
2016/11/18,00:15:00,0,1526.74,9.246
2016/11/18,00:30:00,0,1526.76,9.248
2016/11/18,00:45:00,0,1526.80,9.246
2016/11/18,01:00:00,0,1527.01,9.246
2016/11/18,01:15:00,0,1527.02,9.246
2016/11/18,01:30:00,0,1527.19,9.246
2016/11/18,01:45:00,0,1527.09,9.247
2016/11/18,02:00:00,0,1527.08,9.245
2016/11/18,02:15:00,0,1527.28,9.246
2016/11/18,02:30:00,0,1527.46,9.247
2016/11/18,02:45:00,0,1527.64,9.248
2016/11/18,03:00:00,0,1527.69,9.247
2016/11/18,03:15:00,0,1527.81,9.247
2016/11/18,03:30:00,0,1527.89,9.247
2016/11/18,03:45:00,0,1528.30,9.245
