Serial_number:
2048453
Project ID:
03020003
Location:
Drummondville
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/14,19:00:00,0,1817.78,9.419
2016/11/14,19:15:00,0,1817.91,9.423
2016/11/14,19:30:00,0,1817.96,9.429
2016/11/14,19:45:00,0,1817.89,9.427
2016/11/14,20:00:00,0,1817.80,9.428
2016/11/14,20:15:00,0,1817.76,9.430
2016/11/14,20:30:00,0,1817.75,9.431
2016/11/14,20:45:00,0,1817.75,9.432
2016/11/14,21:00:00,0,1817.70,9.433
2016/11/14,21:15:00,0,1817.74,9.434
2016/11/14,21:30:00,0,1817.73,9.434
2016/11/14,21:45:00,0,1817.71,9.436
2016/11/14,22:00:00,0,1817.58,9.436
2016/11/14,22:15:00,0,1817.51,9.437
2016/11/14,22:30:00,0,1817.47,9.438
2016/11/14,22:45:00,0,1817.57,9.438
2016/11/14,23:00:00,0,1817.52,9.439
2016/11/14,23:15:00,0,1817.60,9.439
2016/11/14,23:30:00,0,1817.69,9.440
2016/11/14,23:45:00,0,1817.72,9.440
2016/11/15,00:00:00,0,1817.66,9.441
2016/11/15,00:15:00,0,1817.62,9.442
2016/11/15,00:30:00,0,1817.66,9.441
2016/11/15,00:45:00,0,1817.61,9.441
2016/11/15,01:00:00,0,1817.79,9.441
2016/11/15,01:15:00,0,1817.82,9.442
2016/11/15,01:30:00,0,1818.03,9.443
2016/11/15,01:45:00,0,1818.21,9.443
2016/11/15,02:00:00,0,1818.24,9.443
2016/11/15,02:15:00,0,1818.33,9.443
2016/11/15,02:30:00,0,1818.34,9.443
2016/11/15,02:45:00,0,1818.34,9.443
2016/11/15,03:00:00,0,1818.31,9.444
2016/11/15,03:15:00,0,1818.16,9.444
2016/11/15,03:30:00,0,1818.09,9.444
2016/11/15,03:45:00,0,1818.21,9.445
2016/11/15,04:00:00,0,1818.15,9.444
2016/11/15,04:15:00,0,1818.03,9.444
2016/11/15,04:30:00,0,1818.01,9.445
2016/11/15,04:45:00,0,1817.97,9.444
2016/11/15,05:00:00,0,1818.08,9.444
2016/11/15,05:15:00,0,1818.11,9.445
2016/11/15,05:30:00,0,1818.04,9.445
2016/11/15,05:45:00,0,1818.06,9.445
2016/11/15,06:00:00,0,1817.99,9.445
2016/11/15,06:15:00,0,1818.02,9.446
2016/11/15,06:30:00,0,1818.07,9.447
2016/11/15,06:45:00,0,1818.33,9.446
2016/11/15,07:00:00,0,1818.44,9.447
2016/11/15,07:15:00,0,1818.39,9.447
2016/11/15,07:30:00,0,1818.46,9.446
2016/11/15,07:45:00,0,1818.48,9.446
2016/11/15,08:00:00,0,1818.47,9.447
2016/11/15,08:15:00,0,1818.40,9.447
2016/11/15,08:30:00,0,1818.09,9.448
2016/11/15,08:45:00,0,1818.06,9.448
2016/11/15,09:00:00,0,1818.20,9.448
2016/11/15,09:15:00,0,1818.11,9.448
2016/11/15,09:30:00,0,1818.08,9.448
2016/11/15,09:45:00,0,1817.99,9.448
2016/11/15,10:00:00,0,1817.76,9.448
2016/11/15,10:15:00,0,1817.69,9.448
2016/11/15,10:30:00,0,1817.51,9.449
2016/11/15,10:45:00,0,1817.37,9.448
2016/11/15,11:00:00,0,1817.00,9.450
2016/11/15,11:15:00,0,1816.83,9.449
2016/11/15,11:30:00,0,1816.64,9.448
2016/11/15,11:45:00,0,1816.40,9.448
2016/11/15,12:00:00,0,1816.31,9.449
2016/11/15,12:15:00,0,1816.42,9.449
2016/11/15,12:30:00,0,1816.13,9.449
2016/11/15,12:45:00,0,1815.93,9.450
2016/11/15,13:00:00,0,1815.70,9.449
2016/11/15,13:15:00,0,1815.66,9.450
2016/11/15,13:30:00,0,1815.51,9.450
2016/11/15,13:45:00,0,1815.42,9.450
2016/11/15,14:00:00,0,1815.31,9.450
2016/11/15,14:15:00,0,1815.13,9.450
2016/11/15,14:30:00,0,1815.26,9.450
2016/11/15,14:45:00,0,1815.47,9.450
2016/11/15,15:00:00,0,1815.52,9.450
2016/11/15,15:15:00,0,1815.47,9.450
2016/11/15,15:30:00,0,1815.25,9.450
2016/11/15,15:45:00,0,1815.09,9.450
2016/11/15,16:00:00,0,1815.10,9.450
2016/11/15,16:15:00,0,1815.08,9.451
2016/11/15,16:30:00,0,1815.11,9.450
2016/11/15,16:45:00,0,1815.03,9.451
2016/11/15,17:00:00,0,1814.95,9.450
2016/11/15,17:15:00,0,1814.92,9.451
2016/11/15,17:30:00,0,1814.99,9.451
2016/11/15,17:45:00,0,1814.98,9.451
2016/11/15,18:00:00,0,1814.95,9.451
2016/11/15,18:15:00,0,1814.93,9.451
2016/11/15,18:30:00,0,1814.81,9.451
2016/11/15,18:45:00,0,1814.51,9.452
2016/11/15,19:00:00,0,1814.39,9.451
2016/11/15,19:15:00,0,1814.29,9.452
2016/11/15,19:30:00,0,1814.19,9.452
2016/11/15,19:45:00,0,1814.13,9.452
2016/11/15,20:00:00,0,1814.09,9.452
2016/11/15,20:15:00,0,1814.01,9.452
2016/11/15,20:30:00,0,1813.97,9.453
2016/11/15,20:45:00,0,1813.81,9.452
2016/11/15,21:00:00,0,1813.67,9.452
2016/11/15,21:15:00,0,1813.40,9.453
2016/11/15,21:30:00,0,1813.41,9.452
2016/11/15,21:45:00,0,1813.38,9.453
2016/11/15,22:00:00,0,1813.19,9.453
2016/11/15,22:15:00,0,1812.98,9.453
2016/11/15,22:30:00,0,1812.80,9.453
2016/11/15,22:45:00,0,1812.72,9.452
2016/11/15,23:00:00,0,1812.49,9.453
2016/11/15,23:15:00,0,1812.45,9.453
2016/11/15,23:30:00,0,1812.21,9.453
2016/11/15,23:45:00,0,1811.89,9.452
2016/11/16,00:00:00,0,1812.02,9.453
2016/11/16,00:15:00,0,1811.91,9.452
2016/11/16,00:30:00,0,1812.12,9.452
2016/11/16,00:45:00,0,1811.75,9.451
2016/11/16,01:00:00,0,1811.98,9.451
2016/11/16,01:15:00,0,1812.43,9.451
2016/11/16,01:30:00,0,1812.73,9.451
2016/11/16,01:45:00,0,1813.05,9.451
2016/11/16,02:00:00,0,1813.53,9.450
2016/11/16,02:15:00,0,1813.84,9.450
2016/11/16,02:30:00,0,1814.25,9.450
2016/11/16,02:45:00,0,1814.42,9.449
2016/11/16,03:00:00,0,1814.94,9.449
2016/11/16,03:15:00,0,1815.26,9.448
2016/11/16,03:30:00,0,1815.62,9.448
2016/11/16,03:45:00,0,1815.90,9.448
2016/11/16,04:00:00,0,1816.46,9.448
