Serial_number:
2048475
Project ID:
03010002
Location:
Drummondville_Foret
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/26,14:00:00,0,1817.90,7.608
2017/04/26,14:15:00,0,1817.74,7.623
2017/04/26,14:30:00,0,1817.64,7.619
2017/04/26,14:45:00,0,1817.76,7.624
2017/04/26,15:00:00,0,1817.66,7.623
2017/04/26,15:15:00,0,1817.67,7.633
2017/04/26,15:30:00,0,1817.41,7.630
2017/04/26,15:45:00,0,1817.23,7.635
2017/04/26,16:00:00,0,1817.06,7.650
2017/04/26,16:15:00,0,1816.71,7.641
2017/04/26,16:30:00,0,1816.50,7.645
2017/04/26,16:45:00,0,1816.34,7.651
2017/04/26,17:00:00,0,1816.22,7.647
2017/04/26,17:15:00,0,1816.11,7.642
2017/04/26,17:30:00,0,1816.17,7.636
2017/04/26,17:45:00,0,1816.04,7.664
2017/04/26,18:00:00,0,1816.20,7.638
2017/04/26,18:15:00,0,1816.10,7.634
2017/04/26,18:30:00,0,1816.02,7.618
2017/04/26,18:45:00,0,1815.98,7.624
2017/04/26,19:00:00,0,1815.79,7.625
2017/04/26,19:15:00,0,1815.87,7.656
2017/04/26,19:30:00,0,1815.66,7.628
2017/04/26,19:45:00,0,1815.57,7.649
2017/04/26,20:00:00,0,1815.75,7.638
2017/04/26,20:15:00,0,1815.73,7.651
2017/04/26,20:30:00,0,1815.92,7.651
2017/04/26,20:45:00,0,1816.15,7.652
2017/04/26,21:00:00,0,1816.01,7.645
2017/04/26,21:15:00,0,1816.13,7.657
2017/04/26,21:30:00,0,1816.19,7.641
2017/04/26,21:45:00,0,1816.14,7.651
2017/04/26,22:00:00,0,1816.21,7.640
2017/04/26,22:15:00,0,1816.13,7.648
2017/04/26,22:30:00,0,1816.13,7.663
2017/04/26,22:45:00,0,1816.08,7.641
2017/04/26,23:00:00,0,1816.16,7.647
2017/04/26,23:15:00,0,1815.95,7.648
2017/04/26,23:30:00,0,1816.27,7.643
2017/04/26,23:45:00,0,1815.63,7.653
2017/04/27,00:00:00,0,1815.65,7.647
2017/04/27,00:15:00,0,1815.77,7.650
2017/04/27,00:30:00,0,1815.73,7.653
2017/04/27,00:45:00,0,1815.75,7.653
2017/04/27,01:00:00,0,1815.84,7.653
