Serial_number:
2048476
Project ID:
03000005
Location:
Baie-du-Febvre
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/14,19:00:00,0,1517.84,8.407
2016/11/14,19:15:00,0,1517.87,8.407
2016/11/14,19:30:00,0,1517.85,8.407
2016/11/14,19:45:00,0,1517.80,8.406
2016/11/14,20:00:00,0,1517.70,8.405
2016/11/14,20:15:00,0,1517.65,8.404
2016/11/14,20:30:00,0,1517.63,8.405
2016/11/14,20:45:00,0,1517.58,8.405
2016/11/14,21:00:00,0,1517.56,8.404
2016/11/14,21:15:00,0,1517.52,8.405
2016/11/14,21:30:00,0,1517.50,8.404
2016/11/14,21:45:00,0,1517.46,8.403
2016/11/14,22:00:00,0,1517.46,8.401
2016/11/14,22:15:00,0,1517.47,8.402
2016/11/14,22:30:00,0,1517.43,8.402
2016/11/14,22:45:00,0,1517.42,8.402
2016/11/14,23:00:00,0,1517.43,8.401
2016/11/14,23:15:00,0,1517.40,8.402
2016/11/14,23:30:00,0,1517.43,8.403
2016/11/14,23:45:00,0,1517.47,8.402
2016/11/15,00:00:00,0,1517.40,8.402
2016/11/15,00:15:00,0,1517.48,8.401
2016/11/15,00:30:00,0,1517.45,8.400
2016/11/15,00:45:00,0,1517.51,8.400
2016/11/15,01:00:00,0,1517.56,8.400
2016/11/15,01:15:00,0,1517.59,8.401
2016/11/15,01:30:00,0,1517.62,8.401
2016/11/15,01:45:00,0,1517.71,8.401
2016/11/15,02:00:00,0,1517.82,8.401
2016/11/15,02:15:00,0,1517.82,8.401
2016/11/15,02:30:00,0,1517.85,8.401
2016/11/15,02:45:00,0,1517.88,8.400
2016/11/15,03:00:00,0,1517.98,8.399
2016/11/15,03:15:00,0,1517.92,8.400
2016/11/15,03:30:00,0,1518.02,8.399
2016/11/15,03:45:00,0,1518.03,8.398
2016/11/15,04:00:00,0,1518.03,8.399
2016/11/15,04:15:00,0,1518.09,8.398
2016/11/15,04:30:00,0,1518.17,8.398
2016/11/15,04:45:00,0,1518.22,8.398
2016/11/15,05:00:00,0,1518.28,8.398
2016/11/15,05:15:00,0,1518.21,8.397
2016/11/15,05:30:00,0,1518.38,8.397
2016/11/15,05:45:00,0,1518.57,8.398
2016/11/15,06:00:00,0,1518.57,8.399
2016/11/15,06:15:00,0,1518.50,8.400
2016/11/15,06:30:00,0,1518.56,8.399
2016/11/15,06:45:00,0,1518.57,8.400
2016/11/15,07:00:00,0,1518.68,8.399
2016/11/15,07:15:00,0,1518.75,8.400
2016/11/15,07:30:00,0,1518.77,8.401
2016/11/15,07:45:00,0,1518.72,8.401
2016/11/15,08:00:00,0,1518.74,8.401
2016/11/15,08:15:00,0,1518.72,8.400
2016/11/15,08:30:00,0,1518.64,8.399
2016/11/15,08:45:00,0,1518.50,8.400
2016/11/15,09:00:00,0,1518.60,8.398
2016/11/15,09:15:00,0,1518.73,8.399
2016/11/15,09:30:00,0,1518.68,8.401
2016/11/15,09:45:00,0,1518.65,8.399
2016/11/15,10:00:00,0,1518.54,8.399
2016/11/15,10:15:00,0,1518.44,8.398
2016/11/15,10:30:00,0,1518.29,8.397
2016/11/15,10:45:00,0,1518.28,8.397
2016/11/15,11:00:00,0,1518.19,8.396
2016/11/15,11:15:00,0,1518.13,8.395
2016/11/15,11:30:00,0,1518.13,8.395
2016/11/15,11:45:00,0,1518.06,8.395
2016/11/15,12:00:00,0,1518.11,8.395
2016/11/15,12:15:00,0,1518.03,8.396
2016/11/15,12:30:00,0,1517.94,8.396
2016/11/15,12:45:00,0,1517.94,8.396
2016/11/15,13:00:00,0,1517.88,8.397
2016/11/15,13:15:00,0,1517.83,8.398
2016/11/15,13:30:00,0,1517.80,8.396
2016/11/15,13:45:00,0,1517.83,8.397
2016/11/15,14:00:00,0,1517.84,8.398
2016/11/15,14:15:00,0,1517.82,8.398
2016/11/15,14:30:00,0,1517.79,8.399
2016/11/15,14:45:00,0,1517.89,8.398
2016/11/15,15:00:00,0,1517.98,8.399
2016/11/15,15:15:00,0,1518.00,8.399
2016/11/15,15:30:00,0,1517.99,8.400
