Serial Number
	1015973
Project ID
	03020002
Location
	Disraeli
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		249       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-18,13:00:00,0,569.5230,9.813
2,2016-11-18,13:15:00,0,569.4500,9.807
3,2016-11-18,13:30:00,0,569.2050,9.805
4,2016-11-18,13:45:00,0,569.0560,9.803
5,2016-11-18,14:00:00,0,568.8220,9.801
6,2016-11-18,14:15:00,0,568.7271,9.799
7,2016-11-18,14:30:00,0,568.8430,9.796
8,2016-11-18,14:45:00,0,568.8120,9.796
9,2016-11-18,15:00:00,0,568.6801,9.795
10,2016-11-18,15:15:00,0,568.6780,9.794
11,2016-11-18,15:30:00,0,568.7180,9.794
12,2016-11-18,15:45:00,0,568.9650,9.793
13,2016-11-18,16:00:00,0,568.9520,9.793
14,2016-11-18,16:15:00,0,569.0000,9.792
15,2016-11-18,16:30:00,0,568.9041,9.792
16,2016-11-18,16:45:00,0,568.7650,9.791
17,2016-11-18,17:00:00,0,568.6230,9.790
18,2016-11-18,17:15:00,0,568.7500,9.790
19,2016-11-18,17:30:00,0,568.8030,9.792
20,2016-11-18,17:45:00,0,568.6940,9.791
21,2016-11-18,18:00:00,0,568.7791,9.790
22,2016-11-18,18:15:00,0,568.7950,9.789
23,2016-11-18,18:30:00,0,568.6900,9.789
24,2016-11-18,18:45:00,0,568.7210,9.790
25,2016-11-18,19:00:00,0,568.6750,9.791
26,2016-11-18,19:15:00,0,568.7750,9.790
27,2016-11-18,19:30:00,0,568.7610,9.790
28,2016-11-18,19:45:00,0,568.7910,9.790
29,2016-11-18,20:00:00,0,568.6110,9.790
30,2016-11-18,20:15:00,0,568.5820,9.789
31,2016-11-18,20:30:00,0,568.4460,9.789
32,2016-11-18,20:45:00,0,568.4360,9.791
33,2016-11-18,21:00:00,0,568.4500,9.791
34,2016-11-18,21:15:00,0,568.4320,9.790
35,2016-11-18,21:30:00,0,568.2490,9.790
36,2016-11-18,21:45:00,0,568.2110,9.790
37,2016-11-18,22:00:00,0,568.1990,9.790
38,2016-11-18,22:15:00,0,568.0910,9.789
39,2016-11-18,22:30:00,0,567.9650,9.790
40,2016-11-18,22:45:00,0,567.9840,9.789
41,2016-11-18,23:00:00,0,567.9260,9.790
42,2016-11-18,23:15:00,0,567.8900,9.790
43,2016-11-18,23:30:00,0,567.7410,9.791
44,2016-11-18,23:45:00,0,567.7050,9.790
45,2016-11-19,00:00:00,0,567.5941,9.790
46,2016-11-19,00:15:00,0,567.4431,9.791
47,2016-11-19,00:30:00,0,567.3270,9.791
48,2016-11-19,00:45:00,0,567.0460,9.790
49,2016-11-19,01:00:00,0,566.9190,9.790
50,2016-11-19,01:15:00,0,566.8500,9.790
51,2016-11-19,01:30:00,0,566.9120,9.790
52,2016-11-19,01:45:00,0,567.1190,9.790
53,2016-11-19,02:00:00,0,567.1510,9.790
54,2016-11-19,02:15:00,0,567.1990,9.791
55,2016-11-19,02:30:00,0,567.0380,9.790
56,2016-11-19,02:45:00,0,566.8500,9.791
57,2016-11-19,03:00:00,0,566.5470,9.790
58,2016-11-19,03:15:00,0,566.2830,9.790
59,2016-11-19,03:30:00,0,565.9940,9.791
60,2016-11-19,03:45:00,0,565.8680,9.791
61,2016-11-19,04:00:00,0,565.6960,9.790
62,2016-11-19,04:15:00,0,565.6710,9.791
63,2016-11-19,04:30:00,0,565.6890,9.790
64,2016-11-19,04:45:00,0,565.6300,9.790
65,2016-11-19,05:00:00,0,565.5891,9.790
66,2016-11-19,05:15:00,0,565.6270,9.790
67,2016-11-19,05:30:00,0,565.5750,9.790
68,2016-11-19,05:45:00,0,565.4540,9.790
69,2016-11-19,06:00:00,0,565.4220,9.791
70,2016-11-19,06:15:00,0,565.3970,9.790
71,2016-11-19,06:30:00,0,565.3370,9.789
72,2016-11-19,06:45:00,0,565.1890,9.789
73,2016-11-19,07:00:00,0,565.0421,9.791
74,2016-11-19,07:15:00,0,564.9180,9.790
75,2016-11-19,07:30:00,0,564.8521,9.790
76,2016-11-19,07:45:00,0,564.7271,9.790
77,2016-11-19,08:00:00,0,564.5941,9.791
78,2016-11-19,08:15:00,0,564.5211,9.791
79,2016-11-19,08:30:00,0,564.3190,9.791
80,2016-11-19,08:45:00,0,564.1230,9.791
81,2016-11-19,09:00:00,0,563.9810,9.791
82,2016-11-19,09:15:00,0,563.6970,9.791
83,2016-11-19,09:30:00,0,563.4780,9.791
84,2016-11-19,09:45:00,0,563.2070,9.792
85,2016-11-19,10:00:00,0,562.8181,9.790
86,2016-11-19,10:15:00,0,562.6110,9.792
87,2016-11-19,10:30:00,0,562.2760,9.791
88,2016-11-19,10:45:00,0,561.8850,9.791
89,2016-11-19,11:00:00,0,561.4330,9.791
90,2016-11-19,11:15:00,0,561.0170,9.791
91,2016-11-19,11:30:00,0,560.5950,9.792
92,2016-11-19,11:45:00,0,560.0980,9.792
93,2016-11-19,12:00:00,0,559.6460,9.792
94,2016-11-19,12:15:00,0,559.3200,9.792
95,2016-11-19,12:30:00,0,558.9230,9.792
96,2016-11-19,12:45:00,0,558.5660,9.793
97,2016-11-19,13:00:00,0,558.2840,9.792
98,2016-11-19,13:15:00,0,558.0000,9.793
99,2016-11-19,13:30:00,0,557.7340,9.793
100,2016-11-19,13:45:00,0,557.4000,9.793
101,2016-11-19,14:00:00,0,556.9920,9.793
102,2016-11-19,14:15:00,0,556.7000,9.793
103,2016-11-19,14:30:00,0,556.3840,9.793
104,2016-11-19,14:45:00,0,556.1790,9.792
105,2016-11-19,15:00:00,0,556.1680,9.793
106,2016-11-19,15:15:00,0,555.9960,9.793
107,2016-11-19,15:30:00,0,555.8720,9.793
108,2016-11-19,15:45:00,0,555.7710,9.793
109,2016-11-19,16:00:00,0,555.6560,9.794
110,2016-11-19,16:15:00,0,555.4550,9.792
111,2016-11-19,16:30:00,0,555.4380,9.793
112,2016-11-19,16:45:00,0,555.4550,9.792
113,2016-11-19,17:00:00,0,555.3391,9.793
114,2016-11-19,17:15:00,0,555.1700,9.792
115,2016-11-19,17:30:00,0,555.1850,9.792
116,2016-11-19,17:45:00,0,555.0480,9.792
117,2016-11-19,18:00:00,0,554.8930,9.792
118,2016-11-19,18:15:00,0,554.6500,9.792
119,2016-11-19,18:30:00,0,554.6700,9.792
120,2016-11-19,18:45:00,0,554.6530,9.792
121,2016-11-19,19:00:00,0,554.4210,9.793
122,2016-11-19,19:15:00,0,554.2300,9.792
123,2016-11-19,19:30:00,0,554.0790,9.792
124,2016-11-19,19:45:00,0,553.8000,9.792
125,2016-11-19,20:00:00,0,553.6350,9.792
126,2016-11-19,20:15:00,0,553.4880,9.792
127,2016-11-19,20:30:00,0,553.2061,9.793
128,2016-11-19,20:45:00,0,552.9250,9.792
129,2016-11-19,21:00:00,0,552.7980,9.792
130,2016-11-19,21:15:00,0,552.4410,9.792
131,2016-11-19,21:30:00,0,552.1340,9.793
132,2016-11-19,21:45:00,0,551.8690,9.793
133,2016-11-19,22:00:00,0,551.4920,9.792
134,2016-11-19,22:15:00,0,551.0620,9.792
135,2016-11-19,22:30:00,0,550.8080,9.792
136,2016-11-19,22:45:00,0,550.7440,9.792
137,2016-11-19,23:00:00,0,550.9530,9.793
138,2016-11-19,23:15:00,0,550.8810,9.793
139,2016-11-19,23:30:00,0,550.5291,9.793
140,2016-11-19,23:45:00,0,550.3620,9.793
141,2016-11-20,00:00:00,0,550.0170,9.793
142,2016-11-20,00:15:00,0,549.6600,9.793
143,2016-11-20,00:30:00,0,549.3960,9.793
144,2016-11-20,00:45:00,0,549.1151,9.792
145,2016-11-20,01:00:00,0,548.9190,9.793
146,2016-11-20,01:15:00,0,548.5990,9.792
147,2016-11-20,01:30:00,0,548.4110,9.793
148,2016-11-20,01:45:00,0,548.4090,9.793
149,2016-11-20,02:00:00,0,548.1750,9.793
150,2016-11-20,02:15:00,0,547.9750,9.793
151,2016-11-20,02:30:00,0,547.7350,9.793
152,2016-11-20,02:45:00,0,547.5110,9.793
153,2016-11-20,03:00:00,0,547.1950,9.793
154,2016-11-20,03:15:00,0,546.9710,9.793
155,2016-11-20,03:30:00,0,546.6541,9.793
156,2016-11-20,03:45:00,0,546.4110,9.794
157,2016-11-20,04:00:00,0,546.3110,9.793
158,2016-11-20,04:15:00,0,546.1931,9.793
159,2016-11-20,04:30:00,0,545.9340,9.793
160,2016-11-20,04:45:00,0,545.6090,9.793
161,2016-11-20,05:00:00,0,545.1580,9.793
162,2016-11-20,05:15:00,0,544.8900,9.793
163,2016-11-20,05:30:00,0,544.6840,9.793
164,2016-11-20,05:45:00,0,544.5720,9.793
165,2016-11-20,06:00:00,0,544.4550,9.794
166,2016-11-20,06:15:00,0,544.1690,9.795
167,2016-11-20,06:30:00,0,543.8550,9.794
168,2016-11-20,06:45:00,0,543.8000,9.794
169,2016-11-20,07:00:00,0,543.4870,9.794
170,2016-11-20,07:15:00,0,543.4060,9.795
171,2016-11-20,07:30:00,0,543.1610,9.794
172,2016-11-20,07:45:00,0,542.7360,9.794
173,2016-11-20,08:00:00,0,542.3640,9.795
174,2016-11-20,08:15:00,0,542.1040,9.794
175,2016-11-20,08:30:00,0,541.8070,9.794
176,2016-11-20,08:45:00,0,541.4600,9.794
177,2016-11-20,09:00:00,0,541.1990,9.795
178,2016-11-20,09:15:00,0,541.0750,9.794
179,2016-11-20,09:30:00,0,540.9230,9.793
180,2016-11-20,09:45:00,0,540.5710,9.794
181,2016-11-20,10:00:00,0,540.4580,9.794
182,2016-11-20,10:15:00,0,540.3340,9.794
183,2016-11-20,10:30:00,0,539.6940,9.793
184,2016-11-20,10:45:00,0,539.3311,9.795
185,2016-11-20,11:00:00,0,538.7271,9.795
186,2016-11-20,11:15:00,0,538.6580,9.795
187,2016-11-20,11:30:00,0,538.4041,9.796
188,2016-11-20,11:45:00,0,538.1650,9.794
189,2016-11-20,12:00:00,0,537.9960,9.795
190,2016-11-20,12:15:00,0,537.7170,9.794
191,2016-11-20,12:30:00,0,537.5250,9.794
192,2016-11-20,12:45:00,0,537.2540,9.795
193,2016-11-20,13:00:00,0,536.8920,9.795
194,2016-11-20,13:15:00,0,536.5740,9.794
195,2016-11-20,13:30:00,0,536.2000,9.795
196,2016-11-20,13:45:00,0,535.7321,9.794
197,2016-11-20,14:00:00,0,535.3000,9.794
198,2016-11-20,14:15:00,0,535.4110,9.796
199,2016-11-20,14:30:00,0,535.2730,9.795
200,2016-11-20,14:45:00,0,535.2870,9.795
201,2016-11-20,15:00:00,0,535.2540,9.795
202,2016-11-20,15:15:00,0,535.0560,9.795
203,2016-11-20,15:30:00,0,534.9880,9.795
204,2016-11-20,15:45:00,0,534.8250,9.795
205,2016-11-20,16:00:00,0,534.7321,9.794
206,2016-11-20,16:15:00,0,534.7050,9.795
207,2016-11-20,16:30:00,0,534.7220,9.794
208,2016-11-20,16:45:00,0,534.6810,9.795
209,2016-11-20,17:00:00,0,534.5430,9.796
210,2016-11-20,17:15:00,0,534.4720,9.795
211,2016-11-20,17:30:00,0,534.4390,9.795
212,2016-11-20,17:45:00,0,534.4920,9.795
213,2016-11-20,18:00:00,0,534.5450,9.795
214,2016-11-20,18:15:00,0,534.7860,9.794
215,2016-11-20,18:30:00,0,535.1560,9.794
216,2016-11-20,18:45:00,0,535.3140,9.794
217,2016-11-20,19:00:00,0,535.3920,9.795
218,2016-11-20,19:15:00,0,535.4590,9.796
219,2016-11-20,19:30:00,0,535.4990,9.795
220,2016-11-20,19:45:00,0,535.7280,9.795
221,2016-11-20,20:00:00,0,535.8110,9.795
222,2016-11-20,20:15:00,0,535.8911,9.795
223,2016-11-20,20:30:00,0,535.9060,9.794
224,2016-11-20,20:45:00,0,536.0780,9.795
225,2016-11-20,21:00:00,0,536.2600,9.795
226,2016-11-20,21:15:00,0,536.3430,9.795
227,2016-11-20,21:30:00,0,536.4041,9.794
228,2016-11-20,21:45:00,0,536.4180,9.795
229,2016-11-20,22:00:00,0,536.4390,9.794
230,2016-11-20,22:15:00,0,536.2870,9.794
231,2016-11-20,22:30:00,0,536.2780,9.794
232,2016-11-20,22:45:00,0,536.4440,9.794
233,2016-11-20,23:00:00,0,536.5820,9.795
234,2016-11-20,23:15:00,0,536.5220,9.795
235,2016-11-20,23:30:00,0,536.3651,9.794
236,2016-11-20,23:45:00,0,536.2940,9.794
237,2016-11-21,00:00:00,0,536.1260,9.795
238,2016-11-21,00:15:00,0,536.1170,9.794
239,2016-11-21,00:30:00,0,536.2690,9.795
240,2016-11-21,00:45:00,0,536.3160,9.794
241,2016-11-21,01:00:00,0,536.3430,9.794
242,2016-11-21,01:15:00,0,536.4230,9.794
243,2016-11-21,01:30:00,0,536.4180,9.795
244,2016-11-21,01:45:00,0,536.4700,9.795
245,2016-11-21,02:00:00,0,536.5570,9.794
246,2016-11-21,02:15:00,0,536.6890,9.795
247,2016-11-21,02:30:00,0,536.8040,9.794
248,2016-11-21,02:45:00,0,536.8680,9.795
249,2016-11-21,03:00:00,0,536.9540,9.795
250,2016-11-21,03:15:00,0,536.9840,9.795
251,2016-11-21,03:30:00,0,536.9700,9.795
252,2016-11-21,03:45:00,0,537.0560,9.795
253,2016-11-21,04:00:00,0,537.0580,9.795
254,2016-11-21,04:15:00,0,537.0510,9.795
255,2016-11-21,04:30:00,0,537.1990,9.795
256,2016-11-21,04:45:00,0,537.1970,9.796
257,2016-11-21,05:00:00,0,537.2380,9.795
258,2016-11-21,05:15:00,0,537.4220,9.796
259,2016-11-21,05:30:00,0,537.6180,9.795
260,2016-11-21,05:45:00,0,537.7880,9.796
261,2016-11-21,06:00:00,0,537.9420,9.794
262,2016-11-21,06:15:00,0,538.0780,9.795
263,2016-11-21,06:30:00,0,538.2560,9.795
264,2016-11-21,06:45:00,0,538.3571,9.796
265,2016-11-21,07:00:00,0,538.5000,9.796
266,2016-11-21,07:15:00,0,538.6730,9.796
267,2016-11-21,07:30:00,0,538.8080,9.796
268,2016-11-21,07:45:00,0,538.9120,9.796
269,2016-11-21,08:00:00,0,539.0310,9.796
270,2016-11-21,08:15:00,0,539.0490,9.796
271,2016-11-21,08:30:00,0,539.2240,9.796
272,2016-11-21,08:45:00,0,539.3460,9.796
273,2016-11-21,09:00:00,0,539.4630,9.795
274,2016-11-21,09:15:00,0,539.6300,9.797
275,2016-11-21,09:30:00,0,539.7910,9.796
276,2016-11-21,09:45:00,0,540.0130,9.797
277,2016-11-21,10:00:00,0,540.1560,9.797
278,2016-11-21,10:15:00,0,540.1360,9.796
279,2016-11-21,10:30:00,0,540.2300,9.797
280,2016-11-21,10:45:00,0,540.3080,9.796
281,2016-11-21,11:00:00,0,540.4041,9.797
282,2016-11-21,11:15:00,0,540.5850,9.797
283,2016-11-21,11:30:00,0,540.5850,9.796
284,2016-11-21,11:45:00,0,540.7460,9.797
285,2016-11-21,12:00:00,0,540.8740,9.798
286,2016-11-21,12:15:00,0,540.9460,9.797
287,2016-11-21,12:30:00,0,541.1071,9.797
288,2016-11-21,12:45:00,0,541.2390,9.796
289,2016-11-21,13:00:00,0,541.3630,9.797
290,2016-11-21,13:15:00,0,541.3940,9.798
291,2016-11-21,13:30:00,0,541.5830,9.797
292,2016-11-21,13:45:00,0,541.8500,9.797
293,2016-11-21,14:00:00,0,541.9821,9.798
294,2016-11-21,14:15:00,0,542.1330,9.798
295,2016-11-21,14:30:00,0,542.3240,9.798
296,2016-11-21,14:45:00,0,542.4870,9.798
297,2016-11-21,15:00:00,0,542.7200,9.798
298,2016-11-21,15:15:00,0,542.9670,9.798
299,2016-11-21,15:30:00,0,543.2000,9.797
300,2016-11-21,15:45:00,0,543.4500,9.798
301,2016-11-21,16:00:00,0,543.6900,9.798
302,2016-11-21,16:15:00,0,543.7910,9.798
303,2016-11-21,16:30:00,0,543.9090,9.797
304,2016-11-21,16:45:00,0,544.0710,9.797
305,2016-11-21,17:00:00,0,544.2110,9.798
306,2016-11-21,17:15:00,0,544.3170,9.798
307,2016-11-21,17:30:00,0,544.3660,9.798
308,2016-11-21,17:45:00,0,544.4490,9.797
309,2016-11-21,18:00:00,0,544.5600,9.798
310,2016-11-21,18:15:00,0,544.6700,9.798
311,2016-11-21,18:30:00,0,544.8200,9.798
312,2016-11-21,18:45:00,0,544.8521,9.798
313,2016-11-21,19:00:00,0,544.9590,9.798
314,2016-11-21,19:15:00,0,545.1450,9.798
315,2016-11-21,19:30:00,0,545.2870,9.798
316,2016-11-21,19:45:00,0,545.5700,9.798
317,2016-11-21,20:00:00,0,545.6470,9.798
318,2016-11-21,20:15:00,0,545.8080,9.798
319,2016-11-21,20:30:00,0,545.8890,9.798
320,2016-11-21,20:45:00,0,546.0240,9.798
321,2016-11-21,21:00:00,0,546.1310,9.798
322,2016-11-21,21:15:00,0,546.1610,9.798
323,2016-11-21,21:30:00,0,546.3470,9.798
324,2016-11-21,21:45:00,0,546.6320,9.798
325,2016-11-21,22:00:00,0,546.8860,9.799
326,2016-11-21,22:15:00,0,547.0330,9.799
327,2016-11-21,22:30:00,0,547.2200,9.799
328,2016-11-21,22:45:00,0,547.3600,9.798
329,2016-11-21,23:00:00,0,547.5110,9.799
330,2016-11-21,23:15:00,0,547.5590,9.798
331,2016-11-21,23:30:00,0,547.6140,9.798
332,2016-11-21,23:45:00,0,547.6770,9.798
333,2016-11-22,00:00:00,0,547.7520,9.799
334,2016-11-22,00:15:00,0,547.9771,9.799
335,2016-11-22,00:30:00,0,548.2360,9.798
336,2016-11-22,00:45:00,0,548.2860,9.799
337,2016-11-22,01:00:00,0,548.3460,9.798
338,2016-11-22,01:15:00,0,548.4270,9.799
339,2016-11-22,01:30:00,0,548.4951,9.798
340,2016-11-22,01:45:00,0,548.7661,9.798
341,2016-11-22,02:00:00,0,548.9940,9.799
342,2016-11-22,02:15:00,0,549.1541,9.798
343,2016-11-22,02:30:00,0,549.2300,9.799
344,2016-11-22,02:45:00,0,549.3160,9.799
345,2016-11-22,03:00:00,0,549.3600,9.799
346,2016-11-22,03:15:00,0,549.5820,9.800
347,2016-11-22,03:30:00,0,549.7300,9.798
348,2016-11-22,03:45:00,0,550.0000,9.799
349,2016-11-22,04:00:00,0,550.3340,9.799
350,2016-11-22,04:15:00,0,550.4720,9.800
351,2016-11-22,04:30:00,0,550.6970,9.799
352,2016-11-22,04:45:00,0,550.8150,9.799
353,2016-11-22,05:00:00,0,551.0240,9.800
354,2016-11-22,05:15:00,0,551.2180,9.800
355,2016-11-22,05:30:00,0,551.3571,9.800
356,2016-11-22,05:45:00,0,551.7820,9.801
357,2016-11-22,06:00:00,0,552.1210,9.800
358,2016-11-22,06:15:00,0,552.4580,9.800
359,2016-11-22,06:30:00,0,552.7280,9.800
360,2016-11-22,06:45:00,0,553.0460,9.800
361,2016-11-22,07:00:00,0,553.3230,9.800
362,2016-11-22,07:15:00,0,553.6400,9.801
363,2016-11-22,07:30:00,0,553.8521,9.801
364,2016-11-22,07:45:00,0,554.2430,9.800
365,2016-11-22,08:00:00,0,554.5500,9.800
366,2016-11-22,08:15:00,0,554.8441,9.800
367,2016-11-22,08:30:00,0,555.0700,9.800
368,2016-11-22,08:45:00,0,555.3600,9.800
369,2016-11-22,09:00:00,0,555.4850,9.799
370,2016-11-22,09:15:00,0,555.8370,9.800
371,2016-11-22,09:30:00,0,555.9720,9.801
372,2016-11-22,09:45:00,0,556.1290,9.800
373,2016-11-22,10:00:00,0,556.4020,9.800
374,2016-11-22,10:15:00,0,556.5520,9.802
375,2016-11-22,10:30:00,0,556.7370,9.800
376,2016-11-22,10:45:00,0,556.7640,9.800
377,2016-11-22,11:00:00,0,556.7791,9.800
378,2016-11-22,11:15:00,0,556.9060,9.800
379,2016-11-22,11:30:00,0,557.1980,9.801
380,2016-11-22,11:45:00,0,557.2570,9.801
381,2016-11-22,12:00:00,0,557.5050,9.801
382,2016-11-22,12:15:00,0,557.6990,9.801
383,2016-11-22,12:30:00,0,557.8210,9.800
384,2016-11-22,12:45:00,0,558.0020,9.801
385,2016-11-22,13:00:00,0,558.1760,9.800
386,2016-11-22,13:15:00,0,558.3770,9.801
387,2016-11-22,13:30:00,0,558.5090,9.801
388,2016-11-22,13:45:00,0,558.7820,9.800
389,2016-11-22,14:00:00,0,558.9670,9.801
390,2016-11-22,14:15:00,0,558.9771,9.801
391,2016-11-22,14:30:00,0,559.3730,9.801
392,2016-11-22,14:45:00,0,559.8200,9.802
393,2016-11-22,15:00:00,0,560.0500,9.801
394,2016-11-22,15:15:00,0,560.1500,9.802
395,2016-11-22,15:30:00,0,560.4420,9.801
396,2016-11-22,15:45:00,0,560.6140,9.801
397,2016-11-22,16:00:00,0,560.8360,9.801
398,2016-11-22,16:15:00,0,561.1590,9.801
399,2016-11-22,16:30:00,0,561.4070,9.801
400,2016-11-22,16:45:00,0,561.4771,9.801
401,2016-11-22,17:00:00,0,561.7840,9.802
402,2016-11-22,17:15:00,0,562.0400,9.802
403,2016-11-22,17:30:00,0,562.3800,9.802
404,2016-11-22,17:45:00,0,562.5551,9.801
405,2016-11-22,18:00:00,0,562.7110,9.802
406,2016-11-22,18:15:00,0,562.7340,9.801
407,2016-11-22,18:30:00,0,562.9330,9.802
408,2016-11-22,18:45:00,0,563.0330,9.801
409,2016-11-22,19:00:00,0,563.2760,9.802
410,2016-11-22,19:15:00,0,563.3890,9.802
411,2016-11-22,19:30:00,0,563.4830,9.802
412,2016-11-22,19:45:00,0,563.7010,9.802
413,2016-11-22,20:00:00,0,563.8970,9.802
414,2016-11-22,20:15:00,0,564.1040,9.802
415,2016-11-22,20:30:00,0,564.3510,9.801
416,2016-11-22,20:45:00,0,564.3980,9.801
417,2016-11-22,21:00:00,0,564.5421,9.802
418,2016-11-22,21:15:00,0,564.4930,9.802
419,2016-11-22,21:30:00,0,564.5490,9.802
420,2016-11-22,21:45:00,0,564.5380,9.802
421,2016-11-22,22:00:00,0,564.7000,9.801
422,2016-11-22,22:15:00,0,564.8850,9.802
423,2016-11-22,22:30:00,0,565.0320,9.802
424,2016-11-22,22:45:00,0,565.2141,9.802
425,2016-11-22,23:00:00,0,565.2791,9.802
426,2016-11-22,23:15:00,0,565.2830,9.802
427,2016-11-22,23:30:00,0,565.4740,9.802
428,2016-11-22,23:45:00,0,565.5170,9.802
429,2016-11-23,00:00:00,0,565.4370,9.802
430,2016-11-23,00:15:00,0,565.5560,9.802
431,2016-11-23,00:30:00,0,565.6830,9.802
432,2016-11-23,00:45:00,0,565.8970,9.802
433,2016-11-23,01:00:00,0,566.0480,9.802
434,2016-11-23,01:15:00,0,566.0211,9.802
435,2016-11-23,01:30:00,0,566.3820,9.802
436,2016-11-23,01:45:00,0,566.5820,9.803
437,2016-11-23,02:00:00,0,566.5681,9.802
438,2016-11-23,02:15:00,0,566.6130,9.802
439,2016-11-23,02:30:00,0,566.7271,9.802
440,2016-11-23,02:45:00,0,566.9000,9.802
441,2016-11-23,03:00:00,0,566.7020,9.802
442,2016-11-23,03:15:00,0,566.8701,9.802
443,2016-11-23,03:30:00,0,567.1500,9.802
444,2016-11-23,03:45:00,0,567.3730,9.802
445,2016-11-23,04:00:00,0,567.4670,9.802
446,2016-11-23,04:15:00,0,567.6660,9.802
447,2016-11-23,04:30:00,0,567.6890,9.802
448,2016-11-23,04:45:00,0,567.8651,9.803
