Serial Number
	1016016
Project ID
	02G47001
Location
	Saint-Antoine-de-Tilly
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		67        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-14,13:00:00,0,613.4420,7.241
2,2016-11-14,13:15:00,0,613.3911,7.241
3,2016-11-14,13:30:00,0,613.4130,7.240
4,2016-11-14,13:45:00,0,613.4110,7.239
5,2016-11-14,14:00:00,0,613.5710,7.239
6,2016-11-14,14:15:00,0,613.7940,7.239
7,2016-11-14,14:30:00,0,614.1040,7.240
8,2016-11-14,14:45:00,0,614.3790,7.242
9,2016-11-14,15:00:00,0,614.6340,7.238
10,2016-11-14,15:15:00,0,614.9230,7.236
11,2016-11-14,15:30:00,0,615.2090,7.238
12,2016-11-14,15:45:00,0,615.4440,7.239
13,2016-11-14,16:00:00,0,615.6000,7.237
14,2016-11-14,16:15:00,0,615.7680,7.233
15,2016-11-14,16:30:00,0,615.9880,7.238
16,2016-11-14,16:45:00,0,616.2610,7.239
17,2016-11-14,17:00:00,0,616.5200,7.235
18,2016-11-14,17:15:00,0,616.6940,7.234
19,2016-11-14,17:30:00,0,616.8160,7.238
20,2016-11-14,17:45:00,0,616.9580,7.242
21,2016-11-14,18:00:00,0,617.1860,7.239
22,2016-11-14,18:15:00,0,617.2550,7.239
23,2016-11-14,18:30:00,0,617.2791,7.237
24,2016-11-14,18:45:00,0,617.2160,7.240
25,2016-11-14,19:00:00,0,617.3330,7.239
26,2016-11-14,19:15:00,0,617.3740,7.234
27,2016-11-14,19:30:00,0,617.4140,7.235
28,2016-11-14,19:45:00,0,617.4800,7.236
29,2016-11-14,20:00:00,0,617.5421,7.240
30,2016-11-14,20:15:00,0,617.5861,7.237
31,2016-11-14,20:30:00,0,617.6120,7.237
32,2016-11-14,20:45:00,0,617.7080,7.238
33,2016-11-14,21:00:00,0,617.7610,7.237
34,2016-11-14,21:15:00,0,617.7020,7.246
35,2016-11-14,21:30:00,0,617.7271,7.237
36,2016-11-14,21:45:00,0,617.6430,7.240
37,2016-11-14,22:00:00,0,617.6461,7.236
38,2016-11-14,22:15:00,0,617.5840,7.239
39,2016-11-14,22:30:00,0,617.5140,7.238
40,2016-11-14,22:45:00,0,617.6530,7.238
41,2016-11-14,23:00:00,0,617.6910,7.233
42,2016-11-14,23:15:00,0,617.8410,7.239
43,2016-11-14,23:30:00,0,618.0140,7.237
44,2016-11-14,23:45:00,0,618.0020,7.236
45,2016-11-15,00:00:00,0,617.9930,7.239
46,2016-11-15,00:15:00,0,618.0250,7.237
47,2016-11-15,00:30:00,0,618.0110,7.246
48,2016-11-15,00:45:00,0,618.0421,7.241
49,2016-11-15,01:00:00,0,618.0820,7.237
50,2016-11-15,01:15:00,0,618.1760,7.236
51,2016-11-15,01:30:00,0,618.2630,7.236
52,2016-11-15,01:45:00,0,618.3110,7.234
53,2016-11-15,02:00:00,0,618.3590,7.237
54,2016-11-15,02:15:00,0,618.4240,7.234
55,2016-11-15,02:30:00,0,618.5270,7.233
56,2016-11-15,02:45:00,0,618.5471,7.236
57,2016-11-15,03:00:00,0,618.4630,7.240
58,2016-11-15,03:15:00,0,618.5081,7.236
59,2016-11-15,03:30:00,0,618.6201,7.240
60,2016-11-15,03:45:00,0,618.7050,7.242
61,2016-11-15,04:00:00,0,618.6450,7.237
62,2016-11-15,04:15:00,0,618.6890,7.240
63,2016-11-15,04:30:00,0,618.6721,7.242
64,2016-11-15,04:45:00,0,618.6010,7.234
65,2016-11-15,05:00:00,0,618.5681,7.235
66,2016-11-15,05:15:00,0,618.4301,7.234
67,2016-11-15,05:30:00,0,618.4280,7.233
68,2016-11-15,05:45:00,0,618.4850,7.232
69,2016-11-15,06:00:00,0,618.5630,7.233
70,2016-11-15,06:15:00,0,618.6160,7.232
71,2016-11-15,06:30:00,0,618.5440,7.237
72,2016-11-15,06:45:00,0,618.6360,7.234
73,2016-11-15,07:00:00,0,618.7690,7.237
74,2016-11-15,07:15:00,0,618.9351,7.239
75,2016-11-15,07:30:00,0,619.0100,7.238
76,2016-11-15,07:45:00,0,619.0570,7.239
77,2016-11-15,08:00:00,0,619.0710,7.240
78,2016-11-15,08:15:00,0,619.1090,7.238
79,2016-11-15,08:30:00,0,619.0690,7.236
80,2016-11-15,08:45:00,0,618.8710,7.236
81,2016-11-15,09:00:00,0,618.6990,7.234
82,2016-11-15,09:15:00,0,618.7600,7.233
83,2016-11-15,09:30:00,0,618.8651,7.233
84,2016-11-15,09:45:00,0,618.9760,7.234
85,2016-11-15,10:00:00,0,618.9870,7.233
86,2016-11-15,10:15:00,0,618.9740,7.232
87,2016-11-15,10:30:00,0,618.8080,7.233
88,2016-11-15,10:45:00,0,618.4960,7.236
89,2016-11-15,11:00:00,0,618.3300,7.234
90,2016-11-15,11:15:00,0,618.0400,7.233
