Serial Number
	1016032
Project ID
	02407005
Location
	BLACK-LAKE (Plus Profond)
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		203       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-18,12:00:00,0,967.8511,6.943
2,2016-11-18,12:15:00,0,946.8610,6.943
3,2016-11-18,12:30:00,0,942.8090,6.941
4,2016-11-18,12:45:00,0,941.2750,6.940
5,2016-11-18,13:00:00,0,940.1801,6.939
6,2016-11-18,13:15:00,0,939.2150,6.938
7,2016-11-18,13:30:00,0,938.4730,6.938
8,2016-11-18,13:45:00,0,937.8690,6.937
9,2016-11-18,14:00:00,0,937.2440,6.938
10,2016-11-18,14:15:00,0,936.9271,6.937
11,2016-11-18,14:30:00,0,951.6630,6.936
12,2016-11-18,14:45:00,0,969.9771,6.934
13,2016-11-18,15:00:00,0,952.2891,6.936
14,2016-11-18,15:15:00,0,942.3491,6.938
15,2016-11-18,15:30:00,0,939.4910,6.938
16,2016-11-18,15:45:00,0,967.8051,6.935
17,2016-11-18,16:00:00,0,968.5291,6.934
18,2016-11-18,16:15:00,0,945.5521,6.938
19,2016-11-18,16:30:00,0,940.6981,6.937
20,2016-11-18,16:45:00,0,960.3121,6.935
21,2016-11-18,17:00:00,0,972.7980,6.933
22,2016-11-18,17:15:00,0,949.7100,6.938
23,2016-11-18,17:30:00,0,942.0690,6.938
24,2016-11-18,17:45:00,0,943.2490,6.938
25,2016-11-18,18:00:00,0,969.6611,6.934
26,2016-11-18,18:15:00,0,959.1520,6.936
27,2016-11-18,18:30:00,0,943.8990,6.938
28,2016-11-18,18:45:00,0,939.9150,6.938
29,2016-11-18,19:00:00,0,964.2090,6.934
30,2016-11-18,19:15:00,0,973.3680,6.935
31,2016-11-18,19:30:00,0,946.9180,6.937
32,2016-11-18,19:45:00,0,940.7820,6.938
33,2016-11-18,20:00:00,0,952.3610,6.936
34,2016-11-18,20:15:00,0,970.5660,6.934
35,2016-11-18,20:30:00,0,952.7910,6.936
36,2016-11-18,20:45:00,0,942.0131,6.937
37,2016-11-18,21:00:00,0,938.7211,6.936
38,2016-11-18,21:15:00,0,966.3480,6.934
39,2016-11-18,21:30:00,0,959.0850,6.934
40,2016-11-18,21:45:00,0,942.7141,6.937
41,2016-11-18,22:00:00,0,938.6041,6.939
42,2016-11-18,22:15:00,0,936.5950,6.936
43,2016-11-18,22:30:00,0,935.4150,6.938
44,2016-11-18,22:45:00,0,934.5850,6.936
45,2016-11-18,23:00:00,0,933.9380,6.937
46,2016-11-18,23:15:00,0,933.4301,6.937
47,2016-11-18,23:30:00,0,932.8920,6.937
48,2016-11-18,23:45:00,0,932.4711,6.936
49,2016-11-19,00:00:00,0,932.0010,6.935
50,2016-11-19,00:15:00,0,942.6080,6.937
51,2016-11-19,00:30:00,0,964.2781,6.934
52,2016-11-19,00:45:00,0,948.9951,6.934
53,2016-11-19,01:00:00,0,937.3671,6.937
54,2016-11-19,01:15:00,0,934.0850,6.937
55,2016-11-19,01:30:00,0,960.9871,6.936
56,2016-11-19,01:45:00,0,967.5681,6.935
57,2016-11-19,02:00:00,0,941.3021,6.937
58,2016-11-19,02:15:00,0,936.0970,6.938
59,2016-11-19,02:30:00,0,962.9780,6.937
60,2016-11-19,02:45:00,0,969.9301,6.935
61,2016-11-19,03:00:00,0,972.5540,6.935
62,2016-11-19,03:15:00,0,973.9031,6.935
63,2016-11-19,03:30:00,0,974.7820,6.934
64,2016-11-19,03:45:00,0,975.3580,6.935
65,2016-11-19,04:00:00,0,975.9800,6.936
66,2016-11-19,04:15:00,0,975.4520,6.935
67,2016-11-19,04:30:00,0,945.7700,6.938
68,2016-11-19,04:45:00,0,938.8350,6.940
69,2016-11-19,05:00:00,0,953.7610,6.937
70,2016-11-19,05:15:00,0,968.5291,6.935
71,2016-11-19,05:30:00,0,972.4800,6.934
72,2016-11-19,05:45:00,0,974.4650,6.937
73,2016-11-19,06:00:00,0,975.4290,6.936
74,2016-11-19,06:15:00,0,976.1461,6.935
75,2016-11-19,06:30:00,0,976.6890,6.936
76,2016-11-19,06:45:00,0,976.8881,6.936
77,2016-11-19,07:00:00,0,948.7590,6.939
78,2016-11-19,07:15:00,0,940.1411,6.940
79,2016-11-19,07:30:00,0,944.9761,6.938
80,2016-11-19,07:45:00,0,967.1260,6.935
81,2016-11-19,08:00:00,0,971.6580,6.936
82,2016-11-19,08:15:00,0,973.7131,6.934
83,2016-11-19,08:30:00,0,974.8881,6.936
84,2016-11-19,08:45:00,0,975.4800,6.934
85,2016-11-19,09:00:00,0,951.1091,6.939
86,2016-11-19,09:15:00,0,939.9540,6.939
87,2016-11-19,09:30:00,0,935.8690,6.939
88,2016-11-19,09:45:00,0,963.9290,6.937
89,2016-11-19,10:00:00,0,958.2711,6.937
90,2016-11-19,10:15:00,0,938.4191,6.938
91,2016-11-19,10:30:00,0,933.3040,6.939
92,2016-11-19,10:45:00,0,954.8480,6.936
93,2016-11-19,11:00:00,0,964.9730,6.935
94,2016-11-19,11:15:00,0,939.5031,6.938
95,2016-11-19,11:30:00,0,932.0311,6.938
96,2016-11-19,11:45:00,0,937.8961,6.937
97,2016-11-19,12:00:00,0,959.8260,6.934
98,2016-11-19,12:15:00,0,945.0891,6.937
99,2016-11-19,12:30:00,0,931.8181,6.938
100,2016-11-19,12:45:00,0,927.7480,6.939
101,2016-11-19,13:00:00,0,949.9730,6.935
102,2016-11-19,13:15:00,0,929.4940,6.938
103,2016-11-19,13:30:00,0,925.6320,6.938
104,2016-11-19,13:45:00,0,923.7150,6.938
105,2016-11-19,14:00:00,0,922.3151,6.936
106,2016-11-19,14:15:00,0,921.3160,6.936
107,2016-11-19,14:30:00,0,920.6071,6.938
108,2016-11-19,14:45:00,0,920.0670,6.938
109,2016-11-19,15:00:00,0,919.5261,6.938
110,2016-11-19,15:15:00,0,918.9841,6.937
111,2016-11-19,15:30:00,0,935.6660,6.937
112,2016-11-19,15:45:00,0,952.4250,6.936
113,2016-11-19,16:00:00,0,933.0740,6.937
114,2016-11-19,16:15:00,0,923.8130,6.938
115,2016-11-19,16:30:00,0,920.7850,6.938
116,2016-11-19,16:45:00,0,949.5640,6.935
117,2016-11-19,17:00:00,0,947.1851,6.935
118,2016-11-19,17:15:00,0,926.2980,6.938
119,2016-11-19,17:30:00,0,921.8101,6.939
120,2016-11-19,17:45:00,0,942.4901,6.936
121,2016-11-19,18:00:00,0,953.9150,6.936
122,2016-11-19,18:15:00,0,930.0341,6.940
123,2016-11-19,18:30:00,0,922.6481,6.938
124,2016-11-19,18:45:00,0,925.4490,6.940
125,2016-11-19,19:00:00,0,950.4661,6.935
126,2016-11-19,19:15:00,0,938.5510,6.936
127,2016-11-19,19:30:00,0,924.0300,6.939
128,2016-11-19,19:45:00,0,919.9890,6.938
129,2016-11-19,20:00:00,0,944.5911,6.937
130,2016-11-19,20:15:00,0,953.3190,6.936
131,2016-11-19,20:30:00,0,926.1000,6.939
132,2016-11-19,20:45:00,0,919.9200,6.938
133,2016-11-19,21:00:00,0,932.2891,6.938
134,2016-11-19,21:15:00,0,949.7471,6.938
135,2016-11-19,21:30:00,0,931.0380,6.938
136,2016-11-19,21:45:00,0,920.1620,6.939
137,2016-11-19,22:00:00,0,916.4871,6.940
138,2016-11-19,22:15:00,0,944.2670,6.936
