Serial_number:
1016398
Project ID:
02340006-BARO
Location:
Raymond Perron-BARO
LEVEL
UNIT: cm
Offset: 0.000000 cm
Altitude: 381.000000 m
TEMPERATURE
UNIT: Deg C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/18,19:00:00,0,89.48,6.747
2016/11/18,19:15:00,0,89.44,6.767
2016/11/18,19:30:00,0,89.60,6.762
2016/11/18,19:45:00,0,89.43,6.734
2016/11/18,20:00:00,0,89.36,6.722
2016/11/18,20:15:00,0,89.23,6.741
2016/11/18,20:30:00,0,89.24,6.727
2016/11/18,20:45:00,0,89.24,6.723
2016/11/18,21:00:00,0,89.16,6.736
2016/11/18,21:15:00,0,88.99,6.732
2016/11/18,21:30:00,0,88.84,6.711
2016/11/18,21:45:00,0,88.79,6.738
2016/11/18,22:00:00,0,88.69,6.745
2016/11/18,22:15:00,0,88.54,6.730
2016/11/18,22:30:00,0,88.51,6.703
2016/11/18,22:45:00,0,88.42,6.730
2016/11/18,23:00:00,0,88.54,6.739
2016/11/18,23:15:00,0,88.74,6.722
2016/11/18,23:30:00,0,88.67,6.708
2016/11/18,23:45:00,0,88.41,6.680
2016/11/19,00:00:00,0,88.34,6.648
2016/11/19,00:15:00,0,88.10,6.669
2016/11/19,00:30:00,0,88.07,6.691
2016/11/19,00:45:00,0,87.88,6.688
2016/11/19,01:00:00,0,87.93,6.673
2016/11/19,01:15:00,0,87.77,6.654
2016/11/19,01:30:00,0,87.57,6.646
2016/11/19,01:45:00,0,87.72,6.621
2016/11/19,02:00:00,0,87.59,6.594
2016/11/19,02:15:00,0,87.52,6.609
2016/11/19,02:30:00,0,87.66,6.577
2016/11/19,02:45:00,0,87.49,6.581
2016/11/19,03:00:00,0,87.54,6.584
2016/11/19,03:15:00,0,87.29,6.593
2016/11/19,03:30:00,0,87.05,6.596
2016/11/19,03:45:00,0,86.85,6.589
2016/11/19,04:00:00,0,86.84,6.611
2016/11/19,04:15:00,0,86.73,6.621
2016/11/19,04:30:00,0,86.62,6.605
2016/11/19,04:45:00,0,86.55,6.596
2016/11/19,05:00:00,0,86.53,6.589
2016/11/19,05:15:00,0,86.37,6.591
2016/11/19,05:30:00,0,86.36,6.584
2016/11/19,05:45:00,0,86.51,6.600
2016/11/19,06:00:00,0,86.50,6.603
2016/11/19,06:15:00,0,86.34,6.641
2016/11/19,06:30:00,0,86.28,6.639
2016/11/19,06:45:00,0,86.19,6.615
2016/11/19,07:00:00,0,86.14,6.601
2016/11/19,07:15:00,0,86.11,6.597
2016/11/19,07:30:00,0,85.87,6.581
2016/11/19,07:45:00,0,85.72,6.507
2016/11/19,08:00:00,0,85.56,6.529
2016/11/19,08:15:00,0,85.47,6.520
2016/11/19,08:30:00,0,85.30,6.534
2016/11/19,08:45:00,0,85.11,6.560
2016/11/19,09:00:00,0,84.83,6.553
2016/11/19,09:15:00,0,84.70,6.568
2016/11/19,09:30:00,0,84.53,6.572
2016/11/19,09:45:00,0,84.33,6.562
2016/11/19,10:00:00,0,84.15,6.562
2016/11/19,10:15:00,0,84.11,6.538
2016/11/19,10:30:00,0,83.72,6.515
2016/11/19,10:45:00,0,83.38,6.530
2016/11/19,11:00:00,0,83.00,6.517
2016/11/19,11:15:00,0,82.62,6.517
2016/11/19,11:30:00,0,82.22,6.527
