Serial Number
	1020224
Project ID
	02407004
Location
	BLACK LAKE (moins profond)
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		203       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-18,12:00:00,0,945.1570,6.861
2,2016-11-18,12:15:00,0,944.2141,6.858
3,2016-11-18,12:30:00,0,943.1530,6.857
4,2016-11-18,12:45:00,0,942.6141,6.856
5,2016-11-18,13:00:00,0,942.0001,6.855
6,2016-11-18,13:15:00,0,941.2421,6.854
7,2016-11-18,13:30:00,0,940.6490,6.854
8,2016-11-18,13:45:00,0,940.1541,6.854
9,2016-11-18,14:00:00,0,939.6251,6.854
10,2016-11-18,14:15:00,0,939.3790,6.853
11,2016-11-18,14:30:00,0,939.9160,6.853
12,2016-11-18,14:45:00,0,941.4711,6.852
13,2016-11-18,15:00:00,0,941.5601,6.852
14,2016-11-18,15:15:00,0,940.7921,6.852
15,2016-11-18,15:30:00,0,940.2480,6.853
16,2016-11-18,15:45:00,0,941.8961,6.853
17,2016-11-18,16:00:00,0,942.9550,6.851
18,2016-11-18,16:15:00,0,941.7341,6.852
19,2016-11-18,16:30:00,0,940.7081,6.853
20,2016-11-18,16:45:00,0,941.1570,6.852
21,2016-11-18,17:00:00,0,942.8160,6.852
22,2016-11-18,17:15:00,0,942.1940,6.852
23,2016-11-18,17:30:00,0,941.2250,6.853
24,2016-11-18,17:45:00,0,940.8051,6.853
25,2016-11-18,18:00:00,0,942.3170,6.852
26,2016-11-18,18:15:00,0,942.6450,6.852
27,2016-11-18,18:30:00,0,941.6611,6.852
28,2016-11-18,18:45:00,0,940.7001,6.853
29,2016-11-18,19:00:00,0,941.6201,6.853
30,2016-11-18,19:15:00,0,943.0211,6.852
31,2016-11-18,19:30:00,0,941.9980,6.852
32,2016-11-18,19:45:00,0,940.9871,6.853
33,2016-11-18,20:00:00,0,940.8210,6.853
34,2016-11-18,20:15:00,0,942.3441,6.852
35,2016-11-18,20:30:00,0,942.2001,6.852
36,2016-11-18,20:45:00,0,941.1511,6.852
37,2016-11-18,21:00:00,0,940.3530,6.853
38,2016-11-18,21:15:00,0,941.6550,6.852
39,2016-11-18,21:30:00,0,942.2410,6.852
40,2016-11-18,21:45:00,0,941.1650,6.852
41,2016-11-18,22:00:00,0,940.2150,6.853
42,2016-11-18,22:15:00,0,939.3550,6.854
43,2016-11-18,22:30:00,0,938.7131,6.853
44,2016-11-18,22:45:00,0,938.2090,6.853
45,2016-11-18,23:00:00,0,937.7310,6.853
46,2016-11-18,23:15:00,0,937.3361,6.854
47,2016-11-18,23:30:00,0,936.8671,6.853
48,2016-11-18,23:45:00,0,936.5051,6.853
49,2016-11-19,00:00:00,0,936.0941,6.854
50,2016-11-19,00:15:00,0,936.2870,6.853
51,2016-11-19,00:30:00,0,938.0400,6.852
52,2016-11-19,00:45:00,0,938.1310,6.852
53,2016-11-19,01:00:00,0,937.1780,6.853
54,2016-11-19,01:15:00,0,936.4691,6.853
55,2016-11-19,01:30:00,0,937.9050,6.853
56,2016-11-19,01:45:00,0,939.5280,6.852
57,2016-11-19,02:00:00,0,938.5060,6.852
58,2016-11-19,02:15:00,0,937.5911,6.853
59,2016-11-19,02:30:00,0,938.8000,6.853
60,2016-11-19,02:45:00,0,940.0010,6.852
61,2016-11-19,03:00:00,0,940.8121,6.852
62,2016-11-19,03:15:00,0,941.4431,6.852
63,2016-11-19,03:30:00,0,941.9221,6.852
64,2016-11-19,03:45:00,0,942.4120,6.852
65,2016-11-19,04:00:00,0,943.0480,6.852
66,2016-11-19,04:15:00,0,943.4180,6.852
67,2016-11-19,04:30:00,0,941.5410,6.853
68,2016-11-19,04:45:00,0,939.9520,6.853
69,2016-11-19,05:00:00,0,939.8110,6.854
70,2016-11-19,05:15:00,0,941.2401,6.854
71,2016-11-19,05:30:00,0,942.2380,6.853
72,2016-11-19,05:45:00,0,943.0800,6.853
73,2016-11-19,06:00:00,0,943.6141,6.853
74,2016-11-19,06:15:00,0,944.1370,6.853
75,2016-11-19,06:30:00,0,944.6121,6.853
76,2016-11-19,06:45:00,0,944.8260,6.853
77,2016-11-19,07:00:00,0,943.0831,6.853
78,2016-11-19,07:15:00,0,941.4390,6.854
79,2016-11-19,07:30:00,0,940.5731,6.854
80,2016-11-19,07:45:00,0,941.8840,6.854
81,2016-11-19,08:00:00,0,942.6580,6.854
82,2016-11-19,08:15:00,0,943.4111,6.853
83,2016-11-19,08:30:00,0,944.0341,6.853
84,2016-11-19,08:45:00,0,944.4030,6.853
85,2016-11-19,09:00:00,0,943.2220,6.854
86,2016-11-19,09:15:00,0,941.2850,6.854
87,2016-11-19,09:30:00,0,939.7921,6.855
88,2016-11-19,09:45:00,0,940.8831,6.854
89,2016-11-19,10:00:00,0,940.9531,6.854
90,2016-11-19,10:15:00,0,939.2800,6.854
91,2016-11-19,10:30:00,0,937.6960,6.854
92,2016-11-19,10:45:00,0,937.8470,6.855
93,2016-11-19,11:00:00,0,938.8290,6.854
94,2016-11-19,11:15:00,0,937.4481,6.854
95,2016-11-19,11:30:00,0,935.8160,6.854
96,2016-11-19,11:45:00,0,934.9241,6.854
97,2016-11-19,12:00:00,0,936.0450,6.854
98,2016-11-19,12:15:00,0,935.7971,6.854
99,2016-11-19,12:30:00,0,934.2921,6.854
100,2016-11-19,12:45:00,0,932.9841,6.854
101,2016-11-19,13:00:00,0,933.4891,6.854
102,2016-11-19,13:15:00,0,932.3000,6.855
103,2016-11-19,13:30:00,0,931.2070,6.855
104,2016-11-19,13:45:00,0,930.2980,6.855
105,2016-11-19,14:00:00,0,929.2770,6.855
106,2016-11-19,14:15:00,0,928.4810,6.855
107,2016-11-19,14:30:00,0,927.8491,6.855
108,2016-11-19,14:45:00,0,927.3981,6.855
109,2016-11-19,15:00:00,0,926.8860,6.855
110,2016-11-19,15:15:00,0,926.3640,6.855
111,2016-11-19,15:30:00,0,926.7220,6.855
112,2016-11-19,15:45:00,0,928.4371,6.854
113,2016-11-19,16:00:00,0,928.2401,6.854
114,2016-11-19,16:15:00,0,927.2161,6.854
115,2016-11-19,16:30:00,0,926.3220,6.855
116,2016-11-19,16:45:00,0,927.8500,6.854
117,2016-11-19,17:00:00,0,928.5220,6.854
118,2016-11-19,17:15:00,0,927.3860,6.854
119,2016-11-19,17:30:00,0,926.4501,6.855
120,2016-11-19,17:45:00,0,926.9540,6.855
121,2016-11-19,18:00:00,0,928.1871,6.854
122,2016-11-19,18:15:00,0,927.4020,6.854
123,2016-11-19,18:30:00,0,926.3130,6.855
124,2016-11-19,18:45:00,0,925.7211,6.855
125,2016-11-19,19:00:00,0,927.1100,6.855
126,2016-11-19,19:15:00,0,927.3210,6.854
127,2016-11-19,19:30:00,0,926.1030,6.855
128,2016-11-19,19:45:00,0,924.9990,6.855
129,2016-11-19,20:00:00,0,925.8030,6.855
130,2016-11-19,20:15:00,0,926.9880,6.854
131,2016-11-19,20:30:00,0,925.4980,6.855
132,2016-11-19,20:45:00,0,924.2070,6.856
133,2016-11-19,21:00:00,0,923.9520,6.856
134,2016-11-19,21:15:00,0,925.3990,6.855
135,2016-11-19,21:30:00,0,924.8770,6.855
136,2016-11-19,21:45:00,0,923.3190,6.855
137,2016-11-19,22:00:00,0,922.0811,6.856
138,2016-11-19,22:15:00,0,923.2620,6.856
139,2016-11-19,22:30:00,0,924.7731,6.855
140,2016-11-19,22:45:00,0,926.2330,6.854
141,2016-11-19,23:00:00,0,926.9830,6.855
142,2016-11-19,23:15:00,0,927.3760,6.855
143,2016-11-19,23:30:00,0,927.8680,6.854
144,2016-11-19,23:45:00,0,927.1310,6.855
145,2016-11-20,00:00:00,0,925.2350,6.856
146,2016-11-20,00:15:00,0,923.7711,6.856
147,2016-11-20,00:30:00,0,924.6060,6.856
148,2016-11-20,00:45:00,0,925.5731,6.856
149,2016-11-20,01:00:00,0,926.3331,6.855
150,2016-11-20,01:15:00,0,926.8721,6.855
151,2016-11-20,01:30:00,0,927.2460,6.855
152,2016-11-20,01:45:00,0,927.6100,6.855
153,2016-11-20,02:00:00,0,927.9241,6.855
154,2016-11-20,02:15:00,0,927.2770,6.855
155,2016-11-20,02:30:00,0,925.3870,6.856
156,2016-11-20,02:45:00,0,923.6541,6.857
157,2016-11-20,03:00:00,0,924.0491,6.857
158,2016-11-20,03:15:00,0,924.9070,6.856
159,2016-11-20,03:30:00,0,925.5840,6.856
160,2016-11-20,03:45:00,0,926.0031,6.856
161,2016-11-20,04:00:00,0,926.5240,6.856
162,2016-11-20,04:15:00,0,927.0140,6.856
163,2016-11-20,04:30:00,0,926.4410,6.856
164,2016-11-20,04:45:00,0,924.2791,6.856
165,2016-11-20,05:00:00,0,922.5651,6.857
166,2016-11-20,05:15:00,0,922.5580,6.857
167,2016-11-20,05:30:00,0,923.6490,6.857
168,2016-11-20,05:45:00,0,922.3530,6.857
169,2016-11-20,06:00:00,0,920.9030,6.857
170,2016-11-20,06:15:00,0,920.3580,6.857
171,2016-11-20,06:30:00,0,921.4050,6.857
172,2016-11-20,06:45:00,0,921.1901,6.857
173,2016-11-20,07:00:00,0,919.7800,6.857
174,2016-11-20,07:15:00,0,918.5211,6.858
175,2016-11-20,07:30:00,0,919.5060,6.857
176,2016-11-20,07:45:00,0,920.1611,6.856
177,2016-11-20,08:00:00,0,918.6060,6.857
178,2016-11-20,08:15:00,0,916.8521,6.857
179,2016-11-20,08:30:00,0,917.2820,6.858
180,2016-11-20,08:45:00,0,918.3870,6.857
181,2016-11-20,09:00:00,0,917.4960,6.857
182,2016-11-20,09:15:00,0,916.1611,6.858
183,2016-11-20,09:30:00,0,914.9501,6.858
184,2016-11-20,09:45:00,0,916.3790,6.857
185,2016-11-20,10:00:00,0,916.6951,6.857
186,2016-11-20,10:15:00,0,915.2200,6.857
187,2016-11-20,10:30:00,0,914.0970,6.858
188,2016-11-20,10:45:00,0,914.4460,6.857
189,2016-11-20,11:00:00,0,915.5250,6.856
190,2016-11-20,11:15:00,0,916.1871,6.856
191,2016-11-20,11:30:00,0,917.1290,6.856
192,2016-11-20,11:45:00,0,917.4460,6.857
193,2016-11-20,12:00:00,0,916.9250,6.856
194,2016-11-20,12:15:00,0,915.2570,6.857
195,2016-11-20,12:30:00,0,913.6151,6.858
196,2016-11-20,12:45:00,0,914.1080,6.858
197,2016-11-20,13:00:00,0,915.0941,6.858
198,2016-11-20,13:15:00,0,913.3420,6.857
199,2016-11-20,13:30:00,0,911.7410,6.858
200,2016-11-20,13:45:00,0,911.1691,6.858
201,2016-11-20,14:00:00,0,912.2850,6.858
202,2016-11-20,14:15:00,0,911.6860,6.858
203,2016-11-20,14:30:00,0,910.5911,6.858
204,2016-11-20,14:45:00,0,909.5571,6.859
205,2016-11-20,15:00:00,0,910.4531,6.859
206,2016-11-20,15:15:00,0,911.5560,6.858
207,2016-11-20,15:30:00,0,910.3430,6.858
208,2016-11-20,15:45:00,0,909.1880,6.858
209,2016-11-20,16:00:00,0,909.5480,6.858
210,2016-11-20,16:15:00,0,910.8430,6.858
211,2016-11-20,16:30:00,0,910.1301,6.857
212,2016-11-20,16:45:00,0,908.9641,6.858
213,2016-11-20,17:00:00,0,908.3251,6.858
214,2016-11-20,17:15:00,0,909.7341,6.858
215,2016-11-20,17:30:00,0,910.1840,6.858
216,2016-11-20,17:45:00,0,909.1260,6.859
217,2016-11-20,18:00:00,0,908.1851,6.859
218,2016-11-20,18:15:00,0,909.1780,6.858
219,2016-11-20,18:30:00,0,910.6600,6.858
220,2016-11-20,18:45:00,0,909.5920,6.858
221,2016-11-20,19:00:00,0,908.7271,6.859
222,2016-11-20,19:15:00,0,908.9700,6.859
223,2016-11-20,19:30:00,0,908.4741,6.859
224,2016-11-20,19:45:00,0,908.0200,6.859
225,2016-11-20,20:00:00,0,907.5781,6.859
226,2016-11-20,20:15:00,0,907.2280,6.859
227,2016-11-20,20:30:00,0,906.9160,6.859
228,2016-11-20,20:45:00,0,906.6780,6.859
229,2016-11-20,21:00:00,0,906.6331,6.860
230,2016-11-20,21:15:00,0,906.4380,6.859
231,2016-11-20,21:30:00,0,906.2610,6.859
232,2016-11-20,21:45:00,0,907.4200,6.859
233,2016-11-20,22:00:00,0,909.3500,6.858
234,2016-11-20,22:15:00,0,909.1600,6.858
235,2016-11-20,22:30:00,0,909.9431,6.858
236,2016-11-20,22:45:00,0,911.4011,6.858
237,2016-11-20,23:00:00,0,912.7770,6.858
238,2016-11-20,23:15:00,0,913.7590,6.858
239,2016-11-20,23:30:00,0,914.6100,6.858
240,2016-11-20,23:45:00,0,915.1000,6.858
241,2016-11-21,00:00:00,0,913.5040,6.859
242,2016-11-21,00:15:00,0,912.1981,6.859
243,2016-11-21,00:30:00,0,911.9600,6.860
244,2016-11-21,00:45:00,0,913.4241,6.859
245,2016-11-21,01:00:00,0,914.6611,6.859
246,2016-11-21,01:15:00,0,915.6660,6.858
247,2016-11-21,01:30:00,0,916.5500,6.859
248,2016-11-21,01:45:00,0,917.3580,6.858
249,2016-11-21,02:00:00,0,917.9230,6.859
250,2016-11-21,02:15:00,0,918.5510,6.859
251,2016-11-21,02:30:00,0,916.8311,6.859
252,2016-11-21,02:45:00,0,915.3580,6.860
253,2016-11-21,03:00:00,0,915.2100,6.860
254,2016-11-21,03:15:00,0,916.5291,6.860
255,2016-11-21,03:30:00,0,917.6041,6.859
256,2016-11-21,03:45:00,0,918.4100,6.859
257,2016-11-21,04:00:00,0,919.1060,6.859
258,2016-11-21,04:15:00,0,919.5081,6.859
259,2016-11-21,04:30:00,0,920.0710,6.859
260,2016-11-21,04:45:00,0,920.4830,6.859
261,2016-11-21,05:00:00,0,918.9371,6.860
262,2016-11-21,05:15:00,0,917.4590,6.861
263,2016-11-21,05:30:00,0,917.0720,6.861
264,2016-11-21,05:45:00,0,918.3530,6.860
265,2016-11-21,06:00:00,0,919.4871,6.860
266,2016-11-21,06:15:00,0,920.4540,6.860
267,2016-11-21,06:30:00,0,921.2280,6.860
268,2016-11-21,06:45:00,0,921.9111,6.859
269,2016-11-21,07:00:00,0,922.4520,6.859
270,2016-11-21,07:15:00,0,920.8121,6.860
271,2016-11-21,07:30:00,0,919.3640,6.861
272,2016-11-21,07:45:00,0,918.1041,6.862
273,2016-11-21,08:00:00,0,919.0220,6.861
274,2016-11-21,08:15:00,0,919.8051,6.861
275,2016-11-21,08:30:00,0,918.5770,6.861
276,2016-11-21,08:45:00,0,917.5190,6.861
277,2016-11-21,09:00:00,0,916.8381,6.861
278,2016-11-21,09:15:00,0,918.4330,6.860
279,2016-11-21,09:30:00,0,918.6620,6.861
280,2016-11-21,09:45:00,0,917.6030,6.861
281,2016-11-21,10:00:00,0,916.7050,6.861
282,2016-11-21,10:15:00,0,918.5480,6.864
283,2016-11-21,10:30:00,0,918.0621,6.881
284,2016-11-21,10:45:00,0,917.5590,6.882
285,2016-11-21,11:00:00,0,916.6160,6.880
286,2016-11-21,11:15:00,0,915.8801,6.877
287,2016-11-21,11:30:00,0,916.8370,6.875
288,2016-11-21,11:45:00,0,918.2601,6.873
289,2016-11-21,12:00:00,0,917.2971,6.871
290,2016-11-21,12:15:00,0,916.3851,6.870
291,2016-11-21,12:30:00,0,915.7761,6.869
292,2016-11-21,12:45:00,0,917.4160,6.868
293,2016-11-21,13:00:00,0,918.0551,6.867
294,2016-11-21,13:15:00,0,917.0831,6.867
295,2016-11-21,13:30:00,0,916.2950,6.867
296,2016-11-21,13:45:00,0,916.3450,6.867
297,2016-11-21,14:00:00,0,918.1190,6.866
298,2016-11-21,14:15:00,0,918.1260,6.866
299,2016-11-21,14:30:00,0,917.2720,6.866
300,2016-11-21,14:45:00,0,916.6030,6.866
301,2016-11-21,15:00:00,0,917.3610,6.866
302,2016-11-21,15:15:00,0,919.0690,6.865
303,2016-11-21,15:30:00,0,918.3870,6.865
304,2016-11-21,15:45:00,0,917.5760,6.865
305,2016-11-21,16:00:00,0,917.0660,6.865
306,2016-11-21,16:15:00,0,918.2910,6.865
307,2016-11-21,16:30:00,0,919.4600,6.864
308,2016-11-21,16:45:00,0,918.5250,6.865
309,2016-11-21,17:00:00,0,917.6920,6.865
310,2016-11-21,17:15:00,0,917.1741,6.865
311,2016-11-21,17:30:00,0,918.9631,6.864
312,2016-11-21,17:45:00,0,919.3931,6.864
313,2016-11-21,18:00:00,0,918.4260,6.864
314,2016-11-21,18:15:00,0,917.6931,6.865
315,2016-11-21,18:30:00,0,917.9011,6.865
316,2016-11-21,18:45:00,0,918.5881,6.865
317,2016-11-21,19:00:00,0,917.8920,6.864
318,2016-11-21,19:15:00,0,917.3600,6.865
319,2016-11-21,19:30:00,0,916.9670,6.865
320,2016-11-21,19:45:00,0,916.6500,6.864
321,2016-11-21,20:00:00,0,916.3530,6.865
322,2016-11-21,20:15:00,0,916.1091,6.865
323,2016-11-21,20:30:00,0,915.8730,6.865
324,2016-11-21,20:45:00,0,915.6821,6.864
325,2016-11-21,21:00:00,0,915.3801,6.865
326,2016-11-21,21:15:00,0,915.3140,6.865
327,2016-11-21,21:30:00,0,916.2271,6.864
328,2016-11-21,21:45:00,0,918.2241,6.864
329,2016-11-21,22:00:00,0,917.8580,6.863
330,2016-11-21,22:15:00,0,917.3000,6.864
331,2016-11-21,22:30:00,0,918.6411,6.864
332,2016-11-21,22:45:00,0,920.2711,6.863
333,2016-11-21,23:00:00,0,921.5781,6.863
334,2016-11-21,23:15:00,0,922.6230,6.863
335,2016-11-21,23:30:00,0,923.3320,6.863
336,2016-11-21,23:45:00,0,924.2690,6.863
337,2016-11-22,00:00:00,0,923.1700,6.864
338,2016-11-22,00:15:00,0,921.8000,6.864
339,2016-11-22,00:30:00,0,921.3900,6.865
340,2016-11-22,00:45:00,0,923.0001,6.864
341,2016-11-22,01:00:00,0,924.2960,6.864
342,2016-11-22,01:15:00,0,925.4301,6.864
343,2016-11-22,01:30:00,0,926.2921,6.864
344,2016-11-22,01:45:00,0,927.0521,6.864
345,2016-11-22,02:00:00,0,927.7681,6.864
346,2016-11-22,02:15:00,0,928.0190,6.864
347,2016-11-22,02:30:00,0,926.2501,6.864
348,2016-11-22,02:45:00,0,924.8820,6.865
349,2016-11-22,03:00:00,0,925.4631,6.865
350,2016-11-22,03:15:00,0,926.8340,6.864
351,2016-11-22,03:30:00,0,927.8480,6.864
352,2016-11-22,03:45:00,0,928.7861,6.864
353,2016-11-22,04:00:00,0,929.8021,6.864
354,2016-11-22,04:15:00,0,930.5441,6.864
355,2016-11-22,04:30:00,0,931.1240,6.864
356,2016-11-22,04:45:00,0,931.0430,6.864
357,2016-11-22,05:00:00,0,929.3560,6.865
358,2016-11-22,05:15:00,0,928.0970,6.865
359,2016-11-22,05:30:00,0,928.8331,6.865
360,2016-11-22,05:45:00,0,930.2941,6.865
361,2016-11-22,06:00:00,0,931.5500,6.864
362,2016-11-22,06:15:00,0,932.5120,6.864
363,2016-11-22,06:30:00,0,933.3170,6.864
364,2016-11-22,06:45:00,0,934.2330,6.864
365,2016-11-22,07:00:00,0,934.0870,6.864
366,2016-11-22,07:15:00,0,932.5630,6.865
367,2016-11-22,07:30:00,0,931.3870,6.865
368,2016-11-22,07:45:00,0,931.1780,6.865
369,2016-11-22,08:00:00,0,932.6550,6.865
370,2016-11-22,08:15:00,0,932.4830,6.865
371,2016-11-22,08:30:00,0,931.4470,6.866
372,2016-11-22,08:45:00,0,930.6160,6.866
373,2016-11-22,09:00:00,0,931.1461,6.866
374,2016-11-22,09:15:00,0,932.8571,6.865
