Serial Number
	1020224
Project ID
	02407004
Location
	BLACK LAKE (moins profond)
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		203       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-04-28,13:00:00,0,957.4141,6.968
2,2017-04-28,13:15:00,0,958.9611,6.966
3,2017-04-28,13:30:00,0,958.2910,6.964
4,2017-04-28,13:45:00,0,957.4041,6.961
5,2017-04-28,14:00:00,0,956.6520,6.959
6,2017-04-28,14:15:00,0,956.8781,6.959
7,2017-04-28,14:30:00,0,958.5001,6.961
8,2017-04-28,14:45:00,0,957.8810,6.961
9,2017-04-28,15:00:00,0,956.9061,6.959
10,2017-04-28,15:15:00,0,955.9841,6.958
11,2017-04-28,15:30:00,0,955.9440,6.958
12,2017-04-28,15:45:00,0,957.5181,6.960
13,2017-04-28,16:00:00,0,957.3270,6.961
14,2017-04-28,16:15:00,0,956.5001,6.960
15,2017-04-28,16:30:00,0,956.0770,6.959
16,2017-04-28,16:45:00,0,956.0540,6.958
17,2017-04-28,17:00:00,0,956.1110,6.959
18,2017-04-28,17:15:00,0,955.7100,6.958
19,2017-04-28,17:30:00,0,954.9921,6.958
20,2017-04-28,17:45:00,0,954.8181,6.957
21,2017-04-28,18:00:00,0,954.4351,6.957
22,2017-04-28,18:15:00,0,953.9880,6.958
23,2017-04-28,18:30:00,0,953.9360,6.958
24,2017-04-28,18:45:00,0,953.8500,6.959
25,2017-04-28,19:00:00,0,953.6180,6.959
26,2017-04-28,19:15:00,0,953.2841,6.959
27,2017-04-28,19:30:00,0,952.9830,6.959
28,2017-04-28,19:45:00,0,952.8430,6.959
29,2017-04-28,20:00:00,0,952.8621,6.959
30,2017-04-28,20:15:00,0,952.8851,6.959
31,2017-04-28,20:30:00,0,952.7540,6.959
32,2017-04-28,20:45:00,0,952.6450,6.958
33,2017-04-28,21:00:00,0,952.6481,6.959
34,2017-04-28,21:15:00,0,952.7031,6.959
35,2017-04-28,21:30:00,0,954.6340,6.960
36,2017-04-28,21:45:00,0,955.7371,6.961
37,2017-04-28,22:00:00,0,955.1620,6.960
38,2017-04-28,22:15:00,0,954.6771,6.959
39,2017-04-28,22:30:00,0,953.9280,6.958
40,2017-04-28,22:45:00,0,955.1290,6.958
41,2017-04-28,23:00:00,0,956.7300,6.959
42,2017-04-28,23:15:00,0,955.8190,6.959
43,2017-04-28,23:30:00,0,955.0991,6.958
44,2017-04-28,23:45:00,0,954.4120,6.958
45,2017-04-29,00:00:00,0,955.2200,6.958
46,2017-04-29,00:15:00,0,956.9631,6.959
47,2017-04-29,00:30:00,0,958.1710,6.960
48,2017-04-29,00:45:00,0,959.2510,6.960
49,2017-04-29,01:00:00,0,960.1620,6.961
50,2017-04-29,01:15:00,0,960.7980,6.960
51,2017-04-29,01:30:00,0,961.3160,6.960
52,2017-04-29,01:45:00,0,961.9821,6.960
53,2017-04-29,02:00:00,0,962.5070,6.960
54,2017-04-29,02:15:00,0,962.8990,6.961
55,2017-04-29,02:30:00,0,962.9520,6.960
56,2017-04-29,02:45:00,0,961.2111,6.959
57,2017-04-29,03:00:00,0,959.4570,6.958
58,2017-04-29,03:15:00,0,957.7690,6.956
59,2017-04-29,03:30:00,0,957.6271,6.955
60,2017-04-29,03:45:00,0,958.8840,6.956
61,2017-04-29,04:00:00,0,958.3491,6.957
62,2017-04-29,04:15:00,0,957.1860,6.957
63,2017-04-29,04:30:00,0,956.1920,6.956
64,2017-04-29,04:45:00,0,957.5970,6.956
65,2017-04-29,05:00:00,0,958.4310,6.958
66,2017-04-29,05:15:00,0,959.4230,6.958
67,2017-04-29,05:30:00,0,960.3970,6.959
68,2017-04-29,05:45:00,0,960.8300,6.959
69,2017-04-29,06:00:00,0,960.9000,6.959
70,2017-04-29,06:15:00,0,961.3840,6.959
71,2017-04-29,06:30:00,0,961.8710,6.959
72,2017-04-29,06:45:00,0,962.2020,6.959
73,2017-04-29,07:00:00,0,962.3890,6.959
74,2017-04-29,07:15:00,0,960.6390,6.958
75,2017-04-29,07:30:00,0,959.0521,6.958
76,2017-04-29,07:45:00,0,957.4510,6.956
77,2017-04-29,08:00:00,0,957.7410,6.955
78,2017-04-29,08:15:00,0,958.5601,6.956
79,2017-04-29,08:30:00,0,958.0551,6.956
80,2017-04-29,08:45:00,0,956.3920,6.956
81,2017-04-29,09:00:00,0,955.0040,6.956
82,2017-04-29,09:15:00,0,955.2941,6.956
83,2017-04-29,09:30:00,0,956.7661,6.957
84,2017-04-29,09:45:00,0,956.2640,6.957
85,2017-04-29,10:00:00,0,955.1520,6.957
86,2017-04-29,10:15:00,0,954.2490,6.956
87,2017-04-29,10:30:00,0,953.5630,6.956
88,2017-04-29,10:45:00,0,954.9061,6.957
89,2017-04-29,11:00:00,0,954.7960,6.958
90,2017-04-29,11:15:00,0,953.4561,6.957
91,2017-04-29,11:30:00,0,952.3760,6.957
92,2017-04-29,11:45:00,0,951.4540,6.956
93,2017-04-29,12:00:00,0,952.7540,6.957
94,2017-04-29,12:15:00,0,953.3950,6.958
95,2017-04-29,12:30:00,0,951.9741,6.958
96,2017-04-29,12:45:00,0,950.9830,6.957
97,2017-04-29,13:00:00,0,950.1851,6.957
98,2017-04-29,13:15:00,0,951.2830,6.957
99,2017-04-29,13:30:00,0,952.1201,6.957
100,2017-04-29,13:45:00,0,951.1110,6.957
101,2017-04-29,14:00:00,0,949.9280,6.957
102,2017-04-29,14:15:00,0,949.2861,6.957
103,2017-04-29,14:30:00,0,950.3420,6.957
104,2017-04-29,14:45:00,0,951.7191,6.958
105,2017-04-29,15:00:00,0,951.0231,6.957
106,2017-04-29,15:15:00,0,949.9901,6.957
107,2017-04-29,15:30:00,0,949.1880,6.957
108,2017-04-29,15:45:00,0,949.8080,6.957
109,2017-04-29,16:00:00,0,951.4000,6.958
110,2017-04-29,16:15:00,0,950.7610,6.958
111,2017-04-29,16:30:00,0,950.1910,6.956
112,2017-04-29,16:45:00,0,949.7410,6.957
113,2017-04-29,17:00:00,0,949.7180,6.956
114,2017-04-29,17:15:00,0,949.3851,6.956
115,2017-04-29,17:30:00,0,949.3251,6.956
116,2017-04-29,17:45:00,0,949.5250,6.957
117,2017-04-29,18:00:00,0,949.8470,6.956
118,2017-04-29,18:15:00,0,950.1671,6.957
119,2017-04-29,18:30:00,0,950.5930,6.956
120,2017-04-29,18:45:00,0,950.9570,6.957
121,2017-04-29,19:00:00,0,951.3831,6.957
122,2017-04-29,19:15:00,0,951.8340,6.957
123,2017-04-29,19:30:00,0,951.8690,6.958
124,2017-04-29,19:45:00,0,951.6600,6.957
125,2017-04-29,20:00:00,0,952.1821,6.957
126,2017-04-29,20:15:00,0,952.6431,6.957
127,2017-04-29,20:30:00,0,953.0001,6.957
128,2017-04-29,20:45:00,0,953.1301,6.957
129,2017-04-29,21:00:00,0,953.5950,6.957
130,2017-04-29,21:15:00,0,954.6600,6.957
131,2017-04-29,21:30:00,0,956.8690,6.958
132,2017-04-29,21:45:00,0,956.9041,6.958
133,2017-04-29,22:00:00,0,956.4171,6.957
134,2017-04-29,22:15:00,0,955.8701,6.957
135,2017-04-29,22:30:00,0,956.1190,6.957
