Serial Number
	1021762
Project ID
	02300001
Location
	Saint-Charles
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		74        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-17,13:00:00,0,549.3920,9.286
2,2016-11-17,13:15:00,0,549.4060,9.288
3,2016-11-17,13:30:00,0,549.4821,9.287
4,2016-11-17,13:45:00,0,549.6021,9.287
5,2016-11-17,14:00:00,0,549.6730,9.282
6,2016-11-17,14:15:00,0,549.8860,9.287
7,2016-11-17,14:30:00,0,550.0120,9.287
8,2016-11-17,14:45:00,0,550.3000,9.284
9,2016-11-17,15:00:00,0,550.6100,9.287
10,2016-11-17,15:15:00,0,550.6600,9.286
11,2016-11-17,15:30:00,0,550.8760,9.286
12,2016-11-17,15:45:00,0,551.0970,9.285
13,2016-11-17,16:00:00,0,551.2000,9.283
14,2016-11-17,16:15:00,0,551.4670,9.281
15,2016-11-17,16:30:00,0,551.7730,9.281
16,2016-11-17,16:45:00,0,551.8290,9.282
17,2016-11-17,17:00:00,0,552.0300,9.279
18,2016-11-17,17:15:00,0,552.0930,9.283
19,2016-11-17,17:30:00,0,552.0811,9.283
20,2016-11-17,17:45:00,0,552.2960,9.282
21,2016-11-17,18:00:00,0,552.5820,9.284
22,2016-11-17,18:15:00,0,552.6830,9.285
23,2016-11-17,18:30:00,0,553.0480,9.283
24,2016-11-17,18:45:00,0,553.2230,9.282
25,2016-11-17,19:00:00,0,553.5190,9.281
26,2016-11-17,19:15:00,0,553.7160,9.279
27,2016-11-17,19:30:00,0,553.9130,9.276
28,2016-11-17,19:45:00,0,553.7791,9.278
29,2016-11-17,20:00:00,0,554.1160,9.280
30,2016-11-17,20:15:00,0,554.4930,9.279
31,2016-11-17,20:30:00,0,554.4821,9.280
32,2016-11-17,20:45:00,0,554.6400,9.278
33,2016-11-17,21:00:00,0,554.7710,9.281
34,2016-11-17,21:15:00,0,554.7921,9.280
35,2016-11-17,21:30:00,0,555.0280,9.280
36,2016-11-17,21:45:00,0,554.9490,9.275
37,2016-11-17,22:00:00,0,554.7661,9.277
38,2016-11-17,22:15:00,0,554.6610,9.279
39,2016-11-17,22:30:00,0,554.6270,9.279
40,2016-11-17,22:45:00,0,555.0090,9.279
41,2016-11-17,23:00:00,0,555.0600,9.275
42,2016-11-17,23:15:00,0,555.0850,9.279
43,2016-11-17,23:30:00,0,555.2061,9.280
44,2016-11-17,23:45:00,0,555.1411,9.278
45,2016-11-18,00:00:00,0,555.2860,9.278
46,2016-11-18,00:15:00,0,555.4171,9.277
47,2016-11-18,00:30:00,0,555.5270,9.276
48,2016-11-18,00:45:00,0,555.4850,9.277
49,2016-11-18,01:00:00,0,555.6690,9.273
50,2016-11-18,01:15:00,0,555.7280,9.276
51,2016-11-18,01:30:00,0,555.7690,9.275
52,2016-11-18,01:45:00,0,555.6620,9.273
53,2016-11-18,02:00:00,0,555.6801,9.275
54,2016-11-18,02:15:00,0,555.8391,9.274
55,2016-11-18,02:30:00,0,555.8280,9.272
56,2016-11-18,02:45:00,0,556.0530,9.274
57,2016-11-18,03:00:00,0,556.1690,9.271
58,2016-11-18,03:15:00,0,556.1470,9.274
59,2016-11-18,03:30:00,0,556.1780,9.274
60,2016-11-18,03:45:00,0,556.3500,9.273
61,2016-11-18,04:00:00,0,556.4980,9.273
62,2016-11-18,04:15:00,0,556.5660,9.274
63,2016-11-18,04:30:00,0,556.6510,9.272
64,2016-11-18,04:45:00,0,556.8170,9.270
65,2016-11-18,05:00:00,0,556.6790,9.270
66,2016-11-18,05:15:00,0,556.8181,9.271
67,2016-11-18,05:30:00,0,556.9010,9.271
68,2016-11-18,05:45:00,0,557.0590,9.270
69,2016-11-18,06:00:00,0,557.2500,9.271
70,2016-11-18,06:15:00,0,557.3010,9.271
71,2016-11-18,06:30:00,0,557.2661,9.269
72,2016-11-18,06:45:00,0,557.2420,9.270
73,2016-11-18,07:00:00,0,557.5010,9.270
74,2016-11-18,07:15:00,0,557.5630,9.269
75,2016-11-18,07:30:00,0,557.6140,9.268
76,2016-11-18,07:45:00,0,557.6370,9.267
77,2016-11-18,08:00:00,0,557.7390,9.267
78,2016-11-18,08:15:00,0,557.7900,9.268
79,2016-11-18,08:30:00,0,557.7220,9.268
80,2016-11-18,08:45:00,0,557.7670,9.268
81,2016-11-18,09:00:00,0,557.7610,9.264
82,2016-11-18,09:15:00,0,557.9070,9.268
83,2016-11-18,09:30:00,0,558.1090,9.267
84,2016-11-18,09:45:00,0,558.0350,9.266
85,2016-11-18,10:00:00,0,558.1770,9.267
86,2016-11-18,10:15:00,0,558.0630,9.261
87,2016-11-18,10:30:00,0,557.6600,9.265
88,2016-11-18,10:45:00,0,557.7840,9.261
89,2016-11-18,11:00:00,0,557.2630,9.260
90,2016-11-18,11:15:00,0,556.9750,9.264
91,2016-11-18,11:30:00,0,556.7271,9.262
92,2016-11-18,11:45:00,0,556.8181,9.261
93,2016-11-18,12:00:00,0,556.7791,9.263
94,2016-11-18,12:15:00,0,556.6680,9.260
95,2016-11-18,12:30:00,0,556.6270,9.263
96,2016-11-18,12:45:00,0,556.6840,9.261
97,2016-11-18,13:00:00,0,556.7200,9.261
98,2016-11-18,13:15:00,0,556.5170,9.260
99,2016-11-18,13:30:00,0,556.3350,9.260
100,2016-11-18,13:45:00,0,556.4710,9.255
101,2016-11-18,14:00:00,0,556.3290,9.258
102,2016-11-18,14:15:00,0,556.4220,9.259
103,2016-11-18,14:30:00,0,556.0941,9.259
104,2016-11-18,14:45:00,0,555.8930,9.257
105,2016-11-18,15:00:00,0,556.1640,9.257
106,2016-11-18,15:15:00,0,556.4561,9.257
107,2016-11-18,15:30:00,0,556.4890,9.254
108,2016-11-18,15:45:00,0,556.4390,9.259
109,2016-11-18,16:00:00,0,556.3540,9.253
110,2016-11-18,16:15:00,0,556.2440,9.255
111,2016-11-18,16:30:00,0,556.3160,9.254
112,2016-11-18,16:45:00,0,556.4450,9.258
113,2016-11-18,17:00:00,0,556.2820,9.257
114,2016-11-18,17:15:00,0,556.2340,9.257
115,2016-11-18,17:30:00,0,556.0450,9.252
116,2016-11-18,17:45:00,0,556.1380,9.255
117,2016-11-18,18:00:00,0,556.2380,9.255
118,2016-11-18,18:15:00,0,556.1130,9.252
119,2016-11-18,18:30:00,0,556.0891,9.253
120,2016-11-18,18:45:00,0,556.0470,9.251
121,2016-11-18,19:00:00,0,556.1550,9.251
122,2016-11-18,19:15:00,0,556.1320,9.251
123,2016-11-18,19:30:00,0,556.0811,9.250
124,2016-11-18,19:45:00,0,556.1320,9.255
125,2016-11-18,20:00:00,0,556.0620,9.248
126,2016-11-18,20:15:00,0,556.0990,9.254
127,2016-11-18,20:30:00,0,556.0510,9.252
128,2016-11-18,20:45:00,0,555.9630,9.248
129,2016-11-18,21:00:00,0,555.8640,9.253
130,2016-11-18,21:15:00,0,555.7180,9.252
131,2016-11-18,21:30:00,0,555.6840,9.251
132,2016-11-18,21:45:00,0,555.7921,9.252
133,2016-11-18,22:00:00,0,555.7540,9.248
134,2016-11-18,22:15:00,0,555.8020,9.248
135,2016-11-18,22:30:00,0,555.7070,9.249
136,2016-11-18,22:45:00,0,555.5340,9.247
137,2016-11-18,23:00:00,0,555.4750,9.245
138,2016-11-18,23:15:00,0,555.4790,9.245
139,2016-11-18,23:30:00,0,555.3970,9.248
140,2016-11-18,23:45:00,0,555.3340,9.244
141,2016-11-19,00:00:00,0,555.2070,9.248
142,2016-11-19,00:15:00,0,555.0020,9.246
143,2016-11-19,00:30:00,0,554.8600,9.246
144,2016-11-19,00:45:00,0,554.6071,9.246
145,2016-11-19,01:00:00,0,554.4570,9.244
146,2016-11-19,01:15:00,0,554.4951,9.247
147,2016-11-19,01:30:00,0,554.4301,9.247
148,2016-11-19,01:45:00,0,554.5161,9.246
149,2016-11-19,02:00:00,0,554.6090,9.246
150,2016-11-19,02:15:00,0,554.6100,9.246
151,2016-11-19,02:30:00,0,554.6580,9.245
152,2016-11-19,02:45:00,0,554.5390,9.242
153,2016-11-19,03:00:00,0,554.3510,9.245
154,2016-11-19,03:15:00,0,554.0580,9.242
155,2016-11-19,03:30:00,0,554.0400,9.242
156,2016-11-19,03:45:00,0,553.8521,9.242
157,2016-11-19,04:00:00,0,553.8290,9.245
158,2016-11-19,04:15:00,0,553.6700,9.241
159,2016-11-19,04:30:00,0,553.6180,9.244
160,2016-11-19,04:45:00,0,553.6450,9.245
161,2016-11-19,05:00:00,0,553.5580,9.243
162,2016-11-19,05:15:00,0,553.5150,9.240
163,2016-11-19,05:30:00,0,553.4630,9.238
164,2016-11-19,05:45:00,0,553.6500,9.243
165,2016-11-19,06:00:00,0,553.5110,9.241
166,2016-11-19,06:15:00,0,553.4041,9.239
167,2016-11-19,06:30:00,0,553.3651,9.243
168,2016-11-19,06:45:00,0,553.1460,9.237
169,2016-11-19,07:00:00,0,553.2191,9.241
170,2016-11-19,07:15:00,0,553.1220,9.241
171,2016-11-19,07:30:00,0,553.0670,9.240
172,2016-11-19,07:45:00,0,552.9400,9.240
173,2016-11-19,08:00:00,0,552.9180,9.239
174,2016-11-19,08:15:00,0,552.8490,9.239
175,2016-11-19,08:30:00,0,552.6890,9.234
176,2016-11-19,08:45:00,0,552.5900,9.239
177,2016-11-19,09:00:00,0,552.5320,9.235
178,2016-11-19,09:15:00,0,552.4260,9.238
179,2016-11-19,09:30:00,0,552.2620,9.233
180,2016-11-19,09:45:00,0,552.0551,9.236
181,2016-11-19,10:00:00,0,551.9150,9.237
182,2016-11-19,10:15:00,0,551.6180,9.237
183,2016-11-19,10:30:00,0,551.5440,9.237
184,2016-11-19,10:45:00,0,551.0430,9.234
185,2016-11-19,11:00:00,0,550.5990,9.236
186,2016-11-19,11:15:00,0,550.2390,9.231
187,2016-11-19,11:30:00,0,549.9691,9.232
188,2016-11-19,11:45:00,0,549.5860,9.233
189,2016-11-19,12:00:00,0,549.2040,9.230
190,2016-11-19,12:15:00,0,549.0170,9.230
191,2016-11-19,12:30:00,0,548.4550,9.234
192,2016-11-19,12:45:00,0,548.2260,9.233
193,2016-11-19,13:00:00,0,547.9680,9.228
194,2016-11-19,13:15:00,0,547.8820,9.232
195,2016-11-19,13:30:00,0,547.6010,9.228
196,2016-11-19,13:45:00,0,547.3680,9.228
197,2016-11-19,14:00:00,0,547.1180,9.232
198,2016-11-19,14:15:00,0,546.7531,9.231
199,2016-11-19,14:30:00,0,546.6500,9.233
200,2016-11-19,14:45:00,0,546.5660,9.227
201,2016-11-19,15:00:00,0,546.4470,9.228
202,2016-11-19,15:15:00,0,546.1460,9.230
203,2016-11-19,15:30:00,0,546.1080,9.230
204,2016-11-19,15:45:00,0,545.9120,9.229
205,2016-11-19,16:00:00,0,545.9220,9.228
206,2016-11-19,16:15:00,0,545.8140,9.227
207,2016-11-19,16:30:00,0,545.7080,9.227
208,2016-11-19,16:45:00,0,545.6060,9.226
209,2016-11-19,17:00:00,0,545.5020,9.228
210,2016-11-19,17:15:00,0,545.2130,9.224
211,2016-11-19,17:30:00,0,545.2580,9.223
212,2016-11-19,17:45:00,0,544.9150,9.223
213,2016-11-19,18:00:00,0,544.8710,9.223
214,2016-11-19,18:15:00,0,544.7780,9.227
215,2016-11-19,18:30:00,0,544.6720,9.222
216,2016-11-19,18:45:00,0,544.5421,9.226
217,2016-11-19,19:00:00,0,544.1240,9.225
218,2016-11-19,19:15:00,0,543.6330,9.221
219,2016-11-19,19:30:00,0,543.4850,9.226
220,2016-11-19,19:45:00,0,543.4090,9.222
221,2016-11-19,20:00:00,0,543.4610,9.221
222,2016-11-19,20:15:00,0,542.8140,9.219
223,2016-11-19,20:30:00,0,542.6151,9.222
224,2016-11-19,20:45:00,0,542.3701,9.218
225,2016-11-19,21:00:00,0,542.4100,9.219
226,2016-11-19,21:15:00,0,541.8070,9.222
227,2016-11-19,21:30:00,0,541.4450,9.217
228,2016-11-19,21:45:00,0,541.4090,9.220
229,2016-11-19,22:00:00,0,540.9960,9.221
230,2016-11-19,22:15:00,0,540.5930,9.221
231,2016-11-19,22:30:00,0,540.3550,9.218
232,2016-11-19,22:45:00,0,540.1730,9.218
233,2016-11-19,23:00:00,0,539.8311,9.216
234,2016-11-19,23:15:00,0,539.2840,9.215
235,2016-11-19,23:30:00,0,538.9400,9.219
236,2016-11-19,23:45:00,0,538.6010,9.219
237,2016-11-20,00:00:00,0,538.0880,9.217
238,2016-11-20,00:15:00,0,537.9110,9.215
239,2016-11-20,00:30:00,0,537.4760,9.217
240,2016-11-20,00:45:00,0,537.4710,9.214
241,2016-11-20,01:00:00,0,537.1270,9.217
242,2016-11-20,01:15:00,0,536.7540,9.216
243,2016-11-20,01:30:00,0,536.6260,9.215
244,2016-11-20,01:45:00,0,536.4171,9.213
245,2016-11-20,02:00:00,0,536.3450,9.215
246,2016-11-20,02:15:00,0,536.0410,9.212
247,2016-11-20,02:30:00,0,535.8620,9.212
248,2016-11-20,02:45:00,0,535.6590,9.211
249,2016-11-20,03:00:00,0,535.3470,9.212
250,2016-11-20,03:15:00,0,535.1090,9.213
251,2016-11-20,03:30:00,0,534.9400,9.211
252,2016-11-20,03:45:00,0,534.9660,9.213
253,2016-11-20,04:00:00,0,534.6870,9.209
254,2016-11-20,04:15:00,0,534.5350,9.214
255,2016-11-20,04:30:00,0,534.3160,9.213
256,2016-11-20,04:45:00,0,534.0850,9.209
257,2016-11-20,05:00:00,0,533.9670,9.211
258,2016-11-20,05:15:00,0,533.8000,9.209
259,2016-11-20,05:30:00,0,533.2150,9.213
260,2016-11-20,05:45:00,0,532.7791,9.212
261,2016-11-20,06:00:00,0,532.7010,9.207
262,2016-11-20,06:15:00,0,532.4410,9.206
263,2016-11-20,06:30:00,0,532.4901,9.211
264,2016-11-20,06:45:00,0,532.2210,9.209
265,2016-11-20,07:00:00,0,532.0390,9.210
266,2016-11-20,07:15:00,0,531.7630,9.205
267,2016-11-20,07:30:00,0,531.6300,9.207
268,2016-11-20,07:45:00,0,531.5340,9.204
269,2016-11-20,08:00:00,0,531.5870,9.207
270,2016-11-20,08:15:00,0,531.4041,9.204
