Serial Number
	1032358
Project ID
	02340002
Location
	Saint-Martin
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		307       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-18,19:00:00,0,626.8170,7.821
2,2016-11-18,19:15:00,0,624.5170,7.820
3,2016-11-18,19:30:00,0,624.3750,7.817
4,2016-11-18,19:45:00,0,625.2500,7.814
5,2016-11-18,20:00:00,0,627.1860,7.809
6,2016-11-18,20:15:00,0,629.7860,7.805
7,2016-11-18,20:30:00,0,632.5060,7.800
8,2016-11-18,20:45:00,0,635.3640,7.796
9,2016-11-18,21:00:00,0,637.8320,7.794
10,2016-11-18,21:15:00,0,640.3491,7.791
11,2016-11-18,21:30:00,0,642.9940,7.789
12,2016-11-18,21:45:00,0,645.6260,7.786
13,2016-11-18,22:00:00,0,648.3170,7.782
14,2016-11-18,22:15:00,0,650.6830,7.781
15,2016-11-18,22:30:00,0,652.2520,7.781
16,2016-11-18,22:45:00,0,653.8290,7.781
17,2016-11-18,23:00:00,0,655.6550,7.779
18,2016-11-18,23:15:00,0,657.5941,7.777
19,2016-11-18,23:30:00,0,659.4280,7.774
20,2016-11-18,23:45:00,0,661.1290,7.772
21,2016-11-19,00:00:00,0,662.9720,7.770
22,2016-11-19,00:15:00,0,664.6550,7.769
23,2016-11-19,00:30:00,0,666.1541,7.768
24,2016-11-19,00:45:00,0,667.7590,7.769
25,2016-11-19,01:00:00,0,669.1830,7.769
26,2016-11-19,01:15:00,0,670.5840,7.768
27,2016-11-19,01:30:00,0,671.9290,7.768
28,2016-11-19,01:45:00,0,673.2061,7.768
29,2016-11-19,02:00:00,0,674.3970,7.768
30,2016-11-19,02:15:00,0,675.6520,7.767
31,2016-11-19,02:30:00,0,676.8751,7.766
32,2016-11-19,02:45:00,0,677.9550,7.767
33,2016-11-19,03:00:00,0,679.1220,7.766
34,2016-11-19,03:15:00,0,680.1360,7.767
35,2016-11-19,03:30:00,0,681.0380,7.767
36,2016-11-19,03:45:00,0,682.0280,7.767
37,2016-11-19,04:00:00,0,683.0471,7.766
38,2016-11-19,04:15:00,0,683.9700,7.766
39,2016-11-19,04:30:00,0,684.8881,7.767
40,2016-11-19,04:45:00,0,685.8610,7.766
41,2016-11-19,05:00:00,0,686.8140,7.764
42,2016-11-19,05:15:00,0,687.6461,7.765
43,2016-11-19,05:30:00,0,688.6160,7.765
44,2016-11-19,05:45:00,0,689.4810,7.765
45,2016-11-19,06:00:00,0,690.4000,7.766
46,2016-11-19,06:15:00,0,691.2210,7.766
47,2016-11-19,06:30:00,0,692.0140,7.767
48,2016-11-19,06:45:00,0,692.7330,7.767
49,2016-11-19,07:00:00,0,693.6080,7.767
50,2016-11-19,07:15:00,0,694.2850,7.767
51,2016-11-19,07:30:00,0,694.6630,7.768
52,2016-11-19,07:45:00,0,692.9670,7.769
53,2016-11-19,08:00:00,0,691.4500,7.771
54,2016-11-19,08:15:00,0,688.3710,7.775
55,2016-11-19,08:30:00,0,685.2150,7.777
56,2016-11-19,08:45:00,0,677.5211,7.783
57,2016-11-19,09:00:00,0,667.1000,7.791
58,2016-11-19,09:15:00,0,660.2590,7.797
59,2016-11-19,09:30:00,0,656.3550,7.801
60,2016-11-19,09:45:00,0,654.4630,7.801
61,2016-11-19,10:00:00,0,653.9940,7.798
62,2016-11-19,10:15:00,0,654.8270,7.796
63,2016-11-19,10:30:00,0,656.2690,7.793
64,2016-11-19,10:45:00,0,658.0410,7.790
65,2016-11-19,11:00:00,0,660.0750,7.786
66,2016-11-19,11:15:00,0,662.0490,7.783
67,2016-11-19,11:30:00,0,664.0440,7.781
68,2016-11-19,11:45:00,0,665.9600,7.778
69,2016-11-19,12:00:00,0,667.9030,7.775
70,2016-11-19,12:15:00,0,669.7800,7.774
71,2016-11-19,12:30:00,0,671.5250,7.774
72,2016-11-19,12:45:00,0,673.2200,7.772
73,2016-11-19,13:00:00,0,674.7330,7.771
74,2016-11-19,13:15:00,0,676.2921,7.771
75,2016-11-19,13:30:00,0,677.7480,7.770
76,2016-11-19,13:45:00,0,679.0421,7.769
77,2016-11-19,14:00:00,0,679.5140,7.769
78,2016-11-19,14:15:00,0,679.6511,7.769
79,2016-11-19,14:30:00,0,678.6390,7.771
80,2016-11-19,14:45:00,0,677.5380,7.773
81,2016-11-19,15:00:00,0,677.0480,7.775
82,2016-11-19,15:15:00,0,677.2371,7.776
83,2016-11-19,15:30:00,0,677.6920,7.774
84,2016-11-19,15:45:00,0,678.3510,7.772
85,2016-11-19,16:00:00,0,678.7250,7.771
86,2016-11-19,16:15:00,0,679.1760,7.771
87,2016-11-19,16:30:00,0,679.8060,7.771
88,2016-11-19,16:45:00,0,680.5530,7.772
89,2016-11-19,17:00:00,0,680.4490,7.773
90,2016-11-19,17:15:00,0,679.2080,7.774
91,2016-11-19,17:30:00,0,678.6620,7.775
92,2016-11-19,17:45:00,0,677.2080,7.776
93,2016-11-19,18:00:00,0,676.5350,7.777
94,2016-11-19,18:15:00,0,675.9050,7.777
95,2016-11-19,18:30:00,0,674.4150,7.778
96,2016-11-19,18:45:00,0,673.7250,7.779
97,2016-11-19,19:00:00,0,673.8781,7.779
98,2016-11-19,19:15:00,0,674.3630,7.777
99,2016-11-19,19:30:00,0,668.7280,7.780
100,2016-11-19,19:45:00,0,654.0430,7.793
101,2016-11-19,20:00:00,0,642.1100,7.805
102,2016-11-19,20:15:00,0,634.3391,7.812
103,2016-11-19,20:30:00,0,630.2300,7.814
104,2016-11-19,20:45:00,0,627.6710,7.814
105,2016-11-19,21:00:00,0,627.1050,7.814
106,2016-11-19,21:15:00,0,627.8980,7.810
107,2016-11-19,21:30:00,0,629.6350,7.806
108,2016-11-19,21:45:00,0,632.2070,7.802
109,2016-11-19,22:00:00,0,633.9520,7.799
110,2016-11-19,22:15:00,0,636.1071,7.796
111,2016-11-19,22:30:00,0,638.5861,7.793
112,2016-11-19,22:45:00,0,640.9020,7.790
113,2016-11-19,23:00:00,0,643.2220,7.788
114,2016-11-19,23:15:00,0,645.6110,7.783
115,2016-11-19,23:30:00,0,647.9140,7.782
116,2016-11-19,23:45:00,0,650.1251,7.779
117,2016-11-20,00:00:00,0,652.3350,7.775
118,2016-11-20,00:15:00,0,654.4680,7.776
119,2016-11-20,00:30:00,0,656.5471,7.777
120,2016-11-20,00:45:00,0,658.5310,7.776
121,2016-11-20,01:00:00,0,660.4301,7.771
122,2016-11-20,01:15:00,0,662.2640,7.772
123,2016-11-20,01:30:00,0,663.9830,7.771
124,2016-11-20,01:45:00,0,665.6400,7.770
125,2016-11-20,02:00:00,0,667.1851,7.770
126,2016-11-20,02:15:00,0,668.6251,7.770
127,2016-11-20,02:30:00,0,670.0480,7.771
128,2016-11-20,02:45:00,0,671.3701,7.771
129,2016-11-20,03:00:00,0,672.6360,7.770
130,2016-11-20,03:15:00,0,673.9230,7.770
131,2016-11-20,03:30:00,0,675.1940,7.769
132,2016-11-20,03:45:00,0,676.3361,7.770
