Serial Number
	1032358
Project ID
	02340002
Location
	Saint-Martin
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		307       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-04-25,14:00:00,0,736.2170,7.779
2,2017-04-25,14:15:00,0,737.0131,7.741
3,2017-04-25,14:30:00,0,737.9741,7.737
4,2017-04-25,14:45:00,0,738.8970,7.733
5,2017-04-25,15:00:00,0,739.8810,7.724
6,2017-04-25,15:15:00,0,740.4110,7.723
7,2017-04-25,15:30:00,0,740.0991,7.729
8,2017-04-25,15:45:00,0,739.6740,7.723
9,2017-04-25,16:00:00,0,739.3911,7.714
10,2017-04-25,16:15:00,0,739.6560,7.728
11,2017-04-25,16:30:00,0,739.8070,7.730
12,2017-04-25,16:45:00,0,739.2800,7.729
13,2017-04-25,17:00:00,0,738.7980,7.726
14,2017-04-25,17:15:00,0,738.9370,7.721
15,2017-04-25,17:30:00,0,739.4370,7.722
16,2017-04-25,17:45:00,0,739.6331,7.715
17,2017-04-25,18:00:00,0,740.1201,7.722
18,2017-04-25,18:15:00,0,740.2291,7.719
19,2017-04-25,18:30:00,0,738.6171,7.718
20,2017-04-25,18:45:00,0,733.4260,7.721
21,2017-04-25,19:00:00,0,720.8320,7.720
22,2017-04-25,19:15:00,0,712.5891,7.712
23,2017-04-25,19:30:00,0,705.7520,7.712
24,2017-04-25,19:45:00,0,699.6680,7.716
25,2017-04-25,20:00:00,0,690.7360,7.713
26,2017-04-25,20:15:00,0,681.5440,7.713
27,2017-04-25,20:30:00,0,674.5740,7.718
28,2017-04-25,20:45:00,0,668.5610,7.712
29,2017-04-25,21:00:00,0,662.5660,7.713
30,2017-04-25,21:15:00,0,660.1400,7.715
31,2017-04-25,21:30:00,0,659.9790,7.707
32,2017-04-25,21:45:00,0,661.4771,7.710
33,2017-04-25,22:00:00,0,663.9700,7.712
34,2017-04-25,22:15:00,0,667.1260,7.704
35,2017-04-25,22:30:00,0,670.5910,7.720
36,2017-04-25,22:45:00,0,674.1830,7.708
37,2017-04-25,23:00:00,0,677.5850,7.713
38,2017-04-25,23:15:00,0,680.9150,7.720
39,2017-04-25,23:30:00,0,684.1331,7.719
40,2017-04-25,23:45:00,0,687.2891,7.727
41,2017-04-26,00:00:00,0,690.2321,7.720
42,2017-04-26,00:15:00,0,693.1400,7.718
43,2017-04-26,00:30:00,0,695.8510,7.720
44,2017-04-26,00:45:00,0,698.2631,7.725
45,2017-04-26,01:00:00,0,700.8000,7.720
46,2017-04-26,01:15:00,0,703.1370,7.719
47,2017-04-26,01:30:00,0,705.3560,7.715
48,2017-04-26,01:45:00,0,707.4641,7.716
49,2017-04-26,02:00:00,0,709.5081,7.716
50,2017-04-26,02:15:00,0,711.4030,7.722
51,2017-04-26,02:30:00,0,713.2720,7.721
52,2017-04-26,02:45:00,0,715.0870,7.726
53,2017-04-26,03:00:00,0,716.8850,7.725
54,2017-04-26,03:15:00,0,718.5001,7.730
55,2017-04-26,03:30:00,0,720.0710,7.724
56,2017-04-26,03:45:00,0,721.6960,7.731
57,2017-04-26,04:00:00,0,723.1580,7.711
58,2017-04-26,04:15:00,0,724.6201,7.718
59,2017-04-26,04:30:00,0,725.9280,7.722
60,2017-04-26,04:45:00,0,727.2531,7.721
61,2017-04-26,05:00:00,0,728.4390,7.719
62,2017-04-26,05:15:00,0,729.6830,7.716
63,2017-04-26,05:30:00,0,730.8370,7.724
64,2017-04-26,05:45:00,0,731.8240,7.725
65,2017-04-26,06:00:00,0,733.0150,7.731
66,2017-04-26,06:15:00,0,733.8380,7.719
67,2017-04-26,06:30:00,0,734.8070,7.724
68,2017-04-26,06:45:00,0,735.6160,7.721
69,2017-04-26,07:00:00,0,735.5920,7.731
70,2017-04-26,07:15:00,0,735.2020,7.728
71,2017-04-26,07:30:00,0,734.9920,7.728
72,2017-04-26,07:45:00,0,734.6641,7.725
73,2017-04-26,08:00:00,0,733.2141,7.728
74,2017-04-26,08:15:00,0,730.6700,7.731
75,2017-04-26,08:30:00,0,729.1390,7.728
76,2017-04-26,08:45:00,0,728.1790,7.711
77,2017-04-26,09:00:00,0,727.3720,7.717
78,2017-04-26,09:15:00,0,727.2761,7.724
79,2017-04-26,09:30:00,0,727.6071,7.727
80,2017-04-26,09:45:00,0,728.2420,7.717
81,2017-04-26,10:00:00,0,729.0070,7.716
82,2017-04-26,10:15:00,0,729.7620,7.712
83,2017-04-26,10:30:00,0,730.5651,7.714
84,2017-04-26,10:45:00,0,730.1960,7.722
85,2017-04-26,11:00:00,0,729.8441,7.721
86,2017-04-26,11:15:00,0,730.0100,7.723
87,2017-04-26,11:30:00,0,730.4510,7.722
88,2017-04-26,11:45:00,0,731.0840,7.719
89,2017-04-26,12:00:00,0,731.7540,7.729
90,2017-04-26,12:15:00,0,732.6130,7.727
91,2017-04-26,12:30:00,0,733.4901,7.718
92,2017-04-26,12:45:00,0,734.3391,7.719
93,2017-04-26,13:00:00,0,735.1630,7.717
94,2017-04-26,13:15:00,0,736.1010,7.716
95,2017-04-26,13:30:00,0,737.0490,7.714
96,2017-04-26,13:45:00,0,738.0460,7.720
97,2017-04-26,14:00:00,0,738.8990,7.716
98,2017-04-26,14:15:00,0,739.9380,7.721
99,2017-04-26,14:30:00,0,740.9280,7.724
100,2017-04-26,14:45:00,0,741.8210,7.719
101,2017-04-26,15:00:00,0,742.5800,7.719
102,2017-04-26,15:15:00,0,743.4580,7.720
103,2017-04-26,15:30:00,0,744.4910,7.722
104,2017-04-26,15:45:00,0,745.1570,7.717
105,2017-04-26,16:00:00,0,745.9670,7.727
106,2017-04-26,16:15:00,0,746.1151,7.718
107,2017-04-26,16:30:00,0,745.9561,7.724
108,2017-04-26,16:45:00,0,746.2430,7.720
109,2017-04-26,17:00:00,0,746.5131,7.728
110,2017-04-26,17:15:00,0,746.7870,7.720
111,2017-04-26,17:30:00,0,747.0400,7.716
112,2017-04-26,17:45:00,0,747.4280,7.725
113,2017-04-26,18:00:00,0,747.9171,7.716
114,2017-04-26,18:15:00,0,748.0440,7.705
115,2017-04-26,18:30:00,0,747.9000,7.718
116,2017-04-26,18:45:00,0,747.2111,7.718
117,2017-04-26,19:00:00,0,747.1151,7.716
118,2017-04-26,19:15:00,0,746.8140,7.729
119,2017-04-26,19:30:00,0,743.0770,7.710
120,2017-04-26,19:45:00,0,729.4380,7.716
121,2017-04-26,20:00:00,0,719.6750,7.718
122,2017-04-26,20:15:00,0,713.3600,7.706
123,2017-04-26,20:30:00,0,706.2371,7.712
124,2017-04-26,20:45:00,0,693.4351,7.700
125,2017-04-26,21:00:00,0,682.1470,7.706
126,2017-04-26,21:15:00,0,674.5460,7.701
127,2017-04-26,21:30:00,0,668.9680,7.706
128,2017-04-26,21:45:00,0,665.9641,7.692
129,2017-04-26,22:00:00,0,665.4420,7.709
130,2017-04-26,22:15:00,0,666.4810,7.693
131,2017-04-26,22:30:00,0,668.8051,7.700
132,2017-04-26,22:45:00,0,671.7910,7.701
133,2017-04-26,23:00:00,0,675.1281,7.705
134,2017-04-26,23:15:00,0,678.5350,7.715
135,2017-04-26,23:30:00,0,682.1121,7.721
136,2017-04-26,23:45:00,0,685.4210,7.709
137,2017-04-27,00:00:00,0,688.8040,7.708
138,2017-04-27,00:15:00,0,691.7980,7.711
139,2017-04-27,00:30:00,0,694.5870,7.710
140,2017-04-27,00:45:00,0,697.3701,7.712
141,2017-04-27,01:00:00,0,700.0190,7.712
142,2017-04-27,01:15:00,0,702.6771,7.713
143,2017-04-27,01:30:00,0,705.1300,7.713
144,2017-04-27,01:45:00,0,707.5090,7.719
145,2017-04-27,02:00:00,0,709.6870,7.717
146,2017-04-27,02:15:00,0,711.8720,7.711
147,2017-04-27,02:30:00,0,713.9840,7.721
148,2017-04-27,02:45:00,0,715.9470,7.707
149,2017-04-27,03:00:00,0,717.8220,7.720
150,2017-04-27,03:15:00,0,719.7440,7.720
151,2017-04-27,03:30:00,0,721.4481,7.717
152,2017-04-27,03:45:00,0,722.9370,7.705
153,2017-04-27,04:00:00,0,724.5750,7.725
154,2017-04-27,04:15:00,0,726.1511,7.721
155,2017-04-27,04:30:00,0,727.5421,7.715
156,2017-04-27,04:45:00,0,728.8800,7.722
157,2017-04-27,05:00:00,0,730.2390,7.721
158,2017-04-27,05:15:00,0,731.6580,7.716
159,2017-04-27,05:30:00,0,732.7430,7.717
160,2017-04-27,05:45:00,0,733.9760,7.716
161,2017-04-27,06:00:00,0,735.1360,7.716
162,2017-04-27,06:15:00,0,736.1851,7.713
163,2017-04-27,06:30:00,0,737.3320,7.726
164,2017-04-27,06:45:00,0,738.2711,7.728
165,2017-04-27,07:00:00,0,739.1500,7.721
166,2017-04-27,07:15:00,0,739.0620,7.708
167,2017-04-27,07:30:00,0,735.4821,7.716
168,2017-04-27,07:45:00,0,732.1470,7.711
169,2017-04-27,08:00:00,0,730.3900,7.712
170,2017-04-27,08:15:00,0,728.2401,7.725
171,2017-04-27,08:30:00,0,726.3340,7.707
172,2017-04-27,08:45:00,0,722.1201,7.715
173,2017-04-27,09:00:00,0,718.5460,7.713
174,2017-04-27,09:15:00,0,713.5891,7.717
175,2017-04-27,09:30:00,0,710.6010,7.709
176,2017-04-27,09:45:00,0,709.2250,7.718
177,2017-04-27,10:00:00,0,707.9580,7.713
178,2017-04-27,10:15:00,0,707.6970,7.697
179,2017-04-27,10:30:00,0,707.7930,7.709
180,2017-04-27,10:45:00,0,707.5350,7.714
181,2017-04-27,11:00:00,0,705.5200,7.702
182,2017-04-27,11:15:00,0,700.6381,7.710
183,2017-04-27,11:30:00,0,697.7550,7.705
184,2017-04-27,11:45:00,0,696.7820,7.716
185,2017-04-27,12:00:00,0,696.7761,7.709
186,2017-04-27,12:15:00,0,697.9290,7.717
187,2017-04-27,12:30:00,0,699.6290,7.700
188,2017-04-27,12:45:00,0,700.7340,7.703
189,2017-04-27,13:00:00,0,700.1660,7.706
190,2017-04-27,13:15:00,0,697.8781,7.703
191,2017-04-27,13:30:00,0,697.5880,7.710
192,2017-04-27,13:45:00,0,698.6390,7.707
193,2017-04-27,14:00:00,0,700.2390,7.708
194,2017-04-27,14:15:00,0,702.1920,7.712
195,2017-04-27,14:30:00,0,704.3260,7.714
196,2017-04-27,14:45:00,0,706.4951,7.719
197,2017-04-27,15:00:00,0,708.8040,7.713
198,2017-04-27,15:15:00,0,709.6240,7.712
199,2017-04-27,15:30:00,0,707.0920,7.719
200,2017-04-27,15:45:00,0,706.4720,7.722
201,2017-04-27,16:00:00,0,707.0200,7.706
202,2017-04-27,16:15:00,0,704.1201,7.709
203,2017-04-27,16:30:00,0,695.6040,7.700
204,2017-04-27,16:45:00,0,691.0811,7.710
205,2017-04-27,17:00:00,0,689.2460,7.706
206,2017-04-27,17:15:00,0,689.1470,7.715
207,2017-04-27,17:30:00,0,690.0731,7.709
208,2017-04-27,17:45:00,0,691.6910,7.711
209,2017-04-27,18:00:00,0,693.7510,7.710
210,2017-04-27,18:15:00,0,695.9490,7.713
211,2017-04-27,18:30:00,0,698.4150,7.712
212,2017-04-27,18:45:00,0,700.7921,7.708
213,2017-04-27,19:00:00,0,702.9990,7.705
214,2017-04-27,19:15:00,0,705.4290,7.724
215,2017-04-27,19:30:00,0,707.6550,7.718
216,2017-04-27,19:45:00,0,709.8500,7.723
217,2017-04-27,20:00:00,0,711.7590,7.719
218,2017-04-27,20:15:00,0,713.3600,7.709
219,2017-04-27,20:30:00,0,711.6901,7.717
220,2017-04-27,20:45:00,0,699.4500,7.712
221,2017-04-27,21:00:00,0,688.9550,7.696
222,2017-04-27,21:15:00,0,679.0710,7.710
223,2017-04-27,21:30:00,0,672.5590,7.710
224,2017-04-27,21:45:00,0,669.6350,7.699
225,2017-04-27,22:00:00,0,668.9641,7.711
226,2017-04-27,22:15:00,0,669.9750,7.702
227,2017-04-27,22:30:00,0,672.0300,7.702
228,2017-04-27,22:45:00,0,674.7250,7.701
229,2017-04-27,23:00:00,0,677.7300,7.699
230,2017-04-27,23:15:00,0,680.7960,7.708
231,2017-04-27,23:30:00,0,684.0471,7.711
232,2017-04-27,23:45:00,0,686.8950,7.700
233,2017-04-28,00:00:00,0,689.9120,7.707
234,2017-04-28,00:15:00,0,692.8370,7.715
235,2017-04-28,00:30:00,0,695.6750,7.717
236,2017-04-28,00:45:00,0,698.3730,7.719
237,2017-04-28,01:00:00,0,700.9830,7.711
238,2017-04-28,01:15:00,0,703.3500,7.720
