Serial Number
	1032637
Project ID
	02340003-BARO
Location
	Saint-Zacharie-BARO
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		452       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-04-25,12:00:00,0,94.3829,14.451
2,2017-04-25,12:15:00,0,94.1812,14.369
3,2017-04-25,12:30:00,0,94.0069,14.274
4,2017-04-25,12:45:00,0,93.7854,14.185
5,2017-04-25,13:00:00,0,93.9066,13.668
6,2017-04-25,13:15:00,0,93.7408,12.900
7,2017-04-25,13:30:00,0,93.3369,11.993
8,2017-04-25,13:45:00,0,93.2447,11.140
9,2017-04-25,14:00:00,0,93.2227,10.551
10,2017-04-25,14:15:00,0,92.9604,10.163
11,2017-04-25,14:30:00,0,92.8826,9.905
12,2017-04-25,14:45:00,0,92.8746,9.711
13,2017-04-25,15:00:00,0,92.9411,9.383
14,2017-04-25,15:15:00,0,92.7410,9.027
15,2017-04-25,15:30:00,0,92.4111,8.747
16,2017-04-25,15:45:00,0,92.3259,8.535
17,2017-04-25,16:00:00,0,92.2668,8.463
18,2017-04-25,16:15:00,0,91.9905,8.456
19,2017-04-25,16:30:00,0,91.8377,8.292
20,2017-04-25,16:45:00,0,91.8640,8.002
21,2017-04-25,17:00:00,0,91.8458,7.749
22,2017-04-25,17:15:00,0,91.7599,7.416
23,2017-04-25,17:30:00,0,91.5491,6.982
24,2017-04-25,17:45:00,0,91.4595,6.480
25,2017-04-25,18:00:00,0,91.3233,6.057
26,2017-04-25,18:15:00,0,91.3919,5.667
27,2017-04-25,18:30:00,0,91.3716,5.266
28,2017-04-25,18:45:00,0,91.2219,4.897
29,2017-04-25,19:00:00,0,90.9795,4.503
30,2017-04-25,19:15:00,0,90.8926,4.129
31,2017-04-25,19:30:00,0,90.5552,3.820
32,2017-04-25,19:45:00,0,90.2328,3.556
33,2017-04-25,20:00:00,0,90.1443,3.331
34,2017-04-25,20:15:00,0,90.0644,3.149
35,2017-04-25,20:30:00,0,90.0461,2.991
36,2017-04-25,20:45:00,0,89.8010,2.841
37,2017-04-25,21:00:00,0,89.7029,2.721
38,2017-04-25,21:15:00,0,89.6293,2.609
39,2017-04-25,21:30:00,0,89.5194,2.504
40,2017-04-25,21:45:00,0,89.2700,2.402
41,2017-04-25,22:00:00,0,89.1417,2.324
42,2017-04-25,22:15:00,0,89.0082,2.269
43,2017-04-25,22:30:00,0,88.8773,2.222
44,2017-04-25,22:45:00,0,88.6370,2.196
45,2017-04-25,23:00:00,0,88.3029,2.146
46,2017-04-25,23:15:00,0,88.0775,2.094
47,2017-04-25,23:30:00,0,88.0089,2.049
48,2017-04-25,23:45:00,0,87.8764,2.031
49,2017-04-26,00:00:00,0,87.9085,2.043
50,2017-04-26,00:15:00,0,87.8501,2.070
51,2017-04-26,00:30:00,0,87.6297,2.100
52,2017-04-26,00:45:00,0,87.5310,2.141
53,2017-04-26,01:00:00,0,87.3818,2.167
54,2017-04-26,01:15:00,0,87.2097,2.177
55,2017-04-26,01:30:00,0,86.9597,2.189
56,2017-04-26,01:45:00,0,86.7613,2.209
57,2017-04-26,02:00:00,0,86.5510,2.214
58,2017-04-26,02:15:00,0,86.2710,2.235
59,2017-04-26,02:30:00,0,86.1192,2.247
60,2017-04-26,02:45:00,0,85.7625,2.290
61,2017-04-26,03:00:00,0,85.4894,2.375
62,2017-04-26,03:15:00,0,85.2475,2.500
63,2017-04-26,03:30:00,0,85.1327,2.591
64,2017-04-26,03:45:00,0,84.9053,2.610
65,2017-04-26,04:00:00,0,84.8081,2.616
66,2017-04-26,04:15:00,0,84.6955,2.620
67,2017-04-26,04:30:00,0,84.6371,2.653
68,2017-04-26,04:45:00,0,84.5389,2.706
69,2017-04-26,05:00:00,0,84.4553,2.760
70,2017-04-26,05:15:00,0,84.3265,2.808
71,2017-04-26,05:30:00,0,84.2337,2.857
72,2017-04-26,05:45:00,0,84.2192,2.900
73,2017-04-26,06:00:00,0,84.1677,2.962
74,2017-04-26,06:15:00,0,84.1425,3.007
75,2017-04-26,06:30:00,0,83.9156,3.039
76,2017-04-26,06:45:00,0,84.0196,3.081
77,2017-04-26,07:00:00,0,84.1639,3.130
78,2017-04-26,07:15:00,0,84.0047,3.140
79,2017-04-26,07:30:00,0,84.0685,3.189
80,2017-04-26,07:45:00,0,84.1806,3.246
81,2017-04-26,08:00:00,0,84.1731,3.263
82,2017-04-26,08:15:00,0,84.1339,3.333
83,2017-04-26,08:30:00,0,83.8223,3.490
84,2017-04-26,08:45:00,0,83.5680,3.716
85,2017-04-26,09:00:00,0,83.5160,4.022
86,2017-04-26,09:15:00,0,83.4151,4.376
87,2017-04-26,09:30:00,0,83.4061,5.102
88,2017-04-26,09:45:00,0,83.5037,6.294
89,2017-04-26,10:00:00,0,83.6452,7.226
90,2017-04-26,10:15:00,0,83.7145,7.231
91,2017-04-26,10:30:00,0,83.5825,6.989
92,2017-04-26,10:45:00,0,83.4414,6.942
93,2017-04-26,11:00:00,0,83.2767,7.007
94,2017-04-26,11:15:00,0,83.1336,7.117
95,2017-04-26,11:30:00,0,83.0917,6.975
96,2017-04-26,11:45:00,0,83.1894,6.763
97,2017-04-26,12:00:00,0,82.9705,6.613
98,2017-04-26,12:15:00,0,82.8069,6.842
99,2017-04-26,12:30:00,0,82.7763,7.639
100,2017-04-26,12:45:00,0,82.8069,8.480
101,2017-04-26,13:00:00,0,82.5698,8.739
102,2017-04-26,13:15:00,0,82.4293,8.640
103,2017-04-26,13:30:00,0,82.3821,8.471
104,2017-04-26,13:45:00,0,82.3520,8.421
105,2017-04-26,14:00:00,0,82.1911,8.432
106,2017-04-26,14:15:00,0,82.2967,8.548
107,2017-04-26,14:30:00,0,82.3145,8.428
108,2017-04-26,14:45:00,0,82.0639,8.130
109,2017-04-26,15:00:00,0,81.9041,8.001
110,2017-04-26,15:15:00,0,81.7598,7.979
111,2017-04-26,15:30:00,0,81.8381,8.029
112,2017-04-26,15:45:00,0,81.6965,8.093
113,2017-04-26,16:00:00,0,81.3559,8.199
114,2017-04-26,16:15:00,0,81.1977,8.347
115,2017-04-26,16:30:00,0,81.1011,8.490
116,2017-04-26,16:45:00,0,81.1242,8.605
117,2017-04-26,17:00:00,0,80.9648,8.730
118,2017-04-26,17:15:00,0,80.8581,8.841
119,2017-04-26,17:30:00,0,80.7905,8.807
120,2017-04-26,17:45:00,0,80.6307,8.710
121,2017-04-26,18:00:00,0,80.7793,8.561
122,2017-04-26,18:15:00,0,80.6774,8.417
123,2017-04-26,18:30:00,0,80.4869,8.307
124,2017-04-26,18:45:00,0,80.4001,8.113
125,2017-04-26,19:00:00,0,80.1007,7.918
126,2017-04-26,19:15:00,0,80.1179,7.745
127,2017-04-26,19:30:00,0,80.2155,7.541
128,2017-04-26,19:45:00,0,80.2123,7.284
129,2017-04-26,20:00:00,0,80.1093,7.096
130,2017-04-26,20:15:00,0,80.1168,6.961
131,2017-04-26,20:30:00,0,80.2472,6.865
132,2017-04-26,20:45:00,0,80.3239,6.795
133,2017-04-26,21:00:00,0,80.1528,6.786
134,2017-04-26,21:15:00,0,79.9865,6.678
135,2017-04-26,21:30:00,0,80.3159,6.576
136,2017-04-26,21:45:00,0,80.6280,6.583
137,2017-04-26,22:00:00,0,80.8436,6.527
138,2017-04-26,22:15:00,0,80.7465,6.351
139,2017-04-26,22:30:00,0,80.7594,6.202
140,2017-04-26,22:45:00,0,80.6388,6.075
141,2017-04-26,23:00:00,0,80.4692,5.933
142,2017-04-26,23:15:00,0,80.3819,5.879
143,2017-04-26,23:30:00,0,80.3695,5.883
144,2017-04-26,23:45:00,0,80.5041,5.793
145,2017-04-27,00:00:00,0,80.5894,5.729
146,2017-04-27,00:15:00,0,80.6012,5.529
147,2017-04-27,00:30:00,0,80.3899,5.353
148,2017-04-27,00:45:00,0,80.1244,5.261
149,2017-04-27,01:00:00,0,79.9537,5.243
150,2017-04-27,01:15:00,0,79.9248,5.349
151,2017-04-27,01:30:00,0,79.9329,5.346
152,2017-04-27,01:45:00,0,79.7403,5.229
153,2017-04-27,02:00:00,0,79.6163,5.044
154,2017-04-27,02:15:00,0,79.5021,4.841
155,2017-04-27,02:30:00,0,79.4533,4.634
156,2017-04-27,02:45:00,0,79.5525,4.444
157,2017-04-27,03:00:00,0,79.5601,4.325
158,2017-04-27,03:15:00,0,79.5429,4.282
159,2017-04-27,03:30:00,0,79.6265,4.298
160,2017-04-27,03:45:00,0,79.7070,4.303
161,2017-04-27,04:00:00,0,79.6823,4.294
162,2017-04-27,04:15:00,0,79.7596,4.251
163,2017-04-27,04:30:00,0,79.9511,4.201
164,2017-04-27,04:45:00,0,79.9376,4.152
165,2017-04-27,05:00:00,0,79.7360,4.122
166,2017-04-27,05:15:00,0,80.0772,4.147
167,2017-04-27,05:30:00,0,80.0192,4.139
168,2017-04-27,05:45:00,0,80.0847,4.151
169,2017-04-27,06:00:00,0,79.9613,4.183
170,2017-04-27,06:15:00,0,80.1260,4.326
171,2017-04-27,06:30:00,0,80.3839,4.522
172,2017-04-27,06:45:00,0,80.6763,4.659
173,2017-04-27,07:00:00,0,80.7627,4.699
174,2017-04-27,07:15:00,0,80.9429,4.725
175,2017-04-27,07:30:00,0,80.8812,4.771
176,2017-04-27,07:45:00,0,80.9209,4.985
177,2017-04-27,08:00:00,0,80.8367,5.406
178,2017-04-27,08:15:00,0,80.9826,5.949
179,2017-04-27,08:30:00,0,81.2609,6.513
180,2017-04-27,08:45:00,0,81.2223,6.808
181,2017-04-27,09:00:00,0,81.2722,7.107
182,2017-04-27,09:15:00,0,81.3844,7.779
183,2017-04-27,09:30:00,0,81.3494,8.559
184,2017-04-27,09:45:00,0,81.4091,9.526
185,2017-04-27,10:00:00,0,81.6188,10.513
186,2017-04-27,10:15:00,0,81.6435,11.137
187,2017-04-27,10:30:00,0,81.4471,11.517
188,2017-04-27,10:45:00,0,81.4906,12.213
189,2017-04-27,11:00:00,0,81.4342,12.794
190,2017-04-27,11:15:00,0,81.3865,13.297
191,2017-04-27,11:30:00,0,81.3307,13.903
192,2017-04-27,11:45:00,0,81.1376,14.516
193,2017-04-27,12:00:00,0,81.2438,15.428
194,2017-04-27,12:15:00,0,81.3607,16.479
195,2017-04-27,12:30:00,0,81.3549,16.895
196,2017-04-27,12:45:00,0,81.2433,16.738
197,2017-04-27,13:00:00,0,81.1977,17.399
198,2017-04-27,13:15:00,0,81.2106,18.062
199,2017-04-27,13:30:00,0,81.0421,17.625
200,2017-04-27,13:45:00,0,80.7916,16.630
201,2017-04-27,14:00:00,0,80.7874,15.683
202,2017-04-27,14:15:00,0,80.5959,14.969
203,2017-04-27,14:30:00,0,80.7005,14.460
204,2017-04-27,14:45:00,0,80.6709,14.096
205,2017-04-27,15:00:00,0,80.7567,13.944
206,2017-04-27,15:15:00,0,80.8115,13.805
207,2017-04-27,15:30:00,0,80.5824,13.631
208,2017-04-27,15:45:00,0,80.5959,13.502
209,2017-04-27,16:00:00,0,80.4890,13.472
210,2017-04-27,16:15:00,0,80.3947,13.521
211,2017-04-27,16:30:00,0,80.2069,13.817
