Serial Number
	1040752
Project ID
	02270001
Location
	Tourville
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		296       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-17,13:00:00,0,531.1710,8.627
2,2016-11-17,13:15:00,0,531.2490,8.625
3,2016-11-17,13:30:00,0,531.2360,8.622
4,2016-11-17,13:45:00,0,531.3820,8.622
5,2016-11-17,14:00:00,0,531.4821,8.622
6,2016-11-17,14:15:00,0,531.6060,8.619
7,2016-11-17,14:30:00,0,531.7490,8.619
8,2016-11-17,14:45:00,0,531.9210,8.618
9,2016-11-17,15:00:00,0,531.9180,8.618
10,2016-11-17,15:15:00,0,532.0551,8.618
11,2016-11-17,15:30:00,0,532.1190,8.617
12,2016-11-17,15:45:00,0,532.2950,8.617
13,2016-11-17,16:00:00,0,532.5180,8.616
14,2016-11-17,16:15:00,0,532.6580,8.615
15,2016-11-17,16:30:00,0,532.8940,8.616
16,2016-11-17,16:45:00,0,532.9410,8.615
17,2016-11-17,17:00:00,0,533.1030,8.615
18,2016-11-17,17:15:00,0,533.2110,8.614
19,2016-11-17,17:30:00,0,533.3571,8.614
20,2016-11-17,17:45:00,0,533.4800,8.614
21,2016-11-17,18:00:00,0,533.7260,8.613
22,2016-11-17,18:15:00,0,533.8090,8.613
23,2016-11-17,18:30:00,0,533.9850,8.613
24,2016-11-17,18:45:00,0,533.9860,8.614
25,2016-11-17,19:00:00,0,534.1840,8.612
26,2016-11-17,19:15:00,0,534.4290,8.612
27,2016-11-17,19:30:00,0,534.5640,8.612
28,2016-11-17,19:45:00,0,534.7480,8.613
29,2016-11-17,20:00:00,0,534.7890,8.612
30,2016-11-17,20:15:00,0,535.0580,8.610
31,2016-11-17,20:30:00,0,534.9680,8.611
32,2016-11-17,20:45:00,0,535.2440,8.611
33,2016-11-17,21:00:00,0,535.4450,8.610
34,2016-11-17,21:15:00,0,535.5560,8.610
35,2016-11-17,21:30:00,0,535.4970,8.610
36,2016-11-17,21:45:00,0,535.5440,8.610
37,2016-11-17,22:00:00,0,535.5250,8.609
38,2016-11-17,22:15:00,0,535.6010,8.609
39,2016-11-17,22:30:00,0,535.7340,8.608
40,2016-11-17,22:45:00,0,535.8140,8.609
41,2016-11-17,23:00:00,0,536.0340,8.609
42,2016-11-17,23:15:00,0,535.7910,8.608
43,2016-11-17,23:30:00,0,535.6220,8.609
44,2016-11-17,23:45:00,0,535.7390,8.607
45,2016-11-18,00:00:00,0,535.9030,8.608
46,2016-11-18,00:15:00,0,535.9950,8.608
47,2016-11-18,00:30:00,0,535.9030,8.608
48,2016-11-18,00:45:00,0,536.1550,8.607
49,2016-11-18,01:00:00,0,536.0950,8.607
50,2016-11-18,01:15:00,0,536.3181,8.607
51,2016-11-18,01:30:00,0,536.4630,8.607
52,2016-11-18,01:45:00,0,536.3620,8.607
53,2016-11-18,02:00:00,0,536.3160,8.606
54,2016-11-18,02:15:00,0,536.2600,8.605
55,2016-11-18,02:30:00,0,536.5200,8.605
56,2016-11-18,02:45:00,0,536.6080,8.605
57,2016-11-18,03:00:00,0,536.5200,8.605
58,2016-11-18,03:15:00,0,536.5960,8.605
59,2016-11-18,03:30:00,0,536.7310,8.605
60,2016-11-18,03:45:00,0,536.7520,8.604
61,2016-11-18,04:00:00,0,536.8160,8.604
62,2016-11-18,04:15:00,0,536.8150,8.604
63,2016-11-18,04:30:00,0,536.9120,8.604
64,2016-11-18,04:45:00,0,537.1130,8.603
65,2016-11-18,05:00:00,0,537.0350,8.603
66,2016-11-18,05:15:00,0,537.0270,8.603
67,2016-11-18,05:30:00,0,537.0820,8.603
68,2016-11-18,05:45:00,0,537.0560,8.603
69,2016-11-18,06:00:00,0,537.1300,8.603
70,2016-11-18,06:15:00,0,537.2410,8.603
71,2016-11-18,06:30:00,0,537.4290,8.601
72,2016-11-18,06:45:00,0,537.5490,8.603
73,2016-11-18,07:00:00,0,537.5210,8.601
74,2016-11-18,07:15:00,0,537.7490,8.602
75,2016-11-18,07:30:00,0,537.6110,8.601
76,2016-11-18,07:45:00,0,537.7000,8.601
77,2016-11-18,08:00:00,0,537.6890,8.601
78,2016-11-18,08:15:00,0,537.6390,8.599
79,2016-11-18,08:30:00,0,537.6541,8.601
80,2016-11-18,08:45:00,0,537.8450,8.600
81,2016-11-18,09:00:00,0,537.6370,8.599
82,2016-11-18,09:15:00,0,537.8280,8.600
83,2016-11-18,09:30:00,0,537.9150,8.599
84,2016-11-18,09:45:00,0,538.0140,8.600
85,2016-11-18,10:00:00,0,537.7950,8.598
86,2016-11-18,10:15:00,0,537.6650,8.599
87,2016-11-18,10:30:00,0,537.6580,8.599
88,2016-11-18,10:45:00,0,537.5520,8.597
89,2016-11-18,11:00:00,0,537.4120,8.598
90,2016-11-18,11:15:00,0,537.4020,8.598
91,2016-11-18,11:30:00,0,537.3220,8.597
92,2016-11-18,11:45:00,0,536.9180,8.597
93,2016-11-18,12:00:00,0,536.8560,8.597
94,2016-11-18,12:15:00,0,536.6960,8.597
95,2016-11-18,12:30:00,0,536.5900,8.596
96,2016-11-18,12:45:00,0,536.8340,8.597
97,2016-11-18,13:00:00,0,536.6740,8.596
98,2016-11-18,13:15:00,0,536.5690,8.596
99,2016-11-18,13:30:00,0,536.4960,8.596
100,2016-11-18,13:45:00,0,536.2940,8.595
101,2016-11-18,14:00:00,0,536.2370,8.594
102,2016-11-18,14:15:00,0,536.1541,8.596
103,2016-11-18,14:30:00,0,536.1640,8.594
104,2016-11-18,14:45:00,0,536.2350,8.594
105,2016-11-18,15:00:00,0,536.1310,8.595
106,2016-11-18,15:15:00,0,536.1810,8.594
107,2016-11-18,15:30:00,0,536.1230,8.594
108,2016-11-18,15:45:00,0,536.0740,8.594
109,2016-11-18,16:00:00,0,536.1440,8.594
110,2016-11-18,16:15:00,0,536.3580,8.594
111,2016-11-18,16:30:00,0,536.2280,8.595
112,2016-11-18,16:45:00,0,536.2890,8.594
113,2016-11-18,17:00:00,0,536.5090,8.594
114,2016-11-18,17:15:00,0,536.5070,8.593
115,2016-11-18,17:30:00,0,536.3630,8.592
116,2016-11-18,17:45:00,0,536.4150,8.593
117,2016-11-18,18:00:00,0,536.5570,8.593
118,2016-11-18,18:15:00,0,536.4890,8.591
119,2016-11-18,18:30:00,0,536.3880,8.592
120,2016-11-18,18:45:00,0,536.4410,8.592
121,2016-11-18,19:00:00,0,536.4980,8.590
122,2016-11-18,19:15:00,0,536.5080,8.592
123,2016-11-18,19:30:00,0,536.4070,8.591
124,2016-11-18,19:45:00,0,536.4590,8.591
125,2016-11-18,20:00:00,0,536.4450,8.591
126,2016-11-18,20:15:00,0,536.3720,8.590
127,2016-11-18,20:30:00,0,536.3571,8.590
128,2016-11-18,20:45:00,0,536.4000,8.590
129,2016-11-18,21:00:00,0,536.2470,8.589
130,2016-11-18,21:15:00,0,536.1870,8.589
131,2016-11-18,21:30:00,0,536.1770,8.589
132,2016-11-18,21:45:00,0,536.1130,8.588
133,2016-11-18,22:00:00,0,536.0310,8.587
134,2016-11-18,22:15:00,0,536.0360,8.587
135,2016-11-18,22:30:00,0,535.9250,8.588
136,2016-11-18,22:45:00,0,535.7921,8.588
137,2016-11-18,23:00:00,0,535.8521,8.587
138,2016-11-18,23:15:00,0,535.8930,8.588
139,2016-11-18,23:30:00,0,535.8790,8.586
140,2016-11-18,23:45:00,0,535.8430,8.587
141,2016-11-19,00:00:00,0,535.6480,8.587
142,2016-11-19,00:15:00,0,535.6570,8.587
143,2016-11-19,00:30:00,0,535.6780,8.586
144,2016-11-19,00:45:00,0,535.5370,8.586
145,2016-11-19,01:00:00,0,535.4250,8.586
146,2016-11-19,01:15:00,0,535.3810,8.586
147,2016-11-19,01:30:00,0,535.1870,8.585
148,2016-11-19,01:45:00,0,535.1830,8.586
149,2016-11-19,02:00:00,0,535.1411,8.585
150,2016-11-19,02:15:00,0,535.0660,8.584
151,2016-11-19,02:30:00,0,535.0730,8.585
152,2016-11-19,02:45:00,0,535.1210,8.585
153,2016-11-19,03:00:00,0,535.0710,8.584
154,2016-11-19,03:15:00,0,534.9530,8.583
155,2016-11-19,03:30:00,0,534.9330,8.583
156,2016-11-19,03:45:00,0,534.8090,8.583
157,2016-11-19,04:00:00,0,534.7110,8.583
158,2016-11-19,04:15:00,0,534.5720,8.583
159,2016-11-19,04:30:00,0,534.5770,8.582
160,2016-11-19,04:45:00,0,534.4800,8.581
