Serial Number
	1040752
Project ID
	02270001
Location
	Tourville
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		296       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-24,13:00:00,0,559.8640,4.793
2,2017-04-24,13:15:00,0,559.9920,4.730
3,2017-04-24,13:30:00,0,560.1140,4.747
4,2017-04-24,13:45:00,0,560.2661,4.741
5,2017-04-24,14:00:00,0,560.2470,4.758
6,2017-04-24,14:15:00,0,560.5380,4.772
7,2017-04-24,14:30:00,0,560.7410,4.781
8,2017-04-24,14:45:00,0,560.8090,4.782
9,2017-04-24,15:00:00,0,560.8701,4.783
10,2017-04-24,15:15:00,0,560.8961,4.784
11,2017-04-24,15:30:00,0,561.1071,4.788
12,2017-04-24,15:45:00,0,561.1390,4.787
13,2017-04-24,16:00:00,0,561.2550,4.785
14,2017-04-24,16:15:00,0,561.1920,4.788
15,2017-04-24,16:30:00,0,561.2160,4.789
16,2017-04-24,16:45:00,0,561.1950,4.794
17,2017-04-24,17:00:00,0,561.2430,4.791
18,2017-04-24,17:15:00,0,561.2000,4.791
19,2017-04-24,17:30:00,0,561.1860,4.790
20,2017-04-24,17:45:00,0,561.1021,4.792
21,2017-04-24,18:00:00,0,561.1370,4.793
22,2017-04-24,18:15:00,0,561.1100,4.795
23,2017-04-24,18:30:00,0,561.1270,4.796
24,2017-04-24,18:45:00,0,561.0960,4.797
25,2017-04-24,19:00:00,0,561.0440,4.799
26,2017-04-24,19:15:00,0,560.9470,4.800
27,2017-04-24,19:30:00,0,561.0710,4.809
28,2017-04-24,19:45:00,0,561.0280,4.809
29,2017-04-24,20:00:00,0,561.2110,4.808
30,2017-04-24,20:15:00,0,561.4821,4.809
31,2017-04-24,20:30:00,0,561.5780,4.811
32,2017-04-24,20:45:00,0,561.8100,4.809
33,2017-04-24,21:00:00,0,561.8600,4.810
34,2017-04-24,21:15:00,0,561.8260,4.815
35,2017-04-24,21:30:00,0,562.0070,4.816
36,2017-04-24,21:45:00,0,562.1990,4.818
37,2017-04-24,22:00:00,0,562.1740,4.816
38,2017-04-24,22:15:00,0,562.2820,4.815
39,2017-04-24,22:30:00,0,562.3270,4.814
40,2017-04-24,22:45:00,0,562.4821,4.814
41,2017-04-24,23:00:00,0,562.3600,4.817
42,2017-04-24,23:15:00,0,562.6680,4.815
43,2017-04-24,23:30:00,0,562.5140,4.815
44,2017-04-24,23:45:00,0,562.6970,4.811
45,2017-04-25,00:00:00,0,562.7510,4.813
46,2017-04-25,00:15:00,0,562.8030,4.808
47,2017-04-25,00:30:00,0,562.8030,4.808
48,2017-04-25,00:45:00,0,562.8400,4.809
49,2017-04-25,01:00:00,0,562.8450,4.807
50,2017-04-25,01:15:00,0,563.0490,4.806
51,2017-04-25,01:30:00,0,563.1541,4.806
52,2017-04-25,01:45:00,0,563.2010,4.805
53,2017-04-25,02:00:00,0,563.1450,4.803
54,2017-04-25,02:15:00,0,563.2770,4.802
55,2017-04-25,02:30:00,0,563.5770,4.799
56,2017-04-25,02:45:00,0,563.4140,4.801
57,2017-04-25,03:00:00,0,563.4850,4.797
58,2017-04-25,03:15:00,0,563.6040,4.800
59,2017-04-25,03:30:00,0,563.6900,4.798
60,2017-04-25,03:45:00,0,563.7321,4.794
61,2017-04-25,04:00:00,0,563.6650,4.792
62,2017-04-25,04:15:00,0,563.8600,4.790
63,2017-04-25,04:30:00,0,563.9720,4.794
64,2017-04-25,04:45:00,0,563.8970,4.793
65,2017-04-25,05:00:00,0,563.8990,4.790
66,2017-04-25,05:15:00,0,564.1580,4.789
67,2017-04-25,05:30:00,0,564.1430,4.790
68,2017-04-25,05:45:00,0,564.0760,4.788
69,2017-04-25,06:00:00,0,564.0060,4.786
70,2017-04-25,06:15:00,0,564.2050,4.782
71,2017-04-25,06:30:00,0,564.3490,4.777
72,2017-04-25,06:45:00,0,564.5460,4.772
73,2017-04-25,07:00:00,0,564.6250,4.780
74,2017-04-25,07:15:00,0,564.7870,4.769
75,2017-04-25,07:30:00,0,564.7600,4.772
76,2017-04-25,07:45:00,0,564.8391,4.791
77,2017-04-25,08:00:00,0,564.8550,4.784
78,2017-04-25,08:15:00,0,564.9140,4.791
79,2017-04-25,08:30:00,0,564.8090,4.780
80,2017-04-25,08:45:00,0,564.7220,4.777
81,2017-04-25,09:00:00,0,564.6220,4.789
82,2017-04-25,09:15:00,0,564.4720,4.790
83,2017-04-25,09:30:00,0,564.4530,4.783
84,2017-04-25,09:45:00,0,564.4100,4.781
85,2017-04-25,10:00:00,0,564.2940,4.775
86,2017-04-25,10:15:00,0,564.2780,4.775
87,2017-04-25,10:30:00,0,564.0880,4.780
88,2017-04-25,10:45:00,0,564.1010,4.779
89,2017-04-25,11:00:00,0,564.1450,4.781
90,2017-04-25,11:15:00,0,563.9500,4.780
91,2017-04-25,11:30:00,0,563.9090,4.769
92,2017-04-25,11:45:00,0,563.7570,4.805
93,2017-04-25,12:00:00,0,563.7050,4.795
94,2017-04-25,12:15:00,0,563.7810,4.782
95,2017-04-25,12:30:00,0,563.8590,4.771
96,2017-04-25,12:45:00,0,563.6270,4.776
97,2017-04-25,13:00:00,0,563.7620,4.771
98,2017-04-25,13:15:00,0,563.7220,4.772
99,2017-04-25,13:30:00,0,563.6790,4.773
100,2017-04-25,13:45:00,0,563.6850,4.770
101,2017-04-25,14:00:00,0,563.7170,4.759
102,2017-04-25,14:15:00,0,563.6010,4.743
103,2017-04-25,14:30:00,0,563.5860,4.774
104,2017-04-25,14:45:00,0,563.4610,4.781
105,2017-04-25,15:00:00,0,563.5340,4.776
106,2017-04-25,15:15:00,0,563.3730,4.770
107,2017-04-25,15:30:00,0,563.2880,4.763
108,2017-04-25,15:45:00,0,563.1440,4.763
109,2017-04-25,16:00:00,0,563.0110,4.754
110,2017-04-25,16:15:00,0,562.9700,4.749
111,2017-04-25,16:30:00,0,562.5960,4.760
112,2017-04-25,16:45:00,0,562.6170,4.760
113,2017-04-25,17:00:00,0,562.3240,4.766
114,2017-04-25,17:15:00,0,562.2100,4.764
115,2017-04-25,17:30:00,0,561.9700,4.760
116,2017-04-25,17:45:00,0,561.8160,4.762
117,2017-04-25,18:00:00,0,561.8701,4.759
118,2017-04-25,18:15:00,0,561.7330,4.761
119,2017-04-25,18:30:00,0,561.4901,4.763
120,2017-04-25,18:45:00,0,561.4030,4.757
121,2017-04-25,19:00:00,0,561.2930,4.745
122,2017-04-25,19:15:00,0,561.2200,4.774
123,2017-04-25,19:30:00,0,561.1931,4.785
124,2017-04-25,19:45:00,0,561.0410,4.770
125,2017-04-25,20:00:00,0,560.7661,4.768
126,2017-04-25,20:15:00,0,560.8770,4.766
127,2017-04-25,20:30:00,0,560.7650,4.777
128,2017-04-25,20:45:00,0,560.6040,4.771
129,2017-04-25,21:00:00,0,560.7950,4.773
130,2017-04-25,21:15:00,0,560.6260,4.774
